proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
P30038,96030,67030,53370,105530,92130,129720,135240,139150,142400,210800,118730,80307,171320,129780,114500,70676,84006,69710,80882,176800,121820,43626,65742,47250
P30039,3809.8,4387.4,1333,4114.4,2838.4,9797.8,0,10403,7985.2,3714.7,4095,6076.4,9666.3,7471.7,5423.4,1757.1,10293,1197.3,0,10804,2119.6,3926.4,0,1515.8
P30040,20804,8787.4,27338,22522,28303,29028,42422,33587,17903,31965,22822,15520,18488,27005,27615,23126,22163,31071,36591,21219,28322,27008,18981,16176
P30041,846160,1285400,1457400,1798700,767260,926520,1461300,1894200,1782500,2078900,1746900,1293100,1239100,2078100,798060,1468100,1015000,896150,1670600,1965900,1834300,1335500,839220,1115300
P30043,104850,42834,58537,74012,92094,42842,81749,74372,62728,29283,55254,90862,48968,60143,39769,48884,54591,93176,60830,58758,73515,46268,40332,44006
P30044,366290,256410,241520,336860,329800,409450,372900,345580,304780,311150,368270,376800,312270,348350,373110,283630,399030,305890,346600,448620,399720,271590,370970,226590
P30046,54586,55367,30487,82307,35786,81319,99930,110770,78393,106800,74609,72625,96064,104870,51582,71250,67000,81638,71771,98303,96759,46149,47099,59903
P30047,0,0,0,0,0,0,0,0,0,0,0,1551,1198.8,0,1177.3,0,1477.4,0,0,0,0,0,0,0
P30048,176510,105480,114700,171810,186220,216960,177250,160850,149420,192170,144290,190530,152680,157880,182460,163130,164610,73045,133950,245280,180050,116670,189440,89529
P30049,33006,29788,29066,48540,26156,60667,50507,51198,37788,59283,42986,48957,47609,36733,20013,24670,39951,49920,54248,84258,42127,27930,48846,19691
P30050,21944,8777.7,13163,26338,22404,28150,21882,27569,24150,22665,29538,27415,16229,24638,12272,19860,14209,17273,13524,43319,26568,19822,15143,4438.1
P30084,135620,50933,78386,95289,127190,84961,76784,74953,104780,103160,87632,81773,89097,64128,105220,131580,101510,63821,102410,173200,123780,62190,155450,41319
P30085,39560,28607,28888,45825,37572,61576,55382,51605,61600,45691,43939,55198,42918,44222,45525,44187,28636,50891,40478,77493,57781,31856,32373,32185
P30086,1219200,918760,1031200,1137700,823070,1105700,1468100,1223000,1177600,1259000,848080,1392700,1105900,1061500,739760,1060100,832630,1142900,1278600,1664900,1200600,719960,997650,885680
P30101,138730,117070,159000,176170,233770,208060,199190,188000,171450,191950,148920,163910,164710,170100,143840,161480,115630,120470,141780,218270,213000,94549,115390,86196
P30153,307470,144270,180650,264450,175900,315280,359830,257620,232780,312390,257330,284920,267060,196910,231940,208900,221270,264750,242120,293120,262410,208340,314970,170650
P30405,5234.4,16900,17618,21155,5742.1,24397,21925,25857,22564,31701,17511,5282,21665,22326,12748,21451,8899.6,12817,16665,31489,24021,8589.6,7080,10959
P30419,2924.7,1257.5,2556.2,8595.1,2270.2,2677.4,8414.2,9348.2,2827.9,1507,1082.6,4606.2,5424.5,7551.5,1415.4,3332.7,3225.4,4595.2,8695.2,3005,0,6630.7,4611.2,3067.8
P30519,12877,3410.8,3934.3,8151.5,4969.8,11858,22470,8071,8090.8,12819,5732.7,18970,6157.8,8181.7,4583.7,14851,10592,5919.3,7390.4,9896.1,6983.6,7958.2,15201,7326.6
P30520,5817.8,2038.8,3549.2,8054,12580,3397.2,11312,4454.9,6788.7,7899.7,9366,11433,3015.2,8656.5,8212.4,1393.6,8816.9,13390,4723,8496.6,7932.7,13566,15617,7214
P30531,16696,6374.3,0,13502,21921,17997,9824.4,3293.1,9347,10914,10829,12730,13206,6910.8,3673.8,11075,12763,12901,8432.2,17905,5053.1,4562.2,14213,4386.8
P30536,0,2716.2,0,3188.3,0,0,0,0,4875,2910.4,0,0,0,5333,0,0,0,3079.9,2171,6345,6365.8,0,0,0
P30566,823.28,707.13,0,2630.5,1078.3,1189.6,1265.7,948.54,3341.9,1292.4,3507.2,1737.7,1051,922.35,1311.9,950.81,1059,1240,911.24,4452.3,1332.4,609.31,805.06,759.51
P30622,0,2304.9,0,0,0,2614.3,3370.9,2275,0,0,2098.2,0,0,2680.8,2113.8,1000.8,0,0,0,2558.7,0,1645.8,0,0
P30626,207100,157600,252070,234540,134850,220870,233090,270340,236940,244550,206880,221280,238420,237860,217060,223860,208020,182440,189830,305750,237870,199090,163700,172380
P30711,3004,6566.6,6613.1,13690,8791.4,13190,9630.3,20222,9232.1,16864,2956.6,11354,25916,10817,4976,8300.9,0,17500,9015.8,6154.3,21445,6541.8,3614.2,19621
P30740,41465,42026,83958,102370,39297,45462,67542,93408,104980,102750,80642,58277,87596,78926,65952,61244,56890,24891,58323,146270,87444,57237,15388,49544
P30837,0,6987.2,1593,3307,39110,1435.7,8092.3,7704.5,5219.4,1379.6,3519.6,22708,4634.2,28248,4516.5,3839.4,8093,3224.3,16933,1922.7,8506.5,1734.7,0,772.7
P31040,95589,51243,54910,88393,131680,100410,118290,109440,92544,95368,88083,96451,94736,83769,67025,88576,67290,88685,70287,156890,79440,64161,83274,33032
P31146,103210,60545,52488,48106,45746,79406,119000,65374,78632,86047,73047,86386,73874,66179,52046,54017,33005,91308,89867,86304,68413,59861,102360,43719
P31150,1327400,629950,831550,1084600,596140,1100300,1427400,1149500,1121800,1103200,957930,956500,1058200,1075900,839130,942930,887230,1051200,1081900,1532200,1088900,810660,1104700,788960
P31153,37552,14388,19488,48270,22604,28673,30191,31480,44643,48302,49991,32985,31109,54699,29747,29796,44122,33465,39002,82134,51974,24109,29790,20414
P31321,3486.7,5157.6,1505.8,0,0,842.71,8172.6,0,1418,1413,2753.4,3243.4,1564.9,0,1272.7,3213.4,2724.3,6559.6,4970.2,0,2524.5,7308.2,5441.7,0
P31323,77316,15991,22101,36690,33454,36604,42704,23665,22974,31506,31481,41304,27833,22202,22043,25535,30707,50479,45806,33244,27787,37219,73490,12769
P31483,0,536.89,0,0,0,1023.3,953.76,1082.3,0,773.04,815.83,1410.3,0,690.86,943.56,0,0,0,0,1734.2,570.69,0,383.16,0
P31644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P31689,18757,9491.9,15634,27218,5097.1,11444,16398,15571,20816,7795.5,3567.7,11692,18162,13255,12387,20953,8626.3,10139,20781,20693,24438,16189,3658.3,10567
P31749,0,0,0,0,0,0,0,0,0,0,0,0,0,1593.4,0,0,0,0,0,0,0,0,0,0
P31930,301380,136650,108810,257130,242860,325700,258030,220200,244840,272220,247840,358210,262560,214220,174530,204380,172000,196300,244970,421760,247340,145740,204150,105770
P31937,31687,23382,28472,28328,61023,30596,23912,25050,26877,35074,19813,25826,29430,25883,26343,18272,12934,15174,27340,46271,27361,20412,21091,9697.6
P31939,121830,89350,109940,102680,89786,128140,136780,157550,167800,138590,140860,102210,129530,138750,115890,123600,78429,111250,104030,146340,161760,78519,86501,74902
P31942,15974,3185.6,9762.8,32408,27907,26153,15767,15956,18031,23514,20498,18742,27556,17752,23523,26523,14828,12462,14091,45553,25926,12314,15286,8984.3
P31943,45199,54135,40830,105780,53615,129320,64197,69227,80148,113890,103980,83266,92487,59391,95003,74521,90218,47049,63160,139840,84257,44506,46060,25698
P31946,250000,156940,153130,167240,127100,239590,295570,217000,213470,238050,222940,262200,234170,92549,173570,151240,146710,258450,220880,383510,193910,134130,178700,147080
P31947,0,0,0,32422,0,54358,41126,0,0,0,13178,0,0,8012,35623,0,10906,22615,27350,0,0,0,45028,0
P31948,142020,78941,112100,121530,71131,142850,167280,122410,112840,116230,124080,291820,137950,130730,144060,107640,132760,97725,115750,154980,162470,98380,168290,82109
