proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
A0A0B4J2F0,-0.9165634,-0.9907485,-0.9999919,-0.8734711,-1.0574176,-0.9390558,-1.1285714,-0.8689607,-0.9123647,-0.8804782
A0AVT1,0.1644369,0.2710403,0.1928942,0.3764244,0.2475295,0.2876691,0.3173116,0.2674234,0.1713033,0.2918505
A0FGR8,0.23580085,0.22810632,0.15619777,0.42663135,0.38366241,0.16324166,0.14504497,0.04447612,0.21840907,0.20449255
A0MZ66,0.3418112,0.1752634,0.258712,0.5658498,0.4249284,0.6693186,0.3897037,0.3264564,0.2762633,0.4507541
A1A5C7,-0.777058,-0.7380718,-0.7279015,-0.6412163,-0.9522261,-0.6389507,-1.1910549,-1.1876367,-0.8508902,-0.681006
A1L0T0,0.34720355,0.11661284,-0.09326985,-0.07382705,0.07298216,0.36692062,0.27991833,0.37388988,0.10015097,0.29926944
A1Z1Q3,-0.2755263,-0.54793656,-0.11445415,-0.80508921,-0.38707317,-0.24914848,-0.32462856,-0.59761476,-0.03651663,-0.30047068
A2RTX5,-0.7819435,-0.824514,-0.5115243,-0.5409693,-0.701192,-0.3960755,-0.5525003,-0.6956919,-0.6683648,-0.4989753
A2RU67,-1.4399285,-0.8550108,-0.9129428,-0.7673147,-0.7943242,-0.9400962,-0.9382669,-1.0998614,-0.9563316,-0.7116779
A5PKW4,-0.4648324,-0.8402664,-0.2679944,-0.6029705,-0.6224525,-0.4329785,-0.7595383,-0.3265422,-0.6478111,-0.7020637
A5YKK6,-0.955721,-1.202091,-1.261175,-1.276914,-1.222611,-1.048602,-1.439557,-1.282387,-1.433226,-1.456226
A5YM72,0.19005985,-0.06251482,-0.22963932,0.46537652,0.06058719,0.6554772,0.76713265,0.01590523,-0.24175232,0.62969574
A6NDG6,0.1847816,0.2671792,0.1387892,0.1658406,0.2400026,0.2502177,0.2307413,0.2757187,0.2763537,0.315658
A6NDU8,-0.8134108,-0.6549844,-1.0865805,-0.7841376,-0.8961765,-0.9213287,-0.6939961,-0.8356421,-1.0777607,-0.6155054
A6NFN3,-0.87849,-1.295309,-0.4971892,-1.468532,-0.8682414,-0.7383337,-0.7989815,-0.7083589,-0.3921594,-1.0520261
A6NGN9,-1.122036,-0.4954348,-0.6829518,-0.7176098,-1.120835,-0.9611414,-1.4620636,-0.9282749,-0.7408182,-0.63241
A6NHL2,0.5643742,0.7404384,0.566341,0.7699249,0.5947053,0.5613333,0.5398078,0.5744463,0.4754677,0.7109954
A6NHX0,-0.998192,-0.8455343,-1.22477,-0.8929399,-1.271919,-0.8644312,-1.1398815,-0.5080081,-1.0223093,-1.1894182
A6NKN8,-1.0668757,-1.3166573,-0.590702,-1.0255388,-0.9499871,-1.194213,-0.8179858,-0.8859504,-0.5487313,-1.3640005
