,S16,S9,S10,S11,S12,S13,S14,S15,S1,S2,S3,S4,S5,S6,S7,S8
Q13043,-0.24005522,-0.06264711,-0.13731211,-0.07020317,-0.18547236,-0.13623419,-0.7543729,-0.43092055,0.25036803,0.55607317,0.2569447,0.26170732,0.09096498,-0.03528666,-0.05517804,-0.20549176
Q13045,-0.20015721,-0.1521483,-0.39021203,-0.05542628,0.07936432,0.05467992,-0.05199774,0.09041366,0.22419978,-0.08241859,-0.16528497,0.30748521,0.26537943,0.31505589,0.39312169,0.14133498
Q13049,-0.4980475,-0.4157841,-0.3515708,-0.3309694,-0.1064017,-0.1621322,-0.2451866,-0.2452428,-1.1337826,-1.1621914,-0.7178002,-0.8827694,-0.8547243,-0.5666016,-1.3018352,-0.6128494
Q13057,-0.13457736,0.08589384,0.28141659,0.0878447,-0.08559742,0.07766441,0.05932863,0.14868986,0.09117444,0.09294897,0.47490579,0.41915593,0.2340066,0.30643285,-0.06047231,0.39376221
Q13085,0.19876523,0.18367771,0.03602407,0.19029669,0.44462871,0.40720917,0.46036033,0.42148802,0.11152606,0.10190973,0.09691521,0.24524196,0.27618958,0.33151124,0.56558105,0.6898073
Q13098,0.7187718,0.7286859,0.8630696,0.5860338,0.7736641,0.6886938,0.7885075,0.8146948,0.6493633,0.7066399,0.6722029,0.5991198,0.6055958,0.6348106,0.5579733,0.63619
Q13107,-0.313709198,-0.406950916,-0.515290056,-0.482273415,-0.401244423,-0.76040521,-0.33860066,-0.529667583,-0.193295803,-0.432970412,-0.030244184,-0.198116652,-0.008362274,-0.301656385,0.021810092,-0.234043277
Q13123,-0.53306984,-0.39248897,-1.00374845,-0.91315194,-0.76392585,-0.81364362,-1.01782601,-1.14123136,0.05972198,0.53161611,-0.37111434,-0.52590181,-0.21435375,-0.16634008,-0.30950637,-0.50021673
Q13126,0.54274659,0.42308279,0.50093459,0.50776099,0.01250303,0.19366336,0.12929537,0.04567996,0.21451307,0.54274914,0.93690865,0.79649824,-0.63865343,0.17238416,-0.48761919,0.31752716
Q13131,-0.06900633,-0.01778124,-0.12574196,0.10567873,0.08903849,0.37227388,0.29387229,0.09368336,-0.07323939,-0.17844145,-0.13109162,0.17599186,0.40883736,0.18570897,0.24170192,0.12091525
Q13136,-0.02386761,0.1034397,-0.31967907,-0.03259452,-0.04742721,-0.06569819,-0.21740903,-0.29531031,0.10653498,-0.01190327,0.25307882,0.84591718,0.52045673,0.27919657,0.17509915,-0.15404181
Q13137,-0.646683,-0.407387,-0.5798764,-0.4105156,-1.584268,-1.1719844,-1.4089543,-1.7082262,-0.4134647,-0.7220286,-0.1920242,-0.3365443,-0.7406958,-2.1372644,-0.7599753,-1.4939066
Q13144,-0.2094012,-0.9652711,-0.369954,-0.341249,-0.7925727,-0.5872379,-0.7857137,-1.1394464,0.0858517,0.1531884,-0.3351307,-0.4431885,-0.2006289,-0.2348989,-0.108725,-2.0280519
Q13148,0.4468828,0.4472529,0.4309789,0.4658583,0.2415683,0.3336445,0.370911,0.3439283,0.6003907,1.0392198,0.5432316,0.6212918,0.7026267,0.6579669,0.7365399,0.4716421
Q13151,0.9242252,0.8499768,0.6943211,0.6631242,0.4270556,0.4215848,0.4024851,0.1762394,1.2190371,1.6271324,0.9511333,1.028435,0.7613552,0.7412675,0.9527905,0.6548013
Q13153,1.5418284,1.5040359,1.5611272,1.4845146,1.2486027,1.3441675,1.3977828,1.2984329,0.8947421,0.315928,1.146193,0.5585504,0.4256145,0.9387968,0.5007073,0.9653194
Q13155,-0.613958775,-0.931535431,-0.173895575,-0.681272623,-0.242659502,-0.160130051,0.080611797,-0.045751748,-1.527281643,0.246685043,-0.170152538,-0.165688388,0.19498249,-0.053547717,0.468365413,-0.003155969
Q13162,-1.38222512,-0.360164385,-1.423622612,-1.044488745,0.326973932,0.399073031,0.120562766,0.220681207,-0.46907327,-0.003547027,-0.019718363,-0.389511052,0.518926025,0.795228396,0.682938614,0.309206923
Q13177,0.5436741,0.5016515,0.579049,0.4953045,0.4671756,0.3460687,0.3942793,0.5172294,0.7552927,0.8502865,0.9135173,0.8144616,0.6840612,0.7174705,0.6399826,0.4913842
Q13185,-0.000306332,0.221158215,-0.228541591,-0.094641391,-0.198947168,-0.111332712,-0.399989805,-0.18605024,0.515340525,1.163876668,0.474818683,-0.213896761,0.457357673,0.654823139,0.731182168,0.157306968
Q13190,-0.226666292,-0.065125028,-0.369121013,-0.288183857,-0.747535968,-0.866565243,-0.304101527,-0.283297507,-0.335826669,-0.008974001,-0.161346879,0.147093292,-0.24593665,-0.574894265,-0.361743575,-0.596988591
Q13200,1.0090038,1.1315338,1.1597108,1.1726442,1.0852111,1.0920226,1.0299665,1.0543759,1.1121139,0.9265717,1.2618448,1.385364,1.133711,1.2652734,1.1393602,1.0708548
Q13217,-0.14007946,-0.15714775,-0.07325937,-0.17891335,-0.35541984,-0.33336672,-0.5869393,-0.47231044,0.07428454,0.0315498,-0.20067596,-0.65385121,-0.14167309,-0.11109075,-0.02255813,-0.49213979
Q13224,0.3967273,0.5841574,0.5752822,0.2818136,0.2796324,0.2948378,0.2235012,0.3186682,-1.1609555,-1.2242121,0.320816,-2.161749,-1.2039067,-1.0225875,-2.1966918,-0.5907826
Q13228,1.2036629,1.1629515,1.4965037,1.4122036,1.3428326,1.2985343,1.3974976,1.3946717,0.579784,0.3280089,1.4223055,1.3766609,0.5211212,1.0662934,0.65098,0.8478966
