,S16,S9,S10,S11,S12,S13,S14,S15,S1,S2,S3,S4,S5,S6,S7,S8
A0A075B6I0,-0.82678622,-0.56182772,-0.79896859,-0.77462315,-0.94094605,-1.83656473,-1.77858867,-0.7557778,-1.36645164,-0.35128908,-0.86216977,-0.68187403,-0.56192815,-0.04386805,-0.67342564,-0.69332917
A0A075B6I9,-1.49278667,-0.40751925,-0.43887284,-0.72696423,-0.47350736,-0.57696202,-0.77162229,-0.88287687,-0.98416376,0.05857751,-0.80658053,-1.05011489,-0.65559209,-0.80733402,-2.06339657,-0.41248409
A0A075B6R9,-1.4124998,-0.7512801,-0.4184003,-1.0770663,-0.3972165,-0.6833396,-0.2219716,-0.4214886,-0.946052,-0.5567558,-0.2541527,-0.2546104,-0.1952434,-0.2642964,-0.4396235,-0.127614
A0A0A0MS15,-1.8482009,-1.1279564,-0.9053014,-1.8326832,-0.8549208,-1.3105013,-1.0937588,-0.7714309,-0.5493226,-1.2856501,-0.6413956,-1.724835,-0.2381333,-0.2786387,-0.339936,-0.28064
A0A0B4J1V0,0.36074965,0.45813432,0.29322762,0.37866429,-0.68326017,-0.78318307,-0.92914758,-1.13705891,0.80308569,1.09493626,0.09582194,0.53007138,-0.41602985,-0.20891689,-0.78210396,-0.67650149
A0A0B4J1X5,1.02121517,0.951313631,0.782545181,1.140704534,0.388363246,0.286427555,-0.698810366,0.251199198,0.303868937,1.237663603,0.554181391,1.257474063,0.197072889,0.48990024,0.008159665,0.340775831
A0A0B4J1Y9,-0.75701586,-1.71040036,-0.81213802,-0.88800974,-1.38531164,-0.74569126,-0.59307467,-0.63236446,-1.81255259,-0.87396642,-1.6041448,-0.62667974,-0.47158051,0.01220777,-0.52011294,-0.83399427
A0A0B4J2D5,1.2483412,1.1960876,1.317047,1.3931155,0.9687912,0.9181242,1.2382534,0.9605422,1.0014287,0.796297,1.5751477,1.3061153,0.8227935,0.786885,0.6581471,1.2377249
A0A0C4DH31,-1.569843401,-1.544867424,-0.186661443,-0.178960118,0.112407869,0.072616114,0.001495835,-0.067270792,-1.677484829,-1.248491572,0.073195885,-0.268726268,0.121369199,0.314178339,-0.309613379,-0.294493392
A0A0C4DH34,-0.682826,-0.6978993,-0.7042953,-0.636317,-0.4908617,-0.7560845,-0.4717117,-0.3990008,-1.4696029,-1.7249714,-0.5672869,-2.0947212,-0.6077389,-0.1793513,-0.5795353,-0.4838642
A0A0C4DH38,-0.5673339,-1.0326799,-0.6639696,-1.2068631,-0.7329916,-0.6112972,-0.5208121,-0.7311539,-0.1192042,-0.2540317,-0.3983108,-0.3665623,-0.7190937,-0.1413119,-0.4306927,-0.6028643
A0A0C4DH72,-1.0021125,-0.1721162,0.8809547,-1.542388,-1.4709396,-1.8125964,-1.200753,-1.0969488,-0.8508213,-0.3417996,0.7268606,-0.8389834,-0.6201938,-1.0020717,-1.3783893,-1.1802867
A0AVT1,0.8080036,0.9328663,0.9084185,0.9555297,0.7346825,0.7344943,0.7695928,0.7218517,0.9885046,1.1323303,1.0993625,1.0782921,1.0677226,0.6508656,0.83284,0.7594551
A0FGR8,0.34762238,0.45636471,0.1722336,0.28708605,0.33087668,0.45177208,0.45339445,0.39645935,0.11358531,-0.40031275,0.07117861,-0.15469437,0.27987352,0.19740945,0.24994305,0.02298247
A0JNW5,-0.30945832,-0.31127545,-0.34760448,-0.60585942,0.02208492,0.11207855,-0.41386348,-0.38560937,-0.62830114,-1.47650488,-1.07499245,-0.90625444,-0.68579638,-0.52709437,-0.51275557,-0.90806578
A0MZ66,1.22844251,1.39808833,1.20540043,1.26986374,1.02401871,0.89913328,0.97065921,0.98548521,0.8975169,0.22317005,1.15229109,0.62363423,0.08875327,0.28519884,-0.08465078,0.54396821
A1L0T0,0.1962704,0.30952801,0.49897816,0.21063372,0.30063029,0.20251132,0.43246321,0.39279299,0.33755564,0.07781279,0.32643273,0.59884298,0.5878641,-0.05403786,0.40015879,0.4552676
A1X283,-0.4431052,-0.239157,-0.3727421,-0.1049555,-0.3801879,-0.6556668,-0.3805041,-0.2935186,0.4105138,0.5321104,-0.1798676,0.0949003,0.7458226,0.4641793,0.614829,-0.4427813
A1Z1Q3,0.1762789,0.22314399,0.18859962,0.11555198,0.04748033,0.1502957,-0.02222468,0.20627884,-0.78030382,-1.26230229,-0.69763965,-1.28153529,-2.39730897,-0.36180736,-0.86233702,-0.47786435
A2RRP1,-0.0108523,0.11165374,-0.19270023,-0.08107178,-0.34332587,-0.21294096,-0.29908397,-0.26184651,0.4097341,0.31228254,0.07811294,0.53089538,0.34268566,0.14559738,0.19151813,-0.03185154
A2RTX5,-0.50907667,-0.39853553,-0.39671739,-0.39760626,-0.25198561,-0.14577868,0.06848808,0.07324029,-0.19973024,-1.12618909,-0.08368394,-0.48326165,-0.29045291,-0.40438076,-0.51875954,0.19329702
A3KMH1,-0.5498395,-0.755022,-1.2587267,-0.7987168,-0.3655173,-0.8973964,-0.7482352,-0.4958784,-1.2055062,-0.276906,-0.935644,-0.7629501,-0.6935543,-0.62925,-0.4794675,-0.6227761
A4D126,-0.4166,-0.1642652,-0.3628707,-0.1813904,-0.7744185,-0.6801301,-0.5579692,-0.6216274,-0.4477017,-0.4380142,0.1520851,-0.7459487,-0.4494292,-1.0391036,-0.9726867,-0.6700796
A4D1P6,-0.516047655,-0.248654472,-0.449582545,-0.135579696,-0.201282694,-0.305702841,-0.108769151,-0.234504259,-0.605437053,-0.284633765,-0.230425524,0.002656585,0.229523483,0.097744582,0.02006028,-0.045001133
A5PKW4,-0.500799,-0.2831695,-0.1396522,-0.4159976,-0.3489402,-0.2786868,-0.4589321,-0.323701,-3.4811913,-1.0182865,-1.1063633,-1.3162322,-1.1206494,-1.9879146,-0.9616119,-0.7621236
A5YKK6,-0.27874372,-0.27237857,-0.55059426,-0.27591158,-0.0677827,-0.08423528,-0.12376125,-0.01409816,0.350578,0.69755467,-0.80737231,0.04780617,0.47541549,0.16979299,0.46096888,-0.03631093
A5YM72,0.26933818,0.3372056,0.39838827,0.3704405,0.90569982,0.83091511,0.92506229,0.83731311,-0.04558009,-2.9479895,0.37520499,-0.52465887,-1.39573201,-0.97501417,-1.04619685,0.11322381
A6NCS6,-1.12120647,-1.48541948,-1.49363381,-1.00798151,-0.71093582,-0.80380185,-0.95297195,-0.90158551,-1.51158998,-0.14623023,-0.69511994,-0.50158576,-0.06821804,-0.54189256,-0.36416372,-0.61202634
A6NDG6,-0.23632853,-0.4674762,-0.06279278,-0.21181015,0.14918971,-0.04481513,0.41771398,0.29658844,-0.8408137,-0.92714664,-0.1725054,-0.4199801,-0.27409538,0.14881188,-0.1112707,0.01922995
A6NDU8,-0.37113543,-0.16519788,-0.3085333,-0.29921415,-0.36270693,-0.17659018,-0.30563803,-0.21939214,-0.30064994,0.14009942,0.02115835,0.23740603,0.0423156,-0.14999928,0.03154591,0.10302997
A6NGB9,-0.26391037,-0.32048572,-0.04907803,-0.04450724,-0.63244672,-0.43398375,-0.29883949,-0.30709847,-0.87027271,-1.60361935,-1.19519114,-1.09384153,-1.2035941,-1.81344982,-1.51021733,-1.63346057
A6NHQ2,-1.2135809,-0.8470118,-1.1150391,-1.0614614,-0.8308501,-0.6718646,-1.5678091,-1.3084843,-0.808486,-0.35582,-0.9336853,-0.8212336,-0.4059415,-0.5153814,-0.4738546,0.1974469
A6NHR9,-0.9971742,-0.9972316,-1.3063882,-1.0203696,-0.4964124,-0.6114565,-1.7983897,-1.2336183,0.259987,0.9755852,-0.3260861,-0.404573,0.4137309,-0.1236874,0.259486,-0.4644248
A6NHX0,-0.26912905,-0.68140756,-1.31725349,-0.25160022,-0.04048307,0.08277569,-0.55255256,-0.70474507,-0.26514674,-0.45636532,0.09892163,-1.71022058,-0.83564836,-0.33097803,-0.48201738,-0.01519037
A6NIH7,-1.4031473,-0.9902605,-1.1271698,-1.1258579,-0.5306441,-0.7055429,-1.0002211,-0.8397366,-0.5502788,-0.4341878,-0.4863305,-0.6989514,-0.1944795,-0.1854264,-0.1519094,-0.1767031
A6NKN8,-0.31018409,-0.10812793,-0.01797693,-0.20961352,-0.50821376,-0.55592572,-0.32798577,-0.49410126,-1.21057347,-1.96799148,-0.62682699,-1.30226161,-1.92302695,-0.47969165,-0.8622923,-0.75233972
A6ZKI3,-0.8461494,-0.8200599,-0.5776789,-0.9669659,-1.2852238,-1.6742781,-1.4598376,-1.6289288,-1.934651,-0.3506097,0.7750329,-2.0089046,-0.8000469,-0.8303295,-0.7286392,-0.7843994
A7KAX9,-0.0915351,-0.04833918,-0.07078885,-0.00227634,0.09946937,0.06665392,-0.09829395,-0.05153256,-1.1675346,-1.04885124,-0.69589368,-0.36108728,-0.95896261,-1.18148644,-1.02774668,-0.40897571
B1AJZ9,-1.8902139,-1.750677,-0.6685662,-0.5257344,-0.7949298,-0.7402385,-0.7355187,-0.843051,0.5895341,-0.9240004,-0.2274636,-1.0997095,-1.2433911,-0.2749454,-1.2938153,-0.501456
B2RTY4,-1.01866,-1.1459487,-0.7959138,-0.5321077,-0.7412659,-0.5056113,-1.3195681,-0.8170209,-1.7662845,-2.0179853,-0.7735957,-1.4749557,-0.7565207,-0.5773038,-0.5488209,-1.1841937
B7ZAP0,-0.13071622,-0.2445154,-0.08633643,-0.43169226,-0.42049335,-0.44302403,-0.91633851,-0.69407742,-0.44415017,-0.39490588,-0.31734742,-0.52492715,-0.31119847,-0.05654172,-1.18579983,-0.90362139
C4AMC7,-0.36431233,-0.76741434,-0.9933292,-0.47381179,-0.50370413,-0.47068244,-0.26285595,-0.46401767,-0.31079675,-0.35249944,-0.16057482,-0.09310204,-0.20698742,-0.50715366,-0.35710252,-0.44282974
C9J069,-0.508568272,-1.969833179,-0.576496608,-0.571546393,-0.258351371,-0.009527426,-0.362590649,-0.046740584,-0.950686437,-1.741747473,-1.057570613,-2.369321163,-1.858398341,-1.297372481,-1.432772064,-0.586615257
C9J798,-1.3345853,-1.1521238,-0.9730205,-1.1237218,-0.7184483,-2.0382511,-1.0525408,-1.2380126,-1.3658412,-1.2666735,-0.3273687,0.3178977,-0.2466064,-2.3409091,-0.1629149,-0.2353478
C9JLW8,-0.558588,-0.5918821,-0.7069824,-0.643181,-0.1830298,-0.3933939,-0.3922539,-0.2481432,-0.4757201,-0.5175584,-0.5217968,-0.5092374,-0.2632391,-0.1919183,-0.2509709,-0.5042983
E9PAV3,0.6679259,0.8521643,0.7782801,0.6318173,0.2979562,0.3706402,0.5614373,0.4076403,0.9595644,1.1387897,0.6910998,0.7597667,0.7404509,0.7096748,0.9591194,0.6128435
G9CGD6,-0.3606934,-0.3561508,-0.1480521,-0.307031,-0.3471409,-0.2640244,-0.3355367,-0.8038604,-1.3837667,-1.3302715,-0.9837035,-1.5962405,-1.4492576,-1.0332164,-1.7697445,-0.7695203
O00116,0.10597963,-0.06626883,0.2928338,0.27995128,0.0727555,0.07473184,-0.02021274,-0.21250909,0.33294251,0.20968721,0.30135485,0.48682008,0.18095853,0.32863926,0.50490508,0.23215144
O00139,0.5293207,0.5462385,0.6735963,0.5800954,0.902534,0.9248766,0.9189479,0.7818908,0.4172366,0.3992121,0.4541442,0.3233218,0.674482,0.59801,0.4942999,0.5913154
O00142,-1.2053882,-1.8548809,-1.052148,-0.8487863,-0.5267916,-0.7412011,-0.4119122,-0.5161605,-0.9665934,-0.9797623,-1.1220453,-0.9912559,-0.698328,-1.6638528,-1.0124534,-0.3607925
O00148,-0.39338055,-0.23498852,-0.37361862,-0.36438025,-0.95094818,-0.63579859,-0.76210159,-0.72327767,0.20076452,0.80796991,-0.07693169,0.07262233,0.2241827,0.21565645,0.0150554,-0.825554
O00151,-0.55932505,-0.69163224,-1.29042245,-1.76301614,-0.91018246,-0.58638991,-0.81774613,-0.77667768,0.29782429,-0.10838415,-0.03393908,-0.24257244,0.20160717,0.77418731,0.19875979,-0.52427857
O00154,1.5201378,1.4992102,1.6150356,1.6188027,1.439667,1.395076,1.5794344,1.4935685,0.9725263,0.6109842,1.2573761,0.6139114,0.2688781,1.1030122,0.8229108,1.1900668
O00159,-0.45237209,-0.43807615,-0.51323482,-0.29781995,-0.33056062,-0.38032837,-0.75570048,-0.65021184,-0.30203357,-0.28588826,-0.03015361,0.10770932,0.30288789,-0.12718716,-0.34120025,-0.74278109
O00161,-0.0869011,-0.19452892,-0.35837656,-0.43989774,0.09080459,0.16373026,-0.06075188,-0.23838828,0.06820613,0.19979777,-0.17312466,-0.11590252,0.26568478,-0.1553369,0.03675116,0.17955965
O00170,0.3097435,0.3250872,0.2562709,0.3471021,0.333472,0.4449947,0.4049285,0.3599467,0.209967,0.3970329,0.50104,0.4721863,0.3800408,0.209163,0.3794703,0.2678888
O00178,-0.26507275,-0.16757633,-0.09325881,-0.19934843,-0.12039585,-0.08835344,-0.2581348,-0.08673232,0.02293679,-0.39641191,-0.06548039,-0.16938827,-0.00158807,0.28999009,0.2753198,0.01152417
O00182,-1.6627673,-1.2932904,-1.1495844,-1.0952743,-1.2514506,-1.1089628,-1.0836652,-1.0752116,-0.5742981,-1.0507756,-0.7034541,-1.1641356,-0.169129,-0.3874735,-0.1880051,-0.5212803
O00186,0.6653293,0.6041765,0.5715238,0.625339,0.5212861,0.5871168,0.4929199,0.5702767,0.5597157,0.4426376,0.6529958,0.6739644,0.4728024,0.3029978,0.2585131,0.2936301
O00192,-0.77476834,-0.69686205,-0.98926167,-0.79977882,-0.47823801,-0.37357235,-0.56326547,-0.40240767,-0.64227709,-0.35857679,-0.6447806,-0.08272127,0.13201867,-0.12816965,-0.2393767,-0.02111026
O00193,0.5832763,0.533979,0.4854692,0.4480455,-0.8606377,-0.8578913,-0.2715039,-0.6376457,0.5383149,1.0352777,0.7152227,0.7538951,-0.0715784,-0.1862719,-0.1869279,-0.6203277
O00194,-0.1901865,0.1903167,0.3424016,0.2894499,-0.1389055,-0.1797757,0.1830604,0.1060358,-1.5062833,-1.8408861,-1.2144592,-1.0416238,-1.8116536,-0.5886902,-1.1986218,-0.6994944
O00203,-0.2246732,0.04522242,-0.07179118,-0.08907238,-0.01828297,-0.36877655,-0.28256297,-0.15330273,0.37488318,0.32008007,0.16500587,0.5307856,0.57586425,0.32897161,0.38755493,-0.06754991
O00213,-0.15801058,-0.34658246,-0.10523756,-0.34655569,0.12546487,0.13254562,-0.07683924,0.12605366,-0.68733338,-0.88658146,-0.44549217,-1.01251459,-0.67103597,-0.33282088,-0.67961163,-0.08482905
O00217,0.4441489,0.42480498,0.46509075,0.31285386,0.37551377,0.4311821,0.60627677,0.56555222,-0.14181494,-0.12156508,0.29253055,-0.32371262,-0.12216652,0.15997965,-0.09135395,0.27213391
O00231,0.6780355,0.7927605,0.7259471,0.8378233,0.8243289,0.7782915,0.8135931,0.8111645,0.9468293,1.0664627,0.8174195,1.0074821,0.8959297,0.9764327,1.0182363,0.7590294
O00232,0.4844642,0.4477638,0.5066874,0.4069966,0.4334224,0.4808442,0.478821,0.5029544,0.6950743,0.854383,0.6126538,0.8421277,0.6045712,0.6338238,0.7445176,0.522739
O00233,0.5388108,0.2329692,0.2062349,0.4327435,0.2127074,0.3126215,0.3122449,0.4150568,0.350726,0.3043035,0.6806911,0.5924842,0.3142491,0.4885219,0.191968,0.2886168
O00244,0.7347817,0.780182,0.7410487,0.7418096,0.5439182,0.4368068,0.6164826,0.5820165,0.7862264,0.4299068,1.1783386,0.9679701,0.3590958,0.3649785,0.3557856,0.5045108
O00264,0.9159852,0.805741,0.9969114,0.8419746,0.7432451,0.8135575,1.0064854,0.8607246,0.8916301,0.7573515,1.1193096,0.523065,0.4058266,0.8492104,0.6969718,0.5095118
O00267,-1.63615351,-0.93746932,-0.99237078,-0.96631664,-0.31246567,-0.65479822,-1.06384235,-0.98939086,-0.16769731,0.70035839,-0.35919653,-0.09893657,0.18709837,0.14383137,0.21162484,-0.31364995
O00273,0.1041649,0.1727956,0.3466225,0.411285,0.3531414,0.3269734,0.1577275,0.1838464,0.1042462,0.4689022,0.5914344,0.7004953,0.4471272,0.4117677,0.1091522,0.1736737
O00291,0.4528012,0.6588244,0.5177814,0.5979927,0.3547992,0.3785949,0.4790412,0.3609249,0.8135547,0.796297,0.5278162,0.2386448,0.6492303,0.5847975,1.0054395,0.3317554
O00299,0.4916946,0.5028941,0.6663104,0.6161442,0.3281875,0.2931035,0.4490838,0.2873107,1.1076371,0.5949253,0.8220949,0.8472437,1.1347439,1.0871942,1.1458331,0.1273668
O00303,-0.27426257,-0.73816119,-0.08469097,-0.43998968,0.03873777,-0.28107454,0.07442671,-0.08190001,0.02807366,-0.259725,0.2138026,-0.03681051,0.17676451,0.16289507,0.42099566,0.44447943
O00305,0.6085993,-0.4096981,-0.2717337,-0.4142261,-0.1748487,-0.2326374,-0.3467493,-0.422718,-1.7511027,-1.0305127,-0.4079544,-0.9677776,-0.8418086,-1.1884779,-0.903055,-0.6206194
O00330,0.85545157,0.88195782,0.98116254,0.74901002,0.55862956,0.5117116,0.81105764,0.7111097,0.22889392,-0.10819707,0.45905023,0.10142581,-0.13370759,0.07260063,0.05381417,0.4362727
O00339,-1.4308928,-1.4475294,-1.1508374,-1.2299651,-0.7206257,-0.8671308,-0.5555878,-1.0797708,-0.1288252,0.3045538,0.2250249,0.5075646,0.4311586,0.685021,0.4383108,-0.7407664
O00399,0.0602015,0.075668272,-0.004143816,0.156566497,0.076672857,0.014255786,-0.031659706,0.148072872,-0.181461318,-0.331814258,-0.00290848,-0.136406131,-0.611767817,0.027180518,-0.498186049,-0.586446697
O00401,3.81E-01,5.10E-01,5.29E-01,5.59E-01,3.90E-01,4.58E-01,5.38E-01,4.98E-01,1.18E-01,-9.99E-03,3.90E-05,1.40E-01,1.62E-01,1.36E-01,3.65E-01,2.98E-01
O00408,0.8783187,0.9685273,0.8838876,0.9724507,0.9859415,0.9812381,1.0668696,1.0045756,-0.4652626,-1.4794038,-0.1415892,-1.3651289,-0.7241582,0.2716805,0.0520338,0.5708988
O00410,1.0276952,0.9144415,1.2373189,1.0692326,1.0354211,1.0137951,1.1134707,1.0652023,1.0824458,1.1113147,1.3402488,1.2753231,1.2146753,1.0539538,1.359164,1.1735566
O00422,0.058806134,-0.004752311,-0.034346887,0.070071609,-0.768361006,-0.756857401,-0.543234081,-0.525155666,0.527903122,1.067913368,-0.000643925,0.378356264,-0.066503825,-0.184606642,-0.181210288,-0.503295178
O00423,-0.123043,-0.2500634,-0.388708,-0.5120199,-0.5622729,-0.4225059,-0.196021,-0.6656965,-0.5597777,-0.6343058,-0.4028915,-0.7600556,-0.2152459,-0.8035862,-0.485726,-0.783226
O00425,-0.25397645,-0.37157962,-1.23711541,-0.89940295,-0.54716703,-0.50787399,-1.46021311,-0.28498772,0.3338024,0.96734578,-0.13960373,-0.72547834,-0.22166745,-0.11888836,0.16146086,-0.06706443
O00429,1.555495,1.4567084,1.6127908,1.5956695,1.3906715,1.4019471,1.4250035,1.4480358,1.0597822,0.7580764,1.4143429,1.1285758,0.8262287,1.2362267,0.8687314,1.2536243
O00442,0.1167118,-0.09563111,0.17334176,-0.20901882,-0.09873875,-0.02687137,-0.08626404,0.01102252,0.16107016,0.38443164,-0.51681182,0.12722938,0.0378253,0.13376509,0.01135723,-0.0429906
O00443,-0.89016789,-1.76804077,-1.35064514,-1.58009153,-1.02735339,-1.15470072,-1.24670123,-0.9238875,-0.22938697,-0.38638706,-0.50134501,-0.21914278,-0.09450376,-0.53277603,-0.11310474,-0.35767637
O00451,-0.6964583,-0.4036962,-0.6278711,-0.3563804,-0.1860085,-0.1911623,-0.1649482,-0.1294168,-1.2447559,-2.1327463,-1.3824424,-0.1650067,-0.4935324,-0.4506958,-1.04719,-0.3223879
O00461,-0.897798017,-0.603687956,-1.277858043,-1.150429609,-1.130573961,-0.776274235,-1.17116957,-0.921249661,-0.16465659,-0.003015946,-0.705221779,-0.056455993,0.167615819,0.012368503,0.003292699,-0.029489307
O00468,-0.07156128,0.09994567,0.12637978,-0.04578531,0.38590574,0.33584559,0.52046723,0.31837034,0.6147923,0.54117146,0.05965668,-0.14493335,0.99415005,1.16598987,1.17405791,0.36284294
O00471,0.55263764,0.40448329,0.51389909,0.33852771,0.50980782,0.46454684,0.27692684,0.34808486,0.35288479,0.33292901,0.29150201,0.30929901,0.28768128,0.07959834,0.32842541,0.43028189
O00478,-1.82135775,-0.72327154,-1.33960988,-1.37875462,-0.62127284,-0.48570514,-0.72748373,-0.50302789,-0.59296547,-1.8278139,-0.53849492,-0.52439076,0.07681582,-0.68058273,-0.13171839,0.12148352
O00479,0.12640318,-0.01300941,-0.14011464,-0.14039657,-0.67220358,-0.7581189,-0.72903413,-0.81236586,0.17482892,0.43951005,-0.42693172,0.09968141,-0.18640138,-0.51685425,-0.69158333,-0.3637494
O00483,1.04698263,0.97810202,1.08998327,1.22318555,0.7615117,0.63293109,0.85584245,0.83738827,0.70988588,0.81052761,0.44581894,0.97866999,-0.06675533,0.40438361,0.38662255,0.67106704
O00487,-0.2228872,-0.26887242,0.15207664,0.15924267,0.37551377,0.09340457,0.54088411,0.47211367,0.16806506,0.17576966,0.10234324,0.11092558,0.53830772,0.63061026,0.5227948,0.40559374
O00499,1.9218429,2.0692595,2.2348944,2.0533007,1.6210089,1.6467274,1.809194,1.8058795,1.5187039,0.5400734,1.9504564,1.0595962,0.6124837,1.1379343,0.7862537,1.200744
O00505,0.397155,0.5275557,0.6772427,0.5372926,0.2807327,0.3307064,0.4718407,0.4386509,0.5290906,0.7387223,0.6856385,0.6193398,0.5590675,0.295846,0.6417419,0.3245754
O00519,-0.39157106,-0.62679368,0.03802177,-0.35524411,-0.17334494,-0.09791072,0.02535684,0.10531456,-0.70841164,-1.28416744,-0.90331154,-1.62301044,-0.98223238,-1.8383566,-1.05434484,-0.25077128
O00533,0.9221266,0.9159932,1.0451606,0.8836292,0.9923081,1.0346213,1.0350945,0.9624848,0.2684969,-0.9404534,0.8696549,0.7466426,0.9094715,0.2369801,0.3565942,0.6072479
O00534,-0.55635585,-0.21933186,-0.31330083,-0.84423748,-0.29221412,-0.4033765,-0.37510453,-0.52396545,0.07294242,-0.03639408,-0.15857573,0.91217639,0.78875427,0.04269736,0.06260818,0.05977781
O00541,-0.6928547,-0.8919135,-0.9109032,-0.999463,-1.3442429,-1.7929382,-1.5692371,-1.5690595,-0.5848262,-0.1812241,-1.009636,-0.5675586,-0.5078966,-0.6492506,-0.5172953,-0.9553638
O00560,0.63242079,0.01754588,-0.05684093,0.69303667,0.2407371,0.21313606,0.28944215,0.39040156,-0.19161599,0.03839932,0.49200697,0.8367608,-0.02326906,0.5052228,0.29876818,0.51608258
O00562,-0.352778582,-0.399659749,-0.248293157,-0.226154821,-0.157903953,-0.084324153,-0.173360955,-0.248692673,-1.153213484,-0.994107658,-0.58998444,-1.072318644,-0.749536105,-0.543320712,-0.158182054,-0.009528625
O00567,-0.1290909,0.01005988,-0.07690556,-0.11890973,-0.13625479,-0.11067115,-0.17759226,-0.12360735,0.28512536,0.93619869,0.08446232,0.29579961,0.57400469,0.30903006,0.42163201,0.2530833
O00571,0.5775919,0.3939021,0.6514763,0.542929,0.6676897,0.6594981,0.7477623,0.7341112,0.8306518,0.9023352,0.7461615,0.8888169,0.9683731,0.8558335,0.9908633,0.8394083
O00584,-0.47568931,-0.23283072,-0.50624941,-0.26174434,-0.48027054,-0.52286045,-0.31090318,-0.25376185,0.29336514,-0.21785979,0.30907927,0.47235584,-0.09074231,0.18454199,0.01652253,-0.14287865
O00592,-0.57648303,-0.68901127,-1.3251267,-1.01900704,-0.6138123,-0.59896035,-1.16197762,-1.21296458,-0.23204465,-0.01436531,-0.48197084,-0.42439387,0.31922468,-0.38988198,0.37808125,-0.64399107
O00625,0.12404879,-0.13305825,0.11848578,-0.08183702,-0.27695616,-0.26646781,-0.02889424,-0.0852581,0.23596183,-0.69908216,0.53428373,-0.04207524,-0.4140055,-1.46873487,-0.45324714,-0.32238791
O00629,-0.25975856,-0.323200182,0.292781262,-0.073611272,0.109448627,0.008166175,0.239882398,-0.017195035,-0.04244338,-0.230258316,0.477316195,0.545152811,0.336635816,0.257249043,0.364454971,0.149515128
O00712,-0.9943422,-1.0506714,-1.1376022,-1.2624468,-0.923255,-1.0917645,-1.4520889,-1.4671279,-0.8864786,0.153842,-0.9051487,-0.7887942,-0.3756779,-0.1945598,-0.1989258,-0.3038342
O00743,0.32537587,0.212785,0.01989983,0.28367668,0.46048171,0.03044481,0.10589533,-0.04708606,0.3678217,0.40166071,0.20759141,0.27113132,-0.05531827,0.59243112,0.13464028,-0.06423583
O00754,-0.689086383,-2.511247403,-0.68226224,-0.736982664,-0.897818486,-1.09145941,-1.134207566,-0.810892083,-0.446811127,-0.320408561,-0.594100043,-1.562340836,-0.091650661,-0.003482169,-0.091829013,-0.183486739
O00764,1.375402,1.1826028,1.5530801,1.3337623,1.2174653,1.1708446,1.140459,1.1849619,1.051597,0.3827718,1.4507964,1.2075237,0.6774293,0.8673975,0.8030878,1.1702818
O00767,-0.6996225,-0.5996209,-0.4696339,-0.6213427,-0.5897026,-0.6616285,-0.5306129,-0.6216274,-0.9732504,-1.3215593,-1.2950159,-1.0804502,-1.1771783,-1.2150355,-0.4177347,-0.1976006
O14490,0.08482438,0.07508823,0.06280967,0.14075283,0.29226083,0.38016092,0.18888714,0.25624765,-0.83320438,-0.03839865,-1.54455576,-1.22825004,-3.07251467,-0.30052246,-1.40426841,-0.26747362
O14494,-0.7111918,-1.7634442,-1.0679365,-1.8933276,-0.5817507,-0.4823308,-1.0045187,-0.8197629,-0.9540734,-1.1595439,-0.4654538,-0.6328119,-0.2114288,-0.9316299,-1.0144014,-0.4739707
O14495,-0.28884493,-0.79363475,-0.05349222,-0.38063548,0.1914638,0.24910196,0.13629721,0.23827936,-0.83021069,0.07105743,-0.20234173,-0.49761437,-0.02362051,-0.3078025,-0.06770818,0.20946433
O14497,-1.2876556,-0.9646505,-1.0143705,-1.6049442,-1.7498084,-1.413049,-1.5204699,-0.9756589,-0.2366934,0.4078518,-0.979015,-1.2587336,-0.3569133,-0.2970135,-0.2113783,-1.414385
O14514,-0.5718217,-0.4590059,-0.4162609,-0.5902394,-0.3960754,-0.3660263,-0.6787292,-0.4366457,-0.6807475,-0.4564161,-0.6050487,-0.3779645,-1.4909248,-0.6617159,-0.868785,-0.3888854
O14523,0.08492188,0.02418776,-0.01192099,0.05596516,0.36046157,0.35196695,0.50204536,0.36641018,-0.69637839,-1.2717806,-0.43462506,-0.95064507,-1.13677474,-0.18967044,-1.16800883,-0.0780019
O14525,0.07904952,0.0408953,0.19149503,-0.15999958,0.1412362,0.21951309,0.13491305,0.27229988,-0.47945728,-0.48361797,-0.65708718,-1.23255786,-0.01914232,-0.20512501,-0.50493878,-0.45287309
O14530,0.01652393,-0.21781958,-0.54196213,0.08943729,-0.60592249,-0.87815093,-0.86009243,-0.55767531,-0.07917157,-0.12832373,-0.40102192,-0.40534001,-0.38655583,-0.79822474,-0.46733763,-1.29397744
O14531,1.4374184,1.4615269,1.5601063,1.4846076,1.363103,1.3398383,1.4801566,1.4216446,1.0484426,1.1514985,1.4822471,1.1237959,0.6511299,1.0441578,0.6141067,0.9964303
O14545,-0.354938367,-0.183915028,-0.387674689,-0.148545365,-0.726864465,-0.768511467,-0.770418915,-0.82340254,-0.124438969,-0.056830393,0.003998211,-0.410061608,-0.22804267,-0.461246855,-0.231616933,-0.387412188
O14548,0.7205425,0.55851916,0.77430226,0.60592411,0.32990427,0.38369225,0.4164447,0.52182312,0.06231702,-0.20178914,0.3937078,0.02337908,-0.43249737,0.10662423,0.01801827,0.21987018
