proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
Q9Y3E5,-0.27057037,-0.18110667,-0.27165484,0.13129661,-0.221986,-0.32250343,-0.53154537,-0.33435944,-0.28685094,-0.3522035,-0.27458053,-0.09624264,-0.56908466,-0.4929078,-0.37478786,-0.41184318,-0.36141869,-0.26357656,-0.36595705,-0.26196542,-0.39781969,-0.3881627,-0.25771062,-0.42273476,-0.42137186,-1.0099446,-1.12748209,-0.62180743,-0.64003409,-0.59148843,-0.38861074,-0.40998902,-0.61567664,-0.82305545,-0.54927816,-0.7493282,-0.47832046,-0.75801868,-1.08911188,-0.60171378,-0.65589708,-0.62609819,-0.59197743,-0.90376267,-0.41463063,-0.41940625,-0.57179112,-0.77720313
Q9Y3E7,-0.436615917,-0.104595792,-0.273063379,-0.56474835,-0.720069364,-0.641650345,0.059904003,-0.044947193,0.051781817,-0.217620739,-0.577380836,0.065948019,-0.249468004,-0.37150567,-0.370275905,0.182588767,0.130215237,0.095292002,-0.573811565,-0.495967458,-0.541362898,-0.353065666,-0.380034875,-0.377756497,-0.532614752,-0.128063949,-0.216323986,-0.445840384,-1.602344739,-0.846338144,-0.825264101,0.08218036,-0.007272248,0.017246019,-0.405782598,-0.249305216,-0.4586149,-0.390112792,-0.47352955,-0.419088903,-0.533926789,-0.493142254,-0.354213008,-0.370377223,-0.942294912,-0.304430064,-0.419487612,-0.242598098
Q9Y3F4,0.9234033,0.9929438,1.1011393,0.9412689,0.9966884,0.9171997,1.2314434,1.1338826,1.141921,1.1438457,1.191818,1.1315619,0.6282622,0.6523571,0.6606871,1.030043,0.9863972,0.9622715,0.8720914,0.952568,0.808315,0.81713,0.7641583,0.7750324,1.1867872,1.2032132,1.1495724,1.1688046,1.0140466,1.1030207,1.0798647,1.0990653,1.1548364,1.2089309,1.1218045,1.2032602,0.8781063,0.8451484,0.9330963,0.8913296,0.8783121,0.8143747,0.9179982,0.8892053,0.9131634,0.9547714,0.7859601,0.9149036
Q9Y3I0,1.2126103,1.1555226,1.1888892,1.4683583,1.5801073,1.554321,1.3128265,1.2423046,1.2400667,1.0100773,1.1263421,1.1561436,1.0998931,1.1210596,1.1286708,0.9344305,0.9133041,0.9172811,1.0759998,0.9954867,1.0787427,0.9903192,0.9946711,1.0112173,1.2383391,1.1744496,1.1135207,1.1743161,1.1260113,1.1259952,1.2468343,1.2999358,1.1612109,1.2103483,1.1601164,1.0468923,1.0078934,1.0348409,1.0621474,0.9759665,0.9908883,1.064014,1.0794142,1.2470736,1.1648288,1.0736303,1.0205953,1.1039461
Q9Y3I1,-0.597109887,-0.769493312,-0.579003008,-0.014574595,-0.604606291,0.117475587,-0.348096212,-0.291110485,-0.832922742,0.196601953,-0.006298452,0.120392039,-0.29714147,-0.285587131,-0.289027351,0.039305158,-0.093445695,-0.04677931,-0.505678784,-0.776971664,-0.786934647,-0.181103478,-0.226281348,-0.301317156,-0.776640143,-0.415918759,-0.373128574,-0.289602646,-0.201711229,-0.6915352,-0.80848842,-1.297868275,-0.670922697,-0.265206731,-0.310885102,-0.065068148,-0.401211143,-0.505807105,-0.519358805,-0.192313153,-0.07878627,-0.24152554,-0.476202268,-0.359432906,-0.239820582,-0.203031124,-0.239337983,-0.137285672
Q9Y3P9,0.6886152,0.6221367,0.659235,0.4688817,0.2609937,0.5391581,0.4898878,0.4385373,0.4792191,0.7728013,0.6506849,0.8151282,0.2030303,0.2231388,0.3613258,0.4203825,0.42893,0.4702328,0.3645538,0.421438,0.3886511,0.2398442,0.5168937,0.4920667,0.5387906,0.6534192,0.5943744,0.740007,0.7371391,0.7295325,0.6173421,0.6093895,0.5564374,0.4279641,0.5242857,0.7288176,0.4605886,0.4283346,0.4466329,0.4741634,0.4432195,0.4401059,0.4526222,0.4230239,0.4687041,0.463214,0.4698006,0.4284257
Q9Y3Q8,-0.73030976,-1.38144406,-1.34558258,-1.98274746,-1.85871403,-1.77102925,-0.27201957,-0.4822458,-0.51574777,-0.52129085,-0.3312239,-0.3930836,-0.30772516,-0.13101151,-0.33162788,-0.3963554,-0.36536509,-0.44200585,0.01488956,0.03524404,0.08688285,-0.01969206,-0.18263394,-0.15877978,-1.34925169,-2.17026461,-1.10559054,-0.86160473,-0.83202132,-0.86892603,-0.11731366,-0.57845517,-0.80976846,-0.74070812,-0.83786971,-0.82284578,-0.49136837,-0.61128615,-0.69527067,-0.6036005,-0.5384644,-0.66930487,-0.27803956,-0.50817779,-0.45613729,-0.28062628,-0.29282073,-0.21542709
Q9Y3S1,1.92E-01,1.88E-01,1.11E-01,-4.59E-01,-5.91E-01,-5.76E-01,1.25E-01,5.06E-02,2.10E-01,2.02E-01,3.17E-01,3.04E-01,-5.97E-01,-4.55E-01,-7.69E-01,-2.53E-01,-4.73E-01,-9.25E-01,-4.85E-01,-1.09E+00,-1.17E+00,5.22E-02,1.11E-01,2.21E-01,6.54E-01,5.89E-01,6.52E-01,5.70E-01,6.15E-01,7.00E-01,5.01E-01,5.89E-01,5.77E-01,5.08E-01,4.75E-01,5.99E-01,6.93E-02,2.12E-01,6.68E-05,1.73E-01,2.23E-01,6.21E-02,2.13E-01,3.25E-01,3.51E-01,2.27E-01,1.84E-02,3.18E-01
Q9Y3U8,-0.153991459,0.034041162,-0.052809391,0.574742007,0.670521132,0.659185445,0.139083657,-0.911619025,0.045116809,-0.107630732,-0.000192712,-0.758985759,0.142999568,0.442671084,0.398131319,0.561863115,0.492986499,0.509194011,0.513845982,0.593426662,0.567880553,0.136474,-0.17506984,-0.203263166,-0.532088653,-0.838966419,-0.906578314,-0.07659247,-0.2531656,-0.629868851,-0.408607117,-0.39546811,-0.631154389,-0.31752619,-0.581714266,-0.701196406,-0.101549669,-0.084376987,-0.021977705,-0.633884269,-0.056856717,-0.705212774,-0.673934541,0.029197025,-0.152205663,-0.286055938,-0.434268554,-0.301526107
Q9Y3Z3,0.810688335,0.802074029,0.907204712,0.93652077,0.906384954,0.972479988,0.829468838,0.841384084,0.917000818,0.88789542,0.98137264,1.006753782,1.036119076,0.991626481,1.001809294,0.750590769,0.74591917,0.755320389,0.679577664,0.746382149,0.764448173,0.311788374,0.319690904,0.411671981,0.000190605,-0.097988519,-0.007261315,0.136024185,0.196424022,0.116906022,-0.237639926,-0.455911188,-0.258135354,0.100581795,-0.157430499,0.234596877,-0.116862317,-0.062153201,-0.162687833,-0.083709109,-0.15772855,-0.024833562,0.072929808,-0.080855551,0.003965041,0.002369655,-0.035971738,0.058599922
