proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
Q99715,11768000,3002300,5858700,3395400,3517700,0,21317000,0,11159000,131000,13698000,2435800,53574000,6743400,16985000,4377400
Q99719,73980000,153000000,42272000,73819000,71193000,102310000,54144000,128630000,58642000,180260000,70754000,135230000,56702000,177600000,88558000,165660000
Q99720,170410,764960,185070,0,477040,0,110540,1656300,443570,1584900,346350,1119100,640890,1654800,666850,0
Q99726,5878700,6415900,3020500,2272300,7847500,4274500,3969400,5627300,6921700,17127000,3353200,11089000,1927500,10059000,5084200,15401000
Q99729,881340,158780,569510,924120,559280,1129300,922970,327810,211120,779190,122990,320870,1354400,934720,653870,1232000
Q99733,18008000,40021000,14506000,29878000,14578000,25232000,9215900,24917000,15909000,28458000,16838000,24897000,28543000,38260000,32093000,29229000
Q99747,24358000,64531000,17469000,43239000,27256000,37556000,20904000,42601000,28924000,37172000,25679000,40155000,28732000,42632000,41660000,43833000
Q99757,2377500,4150500,1231400,500860,1407800,2827100,2559400,2601700,2572100,0,2328700,1065000,3433700,1986700,2823700,0
Q99766,480310,1457500,705420,1342100,1291300,2098100,762330,2384400,1335500,2807000,1249900,2378900,1854200,1267400,1463100,1775100
Q99767,137310,777840,401780,0,63739,222590,57498,543930,29435,852330,8379,390960,0,1088400,0,1156100
Q99784,1719500,9005100,455030,692380,1292900,1443300,973250,3243100,3127700,3066200,904000,3000300,824770,3169200,1462400,3898500
Q99798,438120000,824410000,229930000,351500000,357230000,436800000,264390000,599500000,508420000,689830000,377700000,666290000,525290000,780060000,562460000,701660000
Q99805,14417000,12389000,10446000,1975600,15131000,10623000,12224000,11261000,18497000,12954000,16041000,9540900,26743000,15335000,24194000,12993000
Q99807,0,1436200,473580,178800,911360,0,942740,1380800,200100,638060,768720,0,1290100,580450,1311200,0
Q99808,151840,0,89900,450730,0,0,0,0,96340,0,137390,0,156720,0,320650,213350
Q99816,2026000,3298300,1549700,2139100,2256400,2112900,1774500,921650,1412200,2598000,1837100,1573400,2588800,1465200,3486500,2350800
Q99828,0,353990,0,165200,0,0,0,0,0,0,0,0,0,0,0,0
Q99829,1928000,6952500,1149500,3662800,1706500,3546400,0,3052900,930300,2871900,5982900,1856000,4561900,2750000,2163200,1216400
Q99832,45698000,68259000,32783000,36917000,41665000,51616000,29211000,60739000,51193000,57954000,39344000,64237000,53207000,71695000,56963000,71254000
Q99873,1519400,2177200,1676000,339960,1173100,1565600,1151500,2501800,699420,2078500,1149700,1985300,1656100,3571500,1396300,2533000
Q99880,171400000,480200000,186100000,292380000,209800000,379090000,174490000,33339000,95970000,134790000,302180000,181050000,418770000,210360000,313820000,181230000
Q99884,3238100,2318200,1445800,858250,5131900,1846400,1147700,7068200,2076200,6514000,3269200,4337200,3233300,6732700,5354900,5894400
Q99943,1522300,1639400,1007800,836820,1691200,1155400,1620500,1519600,2475300,1995800,1258700,2012600,2013500,1496100,1734200,2369400
Q99946,390920,1018200,262200,1031900,644430,1093400,340410,1181800,707960,1663200,171870,1062600,683220,885570,848710,1488500
Q99959,701790,0,1098700,0,781230,0,2535800,0,654130,543780,1328500,31995,5945800,1485600,1057800,648620
Q99961,7919900,18903000,6045400,6365000,9683400,8604300,6664100,10279000,15912000,15583000,7402700,14298000,10282000,13980000,13220000,14944000
Q99962,146950000,269260000,69563000,105250000,148890000,125930000,99161000,211030000,176060000,243440000,118860000,208760000,131020000,258930000,184000000,217510000
Q99963,20042000,33647000,11660000,9852600,21663000,15810000,14196000,15891000,22140000,22523000,16134000,18799000,18281000,28221000,23390000,27459000
Q9BPU6,50760000,98509000,40009000,88703000,77571000,135240000,40291000,63415000,47786000,117240000,46448000,68740000,54918000,78691000,82452000,104870000
Q9BPW8,27726000,38055000,13439000,24313000,27882000,32514000,25385000,38987000,32391000,20467000,28493000,29709000,33377000,41232000,45487000,47173000
Q9BPX5,12900000,24695000,7118200,9768900,17279000,5085600,10962000,8892400,15303000,12509000,7733200,12470000,20538000,15413000,19024000,14200000
Q9BPY8,1311800,1121000,572040,624170,1713300,2138200,1558700,1885100,721820,1949200,879840,1016100,1729800,1225500,1969800,3036300
Q9BQ69,1971900,1089000,2990600,472710,2270200,2498600,2498900,4874700,623730,4363400,2447900,2500900,3103900,2994500,2822600,4434900
Q9BQ70,177830,175600,120580,208570,128720,158100,113620,449830,43627,0,76777,0,117500,349280,116210,132170
Q9BQA1,11005,0,56193,0,455480,28297,589090,32458,1956600,50587,1163400,871110,2226500,390530,1973200,780590
Q9BQE5,2862400,9101900,2068300,8212300,3773200,4866900,3587300,10048000,8335000,6989000,3762400,6549600,11563000,5917400,25004000,4455700
Q9BQI0,1117900,1706800,1267100,3737700,925680,4493600,755650,1254300,1064600,1780600,1128800,1240600,1408300,1174700,2094300,434380
Q9BQI5,12008000,16990000,7537300,14205000,16014000,10888000,10782000,19290000,27872000,27680000,13556000,25842000,18811000,23198000,22209000,27587000
Q9BQI7,112960,1976800,129710,389950,110350,119900,229020,112430,293340,163150,220490,0,443470,157240,290240,0
Q9BQI9,321860,318680,249000,759160,190150,88716,117580,0,72928,0,195020,0,457430,0,924290,0
Q9BQT9,339680,303780,275140,0,743700,786460,719660,698970,542890,799750,305870,352250,322430,330750,752410,241060
Q9BR01,12536000,8604100,6613900,8321300,10654000,7360200,5058100,9458900,4948500,14886000,10189000,11602000,16871000,10616000,19731000,13433000
Q9BR76,4504100,6124200,3016200,2481500,3475500,8543700,2711100,4509900,6654300,6898700,4585600,5026800,6928100,5052700,6192800,5634000
Q9BRA2,1363300,4290400,1152300,2504000,948000,3743900,619430,2876800,278800,3745100,2179300,2060000,2258800,2802500,2858900,2888000
Q9BRF8,3697200,12381000,5021000,12059000,3012800,21494000,2960900,7233400,6108500,13498000,5817100,7105000,3045600,6550800,9253800,9046100
Q9BRG1,65725,20275,47317,14968,54904,61098,78880,56387,80422,3026100,59553,60983,103230,72055,66759,94517
Q9BRG2,2614200,3233200,1890200,593960,2686600,5974600,2865800,3116400,4614400,3656900,3491900,4010400,2531600,3957800,4891200,8211000
Q9BRK0,750640,0,520190,0,1279100,733970,1071000,553450,1219900,850470,0,892410,1141900,1291400,2553700,1911100
Q9BRP8,500740,206420,225770,445100,340900,397190,493540,286020,837180,402030,159290,217040,345920,403500,639020,398510
Q9BRQ6,5196200,11101000,2914300,8453800,7388000,5408900,4122900,4156600,2238600,13060000,1148800,12842000,2428600,11602000,5255200,10727000
Q9BRT2,956330,845360,917930,106810,1636700,452810,1619200,1130800,1618100,1048800,1650700,1027200,2652100,615480,2160900,619640
Q9BRT3,1860500,2971100,1077400,1868000,1339200,4320200,258170,771790,113490,487060,2303400,3134000,1104700,3334800,2694400,2307900
Q9BRX2,125840,557310,68300,608760,83822,589400,28369,418820,154190,412300,715050,434350,697080,0,528830,420180
