proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Control,Control,Control,Control,Control,Control
Q8IW50,-0.6097092,-0.6307686,-0.6127503,1.3896058,-0.5532344,-0.5413889,-0.5545866,-0.6808126,-0.6486804,-0.5658754,-0.6179558,-0.3767157,-0.702422,-0.5981261,-0.4546724,-0.6930242,-0.8190145,-0.7926536,-0.6470915,-0.6503979,-0.7293837,-0.6375061,-0.765449,-0.5350877,-0.586002,-0.4767425,-0.6724105,-0.6135847,-0.6258887,-0.8060622,-0.5588345,-0.7420761,-0.6516686,-0.5663425,-0.7156728,-0.635968,-0.5421271,-0.6407589,-0.7117105,-0.3960042,-0.6323176,-0.8884824,-0.9286299,-0.6175894,-0.5769301,-0.7390202,-0.5540826,-0.5736842,-0.6441572,-0.7931603,-0.3934366,-0.5294877,-0.6205781,-0.3459148,-0.4996028,-0.5625499,-0.6642677,-0.607431
Q8IWA5,-0.055598486,0.357876393,-0.04525116,1.032455756,0.627992824,0.765215123,0.898942666,0.737839478,-0.328138423,0.7444368,0.792795068,0.833021979,0.080684174,0.686981336,1.010718659,0.555535827,0.59479261,0.831705181,-0.127258064,-0.316141579,0.333805826,0.685206465,0.711364584,0.928578645,0.757171698,0.648519336,-0.093051293,0.687554752,-0.018034557,0.62260625,-0.019385327,0.356329517,0.109192702,-0.083220317,-0.051891553,0.348449989,0.749126388,0.005647877,0.76015325,0.706781267,0.699462721,0.834022336,0.65445901,0.822310286,0.746078034,0.489734254,0.543057879,0.958215583,0.128646539,0.579592649,-0.07879449,0.781805429,0.643533368,0.643792899,1.003455746,0.754706528,0.802314514,0.034392331
Q8IWB7,-0.286055491,-0.393465368,-0.383670933,-0.704760247,0.143480532,0.101178105,0.039354493,-0.499589489,-0.112061357,-0.037663994,-0.152455598,-0.014657089,-0.243109311,0.272004836,0.426429081,-0.294846295,0.026740854,-0.345035715,-0.355109285,-0.095579893,-0.383288849,0.340536964,-0.15890907,-0.147558309,-0.115316195,-0.439493025,-0.033095356,0.073321483,-0.209555752,0.230886716,-0.265584122,0.004530076,-0.141031684,-0.217375803,-0.169214298,0.23889025,-1.264709872,0.31504518,-0.070439752,0.088473755,0.199244185,-0.047009978,-0.121334694,0.209571844,0.120567175,-0.909165333,0.085518806,-0.12228122,0.015101024,0.21634825,0.185204447,-0.204467163,-0.575364842,-0.056639114,-0.255064557,0.119301592,-0.705312952,0.143014047
Q8IWB9,-0.554910617,-0.486071195,-0.7839159,-0.249516181,-0.517268688,-0.562355264,-0.502707446,-0.566005442,-0.658106031,-0.492737601,-0.708928557,-0.472390498,-0.611040683,-0.502671001,-0.385382304,-0.792832058,-0.728990506,-0.579823649,-0.520382876,-1.302680821,-0.494117796,-0.223572973,-0.009869354,-0.565717766,-0.590192442,-0.640635781,-1.367541202,-0.664812295,-0.709685778,-0.756438944,-0.483285636,-0.761093926,-0.794594048,-0.628188202,-0.616902668,-1.007844246,-0.64278735,-0.948923021,-0.676861928,-0.626420673,-0.676596775,-0.663802943,-0.460535525,-0.683423933,-0.518331888,-0.481228928,-1.347388095,-0.494834117,-0.33243443,-0.656534215,-0.605828188,-0.103601353,-1.201610147,-0.584690785,-1.304812975,-0.651976669,-0.012159777,-1.115789901
Q8IWE4,-0.72094776,-1.14438568,-1.07501607,1.38960585,-0.51562153,-0.68101721,-0.48891914,-0.52624549,-1.00086289,-0.71295699,-0.5808882,-0.7554532,-0.92054658,-0.62699158,-0.43607154,-0.69014712,-0.74564282,-0.57572288,-1.02706929,-0.87857704,-1.11377889,-0.54387299,-1.00517361,-0.2327446,-0.99574106,-0.66090176,-0.93263788,-0.59710068,-1.06180643,-0.74046136,-0.98642936,-0.78503558,-1.05273868,-0.96372863,-0.64651072,-0.63093881,-1.02501954,-0.53609795,0.28723994,-1.00798518,-0.15843011,0.61148493,-0.91350409,-0.9567818,-0.1023508,0.02160645,-0.10634431,-0.86143409,-0.94121476,-0.9565555,-0.68158482,0.06022119,-0.85145188,-0.52737383,-1.4802434,-0.955596,0.19760622,-0.85701825
Q8IWQ3,-0.05933326,0.75874661,-0.01478309,0.31730355,-0.12717535,-0.05593858,-0.07530315,-0.16186871,0.25489501,-0.60719216,-0.03813201,0.81422835,0.1316991,-0.10116623,-0.55733951,0.82696006,0.48175033,-0.2865653,0.11990455,0.1844771,0.12197344,-0.09755579,0.56596726,-0.38862703,0.17105029,-0.18677243,0.12449326,0.09159452,0.11387652,0.51689671,0.05294415,0.4838378,0.13966079,0.14444653,0.094678,0.63311122,0.21620565,-0.20753359,0.70874574,0.55854005,-0.14170312,-0.12631042,-0.14963671,0.63530643,-0.06989742,-0.019128,-0.13529719,-0.63452144,-0.21458149,0.5389049,-0.83082533,-0.47775195,-0.05976891,0.24228862,-0.27005302,-0.0602064,-0.22688578,-0.35072549
Q8IWR0,-1.0865468,-0.9081046,-0.9136355,-0.8239066,-1.046315,-0.9872912,-1.0255607,-1.0172529,-1.1784815,-0.9386917,-0.9878929,-1.5698377,-1.1788571,-1.1326354,-0.8106027,-0.9914518,-1.0115196,-0.6770915,-1.1214862,-1.1970978,-0.9646355,-1.0430707,-1.3432543,-1.7285761,-0.9881429,-1.0968637,-1.1140112,-0.7884503,-1.0545552,-1.0346766,-1.0455702,-1.1310649,-1.0768241,-1.2561535,-1.168207,-0.888903,-0.9650039,-0.8540079,-0.9511955,-1.1127955,-0.9750479,-0.9377498,-1.025169,-1.1445441,-1.1230267,-1.0756229,-1.0637529,-1.8558938,-0.9809812,-1.0753397,-1.2360034,-1.1777867,-0.9763991,-1.1045954,-0.9109883,-0.9526356,-1.1791519,-1.1413464
Q8IWT6,0.4360106,0.4138563,0.2700511,0.2202417,0.3539901,0.1559863,0.2314085,0.2527005,0.472006,0.1972048,0.3266334,0.269007,0.3429147,0.2095763,0.2021468,0.2779188,0.168101,0.1959974,0.3136705,0.3296615,0.1643271,0.1232347,0.1503647,0.3218823,0.3586931,0.4994297,0.4077031,0.6618384,0.374967,0.2574914,0.2877576,0.1312098,0.2346881,0.3227488,0.3056722,0.2664318,0.3344756,0.1012743,0.5095902,0.3439468,0.3817974,0.2469205,0.311327,0.4090813,0.3775897,0.385792,0.4857687,0.5165843,0.3598521,0.2488199,0.3352316,0.5490902,0.3660581,0.3957631,0.429405,0.2755517,0.328368,0.4058519
Q8IWV7,-0.40040446,-0.74270705,-0.33031355,-0.35643404,-0.13613445,-0.08992058,0.11574284,-0.17621011,-0.38418438,-0.09093299,-0.17574173,0.01188389,-0.43426206,-0.19113449,0.1695908,-0.06104744,-0.33289856,-0.21968051,-0.41506121,-0.51131395,-0.51099176,-0.19927895,-0.39284734,-0.6989865,-0.57451757,-0.42229442,-0.4344782,-0.22962565,-0.52149733,-0.17283328,-0.38265085,-0.68431443,-0.58535848,-0.38743906,-0.5454001,-0.47561155,-0.32753381,-0.37162607,-0.6720254,-0.87034266,-0.60442576,-0.60731672,-0.45030235,-0.33016449,-0.21257172,-0.40432665,-0.32421573,-0.58074084,-0.42171536,-0.78352825,-0.56929933,0.02175019,-0.60305476,-0.72876611,-0.35260002,-0.26702709,-0.42966014,-0.47468516
Q8IWW8,-0.46882913,-0.61963996,-0.91339084,-0.08799887,-0.59417337,-1.04042323,-0.69320236,-0.81871711,-0.71975719,-0.8870217,-0.67083687,-0.56971419,-0.69207474,-0.65253843,-0.65999114,-0.92127742,-0.81676096,-0.79805317,-0.94446124,-0.52146862,-0.9092101,-0.76531788,-0.92526736,-0.54977998,-1.03619572,-0.45684978,-0.35006714,-0.79681142,-0.86811377,-0.77576355,-0.85051332,-0.95137025,-0.82002876,-0.41469994,-0.50112589,-0.35502259,-0.59682159,-1.02031671,-0.84655261,-0.81016339,-0.73202733,-0.82338992,-1.32678057,-1.29079369,-0.93654113,-0.82043159,-0.71204149,-0.7902458,-1.1645119,-1.00929173,-0.67196006,-0.60223682,-0.83510225,-0.83403034,-1.34934481,-0.76540943,-0.82355859,-1.05991862
