proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
Q9H4M9,123120000,19019000,85874000,21287000,86079000,158970000,103520000,175730000,128080000,7058900,80007000,15049000,47482000,18072000,139790000,1936500,133540000,109350000,37484000,117960000,83299000,185420000
Q9H553,196440000,9481600,53586000,3196700,45722000,67337000,79999000,35014000,53066000,3678200,71595000,,26570000,,119370000,45032000,68776000,27203000,7678300,30122000,80465000,186250000
Q9H598,6298500,30277000,9118700,9164500,,62025000,,65910000,91262000,14124000,19727000,18157000,33952000,14547000,27786000,10127000,23626000,16477000,,62254000,51349000,46772000
Q9H5K3,,,,,,,,,,5576600,,4372400,,5976700,,20927000,,3149500,,12563000,,
Q9H6K4,10357000,17139000,,1280200,,4799000,5308900,9540600,31182000,17750000,10255000,1594500,,,14604000,4309600,3080000,7991900,,7864800,,4378400
Q9H6L2,77107000,3627400,10663000,,12765000,16800000,26911000,4966100,2733700,,14858000,6288800,1365500,,1885400,16340000,,7329100,2807200,33818000,4133900,51831000
Q9H6R3,5878400,2011900,,,,9899400,6191500,4635500,9289500,3257700,4291900,,2841300,,18489000,,2243100,,,,,17427000
Q9H6R6,1881700,,,,,,,,,,,,,,,9687100,,1356300,,7300800,,1725600
Q9H6U8,16441000,,,,,,,,6715000,,,,,,,,,,,,,
Q9H6V9,3907600,,,,5989200,,,,11213000,,,,,,,,5388900,,,,,7004800
Q9H6X2,,,,,,7815500,12187000,6194300,4280100,,,9729600,6768700,,,7721300,,18044000,,66785000,,3359300
Q9H7B4,4512500,,20632000,,7737500,,,,7194600,,,,,,,,,,,,4591100,8644600
Q9H7D7,35042000,7160000,62557000,25007000,32005000,55356000,26682000,16395000,16211000,14305000,11766000,27133000,26568000,41792000,36008000,18792000,47577000,35861000,24554000,44401000,45770000,33295000
Q9H7Z7,12681000,46037000,2126400,6499500,,15600000,14962000,46614000,56983000,22996000,12211000,,4907100,6604600,15380000,34166000,24141000,25821000,,31437000,7945600,43503000
Q9H813,2923200,19511000,3745100,8393000,,12626000,16257000,12670000,,5178900,2634500,,4109500,7116300,5153100,123010000,6342700,5025400,,322340000,1527500,
Q9H845,20808000,93508000,5736400,7352600,1126100,19244000,12522000,29421000,64706000,77364000,33553000,25088000,27631000,50254000,44439000,314970000,8264300,67836000,1790600,24772000,3968100,22756000
Q9H8H3,932000000,450070000,490770000,90705000,180360000,647190000,1041000000,486830000,1344500000,233420000,833610000,106220000,288310000,146530000,900720000,164810000,211810000,780810000,109500000,659660000,582240000,1248500000
Q9H8M1,,7259600,,,,,,5903000,,,,,,,,4487400,,12658000,,7902000,,
