proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
A0A075B6H9,7626400,6790000,43523000,,5629400,10038000,10447000,,5009900,7777900,,13883000,2920600,172990000,,4048700,4261600,45978000,9807700,22526000,37299000,
A0A075B6I0,,21376000,,2468100,39287000,28751000,43872000,,,17698000,,37552000,7324200,219410000,,39269000,,339150000,32814000,96905000,68264000,
A0A075B6I1,,,8186400,,,,,,,,,,,8924500,,,,7195000,,,,
A0A075B6I4,,,,,,,,461580,,,,1737400,,34892000,,290370,,295630,,,,
A0A075B6J9,,,7274400,,,,,10732000,,,,3815300,8874200,10497000,,,,16582000,3501300,13484000,4337700,
A0A075B6K4,46040000,14227000,40263000,,17491000,14894000,11384000,,11857000,3206200,2409700,,12022000,78674000,6280600,14625000,10274000,35029000,22189000,20405000,9944800,13522000
A0A075B6K5,37940000,28389000,29370000,6628700,35008000,48862000,33090000,,37578000,4698800,18804000,13515000,19742000,34286000,52652000,,43913000,,21294000,,17726000,24996000
A0A0A0MS15,8276900,12399000,4215800,,10178000,1166800,7284800,,2738100,,1340100,,6604800,38515000,8368300,7113000,6658900,36468000,26912000,7226900,,
A0A0A0MT36,,,,,,,,,,,,,,16887000,,,,6201000,7090600,,,
A0A0B4J1U7,73800000,12482000,,,38855000,13825000,8866700,1195900,12769000,9988300,,3459400,36072000,,58545000,33618000,5197900,63736000,18449000,12410000,39175000,
A0A0B4J1V0,100700000,65990000,64563000,,69531000,46642000,66712000,,45718000,111350000,28109000,20126000,58212000,312610000,135450000,55691000,37712000,288700000,44178000,109880000,63449000,19625000
A0A0B4J1X5,203210000,105080000,106270000,5939300,158770000,65827000,79628000,8024900,90855000,83433000,51055000,37307000,91456000,276630000,366080000,78399000,98026000,320490000,129550000,203300000,119020000,52909000
A0A0B4J1Y8,,2625600,,,,,,,,,,,,18408000,,7098800,,,2053100,,,
A0A0B4J1Y9,18985000,7241300,,,10847000,3638200,4471500,,3993000,,,,21574000,49972000,35848000,1828700,8640200,133510000,9916700,15546000,17668000,
A0A0C4DH24,,,,,,,,,,,,,,14288000,,3642700,,9647100,5961500,,,3509600
A0A0C4DH25,25140000,22651000,14373000,11794000,21896000,16004000,13079000,1681000,9942900,23400000,4807900,15317000,18021000,39598000,38732000,35956000,15963000,44792000,24595000,60181000,14352000,9168000
A0A0C4DH35,14138000,,5846600,,12231000,,,,7884500,5276300,2996700,,23279000,34282000,26161000,,,42680000,1748500,3218400,8661300,
A0A0C4DH36,6261700,,,,,,5922300,,6167300,,,,10856000,9226800,,9393700,,42103000,,,,
A0A0C4DH38,45174000,6423700,42999000,7888300,42497000,48935000,46729000,,95098000,,29068000,8202200,,144000000,8080500,3093400,29383000,167480000,65904000,52563000,79685000,
A0A0C4DH55,,,,,,,6256300,,,3751300,,,3100000,9414100,,,,12219000,2902700,6114000,,
A0A0C4DH67,32763000,19977000,42958000,,29311000,15206000,24489000,,14717000,16772000,7984200,4818500,10956000,25544000,39840000,32511000,19895000,103800000,18310000,30026000,21396000,7274600
A0A0C4DH68,126720000,113740000,39666000,6848900,59091000,74626000,75735000,,58243000,67769000,25604000,42822000,82298000,106650000,178340000,42947000,69774000,443550000,84416000,125710000,81466000,39507000
A0A0C4DH72,48814000,6816800,92010000,,61890000,112070000,44719000,,34273000,12767000,22115000,3152100,34260000,73494000,103240000,161320000,59416000,47097000,45956000,48671000,45702000,12008000
A0A0G2JS06,,,,,2555500,,2190600,,,,849840,,,6345200,,2064800,,12204000,,,655830,
A0A0J9YX35,5322300,3170900,,,3829800,,,,,2191700,,,5801200,,12571000,,,21279000,,,,
A0AVF1,3832100,,7559100,,14753000,4962400,,,,,,,2453600,,,,1384600,,1615900,2194300,,8097200
A0AVT1,5906200,,1842100,,2402000,20474000,,,20820000,,701740,10139000,,5963800,2350500,,4748100,,,,2538600,
A0FGR8,182390000,48515000,72793000,50645000,95407000,131960000,103680000,107950000,132820000,14934000,117820000,19092000,56681000,42904000,177760000,64536000,96724000,37701000,15536000,148880000,132120000,197980000
A0MZ66,,,2230300,,,3402600,,6170700,4580700,1945200,1121600,,,,6295700,,4189300,2090200,,,2345700,1805800
A1L0T0,314830000,205190000,140940000,92969000,69671000,135000000,199300000,114170000,131640000,119000000,170220000,119230000,72829000,112220000,298600000,326650000,116510000,142170000,43525000,251980000,185300000,462550000
A2A3N6,,,,,1408700,,,16962000,17142000,,2174000,,,,9491600,,5519500,,3490600,,,
A2NJV5,213790000,154630000,140410000,35390000,118100000,103510000,108870000,,90311000,188680000,64631000,36541000,259570000,393940000,342810000,163120000,191690000,815980000,272460000,287460000,173920000,76837000
A2RRP1,75392000,9620900,62396000,,54033000,55792000,38842000,23038000,32893000,1379400,14618000,13293000,17220000,5630500,17187000,10975000,54059000,13966000,,37769000,49197000,72622000
A2RTX5,,3653700,11394000,8330700,39908000,20654000,16725000,15168000,,3117100,,,17219000,3571200,,5101500,11372000,4748300,1225800,13583000,31386000,37489000
A2RU67,14329000,103290000,,14420000,,14049000,7600500,15894000,16023000,38148000,15283000,15908000,7178900,11717000,14825000,44794000,,29097000,,91381000,,7388400
A4D1P6,71735000,5511700,83543000,11904000,62543000,61178000,47923000,28446000,15505000,3157700,12306000,4072400,11615000,7457900,24976000,4948800,24552000,20705000,20266000,34513000,54085000,46143000
A5D8V6,,,,,4117400,,2565900,,,,,,,,,7938400,,,2709700,,,
A5YKK6,26165000,,36381000,2614700,31236000,26678000,17345000,6378400,6376300,,1118400,2217700,6836200,3068600,11752000,,31614000,4306200,3022000,22526000,12046000,29393000
A5YM72,10194000,35378000,3457200,53016000,,5498600,6993600,5935800,14909000,9986400,12281000,3489000,14622000,51576000,61243000,6696600,3770700,9213000,,2714100,28269000,4686100
A6NCS6,,,,5582600,,3443100,7005200,,,,,,,2833400,,,,,6362900,4978200,,
A6NDY2,48603000,,12310000,,3046300,,60619000,54378000,134800000,,136820000,12515000,63786000,,225410000,7835400,25343000,16334000,30980000,3244800,22901000,157760000
A6NE02,99194000,348560000,76166000,10346000,,20799000,7692700,18925000,,165330000,33356000,134220000,115690000,947810000,45818000,314860000,22565000,1759500000,11603000,2178400000,38820000,17010000
A6NHQ2,65353000,1080200,2189700,,,,,,,,4662400,2960300,,,,,,5012100,,158300000,,
A6NHR9,12808000,,16631000,,10214000,6823100,,,,,,,,,,,,,941800,3056900,8022300,5667700
A6NNL5,,4259900,,,,,,,,6187900,,,,,,33751000,,1374100,,2628600,,
A6XGL0,,,,,,,,,42444000,,,,,,,,,,,,,
A6ZKI3,11857000,,,,,,,,15931000,,2786100,,,,7842900,,16622000,,,,,
A8MVU1,4404200,,2424600,,7288900,22019000,5392200,4958100,4359400,,,,,,2874900,,5575500,,4632000,,9013400,
B0I1T2,8338600,,,,41992000,,,5269700,4626000,,11469000,,3482000,,14653000,,,2149500,2694200,,29555000,16174000
B2RUZ4,119180000,19220000,,5468600,19778000,15419000,13200000,5356000,34680000,18009000,35271000,21783000,60789000,38237000,25400000,23915000,17390000,48468000,16650000,10072000,15138000,17058000
B2RXF0,,9325600,,2093500,,,,,,2473400,,,2434100,2234100,,3802800,,,,4167700,,
L0R6Q1,36682000,24704000,3116700,7784500,,12304000,9129100,21368000,58696000,7532900,28843000,9550500,6568700,17082000,34589000,31518000,10005000,24271000,,,3723400,35290000
O00116,145550000,79230000,39185000,14678000,31494000,76143000,73798000,103960000,59951000,51721000,69483000,9181400,23125000,162840000,127220000,496280000,43074000,60899000,7315800,18542000,21793000,90144000
O00139,8628700,3457800,13761000,13217000,19337000,19059000,10889000,24918000,11765000,1825400,8579000,7272600,9629000,8728500,18902000,,16093000,9534700,2888700,52584000,11768000,19538000
O00142,,,,,,1649900,,3030900,,14429000,,5597200,,11143000,,13211000,,9535700,3264100,7958800,,
O00154,,55808000,38971000,24076000,9340400,27173000,4502000,272450000,50705000,50158000,28044000,14380000,37070000,34318000,37389000,32776000,,37425000,7611800,96196000,53422000,41025000
O00159,15835000,,4907300,1208900,71272000,336530000,9047300,3000200,28160000,,21184000,2968400,3408100,,25233000,1925600,9491200,,1553500,1820000,19507000,58404000
O00160,4920300,,,,4938200,6209900,4368500,4217600,,,2595100,,,,6670800,,,,,,3915300,4771200
O00161,53829000,12908000,4627500,6141300,39397000,20820000,33195000,37408000,50408000,9252900,36145000,5500400,6173400,5580000,29820000,5538200,20524000,12663000,7494000,11653000,11672000,20502000
O00165,,2056100,,,,3117300,4250600,,,1810900,,3168200,4690400,,,5326700,,4270400,,1933600,,
O00168,12332000,,,4567000,,,,,19055000,,16653000,,15299000,,10726000,,9347100,,,,3898200,16441000
O00170,403360000,290210000,110140000,1945600,174080000,158660000,7496400,20331000,315320000,131180000,268530000,116950000,322520000,,355950000,231920000,105690000,164840000,82107000,4790400,113990000,57999000
O00178,5726500,1955000,10445000,,7528000,6988800,5774100,,5606100,,1303500,,,,3425300,3022500,3617100,3200800,,,8066100,9801400
O00182,14941000,3643200,19179000,8005700,11528000,7012000,11329000,6913600,19483000,,12754000,2368700,10781000,5569100,47991000,7658300,37317000,6255800,8211700,,10976000,18336000
O00186,58507000,29160000,20289000,8855200,28499000,42843000,58829000,31218000,44304000,15183000,28291000,13446000,26881000,14581000,36607000,3367900,39918000,19728000,6394500,21165000,21401000,59595000
O00194,4778500,17834000,4715500,,6942500,9164800,8328100,43695000,4708800,2903900,10032000,4953200,15089000,4360300,,4750700,,7375800,2386900,21729000,5604200,3682000
O00203,143900000,25101000,255800000,31373000,143900000,275290000,121540000,109110000,77762000,9768900,39275000,40888000,111060000,22704000,78383000,8670600,128080000,42547000,57604000,119100000,130760000,114330000
O00213,2556800,3210800,,,1445800,4264200,1937900,4931100,3357300,1033600,1960900,,,,9298300,,3906300,4092700,,8151300,2796300,
O00217,9379900,15638000,,,,,,,36803000,,9030300,,,,,,,,,,,5474600
O00231,231230000,15188000,171360000,6511000,136500000,213780000,156720000,125830000,140790000,2220900,31004000,,53411000,,69811000,7766300,153400000,22068000,34247000,81825000,131660000,170170000
O00232,23784000,16984000,80021000,4617300,74598000,133340000,111780000,75728000,19104000,8083500,5373400,10739000,22815000,4261600,20002000,27540000,40977000,7645100,22731000,81831000,27071000,50997000
O00233,45740000,,23256000,1994600,30137000,30763000,27672000,,11181000,,9387000,3575400,41914000,3659700,12884000,,24419000,3802100,38711000,21365000,48020000,59306000
O00258,26687000,54444000,27932000,12149000,13982000,18497000,18107000,19443000,40444000,22310000,25061000,,24136000,30110000,,85055000,1162500,32954000,7648700,101640000,18114000,49413000
O00264,3532500000,697650000,578230000,405580000,739310000,883520000,714870000,856050000,939220000,652710000,1020600000,522340000,811630000,729590000,1278800000,3669800000,618490000,568540000,379330000,3541400000,716880000,2114100000
O00291,36174000,,25970000,15966000,31879000,88692000,67871000,40679000,27371000,,1456400,3535000,20153000,2224500,30913000,,29571000,9517700,11023000,13134000,6433500,20257000
O00299,59154000,1955800,27985000,5694500,71774000,134610000,80511000,43625000,254660000,,23660000,1985000,21013000,2290000,108310000,,195560000,2441600,32282000,,33654000,83512000
O00303,51478000,20594000,36375000,31894000,59143000,80794000,77088000,45522000,60154000,,15168000,7887600,27680000,18967000,47530000,10439000,84383000,24174000,27683000,95859000,25024000,37934000
O00305,,5572900,,,,6664500,,8552700,6372000,,,,,1565800,,,,,,8007300,3671500,
O00330,28429000,98813000,4784300,,3045300,20655000,7767600,31400000,21950000,83419000,61385000,10088000,25297000,87661000,69051000,129250000,25406000,116260000,,148450000,13580000,17101000
O00339,,,,,,,,,,2978500,,,3293900,3117300,,23827000,9087200,6036000,2257300,2614600,,
O00391,18071000,6003500,10728000,23415000,1197800,7573200,7004000,,,,5348400,3845000,11689000,4176100,,2725900,,3924000,15102000,6951200,1223500,3861000
O00400,38554000,3539700,3909400,,3454100,15895000,15787000,7576300,6858000,,13182000,,11914000,,5514500,5550400,10959000,4446800,1178300,3989600,7567100,24087000
O00408,,34388000,,,,3892800,,62398000,52183000,12322000,26059000,13712000,,29490000,56074000,46889000,,2989300,53507000,17927000,,
O00410,142600000,7048300,30591000,13499000,16322000,85047000,43547000,32242000,84552000,,15860000,11900000,15854000,9007200,48273000,10582000,77001000,42361000,1505900,52572000,18094000,67231000
O00411,,,,,,,,,,,,,,,,11429000,,,,3674400,,
O00429,135760000,52887000,122530000,96047000,73961000,232990000,112250000,366310000,209820000,37127000,85033000,65166000,116060000,31466000,193780000,14350000,219040000,127930000,51512000,274190000,131870000,179120000
O00443,20817000,,,,3787800,3202600,2828200,,,,3900300,5137200,,4991600,6790600,17677000,,,,16393000,,14534000
O00445,,17268000,8766400,2373900,,9784600,3005500,44721000,11889000,,9528500,3167800,14364000,,,,,4714400,,13063000,8804200,7187600
O00453,,,,,,,,,,,,,,,,,,,5213200,,,
O00461,185970000,17257000,103310000,6100500,106960000,45617000,70741000,25491000,18063000,6055600,36099000,20335000,63100000,15890000,74519000,289280000,134410000,14860000,14910000,168620000,31772000,152930000
O00468,,1095100,5116400,,,4830500,38847000,3883800,2880200,1294600,,,,,,10022000,,10781000,,6864800,,
O00469,7266300,,20472000,820460,17251000,16649000,43361000,,14224000,,1697900,,13270000,,9567600,,74235000,9362700,15092000,,39601000,42989000
O00471,6386400,3347600,12004000,,9432900,,4116500,3653500,4142400,,,,6462000,3435900,3430200,,6281900,,2962200,7926400,,13597000
O00478,35145000,24357000,14535000,14938000,30406000,28549000,159390000,76211000,55418000,10531000,21512000,17564000,16577000,13200000,83257000,20716000,40029000,27921000,15077000,53462000,18279000,79553000
O00483,163220000,1914500000,96162000,147720000,38602000,330280000,139020000,455510000,516590000,1868000000,924710000,489260000,421150000,503820000,861380000,1999200000,179910000,1153900000,8167800,568530000,142020000,272990000
O00487,73168000,13338000,69207000,16032000,54282000,74329000,72560000,40938000,37793000,5170500,12768000,8218000,51526000,8169300,42063000,14707000,71741000,23576000,27782000,40643000,51880000,71863000
O00499,8716200,88379000,13338000,18943000,18315000,63443000,20269000,269350000,150860000,29145000,65014000,20077000,81223000,32331000,131180000,,152140000,47363000,9167400,44761000,34284000,18900000
O00505,3427900,6419800,6569200,16676000,10187000,33219000,22396000,18405000,22197000,,9577400,6555400,17887000,5259200,16604000,,7974400,6248400,10414000,30280000,4501600,10364000
O00519,648330,23760000,,,,,,2821900,4598200,,6049500,3747800,,6862900,7075000,,394710,4550600,,15164000,10989000,
O00533,81812000,43320000,42313000,13216000,3935700,117990000,5180900,80410000,42569000,27279000,51265000,19876000,61835000,29714000,155650000,1330400,124300000,80871000,26519000,72926000,41324000,145330000
O00534,19235000,,2624600,9965300,9331400,,15758000,9294800,11211000,,5653300,,15024000,,28720000,3603900,,8297300,14777000,19501000,4190800,
O00541,,,6488400,,2935600,,,,,,,,,,,,,,,,,
O00560,83502000,57918000,117410000,34084000,155440000,101370000,100240000,56554000,98586000,23660000,33037000,14582000,28637000,30483000,83959000,45723000,175660000,125320000,328280000,139770000,86347000,60038000
O00567,108500000,3090600,52318000,5643900,121250000,145800000,77506000,65764000,,4118400,3820700,26027000,29909000,8869000,3644100,1735200,78294000,1779900,7311400,263480000,23836000,50755000
O00571,242400000,32321000,112540000,58032000,189200000,154800000,162400000,78191000,225540000,29560000,53424000,70046000,117620000,33524000,131730000,41475000,266260000,70029000,60209000,255660000,61029000,122630000
O00584,2635300,,4330100,,1642600,,,,5891500,,1222300,,,,13082000,,7247400,1343900,,,1816600,5414500
O00592,230090000,9321100,18510000,28168000,44703000,62075000,119890000,43526000,21787000,2560400,6633300,6368800,30582000,5017200,33879000,90092000,60610000,,16541000,44903000,5469400,17190000
O00623,73202000,26313000,13875000,3749900,5525900,25330000,22199000,16200000,18171000,12177000,28969000,9614500,6148500,51088000,53019000,331980000,11733000,35265000,,18804000,6675900,64858000
O00629,26760000,3017600,9480000,5061700,10398000,35435000,29136000,16944000,15292000,,7973300,,8332600,,16395000,,21009000,14137000,10552000,,,
O00712,,,,,,,5324700,1844100,,,,,,,,2185000,,,7957800,13581000,,
O00743,15431000,1907700,20444000,,27376000,48233000,30933000,25757000,18160000,,5983800,,9715100,,10103000,1875500,34742000,12534000,8775300,24802000,,15236000
O00764,7099900,19124000,2421400,,2949500,25470000,16043000,19481000,76816000,4516100,13113000,3987300,,8403000,68270000,6297200,37656000,24708000,,16729000,20315000,
O00767,24666000,45057000,,22066000,,19446000,22068000,9753100,17007000,11651000,22555000,40349000,3054300,48213000,7774400,62707000,3524700,93655000,4409700,91438000,14562000,11708000
O14494,4930100,3689000,,10600000,,,,,37281000,,3459500,3284500,,,9150400,,5255400,3164400,,5541800,3201000,7598800
O14495,74156000,237500000,21720000,35071000,21791000,77829000,85456000,111180000,167740000,109000000,89298000,60666000,60704000,56277000,124230000,16331000,62284000,76246000,13993000,100460000,36074000,73725000
O14521,,87882000,9503600,,,18269000,5554600,43887000,,39913000,,7547700,13824000,26116000,58448000,58414000,30678000,35360000,,37893000,,37566000
O14523,11244000,51661000,,28345000,,12639000,,26800000,,60384000,11844000,72060000,6443500,71485000,10839000,53317000,5385000,66638000,,58726000,6557900,8281500
O14525,14233000,17527000,7163100,,4376900,2806100,2107000,17771000,11161000,14738000,8544200,2268300,698400,5124800,10549000,18804000,6459600,14940000,,50315000,7206700,13328000
O14531,3102900,19601000,9288300,3757700,23595000,90770000,69273000,252160000,71520000,17634000,26231000,23082000,15053000,23182000,59446000,9132100,49526000,36526000,3736500,101630000,23279000,16022000
O14548,74899000,794950000,34177000,40393000,13535000,55549000,22007000,174970000,188000000,692240000,257990000,106230000,175730000,182340000,262070000,543040000,63917000,303810000,1358000,217130000,71242000,132260000
O14558,44973000,,29780000,,8245400,,,9748700,732610000,,7190000,,13012000,,53693000,,31404000,,4535900,,18132000,39344000
O14561,41548000,355730000,12457000,13553000,14517000,44254000,22145000,104740000,213770000,137400000,150050000,9902800,99032000,41099000,179080000,165280000,38927000,163640000,,48359000,32632000,88814000
O14569,53754000,11238000,10475000,4174300,22123000,47350000,70126000,14587000,55796000,5447700,18939000,5296700,18351000,3974400,45439000,55241000,32806000,9889300,2936300,38677000,19693000,13628000
O14576,7561400,4566300,43156000,43192000,6214700,42779000,18760000,48888000,7333300,1894100,4719800,4952300,76667000,4123500,32604000,,42092000,13984000,5620000,15993000,45210000,14348000
O14579,63435000,1258700,191830000,9235000,169510000,159490000,158570000,39398000,47836000,1295100,25797000,13398000,71478000,6331100,25396000,11240000,83534000,20452000,30916000,43576000,105980000,142170000
O14594,11789000,139080000,72341000,11118000,,7185200,10671000,45411000,27740000,672590000,14609000,36540000,9400500,29266000,17793000,59382000,111320000,395830000,,1135300000,44897000,
O14617,30380000,4893200,74403000,6710900,41431000,78899000,41335000,70091000,22437000,1855900,7063300,,34778000,2572400,8834000,,31029000,24180000,6453500,45671000,43689000,51162000
O14656,,18068000,,3164900,,11712000,27425000,,,8612700,,15448000,7171000,7423800,,14278000,,6771700,,13859000,,
O14657,,,,,3950500,,,,,,1275000,4054500,1671900,,4506400,,3708400,,,,,
O14662,13154000,2166800,3291400,2567400,5624200,6357000,12256000,3846200,4020500,,2405400,,,871650,5568600,6031100,2207700,2535800,959730,9849700,3279400,17593000
O14672,86149000,96932000,32861000,23983000,53894000,55554000,33916000,52119000,99410000,18867000,60258000,6765200,31890000,39637000,144470000,46110000,71111000,76686000,25785000,34781000,27572000,75246000
O14683,,18298000,13155000,,,,,12960000,,,25686000,,29888000,,11810000,,,7853100,7459500,,8276900,16130000
O14684,,,,,,,,,,,,,,,,,18911000,,,,,
O14734,161580000,152460000,27023000,8623800,41737000,51242000,27607000,54977000,60401000,67974000,59826000,23236000,21409000,83655000,50720000,189460000,22129000,63170000,12074000,37660000,22349000,68371000
O14735,8642800,43192000,12704000,13021000,4982000,16423000,13683000,5024400,10942000,25545000,32130000,34535000,33608000,30571000,33764000,105780000,9930000,40536000,7410800,65697000,14983000,8527700
O14744,209600000,41639000,574670000,69000000,404010000,595110000,538450000,169110000,149990000,24341000,52012000,58141000,195260000,151630000,172560000,32620000,208140000,143090000,131910000,148500000,361180000,716200000
O14745,69694000,392430000,23150000,46420000,96234000,37215000,33791000,78307000,83009000,262620000,65162000,28689000,89511000,52592000,118740000,14127000,38599000,198890000,114330000,74902000,27570000,14199000
O14773,213620000,119200000,218410000,21221000,237420000,356370000,209770000,197070000,454990000,62059000,79687000,83100000,16708000,75780000,268810000,184570000,159250000,271040000,92331000,385880000,268350000,270490000
O14786,7475200,,,,12504000,17123000,13196000,9101300,13646000,,,,14169000,,16062000,,47354000,,16119000,2896600,3603800,4126500
O14791,743970000,59650000,158450000,148880000,146710000,136880000,210160000,27124000,23510000,70164000,84139000,157950000,396690000,277840000,77868000,48477000,31829000,264240000,215200000,219580000,225000000,23675000
O14807,7550000,10642000,2894800,1629500,1714900,2990000,7285500,14895000,15372000,5027800,,,2248400,,18128000,,14749000,5128000,2671400,,3641500,7408700
O14818,250610000,82961000,113080000,27726000,196660000,203180000,217230000,93940000,179800000,27408000,87975000,35486000,125330000,63491000,142990000,39153000,120570000,78894000,182150000,85261000,118880000,164620000
O14828,212140000,57465000,112110000,50809000,144600000,146550000,110680000,103190000,92262000,48055000,88730000,64506000,82327000,55196000,110690000,175330000,155780000,95876000,29707000,322650000,96373000,129640000
O14841,,,,911370,1857200,6511200,29375000,1934700,,,,,1644900,,4904900,,849800,,,,4125800,1860500
O14874,6833200,6899000,,,,6356500,9304000,,6706300,,4867000,,,12306000,18850000,8914100,3043200,3825100,,11315000,2630900,8826000
O14879,3008200,,8581400,7556300,12134000,,12662000,6412100,13720000,,1449600,,10241000,,31425000,,30149000,8718300,14490000,6484900,7831400,73849000
O14880,31632000,108990000,48844000,4305700,74130000,123730000,41237000,23280000,238840000,26771000,47575000,3654700,5680000,4915200,86925000,26653000,39779000,51858000,28465000,81482000,32522000,32154000
O14907,33196000,2826100,,2176000,,7138700,11789000,10221000,48261000,12942000,9277600,11817000,15574000,7204300,31939000,5334900,12025000,7958200,,9768000,5780600,10041000
O14920,3574100,,,2816400,10992000,4543900,9143000,1729400,3963500,,,,8851800,,3860700,1460000,20184000,2325700,2387200,2260000,2578700,4249100
O14936,42478000,27858000,26736000,26037000,27066000,39889000,59930000,39977000,55587000,29619000,16863000,20092000,40706000,3384900,41830000,7396300,45475000,40802000,20701000,51267000,14216000,76679000
O14939,,,,,,,7407900,,,,,,,,,,,,,3199700,,
O14949,199050000,1028400000,76207000,65380000,34250000,192960000,93536000,299580000,695950000,920780000,386050000,227610000,154480000,314160000,815310000,842700000,139270000,677370000,3500100,326570000,130790000,290610000
O14964,14975000,9685200,5637000,4148000,,27397000,20519000,39997000,14975000,2195400,2950200,7458300,12017000,11163000,56473000,4910400,53392000,14696000,11084000,20253000,18131000,28757000
O14966,42968000,,25078000,,26637000,,19498000,,22836000,5142600,23217000,7039500,26467000,7830700,49882000,8746500,24015000,10841000,15439000,14275000,23610000,58385000
O14967,49423000,,,,7270600,,,,,,1886900,,,,,3768000,,,,9542000,,7681900
O14972,18172000,4269800,18101000,5655300,19602000,17825000,6963000,8093700,11360000,3467500,7804500,10027000,10425000,9135700,15511000,6941700,18714000,11855000,7958900,23531000,19055000,19292000
O14979,31246000,6831300,134090000,,62160000,71741000,76532000,8427100,14233000,17990000,6429200,37504000,26202000,36565000,27027000,84436000,27457000,63986000,61299000,309650000,29790000,48592000
O14980,152050000,33473000,97034000,32314000,65853000,187410000,111940000,70068000,99072000,15492000,32848000,52095000,42303000,61165000,95766000,57247000,90085000,92985000,33260000,220030000,61307000,95472000
O14994,,7148100,,2125100,,5061100,,34351000,29376000,,8811500,,2005100,,7228800,,6029800,10985000,,14553000,10180000,5669500
O15020,56431000,47239000,48979000,14613000,43539000,38789000,16890000,353450000,126910000,40603000,80971000,32608000,99424000,88746000,151660000,25865000,117480000,123820000,6171400,188650000,155960000,96580000
O15027,,,15180000,1302700,34671000,22271000,15047000,4101600,,,,2816000,7587300,,13739000,6612400,21451000,4138700,2804900,25978000,10278000,11262000
O15031,145710000,42085000,22450000,20986000,63287000,79483000,175310000,77421000,108490000,13434000,68998000,27427000,67078000,17569000,128750000,36422000,51756000,51823000,20992000,63119000,18248000,123570000
O15033,,,,,,,,,,17370000,,17822000,,39690000,,,,47136000,,16080000,,
O15042,11397000,,23001000,,12266000,5618800,,,,,,,4381200,,,2424900,8806800,2183700,,4514700,6703700,
O15061,45001000,,24865000,20376000,129780000,6534000,1159600,17051000,366980000,1934600,43667000,38894000,48922000,2253600000,133700000,,53821000,2434800,,1590900,73579000,183620000
O15066,5188900,,,,6865100,,7990100,,5698900,,,,4895300,,7768100,,,,,,,
O15067,8423500,,4722200,,16117000,16543000,19481000,8723700,14205000,,3326700,4638800,6408200,,6542500,4829000,44185000,,,14932000,14272000,17359000
O15075,157550000,59973000,133510000,88092000,167800000,260760000,127720000,182000000,197340000,18456000,66291000,71662000,139160000,57537000,165290000,12070000,289690000,115190000,18818000,301090000,53055000,103650000
O15078,,,334490000,5117900,12594000,,,,,,,,18126000,3715200,14639000,,12066000,,3702200,,,
O15079,,25850000,,,,,,8467000,4459400,9208300,3080800,2596800,,4108100,3465500,3177600,,2440500,,4762800,1735000,
O15084,15601000,,6857900,1300600,6691600,,2340900,,2920200,,3794100,,4403300,,,,3821900,,2191900,3555700,2616600,12764000
O15118,64432000,227820000,26427000,49243000,23178000,27351000,26608000,53044000,82796000,50171000,51724000,21857000,38313000,53780000,105920000,100080000,50028000,135590000,35458000,65983000,35402000,25102000
O15126,250020000,266510000,235090000,72030000,80968000,150790000,101240000,362400000,584980000,168480000,200880000,135660000,183340000,144550000,334620000,129300000,234070000,273090000,28415000,753740000,198880000,222410000
O15127,243550000,68244000,79998000,43454000,142550000,161310000,148530000,124590000,119740000,26407000,110470000,77028000,83244000,66688000,216890000,269280000,117770000,101700000,45176000,208910000,100310000,163060000
O15143,39455000,80503000,19113000,26130000,126990000,85671000,149960000,36604000,22564000,35801000,16877000,17737000,29834000,3203800,36808000,,54849000,,94054000,,35753000,29392000
O15144,67797000,27037000,60849000,3006300,161820000,165790000,289310000,134630000,174110000,10631000,52502000,,41593000,16537000,120690000,1599600,123050000,20660000,77259000,15095000,101270000,105460000
O15145,42094000,28744000,53876000,13207000,77100000,96935000,81610000,44497000,110160000,14953000,42345000,10408000,42301000,21546000,73296000,10709000,82067000,19547000,56858000,50116000,63913000,76729000
O15155,31476000,,25326000,,13170000,,,,8547100,,6454900,,,,14036000,11467000,17899000,,3656300,26386000,14812000,19431000
O15162,12856000,,,,,,,,8852900,,,,,,,,7837100,,,,,
O15173,727820000,488540000,264100000,158450000,281750000,316550000,383770000,266710000,456850000,295200000,357070000,338310000,265340000,361740000,552770000,847130000,252240000,371880000,126390000,989310000,287830000,743970000
O15195,695160000,83968000,454840000,,635870000,,,,1550200000,37812000,200660000,,,57782000,822380000,,1747200000,588380000,,106270000,348810000,308590000
O15212,,4345700,6711400,2114300,18554000,18598000,29924000,13311000,,3344700,,3385900,7981800,3607700,,5621200,6765700,2750600,,5779800,6136400,7551500
O15228,64192000,37422000,,3202100,,26665000,9801200,15689000,24595000,12870000,23731000,12344000,5989600,61964000,44840000,316480000,4104400,27429000,,15810000,3777200,14256000
O15240,47087000,29439000,32251000,11042000,27365000,15944000,881230,292350000,36816000,12800000,59551000,20189000,148420000,13273000,59032000,70833000,24991000,22561000,,84026000,49625000,110650000
O15254,14246000,64043000,3587500,1645000,6473200,119270000,87633000,48847000,9741400,6823400,6632900,1702700,5973700,10324000,7927800,30958000,6573400,15169000,2708300,11742000,1978800,15981000
O15258,107360000,36778000,62597000,6717700,35654000,51913000,61599000,18404000,52060000,18416000,28108000,17445000,,26890000,32012000,58189000,26962000,31959000,5499500,90646000,23943000,44743000
