proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43
Q8WUY3,0,2757500,0,0,0,11999000,0,0,0,0,0,0,6475200,0,4099100,0,0,0,9792200,0,0,0,7176000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015700,0
Q8WVC6,0,0,14391000,0,2022300,10422000,0,24741000,0,0,0,0,2235600,10401000,12446000,11565000,9870000,0,0,7725400,7849000,0,0,0,0,487840,106500,417420,9051600,5339700,10177000,6676500,0,3664200,7867800,3346500,8156800,16089000,0,0,8513900,0,4392800
Q8WVJ2,5515800,12310000,4093400,3823400,2545900,0,5886600,0,3452400,3893400,0,5817100,6106300,5334800,12361000,19250000,0,2630500,4626600,3168000,5352700,0,11085000,0,0,487120,661770,3608700,5419900,7972100,5253300,6298600,4465600,5184800,0,1991700,1623000,0,782450,5412300,0,0,0
Q8WVM8,1311800,15493000,9087400,2837100,1468400,14178000,5556300,0,6650300,0,0,19388000,9313000,30408000,10108000,12949000,7246300,2107400,11425000,2692200,5525700,6188100,13655000,0,8894700,419030,1441200,3777500,2697700,45779000,3383400,0,417150,4243300,2409300,8054700,532080,5642600,11630000,12460000,15755000,16079000,3623800
Q8WVV9,0,8762600,4328800,0,944810,2641300,2897200,5970400,0,1270200,257900,3815400,0,6222800,1576100,6891300,2956200,3178900,1632900,578490,3419200,3895100,2490000,0,1752200,0,0,0,920650,6226600,4936000,2415600,0,1549400,0,3885000,5637200,2799500,5802400,2202300,3069600,5172600,3027400
Q8WVY7,0,0,2674600,1587100,0,0,0,0,0,0,0,4633600,3201500,0,0,0,1401600,1955300,0,1740000,0,0,0,2768000,4610700,486810,940640,2782700,2315600,7425600,0,2052600,0,0,0,5881600,0,2836200,5601600,0,0,4375500,3845700
Q8WWI5,20040000,1852000,3712800,15946000,4859600,989850,6983900,16811000,29246000,13431000,17506000,0,0,0,20931000,0,0,0,1970800,8071100,942260,0,0,0,0,458760,3818200,4467200,13176000,0,13826000,0,0,15024000,12352000,0,4341400,6283500,0,0,792440,0,6809300
Q8WWM7,2592200,11278000,7034200,2108500,1539400,1843300,0,9976400,550750,1801100,5859500,1427500,1213400,5626100,0,7559300,3706600,3458200,0,0,2476600,1769100,5030000,0,1351300,128960,0,5484700,518250,3642000,4415700,0,4126500,1692300,2917200,3836400,23415000,5710700,5827200,4268300,1494200,2868500,2659500
Q8WWY3,1710800,16962000,0,787810,2221600,0,2556200,0,0,0,6793500,4950100,1958800,0,0,2531200,1001300,2176200,673980,924080,0,2674400,0,4631600,2068500,469520,470570,2265600,0,8530600,2801600,0,3539700,0,1529900,6613100,3418700,2288900,3514900,0,0,6399500,2636800
Q8WX93,11300000,29404000,43003000,4896300,0,0,0,0,0,12123000,0,6985400,0,39728000,70687000,0,19605000,0,7010300,5262500,0,6658900,0,4694400,4686900,3146300,1490400,0,24828000,3181900,0,0,0,0,16702000,6730700,0,4755200,27315000,28712000,0,19810000,26345000
Q8WXD9,0,0,0,0,9238300,0,0,0,0,13229000,22052000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8WXF1,13916000,19504000,0,2242400,10114000,0,0,12484000,4988900,9073400,18748000,27402000,36730000,59712000,0,0,15024000,12316000,0,4304100,0,24937000,2631400,13746000,27916000,445550,0,21324000,12434000,46125000,9358500,0,0,14993000,0,29098000,43176000,41755000,10522000,15564000,8204800,5545300,8505700
Q8WXF7,0,0,0,2330400,17703000,0,24141000,0,12564000,36987000,61539000,12339000,4195300,0,586850000,5610700,0,0,1414700,10533000,21669000,0,3794300,0,0,0,2554700,8353900,0,2349000,0,12135000,2030600,2901800,8666700,2266200,17995000,661740,0,0,0,0,0
Q8WXG6,0,0,0,0,9764900,1275200,0,0,548870,5523400,12892000,0,0,1651000,0,0,0,0,903120,0,1185600,330090,855080,0,0,0,0,556940,0,0,0,0,0,0,0,546230,2430500,1097000,0,0,0,0,0
Q8WXH0,17913000,34413000,7477200,3555100,0,33747000,23105000,17168000,625180,4983300,0,6571100,4658300,4558000,25111000,22974000,9833700,10848000,0,3271300,29629000,0,8660600,0,0,991190,0,0,12985000,0,8369100,10821000,7905900,0,10387000,0,0,8937600,82141000,8888900,30027000,62901000,21006000
Q8WXI2,0,0,0,0,2395600,0,0,0,0,5367500,6675000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8WXI9,0,0,0,0,0,0,0,0,0,0,0,3384500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8WY22,0,0,0,0,2799400,0,0,0,1638100,4273500,7120000,3527500,0,0,0,0,0,0,0,0,0,0,0,0,0,219350,0,0,0,4199400,0,0,0,0,0,0,0,2744200,0,0,0,0,0
Q8WYA6,0,4351300,0,0,0,0,0,0,0,0,0,1116400,1403200,0,0,0,0,0,0,0,0,0,0,0,825720,0,0,578990,0,2549100,0,0,0,0,0,1836900,1505700,1792000,0,0,0,0,0
