proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21
P35659,2658300000,4604600000,159220000,1297100000,271630000,163560000,1156500000,178370000,1575200000,84523000,51081000,332750000,225800000,1041200000,158570000,91877000,59842000,44303000,2882000000,77240000,1563300000
P35716,0,0,0,11966000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P35749,121770000,0,9474900,2261400,38685000,18243000,45730000,13232000,14574000,0,0,12448000,125820000,0,80158000,0,0,0,90097000,598000000,31389000
P35754,253540000,122210000,384460000,274570000,167920000,642180000,222340000,371040000,153180000,3429000,175060000,221010000,71296000,46999000,0,4211900,14207000,0,888600000,59762000,115520000
P35813,460020000,162470000,199090000,383060000,99117000,208990000,108250000,141080000,158840000,4164600,165810000,304170000,29537000,128740000,29611000,18659000,2858400,0,621060000,7041000,933460000
P35858,0,73688000,215620000,0,46801000,39394000,0,6189200,0,0,109290000,7396300,0,0,0,0,241660,0,975050000,0,49323000
P35908,544200000,107940000,92879000,594740000,367970000,31901000,13432000,134590000,213440000,5906500,47470000,228360000,104410000,227930000,25920000,611110,2805800,0,239100000,246670000,1848300000
P35914,12156000,42231000,0,0,0,0,7616200,0,0,2557500,0,0,0,0,6124900,0,0,0,76010000,0,0
P35998,2020900000,2244600000,311270000,1441200000,254610000,373840000,733300000,480940000,581930000,51131000,159520000,251280000,178090000,445190000,111240000,53870000,22632000,0,1569400000,78284000,1059900000
P36222,0,0,0,0,0,0,24365000,0,0,0,0,82617000,0,0,0,0,0,0,0,0,0
P36269,63518000,1480200000,29770000,42935000,3256700,62180000,53889000,60209000,352180000,24736000,26832000,5006400,103130000,108690000,14800000,9185900,0,0,150570000,416140000,125310000
P36404,41725000,14198000,90801000,28317000,0,62660000,16693000,20258000,55051000,0,0,12428000,0,35500000,0,0,0,0,69321000,0,0
P36405,486190000,2184000000,324320000,366960000,479630000,311500000,359580000,298950000,224690000,7557300,53163000,216970000,292420000,755840000,40680000,37525000,25748000,0,1522100000,241600000,1798600000
P36507,1100300000,1113000000,873820000,424320000,47709000,423710000,843040000,670490000,412390000,8309000,100530000,114940000,80158000,258700000,27216000,4976000,1538200,23341000,1436400000,169600000,1060500000
