SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
Q9UPY5,SLC7A11,0.59,0.027,0.434,0.75,0.342,0.162,0.904,1.086,0.105,0.229,0.903,0.777,0.079,0.804,0.781,2.831,5,0.0,0,0,0
P51681,CCR5,0.687,0.036,0.311,0.544,0.405,0.226,0.732,1.033,0.115,0.172,0.735,0.863,0.13,0.765,0.871,2.831,5,0.0,0,0,1
P63098,PPP3R1,0.538,0.028,0.516,0.573,0.304,0.146,1.013,1.033,0.139,0.16,1.008,0.724,0.079,0.727,0.721,2.828,5,0.0,0,0,0
Q06413,MEF2C,0.636,,0.565,0.617,0.418,,1.059,1.115,,,1.06,0.88,,0.885,0.881,2.825,4,0.0,0,0,1
P49418,AMPH,0.504,0.017,0.535,0.509,0.342,0.101,0.998,1.003,0.114,0.103,1.005,0.787,0.041,0.783,0.786,2.824,5,0.0,0,0,0
Q16891,IMMT,0.659,0.054,0.445,0.5,0.241,0.257,0.915,0.983,0.196,0.209,0.931,0.621,0.201,0.632,0.622,2.822,5,0.0,0,0,0
P34972,CNR2,0.686,0.018,0.522,0.475,0.316,0.181,1.008,0.952,0.11,0.09,0.965,0.741,0.035,0.746,0.754,2.82,5,0.0,0,0,0
Q15165,PON2,0.597,0.017,0.552,0.549,0.316,0.138,1.047,1.044,0.119,0.118,1.049,0.74,0.03,0.742,0.743,2.817,5,0.0,0,0,0
Q15388,TOMM20,0.5,,0.492,0.54,0.43,,0.99,0.993,,,0.983,0.912,,0.914,0.905,2.817,4,0.0,0,0,1
P61764,STXBP1,0.59,0.015,0.511,0.329,0.342,0.129,1.0,0.759,0.095,0.025,0.767,0.777,0.029,0.786,0.822,2.816,5,0.0,0,0,0
Q6UB35,MTHFD1L,0.457,0.046,0.59,0.492,0.266,0.173,0.933,0.948,0.213,0.182,0.976,0.674,0.157,0.66,0.668,2.811,5,0.0,0,0,0
Q13562,NEUROD1,0.644,,0.484,0.612,0.443,,0.964,1.11,,,0.966,0.913,,0.932,0.914,2.809,4,0.0,0,0,1
Q8WXG6,MADD,0.577,0.036,0.531,0.562,0.266,0.182,1.025,1.061,0.166,0.177,1.026,0.66,0.112,0.663,0.661,2.809,5,0.0,0,0,0
P06702,S100A9,0.698,0.05,0.446,0.651,0.241,0.262,0.916,1.15,0.185,0.245,0.916,0.625,0.184,0.632,0.62,2.803,5,0.0,0,0,0
P48200,IREB2,0.545,0.013,0.566,0.596,0.329,0.105,1.042,1.039,0.115,0.128,1.063,0.762,0.018,0.76,0.759,2.803,5,0.0,0,0,0
Q9HDB5,NRXN3,0.568,,0.58,0.449,0.405,,1.067,0.926,,,0.924,0.868,,0.867,0.891,2.802,4,0.0,0,0,1
P04792,HSPB1,0.722,,0.476,0.689,0.443,,0.954,1.189,,,0.954,0.913,,0.934,0.912,2.802,4,0.0,0,0,1
Q9H2A3,NEUROG2,0.515,,0.449,0.027,0.443,,0.934,0.135,,,0.112,0.926,,0.941,0.11,2.801,4,0.0,0,0,1
Q92879,CELF1,0.604,,0.606,0.558,0.392,,1.104,1.053,,,1.053,0.848,,0.848,0.852,2.8,4,0.0,0,0,1
Q8N427,NME8,0.606,,0.706,0.248,0.392,,1.102,0.63,,,0.637,0.848,,0.847,0.66,2.797,4,0.0,0,0,1
Q8TDB8,SLC2A14,0.443,,0.512,0.524,0.443,,0.927,0.924,,,1.009,0.943,,0.927,0.924,2.796,4,0.0,0,0,1
P99999,CYCS,0.656,,0.385,0.19,0.62,,0.836,0.533,,,0.547,1.118,,0.837,0.529,2.791,4,0.0,0,0,1
P11086,PNMT,0.534,0.053,0.515,0.499,0.215,0.214,1.011,0.993,0.209,0.205,0.996,0.574,0.207,0.575,0.576,2.789,5,0.0,0,0,0
O75390,CS,0.583,0.024,0.422,0.666,0.342,0.153,0.889,1.078,0.093,0.188,0.886,0.778,0.069,0.808,0.776,2.789,5,0.0,0,0,0
O60229,KALRN,0.591,,0.59,0.519,0.392,,1.09,1.009,,,1.01,0.849,,0.849,0.857,2.788,4,0.0,0,0,1
P40925,MDH1,0.53,0.048,0.518,0.531,0.228,0.2,1.016,1.03,0.197,0.2,1.016,0.597,0.178,0.598,0.597,2.786,5,0.0,0,0,0
Q96CV9,OPTN,0.648,,0.444,0.501,0.456,,0.914,0.984,,,0.93,0.929,,0.941,0.945,2.784,4,0.0,0,0,1
P01185,AVP,0.659,0.058,0.335,0.627,0.253,0.267,0.767,1.125,0.199,0.256,0.767,0.641,0.213,0.696,0.64,2.783,5,0.0,0,0,0
O00533,CHL1,0.575,,0.474,0.513,0.43,,0.956,1.003,,,0.965,0.901,,0.918,0.91,2.775,4,0.0,0,0,1
P58400,NRXN1,0.59,,0.476,0.501,0.43,,0.957,0.988,,,0.971,0.9,,0.918,0.912,2.775,4,0.0,0,0,1
O60271,SPAG9,0.621,0.043,0.501,0.684,0.241,0.217,0.986,1.118,0.178,0.241,0.984,0.618,0.151,0.622,0.623,2.772,5,0.0,0,0,0
P0C0L5,C4B,0.51,,0.615,0.67,0.418,,0.997,0.994,,,1.112,0.894,,0.881,0.88,2.771,4,0.0,0,0,1
Q9UPX8,SHANK2,0.477,0.016,0.444,0.608,0.354,0.087,0.934,0.958,0.073,0.142,0.915,0.811,0.041,0.82,0.795,2.766,5,0.0,0,0,0
Q9GZQ8,MAP1LC3B,0.663,,0.436,0.787,0.456,,0.903,1.164,,,0.908,0.928,,0.93,0.933,2.762,4,0.0,0,0,1
Q92913,FGF13,0.636,,0.5,0.412,0.418,,0.984,0.873,,,0.888,0.88,,0.895,0.91,2.76,4,0.0,0,0,1
P22748,CA4,,0.407,0.687,0.421,0.532,,,,0.865,0.901,0.884,,0.875,1.019,0.894,2.759,4,0.0,0,0,1
P13473,LAMP2,0.498,,0.467,0.588,0.418,,0.96,0.984,,,0.946,0.896,,0.903,0.883,2.759,4,0.0,0,0,1
Q14194,CRMP1,0.671,0.009,0.574,0.41,0.304,0.152,1.067,0.87,0.106,0.033,0.874,0.721,-0.01,0.721,0.752,2.758,5,0.0,0,0,0
P54253,ATXN1,0.632,,0.465,0.561,0.43,,0.94,1.054,,,0.946,0.897,,0.92,0.903,2.758,4,0.0,0,0,1
P02655,APOC2,0.526,0.013,0.515,0.51,0.329,0.098,1.013,1.007,0.093,0.091,1.009,0.765,0.019,0.766,0.767,2.755,5,0.0,0,0,0
P61812,TGFB2,0.709,0.024,0.414,0.582,0.316,0.207,0.876,1.076,0.091,0.153,0.879,0.742,0.064,0.771,0.74,2.75,5,0.0,0,0,0
Q9UD71,PPP1R1B,0.523,,0.467,0.217,0.418,,0.955,0.578,,,0.584,0.891,,0.903,0.594,2.749,4,0.0,0,0,1
P07948,LYN,0.56,0.034,0.346,0.569,0.329,0.17,0.786,1.059,0.108,0.173,0.785,0.761,0.105,0.82,0.76,2.749,5,0.0,0,0,0
O95704,APBB3,0.53,0.006,0.666,0.466,0.329,0.078,1.017,0.952,0.143,0.048,0.94,0.764,-0.012,0.758,0.776,2.748,5,0.0,0,0,0
Q15796,SMAD2,0.64,0.035,0.315,0.641,0.354,0.203,0.737,1.14,0.108,0.203,0.737,0.794,0.113,0.793,0.794,2.748,5,0.0,0,0,0
P15559,NQO1,0.682,,0.425,0.775,0.468,,0.89,1.183,,,0.894,0.944,,0.913,0.947,2.746,4,0.0,0,0,1
P62491,RAB11A,0.59,,0.481,0.499,0.418,,0.963,0.986,,,0.977,0.883,,0.9,0.896,2.746,4,0.0,0,0,1
P24385,CCND1,0.685,0.059,0.208,0.814,0.418,0.277,0.569,1.189,0.238,0.324,0.592,0.88,0.206,0.576,0.888,2.745,5,0.0,0,0,1
