SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
P05067,APP,0.993,0.939,0.996,1.0,1.0,1.446,1.493,1.494,1.447,1.448,1.497,1.494,1.448,1.497,1.5,9.825,5,1.0,1,0,1
P02649,APOE,0.948,1.0,1.0,,0.937,1.455,1.455,,1.5,,,1.438,1.445,1.445,,9.739,4,1.0,1,1,1
P49768,PSEN1,0.911,0.918,0.926,,0.886,1.412,1.413,,1.419,,,1.389,1.39,1.39,,9.412,4,1.0,1,0,1
P10636,MAPT,0.948,0.851,0.887,0.741,0.886,1.361,1.394,1.257,1.354,1.247,1.25,1.393,1.354,1.386,1.25,9.243,5,1.0,0,0,1
P56817,BACE1,0.846,0.829,0.878,0.798,0.873,1.331,1.349,1.302,1.334,1.3,1.304,1.349,1.333,1.374,1.304,9.069,5,1.0,0,0,1
P22303,ACHE,0.814,0.89,0.831,0.873,0.785,1.32,1.315,1.319,1.337,1.375,1.335,1.286,1.293,1.288,1.291,8.839,5,1.0,0,0,1
P06276,BCHE,0.821,0.853,0.84,0.73,0.772,1.323,1.322,1.234,1.341,1.236,1.235,1.275,1.277,1.276,1.231,8.815,5,1.0,0,0,1
P49810,PSEN2,0.759,0.708,0.866,0.579,0.797,1.209,1.266,1.074,1.217,1.073,1.082,1.261,1.211,1.303,1.076,8.467,5,1.0,1,0,1
P14735,IDE,0.76,0.599,0.769,0.614,0.696,1.096,1.261,1.112,1.096,1.098,1.113,1.197,1.095,1.197,1.111,7.942,5,1.0,0,0,1
P23560,BDNF,0.898,0.576,0.66,0.87,0.81,1.083,1.171,1.373,1.07,1.08,1.168,1.318,1.074,1.163,1.315,7.879,5,1.0,0,0,1
Q92542,NCSTN,0.652,0.57,0.75,0.548,0.658,1.064,1.152,1.038,1.064,1.045,1.039,1.152,1.063,1.158,1.038,7.653,5,1.0,0,0,1
O14672,ADAM10,0.916,0.531,0.735,0.387,0.646,1.035,1.248,0.865,1.019,0.849,0.842,1.158,1.019,1.144,0.84,7.623,5,1.0,1,0,1
P10909,CLU,0.837,0.498,0.764,0.686,0.671,0.988,1.269,1.191,0.982,0.98,1.187,1.176,0.98,1.172,1.171,7.567,5,1.0,0,1,1
Q13492,PICALM,0.703,0.499,0.799,0.478,0.646,0.981,1.206,0.955,0.986,0.973,0.96,1.144,0.982,1.147,0.956,7.446,5,1.0,0,0,1
P49841,GSK3B,0.915,0.521,0.705,0.851,0.582,1.024,1.218,1.357,1.007,1.016,1.212,1.091,1.013,1.076,1.084,7.43,5,1.0,0,0,1
F7VJQ1,PRNP,0.8,0.467,0.7,0.63,0.633,0.948,1.202,1.131,0.942,0.944,1.128,1.134,0.943,1.131,1.13,7.301,5,1.0,0,0,1
O96008,TOMM40,0.714,0.43,0.766,0.553,0.608,0.896,1.215,1.044,0.899,0.902,1.046,1.104,0.897,1.105,1.047,7.116,5,1.0,0,0,1
O00499,BIN1,0.775,0.399,0.764,0.446,0.62,0.86,1.264,0.92,0.859,0.883,0.919,1.119,0.856,1.119,0.918,7.077,5,1.0,0,0,1
Q9NZC2,TREM2,0.883,0.313,0.803,0.49,0.747,0.761,1.309,0.984,0.748,0.746,0.975,1.256,0.741,1.249,0.972,7.064,5,1.0,0,0,1
P28329,CHAT,0.743,0.665,0.685,0.22,0.684,1.165,1.186,0.597,1.165,0.587,0.589,1.184,1.165,1.184,0.589,7.047,5,0.0,0,0,1
P42574,CASP3,0.905,0.491,0.469,0.89,0.684,0.988,0.962,1.392,0.963,0.986,0.96,1.196,0.971,0.944,1.194,7.025,5,1.0,0,0,1
P27338,MAOB,0.789,0.4,0.674,0.636,0.633,0.863,1.176,1.136,0.856,0.857,1.134,1.133,0.857,1.131,1.133,7.017,5,1.0,0,0,1
Q8IZY2,ABCA7,0.732,0.376,0.783,,0.646,0.827,1.233,,0.831,,,1.144,0.824,1.146,,7.006,4,1.0,1,0,1
Q00535,CDK5,0.764,0.624,0.738,0.613,0.696,1.122,1.239,1.111,1.121,1.112,1.11,1.197,1.121,1.196,1.11,6.997,5,0.0,0,0,1
P01584,IL1B,0.916,0.425,0.468,0.895,0.747,0.911,0.963,1.398,0.912,0.908,0.96,1.259,0.891,0.945,1.257,6.882,5,1.0,0,0,1
P01138,NGF,0.769,0.628,0.643,0.202,0.709,1.128,1.143,0.573,1.128,0.552,0.554,1.21,1.126,1.142,0.562,6.877,5,0.0,0,0,1
P01023,A2M,0.732,0.416,0.63,0.566,0.506,0.879,1.128,1.058,0.878,0.883,1.06,0.99,0.891,0.991,0.997,6.757,5,1.0,1,0,1
Q15392,DHCR24,0.759,0.405,0.688,0.629,0.456,0.867,1.189,1.128,0.863,0.864,1.127,0.931,0.888,0.928,0.929,6.666,5,1.0,0,0,1
P04179,SOD2,0.787,0.436,0.468,0.862,0.494,0.909,0.948,1.293,0.927,0.917,0.956,0.978,0.921,0.963,0.986,6.646,5,1.0,0,0,1
Q92673,SORL1,0.773,0.505,0.802,0.59,0.671,0.991,1.274,1.087,0.993,0.993,1.089,1.172,0.988,1.173,1.086,6.592,5,0.0,1,0,1
Q16555,DPYSL2,0.725,0.328,0.631,0.488,0.519,0.76,1.128,0.968,0.756,0.77,0.969,1.005,0.764,1.006,0.981,6.421,5,1.0,0,0,1
Q9Y6A2,CYP46A1,0.651,0.341,0.753,0.409,0.481,0.774,1.151,0.868,0.78,0.81,0.871,0.96,0.79,0.961,0.887,6.416,5,1.0,0,0,1
P09601,HMOX1,0.806,0.319,0.533,0.834,0.608,0.756,1.026,1.308,0.748,0.76,1.028,1.108,0.743,1.024,1.11,6.404,5,1.0,0,0,1
P01308,INS,0.885,0.378,0.376,0.732,0.671,0.848,0.845,1.242,0.875,0.83,0.827,1.181,0.827,0.824,1.171,6.4,5,1.0,0,0,1
P08247,SYP,0.739,0.499,0.649,0.733,0.646,0.982,1.148,1.233,0.982,0.982,1.148,1.145,0.982,1.145,1.144,6.385,5,0.0,0,0,1
P08473,MME,0.734,0.545,0.598,0.699,0.582,1.035,1.094,1.199,1.038,1.034,1.094,1.077,1.04,1.081,1.076,6.365,5,0.0,0,0,1
P01375,TNF,0.836,0.356,0.36,0.892,0.696,0.811,0.816,1.341,0.854,0.82,0.825,1.202,0.797,0.803,1.207,6.283,5,1.0,0,0,1
Q96BI3,APH1A,0.565,0.521,0.768,0.453,0.633,1.014,1.059,0.932,1.009,0.938,0.928,1.059,1.008,1.132,0.926,6.281,5,0.0,0,0,1
P21709,EPHA1,0.774,0.292,0.69,0.395,0.494,0.714,1.191,0.855,0.705,0.738,0.85,0.977,0.712,0.975,0.865,6.273,5,1.0,0,0,1
Q06481,APLP2,0.598,0.515,0.736,0.618,0.582,1.004,1.094,1.096,1.001,1.003,1.115,1.081,1.006,1.077,1.079,6.262,5,0.0,0,0,1
P37231,PPARG,0.787,0.314,0.478,0.822,0.582,0.746,0.96,1.289,0.749,0.752,0.963,1.079,0.736,0.961,1.081,6.231,5,1.0,0,0,1
P11137,MAP2,0.704,0.485,0.656,0.663,0.595,0.964,1.155,1.163,0.964,0.964,1.156,1.09,0.967,1.091,1.091,6.231,5,0.0,0,0,1
P12821,ACE,1.0,0.296,0.486,0.731,0.532,0.764,0.998,1.255,0.719,0.714,0.966,1.05,0.712,0.977,1.02,6.219,5,1.0,1,0,1
P78509,RELN,0.758,0.342,0.64,0.607,0.392,0.783,1.139,1.104,0.777,0.777,1.105,0.851,0.819,0.847,0.848,6.215,5,1.0,0,0,1
P01303,NPY,0.824,0.292,0.491,0.671,0.506,0.721,0.978,1.175,0.712,0.704,0.971,0.996,0.71,0.988,0.99,6.105,5,1.0,0,0,1
Q07812,BAX,0.866,0.36,0.397,0.874,0.38,0.821,0.869,1.367,0.844,0.822,0.87,0.847,0.851,0.873,0.848,6.104,5,1.0,0,0,1
P02654,APOC1,0.737,0.268,0.671,0.5,0.481,0.672,1.171,0.982,0.666,0.67,0.982,0.96,0.673,0.959,0.977,6.101,5,1.0,0,0,1
P07858,CTSB,0.686,0.471,0.576,0.696,0.582,0.947,1.07,1.186,0.952,0.947,1.07,1.076,0.951,1.076,1.076,6.072,5,0.0,0,0,1
Q9Y5Z0,BACE2,0.564,0.476,0.729,0.447,0.57,0.96,1.056,0.924,0.954,0.94,0.919,1.063,0.96,1.063,0.923,6.056,5,0.0,0,0,1
O43189,PHF1,0.474,0.551,0.724,0.418,0.595,0.959,0.951,0.902,1.042,0.888,0.882,0.954,1.046,1.09,0.883,6.043,5,0.0,0,0,1
P17927,CR1,0.818,0.346,0.663,0.241,0.316,0.795,1.166,0.644,0.782,0.667,0.622,0.755,0.8,0.74,0.683,6.037,5,1.0,0,0,0
Q9Y5K6,CD2AP,0.797,0.229,0.693,0.361,0.519,0.621,1.196,0.812,0.604,0.636,0.804,1.009,0.599,1.004,0.812,6.033,5,1.0,0,0,1
Q15109,AGER,0.772,0.429,0.665,0.659,0.582,0.899,1.166,1.16,0.894,0.895,1.159,1.078,0.899,1.077,1.077,6.013,5,0.0,0,0,1
P14136,GFAP,0.684,0.389,0.644,0.761,0.696,0.842,1.143,1.185,0.842,0.847,1.144,1.184,0.843,1.143,1.197,5.997,5,0.0,0,0,1
O00213,APBB1,0.47,0.531,0.752,0.294,0.595,0.957,0.948,0.72,1.02,0.71,0.714,0.949,1.023,1.091,0.706,5.988,5,0.0,0,0,1
P05019,IGF1,0.819,0.295,0.391,0.786,0.595,0.725,0.855,1.288,0.744,0.72,0.851,1.095,0.707,0.846,1.093,5.972,5,1.0,0,0,1
P46531,NOTCH1,0.69,0.502,0.483,0.57,0.57,0.985,0.962,1.063,0.979,0.992,0.968,1.062,0.992,0.968,1.07,5.948,5,0.0,0,0,1
P08138,NGFR,0.75,0.454,0.616,0.721,0.532,0.928,1.114,1.222,0.927,0.926,1.113,1.02,0.937,1.022,1.019,5.947,5,0.0,0,0,1
Q9NZ42,PSENEN,0.468,0.49,0.764,0.49,0.62,0.963,0.947,0.963,0.972,0.99,0.973,0.946,0.972,1.119,0.973,5.918,5,0.0,0,0,1
P10997,IAPP,0.671,0.39,0.637,0.522,0.62,0.843,1.135,1.008,0.843,0.853,1.009,1.118,0.844,1.119,1.01,5.902,5,0.0,0,0,1
P51693,APLP1,0.467,0.485,0.742,0.232,0.582,0.962,0.943,0.611,0.965,0.608,0.616,0.946,0.969,1.077,0.602,5.862,5,0.0,0,0,1
Q7LC44,ARC,0.746,0.244,0.576,0.669,0.468,0.637,1.07,1.169,0.624,0.628,1.07,0.946,0.634,0.949,0.944,5.86,5,1.0,0,0,1
P03372,ESR1,0.83,0.293,0.365,0.711,0.506,0.723,0.822,1.216,0.751,0.707,0.81,0.997,0.711,0.821,0.99,5.825,5,1.0,0,0,1
P07339,CTSD,0.647,0.401,0.626,0.738,0.557,0.858,1.125,1.146,0.859,0.861,1.124,1.049,0.864,1.05,1.049,5.806,5,0.0,0,0,1
P16220,CREB1,0.702,0.396,0.537,0.191,0.671,0.852,1.025,0.541,0.86,0.546,0.527,1.17,0.852,1.025,0.536,5.784,5,0.0,0,0,1
P06850,CRH,0.75,0.246,0.46,0.705,0.456,0.641,0.936,1.206,0.639,0.635,0.934,0.93,0.64,0.954,0.928,5.741,5,1.0,0,0,1
Q13224,GRIN2B,0.604,0.353,0.604,0.705,0.646,0.793,1.104,1.1,0.793,0.793,1.1,1.101,0.792,1.101,1.144,5.683,5,0.0,0,0,1
P10635,CYP2D6,0.787,0.245,0.46,0.603,0.418,0.644,0.939,1.102,0.636,0.625,0.937,0.886,0.646,0.905,0.882,5.656,5,1.0,0,0,1
P02766,TTR,0.679,0.38,0.579,0.619,0.544,0.829,1.072,1.116,0.832,0.83,1.075,1.034,0.836,1.04,1.036,5.644,5,0.0,0,0,1
P28799,GRN,0.715,0.32,0.722,0.535,0.595,0.747,1.215,1.023,0.748,0.749,1.023,1.09,0.745,1.09,1.028,5.636,5,0.0,0,0,1
Q16572,SLC18A3,0.587,0.392,0.594,0.327,0.506,0.848,1.086,0.755,0.848,0.795,0.755,0.994,0.859,0.994,0.764,5.629,5,0.0,0,0,1
P62760,VSNL1,0.672,0.177,0.709,0.568,0.468,0.513,1.172,1.06,0.519,0.502,1.06,0.944,0.504,0.944,0.95,5.596,5,1.0,0,0,1
P22466,GAL,0.678,0.406,0.62,0.633,0.456,0.864,1.117,1.132,0.865,0.865,1.119,0.928,0.89,0.93,0.929,5.595,5,0.0,0,0,1
P06213,INSR,0.882,0.265,0.503,0.67,0.304,0.693,0.999,1.179,0.665,0.661,0.985,0.748,0.736,0.729,0.721,5.569,5,1.0,0,0,0
P04271,S100B,0.795,0.34,0.546,0.667,0.608,0.784,1.039,1.169,0.779,0.774,1.036,1.107,0.774,1.039,1.104,5.521,5,0.0,0,0,1
Q16643,DBN1,0.565,0.376,0.662,0.59,0.494,0.828,1.058,1.062,0.824,0.826,1.085,0.982,0.839,0.975,0.979,5.506,5,0.0,0,0,1
P29474,NOS3,0.823,0.19,0.464,0.805,0.481,0.565,0.946,1.306,0.531,0.561,0.944,0.967,0.53,0.959,0.965,5.498,5,1.0,1,0,1
O95477,ABCA1,0.692,0.338,0.598,0.729,0.544,0.772,1.094,1.192,0.772,0.775,1.094,1.034,0.776,1.038,1.034,5.486,5,0.0,0,0,1
P20138,CD33,0.764,0.152,0.57,0.461,0.519,0.486,1.064,0.938,0.453,0.451,0.941,1.006,0.45,1.011,0.949,5.47,5,1.0,0,0,1
Q13148,TARDBP,0.663,0.269,0.738,0.54,0.646,0.668,1.163,1.03,0.675,0.668,1.03,1.145,0.667,1.145,1.03,5.461,5,0.0,0,0,1
Q96EB6,SIRT1,0.695,0.322,0.537,0.195,0.646,0.749,1.025,0.547,0.752,0.585,0.535,1.144,0.747,1.026,0.541,5.443,5,0.0,0,0,1
P06241,FYN,0.641,0.328,0.595,0.552,0.544,0.756,1.092,1.044,0.757,0.76,1.047,1.035,0.761,1.038,1.043,5.439,5,0.0,0,0,1
P61278,SST,0.702,0.358,0.569,0.554,0.494,0.8,1.061,1.044,0.803,0.804,1.052,0.975,0.813,0.981,0.983,5.433,5,0.0,0,0,1
Q9Y287,ITM2B,0.582,0.376,0.729,0.457,0.443,0.827,1.076,0.935,0.826,0.847,0.931,0.917,0.851,0.913,0.939,5.411,5,0.0,0,0,1
P05937,CALB1,0.595,0.335,0.568,0.536,0.519,0.768,1.066,1.028,0.77,0.773,1.031,1.009,0.775,1.012,1.016,5.399,5,0.0,0,0,1
P35354,PTGS2,0.796,0.353,0.466,0.162,0.595,0.802,0.946,0.512,0.813,0.496,0.473,1.093,0.794,0.944,0.475,5.392,5,0.0,0,0,1
P51861,CDR1,0.655,0.327,0.755,0.384,0.494,0.755,1.154,0.835,0.762,0.799,0.839,0.975,0.767,0.976,0.85,5.39,5,0.0,0,0,1
Q96JQ5,MS4A4A,0.604,0.196,0.691,0.332,0.367,0.538,1.1,0.763,0.548,0.581,0.764,0.813,0.566,0.813,0.814,5.377,5,1.0,0,0,1
P55008,AIF1,0.602,0.279,0.627,0.704,0.722,0.682,1.1,1.097,0.682,0.686,1.124,1.097,0.688,1.124,1.204,5.374,5,0.0,0,0,1
P42261,GRIA1,0.569,0.304,0.57,0.587,0.608,0.722,1.068,1.067,0.722,0.721,1.068,1.065,0.721,1.066,1.085,5.364,5,0.0,0,0,1
P43681,CHRNA4,0.671,0.561,0.646,0.665,0.291,1.053,1.145,1.164,1.054,1.053,1.145,0.702,0.702,0.701,0.702,5.357,5,0.0,0,0,0
P42898,MTHFR,0.773,0.188,0.509,0.488,0.405,0.551,0.995,0.971,0.524,0.525,0.984,0.868,0.539,0.877,0.881,5.353,5,1.0,0,0,1
Q9UMX0,UBQLN1,0.47,0.378,0.707,0.447,0.456,0.847,0.946,0.941,0.827,0.853,0.918,0.952,0.85,0.929,0.945,5.351,5,0.0,0,0,1
P31749,AKT1,0.732,0.4,0.363,0.167,0.671,0.859,0.809,0.505,0.847,0.492,0.503,1.171,0.857,0.807,0.493,5.35,5,0.0,0,0,1
P21397,MAOA,0.656,0.302,0.597,0.633,0.557,0.718,1.093,1.132,0.717,0.717,1.095,1.049,0.72,1.052,1.05,5.349,5,0.0,0,0,1
P43004,SLC1A2,0.641,0.285,0.59,0.21,0.595,0.692,1.086,0.568,0.692,0.64,0.564,1.092,0.692,1.09,0.565,5.343,5,0.0,0,0,1
P05412,JUN,0.674,0.378,0.388,0.176,0.608,0.828,0.84,0.511,0.875,0.52,0.517,1.104,0.829,0.842,0.503,5.317,5,0.0,0,0,1
P37840,SNCA,0.688,0.2,0.725,0.204,0.835,0.556,1.188,0.563,0.561,0.695,0.569,1.194,0.584,1.23,0.591,5.313,5,0.0,0,0,1
P17600,SYN1,0.516,0.312,0.593,0.222,0.595,0.739,1.005,0.588,0.732,0.649,0.586,1.005,0.732,1.093,0.586,5.307,5,0.0,0,0,1
P20472,PVALB,0.626,0.294,0.558,0.539,0.582,0.705,1.052,1.03,0.708,0.709,1.036,1.079,0.706,1.055,1.033,5.305,5,0.0,0,0,1
P05231,IL6,0.828,0.341,0.392,0.857,0.709,0.79,0.857,1.33,0.818,0.795,0.861,1.214,0.778,0.847,1.216,5.304,5,0.0,0,0,1
P41159,LEP,0.862,0.173,0.393,0.764,0.519,0.547,0.863,1.27,0.508,0.522,0.852,1.015,0.492,0.858,1.006,5.283,5,1.0,0,0,1
P78352,DLG4,0.611,0.259,0.61,0.654,0.709,0.648,1.109,1.108,0.648,0.65,1.107,1.107,0.655,1.106,1.153,5.274,5,0.0,0,0,1
Q92686,NRGN,0.584,0.278,0.706,0.392,0.57,0.68,1.078,0.849,0.685,0.715,0.847,1.068,0.681,1.062,0.85,5.254,5,0.0,0,0,1
Q99523,SORT1,0.595,0.304,0.609,0.22,0.506,0.721,1.094,0.581,0.721,0.648,0.582,0.994,0.729,0.993,0.584,5.251,5,0.0,0,0,1
Q8IU99,CALHM1,0.399,0.385,0.75,,0.456,0.879,0.858,,0.84,,,0.88,0.86,0.93,,5.247,4,0.0,0,0,1
P12036,NEFH,0.625,0.291,0.64,0.525,0.519,0.7,1.124,1.014,0.7,0.705,1.013,1.006,0.705,1.006,1.018,5.241,5,0.0,0,0,1
P01034,CST3,0.766,0.329,0.585,0.585,0.443,0.765,1.081,1.081,0.758,0.758,1.085,0.916,0.781,0.916,0.916,5.217,5,0.0,0,0,1
Q00059,TFAM,0.724,0.132,0.571,0.712,0.468,0.438,1.064,1.212,0.409,0.435,1.064,0.945,0.403,0.95,0.944,5.209,5,1.0,0,0,1
P05198,EIF2S1,0.716,0.162,0.507,0.683,0.418,0.493,0.991,1.183,0.471,0.487,0.99,0.881,0.479,0.894,0.88,5.208,5,1.0,0,0,1
P42858,HTT,0.603,0.266,0.562,0.552,0.696,0.661,1.058,1.046,0.662,0.662,1.05,1.099,0.665,1.054,1.042,5.198,5,0.0,0,0,1
Q9H2W1,MS4A6A,0.472,0.313,0.769,0.436,0.519,0.749,0.951,0.926,0.742,0.758,0.907,0.961,0.74,1.007,0.916,5.15,5,0.0,0,0,1
P78536,ADAM17,0.734,0.3,0.558,0.629,0.481,0.72,1.049,1.127,0.716,0.714,1.051,0.96,0.726,0.967,0.961,5.14,5,0.0,0,0,1
P25713,MT3,0.595,0.313,0.642,0.691,0.43,0.735,1.092,1.091,0.735,0.737,1.141,0.899,0.761,0.897,0.896,5.118,5,0.0,0,0,1
P53805,RCAN1,0.671,0.285,0.67,0.478,0.456,0.692,1.17,0.956,0.692,0.702,0.956,0.928,0.707,0.928,0.95,5.118,5,0.0,0,0,1
P02787,TF,0.784,0.264,0.439,0.718,0.215,0.674,0.912,1.22,0.676,0.664,0.908,0.597,0.667,0.585,0.586,5.111,5,1.0,0,0,0
Q9H2P0,ADNP,0.66,0.302,0.64,0.563,0.43,0.718,1.139,1.056,0.717,0.719,1.057,0.896,0.742,0.897,0.902,5.109,5,0.0,0,0,1
P34932,HSPA4,0.717,0.298,0.465,0.563,0.57,0.716,0.94,1.055,0.727,0.713,0.947,1.062,0.713,0.946,1.062,5.104,5,0.0,0,0,1
P25090,FPR2,0.644,0.315,0.548,0.294,0.43,0.737,1.038,0.705,0.741,0.78,0.708,0.897,0.764,0.904,0.729,5.081,5,0.0,0,0,1
P45983,MAPK8,0.702,0.308,0.467,0.181,0.481,0.729,0.943,0.524,0.742,0.56,0.511,0.959,0.739,0.964,0.51,5.077,5,0.0,0,0,1
O43602,DCX,0.632,0.271,0.512,0.45,0.57,0.668,0.997,0.922,0.673,0.684,0.935,1.064,0.668,1.003,0.927,5.074,5,0.0,0,0,1
Q16769,QPCT,0.626,0.297,0.622,0.487,0.43,0.71,1.122,0.968,0.71,0.721,0.968,0.897,0.735,0.897,0.915,5.071,5,0.0,0,0,1
Q13627,DYRK1A,0.656,0.243,0.668,0.408,0.532,0.625,1.155,0.867,0.626,0.647,0.867,1.02,0.624,1.019,0.877,5.07,5,0.0,0,0,1
P07203,GPX1,0.689,0.333,0.45,0.815,0.418,0.764,0.922,1.193,0.785,0.777,0.929,0.88,0.795,0.907,0.888,5.054,5,0.0,0,0,1
P30536,TSPO,0.668,0.228,0.602,0.213,0.582,0.601,1.098,0.575,0.597,0.696,0.57,1.077,0.596,1.08,0.569,5.05,5,0.0,0,0,1
Q02410,APBA1,0.478,0.333,0.656,0.514,0.405,0.779,0.956,0.97,0.764,0.773,0.999,0.883,0.8,0.863,0.876,5.045,5,0.0,0,0,1
P01583,IL1A,0.692,0.288,0.476,0.724,0.532,0.698,0.953,1.192,0.708,0.701,0.953,1.019,0.699,0.964,1.02,5.041,5,0.0,0,0,1
Q16143,SNCB,0.58,0.271,0.674,0.424,0.481,0.669,1.074,0.892,0.671,0.692,0.888,0.965,0.679,0.959,0.908,5.018,5,0.0,0,0,1
P43003,SLC1A3,0.549,0.249,0.558,0.634,0.532,0.633,1.048,1.041,0.633,0.633,1.051,1.029,0.634,1.028,1.021,5.005,5,0.0,0,0,1
P36969,GPX4,0.636,0.33,0.429,0.693,0.405,0.759,0.894,1.134,0.788,0.761,0.894,0.864,0.796,0.897,0.864,4.998,5,0.0,0,0,1
P98155,VLDLR,0.582,0.284,0.648,0.546,0.443,0.689,1.077,1.042,0.689,0.691,1.037,0.917,0.708,0.913,0.921,4.993,5,0.0,0,0,1
Q8IXJ6,SIRT2,0.656,0.25,0.521,0.477,0.557,0.635,1.008,0.955,0.636,0.642,0.968,1.049,0.634,1.016,0.962,4.977,5,0.0,0,0,1
P06733,ENO1,0.788,0.144,0.483,0.741,0.367,0.476,0.965,1.242,0.43,0.465,0.962,0.82,0.446,0.829,0.815,4.966,5,1.0,0,0,0
Q13526,PIN1,0.727,0.304,0.682,0.461,0.342,0.725,1.182,0.936,0.721,0.737,0.935,0.78,0.781,0.777,0.796,4.966,5,0.0,0,0,0
P02743,APCS,0.66,0.303,0.536,0.569,0.405,0.72,1.025,1.062,0.723,0.721,1.032,0.863,0.752,0.872,0.868,4.956,5,0.0,0,0,1
P46821,MAP1B,0.515,0.28,0.614,0.611,0.456,0.689,1.002,1.003,0.683,0.683,1.11,0.942,0.7,0.93,0.93,4.947,5,0.0,0,0,1
P05090,APOD,0.58,0.267,0.626,0.555,0.456,0.663,1.076,1.052,0.663,0.664,1.048,0.933,0.677,0.93,0.936,4.942,5,0.0,0,0,1
Q99714,HSD17B10,0.565,0.302,0.699,0.551,0.38,0.72,1.057,1.049,0.721,0.721,1.041,0.834,0.761,0.83,0.835,4.922,5,0.0,0,0,1
P04406,GAPDH,0.713,0.237,0.48,0.744,0.646,0.621,0.958,1.213,0.619,0.625,0.959,1.144,0.614,0.959,1.145,4.916,5,0.0,0,0,1
Q5S007,LRRK2,0.596,0.203,0.584,0.224,0.633,0.552,1.083,0.589,0.552,0.679,0.589,1.093,0.555,1.08,0.591,4.915,5,0.0,0,0,1
O95197,RTN3,0.595,0.28,0.651,0.54,0.405,0.683,1.092,1.034,0.684,0.686,1.03,0.866,0.714,0.863,0.872,4.902,5,0.0,0,0,1
Q99767,APBA2,0.477,0.302,0.678,0.207,0.405,0.73,0.955,0.563,0.718,0.623,0.566,0.883,0.75,0.863,0.577,4.9,5,0.0,0,0,1
P07101,TH,0.667,0.25,0.463,0.775,0.608,0.637,0.938,1.168,0.645,0.65,0.941,1.104,0.634,0.94,1.106,4.899,5,0.0,0,0,1
P41594,GRM5,0.686,0.226,0.572,0.544,0.532,0.6,1.064,1.034,0.593,0.594,1.04,1.019,0.594,1.026,1.03,4.897,5,0.0,0,0,1
P17677,GAP43,0.571,0.23,0.603,0.622,0.519,0.6,1.068,1.067,0.601,0.601,1.101,1.011,0.602,1.008,1.007,4.89,5,0.0,0,0,1
P20810,CAST,0.671,0.308,0.421,0.418,0.405,0.727,0.884,0.88,0.755,0.756,0.917,0.863,0.76,0.9,0.901,4.889,5,0.0,0,0,1
P60880,SNAP25,0.671,0.206,0.579,0.603,0.57,0.563,1.073,1.099,0.556,0.557,1.076,1.063,0.556,1.069,1.066,4.878,5,0.0,0,0,1
O00429,DNM1L,0.671,0.218,0.592,0.704,0.532,0.585,1.087,1.171,0.579,0.589,1.086,1.019,0.579,1.024,1.019,4.873,5,0.0,0,0,1
P07197,NEFM,0.553,0.259,0.63,0.453,0.456,0.649,1.045,0.933,0.649,0.663,0.926,0.936,0.662,0.929,0.952,4.871,5,0.0,0,0,1
Q12879,GRIN2A,0.656,0.202,0.556,0.668,0.608,0.554,1.047,1.155,0.548,0.555,1.047,1.105,0.55,1.05,1.104,4.854,5,0.0,0,0,1
P08069,IGF1R,0.882,0.111,0.412,0.691,0.418,0.447,0.89,1.2,0.355,0.39,0.873,0.897,0.354,0.91,0.88,4.854,5,1.0,0,0,1
P17787,CHRNB2,0.568,0.153,0.63,0.498,0.278,0.453,1.063,0.987,0.46,0.45,0.982,0.681,0.509,0.681,0.688,4.847,5,1.0,0,0,0
Q9NTG7,SIRT3,0.62,0.232,0.502,0.683,0.557,0.604,0.986,1.118,0.607,0.609,0.984,1.051,0.603,0.993,1.048,4.844,5,0.0,0,0,1
P55212,CASP6,0.568,0.256,0.622,0.645,0.443,0.644,1.063,1.062,0.644,0.645,1.121,0.918,0.66,0.914,0.913,4.843,5,0.0,0,0,1
Q30201,HFE,0.908,0.121,0.53,0.483,0.329,0.473,1.034,0.979,0.381,0.378,0.973,0.788,0.397,0.764,0.772,4.837,5,1.0,1,0,0
P15104,GLUL,0.621,0.25,0.523,0.657,0.468,0.634,1.011,1.119,0.637,0.636,1.009,0.946,0.644,0.957,0.944,4.828,5,0.0,0,0,1
P10415,BCL2,0.897,0.097,0.342,0.875,0.62,0.428,0.803,1.377,0.325,0.42,0.799,1.13,0.343,0.776,1.127,4.804,5,1.0,0,0,1
P0CG47,UBB,0.595,0.277,0.609,0.617,0.367,0.678,1.094,1.093,0.677,0.678,1.108,0.814,0.723,0.813,0.812,4.798,5,0.0,0,0,1
P20783,NTF3,0.66,0.222,0.549,0.416,0.506,0.589,1.04,0.877,0.585,0.603,0.884,0.99,0.587,0.999,0.891,4.79,5,0.0,0,0,1
P31645,SLC6A4,0.644,0.243,0.489,0.682,0.481,0.623,0.97,1.143,0.628,0.626,0.969,0.96,0.629,0.979,0.959,4.788,5,0.0,0,0,1
P01100,FOS,0.543,0.282,0.369,0.849,0.557,0.688,0.821,1.04,0.731,0.711,0.83,1.041,0.687,0.819,1.056,4.787,5,0.0,0,0,1
