SwissProt_Accessions,geneName,DISGENET_Score,Harmonizome_Score,Pubpular_Score,CTD_Score,D2_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,D2D_Score,D2H_Score,D2P_Score,D2C_Score,BDMC_Score,Frequency,CTD_Marker,eDGAR_Marker,BIONDA_Marker,Dis_2_Marker
Q8NGS9,OR13C2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGS7,OR13C8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGS6,OR13C3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGS5,OR13C4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGS4,OR13F1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGB9,OR4F6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGB6,OR4M2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BY19,MS4A8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7C7,RNF148,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6Y2,LRRC17,,,,0.483,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N6V9,TEX9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6Q1,TMCO5A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6N7,ACBD7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6N6,NATD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6N3,C1orf52,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6M9,ZFAND2A,,,,0.382,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N6M8,IQCF1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N6M5,ALLC,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N699,MYCT1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N688,DEFB123,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N687,DEFB125,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N660,NBPF15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5X7,EIF4E3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5W9,RFLNB,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5U1,MS4A15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5T2,TBC1D19,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N782,ZNF525,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7F7,UBL4B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGB4,OR4S1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7G0,POU5F2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N944,AMER3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N8Z6,DCBLD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N8U3,RTL3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N8Q9,NIPA2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N8M0,NAT16,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N8F7,LSMEM1,,,,0.525,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N8D1,PDCD7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N8C0,ZNF781,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N878,FRMD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N823,ZNF611,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N815,CNTD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7Z5,ANKRD31,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7S2,DNAJC5G,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7R7,CCNYL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7R0,NANOGP1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7Q3,ZNF676,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N7M0,DYNLT5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5J4,SPIC,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5I9,NOPCHAP1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5H3,FAM89B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N5C6,SRBD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N3H0,TAFA2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N3F9,GPR137C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N349,OR2L13,,,,,0.123,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N336,ELMOD1,,,,0.485,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N328,PGBD3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N323,NXPE1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N309,LRRC43,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N2X6,EXOC3-AS1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N2I2,ZNF619,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N283,ANKRD35,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N228,SCML4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N1W2,ZNF710,,,,0.573,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N1S5,SLC39A11,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N1N0,CLEC4F,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N1L4,CYP4Z2P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N1E2,LYG1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N1A6,C4orf33,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N3R3,TCAIM,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N3S3,PHTF2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N3T6,TMEM132C,,,,0.535,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N4H0,SPATA6L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N587,ZNF561,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N584,TTC39C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N567,ZCCHC9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N531,FBXL6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N4Z0,RAB42,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N4U5,TCP11L2,,,,0.447,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N4S0,CCDC82,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N4F7,RNF175,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N3Z0,PRSS35,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N4B4,FBXO39,,,,0.551,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N468,MFSD4A,,,,0.494,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N456,LRRC18,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N434,SVOPL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N431,RASGEF1C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N413,SLC25A45,,,,0.487,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8N3Z3,GTPBP8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N961,ABTB2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N967,LRTM2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N972,ZNF709,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NE65,ZNF738,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG41,NPB,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG35,DEFB105A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFZ6,VN1R2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFU4,FDCSP,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFR7,CCDC148,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFQ6,BPIFC,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFQ5,BPIFB6,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NFI4,ST13P5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEY3,SPATA4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEP7,KLHDC9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEM2,SHCBP1,,,,0.417,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NEM1,ZNF680,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEK5,ZNF548,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEG7,DENND6B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEG5,ZSWIM2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEG4,FAM83F,,,,0.529,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NEC7,GSTCD,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG75,OR5T1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG76,OR2T33,,,,,0.154,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NG77,OR2T12,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG97,OR2Z1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGB2,OR4C5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA8,OR4F17,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA6,OR10H5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA5,OR10H4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA2,OR7A2P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NGA1,OR1M1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG99,OR7G2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG95,OR7G3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG78,OR8G5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG94,OR11H1,,,,,0.108,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NG92,OR13H1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG85,OR2L3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG84,OR2AK2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG83,OR2M3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG81,OR2M7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NG80,OR2L5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NEA5,C19orf18,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NE22,SETD9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N998,CCDC89,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NE18,NSUN7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NB37,GATD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NA92,THAP8,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NA69,TEX45,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NA47,CCDC63,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NA23,WDR31,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NA03,FSIP1,,,,0.543,0.046,,,,,,,,,,0.198,0.0,2,0.0,0,0,0
Q8N9Z9,LMNTD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9Z0,ZNF610,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9Y4,FAM181A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9W8,GARIN2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9V7,TOPAZ1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9U0,TC2N,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9T8,KRI1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9N7,LRRC57,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9M1,C19orf47,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9K5,ZNF565,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8N9F8,ZNF454,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NB42,ZNF527,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NB46,ANKRD52,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NB50,ZFP62,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8ND61,C3orf20,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NE00,TMEM104,,,,0.535,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NDZ6,TMEM161B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NDZ0,BEND2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NDY6,BHLHE23,,,,0.563,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NDY3,ADPRHL1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NDW4,ZNF248,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NDA8,MROH1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8ND07,BBOF1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NBL3,TMEM178A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NCX0,CCDC150,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NCR9,CLRN3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NCQ5,FBXO15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NCN5,PDPR,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NCL9,APCDD1L,,,,0.549,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q8NCI6,GLB1L3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NC74,RBBP8NL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH54,OR56A3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH55,OR52E5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH56,OR52N5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96PI1,SPRR4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96P67,GPR82,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96P64,AGAP4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NU7,AMDHD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NT1,NAP1L5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NS5,ASB16,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NJ6,ZFP3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NJ5,KLHL32,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NJ3,ZNF285,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NI8,ZNF570,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NG8,ZNF582,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96ND8,ZNF583,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96NA8,TSNARE1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96N46,TTC14,,,,0.502,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96N22,ZNF681,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96N20,ZNF75A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96N11,INTS15,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96N03,VSTM2L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96PG2,MS4A10,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96PT3,DUX5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q8NH57,OR52P1,,,,0.687,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96PX6,CCDC85A,,,,0.487,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96R69,OR4F4,,,,,0.215,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96R67,OR4C12,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R54,OR14A2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R47,OR2A14,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R45,OR2A7,,,,,0.031,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96R30,OR2V2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R28,OR2M2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R27,OR2M4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R09,OR5B2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R08,OR5B12,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R05,RBP7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96QZ0,PANX3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96QK8,SMIM14,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96QH8,SPACA5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96QE4,LRRC37B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96QD5,DEPDC7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96QA6,YPEL2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MY1,NOL4L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MW1,CCDC43,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MU6,ZNF778,,,,0.634,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96MS3,GLT1D1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LK8,SPATA32,,,,0.634,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96LB0,MRGPRX3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96L11,LLCFC1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96L03,SPATA17,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KW9,SPACA7,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KV6,BTN2A3P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KT7,SLC35G5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KN9,GJD4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KJ4,MSLNL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KD3,GARIN1B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96KC9,CABS1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96K75,ZNF514,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96K62,ZBTB45,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96K37,SLC35E1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96K17,BTF3L4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96JM4,LRRIQ1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96JF6,ZNF594,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LP2,FAM81B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LQ0,PPP1R36,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LR4,TAFA4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MC5,BMERB1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MR9,ZNF560,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MR6,CFAP57,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MN5,TCEANC2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MK2,RIPOR3,,,,0.539,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96MF6,COQ10A,,,,0.494,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96ME7,ZNF512,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96MC6,MFSD14A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96M95,CCDC42,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LT6,C1orf74,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96M93,ADAD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96M53,TBATA,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96M34,TEX55,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96M20,CNBD2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LW1,ZNF354B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LU7,MYRFL,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96LU5,IMMP1L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R72,OR4K3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96R84,OR1F2P,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96RB7,OR5M11,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BR77,CCDC77,,,,0.487,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q9BV97,ZNF747,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BV87,CNPPD1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BUY7,EFCAB11,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BUJ0,ABHD14A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BUA6,MYL10,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BTY7,HGH1,,,,0.515,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q9BTV7,CABLES2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BTF0,THUMPD2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BTE0,NAT9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BT73,PSMG3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BSY4,CHCHD5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BSK0,MARVELD1,,,,0.465,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q9BSJ1,TRIM51,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BSC4,NOL10,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BS91,SLC35A5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BRP7,FDXACB1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BRN9,TM2D3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BVM2,DPCD,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BVV8,FAM174C,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BWD3,RTL8A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXN6,SPANXD,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXY5,CAPS2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXY0,MAK16,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXX3,ANKRD30A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXX2,ANKRD30B,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXW7,HDHD5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXU8,FTHL17,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXU3,TEX13A,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BXM9,FSD1L,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BWG4,SSBP4,,,,0.504,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q9BXE9,VN1R3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BX73,TM2D2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BX69,CARD6,,,,0.487,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q9BWW9,APOL5,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BWV2,SPATA9,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BWT6,MND1,,,,0.454,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q9BWM5,ZNF416,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BRH9,ZNF251,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BR26,OCSTAMP,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96RC9,OR8B4,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9BR10,SPATA25,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96T17,MAP7D2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96SK2,TMEM209,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96SJ8,TSPAN18,,,,0.47,,,,,,,,,,,,0.0,1,0.0,0,0,0
Q96SF2,CCT8L2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96SA4,SERINC2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96S95,CAMK2N2,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96S86,HAPLN3,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96S19,METTL26,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q96RY5,CRAMP1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
Q9HC47,CTAGE1,,,,,,,,,,,,,,,,0.0,0,0.0,0,0,0
