proteinid,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Q9NX08,0,0,0,91569,0,0,0,111090,456590,503410,237460,149540,0,0,0,519260,0,0,0,0,0,0,0,0
Q9NX24,612140,775620,0,0,306580,197890,578310,569870,675300,695090,0,591300,658300,442720,324470,338940,0,196040,469160,241620,0,0,0,657550
Q9NX40,0,0,199790,0,0,0,0,112700,2667100,2356100,349220,452050,0,147160,111210,108120,782700,1727200,865670,331190,1297400,883070,640390,756300
Q9NX46,2550000,2302700,253910,334310,558350,1963700,1012300,794350,1403400,1335400,4726000,3703900,2968000,3269200,2416600,1965500,1439000,1414300,311950,498850,3473400,3881000,1053000,1421200
Q9NX47,0,0,219570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623160,0,0,0,0
Q9NX55,0,0,0,0,0,0,0,0,340110,324580,0,90772,0,91026,0,0,0,0,0,0,0,77766,0,0
Q9NX63,1822600,1328100,1394500,2283100,2013300,1210500,1584900,1475800,3474800,5350700,173160,817030,2408500,2408000,814230,1028400,1791600,2883500,3626600,3519700,3235300,1603200,2488000,1676500
Q9NX94,0,0,0,0,279450,149170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263100,791040,0,0
Q9NXG2,1641200,1319200,739580,492090,2989400,2919700,4942000,6887500,3603500,1747200,16692000,23043000,52012000,40176000,1431200,1342500,258470,18000000,444530,0,8281000,5719800,1633900,1607600
Q9NXH9,0,0,0,0,96672,66526,114650,159010,325120,198040,114150,183180,0,0,194650,0,0,0,0,0,0,0,0,0
Q9NXR1,0,0,0,0,0,0,0,0,253990,333040,0,113240,0,0,267560,307910,297480,81456,120540,0,0,0,0,86603
Q9NXR7,1455600,1618600,341880,311500,289370,574230,0,0,1295900,1115700,979900,1147900,696400,684340,672560,283350,317760,291300,0,0,2984200,1836300,0,391370
Q9NXV6,1026300,979550,100100,0,601850,175890,0,446680,1550400,1411300,1250300,1389100,676090,142510,768770,634970,178850,98100,245460,115480,2318100,753370,391910,128550
Q9NY12,643110,699910,159660,0,413320,407240,1368000,1214800,402290,269890,593280,790910,430540,805780,276850,459660,0,0,874850,734590,466240,394680,0,343480
Q9NY15,1620400,1757300,1345500,1371400,433930,729740,0,126030,277860,138710,1015100,1400300,1920600,2158600,1236500,1245700,632930,603130,0,129780,259430,258930,682970,426490
Q9NY27,648180,255530,0,0,377400,91097,0,375050,493850,354290,547930,538570,0,83577,492240,515010,0,0,0,0,1164500,0,458300,236830
Q9NY33,3382400,3651500,1411000,1035200,2585400,1134700,1270200,844830,4660700,4266400,3127000,3046600,2397600,3086200,1311600,3673300,730040,1359800,825030,587160,3228900,3441900,2008100,291150
Q9NY47,114740,113950,0,0,0,0,0,0,0,0,197530,235590,106600,226740,264110,0,0,0,832380,714460,1289200,1031600,713430,773230
Q9NY65,0,0,0,0,0,0,550450,888920,0,0,0,0,0,31979,0,78849,0,0,0,0,0,0,0,0
