proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
O00186,-0.9199047,-0.6475179,-0.5003283,-0.4102751,-0.18656,-0.2137056,-0.2994419,-0.5036412,-0.1473998,-0.1356751,-0.4435481,-0.304041,-0.7604205,-0.3245295,-0.3918792,-0.5750295,-0.1942496,-0.1759795,-0.16006,-0.329776,-0.6387794,-0.9715059,0.2439758,0.2547448
O00203,0.13351347,0.22904885,-0.85199137,-0.29487075,-0.37580706,-0.30466571,-0.20610426,-0.65692016,-0.11361172,-0.01385109,0.07528679,0.03103014,-0.11494419,-0.24337407,0.20245892,0.20626191,0.00319802,0.09078562,-0.12867057,-0.17945854,-0.16649258,-0.02887899,0.22234685,0.19137423
O00231,0.5619698,0.6034799,0.3648967,0.4102221,0.6834624,0.7018912,0.5787823,0.6251023,0.4191686,0.34237,0.5198293,0.6328628,0.4355124,0.6495859,0.6514721,0.5721415,0.3000573,0.4442829,0.1245704,0.136756,0.6186789,0.6846222,0.4287521,0.5007448
O00232,0.41293296,0.48411125,0.03592844,-0.08248907,0.37050813,0.37757357,0.55903448,0.41087142,-0.01612516,-0.38718611,0.44832656,0.37648333,0.42434902,0.30133976,0.41378173,0.38365266,0.30759065,0.19741085,-0.25111225,-0.1576889,0.23191327,0.41558084,-0.04763841,0.25891586
O00233,0.18700445,0.19490287,-0.4887176,-0.38000914,0.51082687,0.1680218,0.05229177,0.01894607,0.22613433,0.2730479,0.1600806,0.20271557,0.43653236,0.44587939,0.11390584,0.19406464,0.29735358,0.41229108,0.77827425,0.58834742,0.32248563,0.42282357,-0.16577307,0.16843941
O00244,0.71528169,0.65654881,0.75965402,-0.90353584,0.19627589,0.56709115,0.03463381,0.14362066,0.44747813,0.45843544,0.53296683,0.59106266,0.34318273,0.19179233,0.16494716,0.52331085,0.3745472,0.46006479,0.44562382,0.54006935,0.94778355,0.82606754,0.21139925,0.46982917
O00264,0.5996014,0.5708577,1.1834421,1.0078244,1.5449652,1.5380441,1.2437881,1.2121771,1.0028567,0.9980632,1.1639326,1.1320296,1.1551056,1.0287579,0.1832862,0.2340832,0.9736233,0.457465,0.978284,1.0116786,1.1163222,1.0339233,0.5184525,0.5048387
O00273,-0.3286283,-0.23037761,-0.32489212,0.04134886,-0.08900287,-0.1311045,-0.43660469,-0.38084617,-0.89505897,-1.15869353,-0.16973414,-0.51623607,-0.39236612,-0.73411347,-0.5401587,-0.59188688,-0.68260341,-0.53273334,-0.18569681,-0.14870525,-0.29036543,-0.25707608,-0.89592363,-0.77085388
O00299,1.3547595,1.3117495,1.0692603,1.0850606,1.3920795,1.3775942,0.6582354,0.5567673,1.2549107,1.2910662,1.232996,1.1578083,1.3756842,1.1982459,1.2649001,1.2790996,1.3645003,1.4242068,0.7381932,0.7970448,1.3440786,1.3581289,1.3376574,1.3474494
O00303,-0.04983855,-0.03580351,0.14554118,0.21122817,0.10173592,0.11108483,0.53666504,0.49326595,-0.0654665,-0.04814766,0.0511883,0.07611847,-0.20307495,-0.05207493,0.05114996,-0.07646703,-0.31458149,-0.07252366,0.21338862,0.21037246,-0.21917165,-0.35916913,0.09601821,0.0824423
O00330,-1.1761867,-1.2019613,-0.8271041,-0.824289,-0.9338913,-1.3458608,-0.9112259,-1.0728597,-0.6514011,-0.6838874,-1.2970059,-1.5235501,-0.8714076,-1.1016864,-1.1584253,-1.1334958,-0.6119612,-1.1575034,-0.5553236,-0.5789881,-0.9493336,-1.3269093,-0.66089,-0.7586841
O00399,-0.6653348,-0.7300306,-0.6316494,-0.6964284,-0.9528317,-0.6001084,-0.8394218,-0.7435711,-1.536729,-1.1562335,-0.8901702,-0.8035456,-0.8211611,-0.7845348,-0.6299307,-0.5634058,-0.8589743,-0.9347449,-0.643018,-0.437383,-0.7469639,-0.6786147,-0.7145797,-0.7189986
O00401,-0.580167,-1.1268487,-0.832903,-1.0182086,-0.4970109,-0.9255039,-0.5596911,-0.5914685,-0.5277613,-0.3189993,-0.8757819,-1.1228098,-0.7328455,-0.8090734,-0.5134882,-0.3805184,-0.9746733,-0.871216,-0.6439931,-0.5519127,-0.381321,-0.499464,-0.9247082,-1.1365912
O00410,0.6739273,0.6590445,-0.073836,-0.2329259,0.4031221,0.5701106,1.0890459,1.0061576,0.7867336,0.7818674,0.7301531,0.7960427,0.6734504,0.5727737,0.7162918,0.7103854,0.1831302,0.3832898,-0.3177247,-0.6525156,0.5056712,0.6178899,0.3860922,0.575439
O00429,0.005203621,-0.15555531,-0.486302897,-0.321040549,-0.092109134,-0.040451817,0.079610184,-0.011058773,-0.345362438,-0.322050787,0.206598962,0.218059195,-0.199642456,-0.111951654,-0.056055041,-0.113814555,-0.601154863,-0.263780589,0.095808244,-0.151128636,-0.319419575,-0.515779633,-0.077086907,-0.188914009
O00442,-0.564831,-0.670952,-1.3929096,-0.7164537,-0.9462043,-0.6890854,-0.8507198,-0.5922266,-1.6462772,-1.8714628,-1.3572122,-1.108984,-0.5406695,-0.7005052,-0.7601952,-1.9423247,-0.8463444,-0.7305348,-0.771988,-0.5054141,-0.6778604,-0.7595695,-0.7096403,-0.4040487
O00461,-0.320444397,-0.323549803,-0.656272726,-0.796784886,-0.570978185,-0.307109941,-0.682008273,-0.871139908,0.051956034,-0.115966205,-0.001857387,0.069938391,-0.307572901,-0.52462706,-0.357693216,-0.363190155,0.012231588,-0.408432543,-0.361236391,-0.329117536,-0.323297555,-0.132229688,-0.044890942,-0.268875929
