Protein_Id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
A6NDU8,0.39101226,0.50936866,1.10281483,0.1906257,1.44294942,1.13822288,0.66815618,-0.05981509,0.69093049,-0.21205473,1.32564518,0.49184634,0.27707261,-0.77065772,0.98725104,0.42056773,2.19869155,0.25760955,0.53899602,0.68744229,1.05850679,0.28677575,1.89760044,1.16489512,0.75447311,0.87865635,0.75211862,-0.22619583,-0.29002216,0.88097421,1.51817459,0.52506333,0.02933503,1.02324374,0.44114777,0.1382473,-0.0704692,0.22227739,-1.14253955,0.25760838,-0.05046487,0.48240238,-0.99660453,-1.04045244,-1.09335391,0.27052294,0.73742001,-0.18877867,-1.2509732,-1.09785871,1.3801395,-0.70038179,0.22330417,0.65302791,-1.14087188,0.40621685,1.15805756,0.59469866,0.47433119,1.11470175,-0.8067063,-0.25524788,0.26451316,-0.07327331,0.58137069
A6NF01,-1.62375788,0.02443768,-0.58868351,-0.1518983,-0.39541544,-0.83742044,-1.03240853,-0.40233909,-1.23663488,-0.55457873,-0.40777601,-0.7517553,-0.06545139,-1.11318169,-0.32368532,0.10619281,-0.16636942,0.37319064,-0.90685298,-0.35405172,-0.39531265,0.27095171,-0.55039774,-0.32270336,-0.37124866,-0.84700797,-1.12604324,-0.56871982,-0.63254616,-0.42534129,-0.35472943,-1.06801035,-0.31318897,-0.51939547,0.51895505,-0.2042767,-0.4129932,-0.10353667,0.18914184,0.19011381,-0.39298887,-1.31508154,0.27189481,-1.38297635,-1.4358778,0.64721713,-0.14413122,-0.53130267,-0.02980254,0.13822841,-0.48016808,-1.04290577,0.13878369,-0.04313715,-1.48339574,0.30220707,-0.65269616,0.40470358,0.2279449,-0.70532324,0.77267387,1.3445479,-0.07801084,0.98108358,-0.84816243
A6NFN3,0.0056431,0.85685295,-0.40976839,1.87151679,1.3831536,-0.65850533,0.85823793,-0.22342397,-1.05771979,-0.37566361,0.62663227,0.78698563,0.11346373,0.195821,-0.1447702,-0.09664267,1.25319536,0.24395026,0.40834103,0.95075855,0.48257247,0.34516012,1.30468935,-0.14378824,0.96909598,-0.66809285,1.0466599,1.10505762,-0.45363104,1.52426314,1.61770912,0.54583021,1.44794442,1.41884764,-0.034782,1.79164035,1.52094541,0.18056813,0.2034906,0.19325562,0.90211414,-0.0422197,0.57185436,0.22601193,0.04391334,0.16593661,-0.89763798,0.80421068,0.22995842,0.38404818,0.9727193,0.31369725,0.12120768,-0.56319203,0.48506556,0.42592255,-0.47378104,0.41110998,0.61829688,0.46399666,0.34524242,1.23591837,0.10090428,0.64661921,0.43708361
A6NIX2,-0.7123764,-2.5833342,-1.801993,-1.3652084,-1.6087253,-2.0507283,-2.2457129,-1.615649,-2.4499301,-1.7678883,-1.6210859,-1.9650639,-1.2787615,-2.3264834,-1.5369953,-0.4690855,-1.3796795,-2.4372436,-2.1201599,-1.5673617,-1.6086225,-0.8501164,-1.7637073,-1.5360133,-1.5845586,-2.0603157,-2.3393444,-1.7820293,-1.8458554,-1.6386511,-1.5680394,-2.2813137,-1.526499,-1.7327051,-2.5991649,-1.4175868,-1.6263031,-2.6124474,-2.6983266,-2.6648168,-1.6062988,-2.5283702,-2.5524146,-2.5962571,-2.6491505,-2.7660041,-2.2898561,-1.7446123,-2.8067296,-2.6536545,-1.6934778,-1.5572458,-2.2085772,-1.9554158,-0.4045902,-2.6348852,-1.8660053,-2.6318183,-1.9569354,-1.9186321,-2.3625305,-1.8110813,-1.291321,-0.6196736,-2.0614701
A6NMB1,-0.33975413,-0.08604774,0.69532058,1.13210578,0.88858865,0.44658363,0.25159554,1.90197595,1.85890749,0.72942535,0.87622808,0.53224879,1.2185527,0.17082236,0.96031877,0.92704384,3.63041067,1.31103596,0.3771511,0.92995237,0.88869143,-0.12285835,3.42465572,0.96130072,1.86855953,1.71523844,0.15796082,0.71528426,2.42314947,1.5576328,2.9814055,0.21599371,2.81623734,0.76460861,-0.10188057,2.14929175,0.87101089,-0.11516494,-0.2010595,-0.16754301,0.89101522,-0.03107754,-0.05512447,-0.09897237,-0.15187385,-0.26875427,0.20745097,0.75270142,-0.30949318,-0.15637865,0.80383601,0.24109829,0.28873215,0.54189694,-0.19939183,-0.13760617,0.63130792,-0.13453875,2.70569378,0.57868085,1.50572807,0.68623221,1.20599325,1.11761186,0.43584165
A8MUI8,-2.0996104,-1.8459061,-1.0645387,-0.6277535,-0.8712706,-1.3132756,-1.5082635,-0.8781943,-1.7124896,-1.0304339,-0.8836312,-1.2276104,-0.5413066,-1.5890366,-0.7995405,-2.2596449,-0.6422246,-1.6998023,-1.3827081,-0.8299069,-0.8711678,-1.8827165,-1.0262529,-0.7985585,-0.8471038,-1.3228631,-1.6018982,-1.044575,-1.1084013,-0.9011965,-0.8305846,-1.5438653,-0.7890442,-0.9952506,-1.8617388,-0.6801319,-0.8888484,2.3652124,-1.9609172,-1.9274009,-0.868844,-1.7909361,-0.8666688,-1.8588307,-1.9117319,-2.0286114,-1.5524081,1.6914925,-0.4425329,-1.9162366,3.7021177,-1.5187608,-1.471127,-0.5189923,-1.9592495,-1.8974643,-1.1285513,-1.8943969,-1.2194819,-1.1811784,-1.6250852,-1.073627,-0.553866,-1.7982208,-1.3240175
C4AMC7,0.0192097,0.48613613,0.69649029,-0.73060481,-0.97412194,0.83429976,0.67411675,-0.98104558,-1.81534064,-1.13328521,-0.9864825,0.10864836,-0.6441579,-0.43399466,-0.20342183,0.32358518,-0.74507593,0.6891963,0.15971545,-0.93275821,0.42950079,0.31323273,-1.12910422,0.69938954,-0.94995516,0.11852203,-1.7047493,0.81942234,-1.21125263,-1.00404778,-0.93343593,0.78515973,-0.89189548,1.39682901,0.49576778,-0.78298321,-0.99169969,-0.85253427,-0.6254292,0.14426799,-0.97169536,-1.89378697,-0.17552262,0.29017548,0.37552158,0.29766778,-0.58342118,-1.11000915,0.4452018,0.40678705,-1.05887457,0.52152393,-0.36134792,-1.32081358,0.45791493,-2.00031487,-1.23140262,0.11588478,-1.32233321,1.02228463,0.63571029,-1.17647835,-0.65671735,0.07812058,-1.42686881
C9JLW8,0.81914437,1.46035658,1.83771171,1.81756086,2.55015413,1.92990726,1.10287327,1.72703551,1.189238,2.00624645,1.73197248,1.75660913,0.65410816,1.32784917,1.09484423,1.27363244,0.55319013,1.25740262,1.84133006,1.64273179,1.79408767,1.5176468,1.24712328,1.56180628,1.19258556,1.31616756,1.59706292,1.36984441,0.08701338,1.87517752,0.36483011,1.19354315,1.70162639,2.0788452,1.16137624,1.91856703,1.85546074,1.09725537,1.04991994,0.75909544,0.32657068,0.49799961,1.34777655,0.97885637,1.28498629,0.91047322,1.54660549,1.08796189,1.02775479,1.23286776,1.62526833,1.54923045,1.09566164,1.41924644,0.76752529,1.10324943,1.40878244,1.14022192,1.5835928,1.9627919,1.59691604,1.88077131,0.64154871,1.38526211,1.14766084
E7EW31,-1.6745708,-1.4208647,-0.6394965,-0.2027113,-0.4462285,-0.8882335,-1.0832216,-0.4531521,-1.2874479,-0.6053918,-0.458589,-0.8025683,-0.1162644,-1.1639947,-0.3744984,-1.8346082,-0.2171825,-1.2747605,-0.957666,-0.4048648,-0.4461257,-1.4576753,-0.6012108,-0.3735164,-0.4220617,-0.897821,-1.1768563,-0.6195329,-0.6833592,-0.4761543,-0.4055425,-1.1188234,-0.364002,-0.5702085,-1.4366975,-0.2550897,-0.4638062,-1.4499819,-1.5358764,-1.5023599,-0.4438019,-1.3658946,-1.3899415,-1.4337894,-1.4866908,-1.6035711,-1.1273661,0.9620306,-1.6443099,-1.4911956,-0.5309811,-1.0937188,-1.046085,-0.7929202,-1.5342087,-0.7734533,-0.7035092,-1.4693557,-0.7944398,-0.7561363,-1.2000433,-0.6485849,-0.1288239,-1.3731793,-0.8989755
E9PAV3,-1.71306564,-0.76038975,-0.67799144,-0.24120624,-0.48472337,-0.92672837,-1.12171645,-0.49164702,-1.32594278,-0.64388666,-0.49708394,-0.84106322,-0.15475932,-1.20248961,-0.41299325,0.03241657,-0.25567735,-1.31325542,-0.9961609,-0.44335965,-0.48462059,-1.49617018,-0.63970567,-0.4120113,-0.46055659,-0.93631589,-1.21535115,-0.65802775,-0.72185409,-0.51464922,-0.44403737,-1.15731827,-0.40249691,-0.6087034,-1.47519242,-0.29358463,-0.50230113,-1.48847678,-1.57437125,-1.5408548,-0.4822968,-1.40438943,-1.42843635,-1.47228422,-1.52518566,-1.64206593,-1.16586101,0.67227707,-1.68280476,-1.52969045,-0.56947601,-1.13221369,-1.08457984,-0.83141507,-1.57270358,-1.51091799,-0.74200409,-1.50785057,-0.8329347,-0.79463116,-1.23853819,-0.68707981,-0.16731877,-1.41167415,-0.93747035
