proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
P01024,,,,,,,,,,,,133.64,,,,,,,707.46,1625.7,413.73,704.89,767.47,557.88,961.68,,1424.6,1375.6,269.29,1079.2,,863.1,1567.3,1121.6,
P01034,,,,,,,,,,,,,,,,,,,1234.7,1621.9,,,1939.5,,,1094.3,,,1229,1117.8,1131,2438.6,,1925.9,
P01040,24602,28179,36813,17415,18721,24046,28765,30602,31559,22901,21534,14503,13817,13934,18776,32658,27793,3601.7,1885,,,,4980.3,,,5601.4,,2206.8,5960.9,1644.1,1938.3,1504.2,,1551.1,
P01111,,,,,,,,,,,,,,,,,,2804,2675.8,3192.5,8295,3981,4884.1,2853.2,3867.7,,3943,4714.4,3925.5,7870.6,4764.2,7490.4,3543.1,3930,
P01591,,,,1061.3,319.39,,,,608.9,,,,,,,,,,,,,,,,,,,,,,,,,,
P01833,,,,,,,,,,16678,,,,,515.79,1535.5,,,,,,,,,,,,,,,,,4286.5,5304.4,
P01834,6951.5,6286.5,4044.7,17330,3851.1,7876.6,11947,29433,14563,82936,7822.4,20335,14977,13204,35389,21279,10200,,,,,,,,,,,,,,,,,,
P01857,3328.1,3986.1,1882.9,14007,1912.2,2483.9,10390,12103,16701,108990,4393.8,3415.5,1629.5,1916.9,15973,11241,2215.3,,,1360.8,,,,,1033.3,,,,,,,,,,2157.5
P01859,,,,3090.1,,,,1664.1,,14066,,,,,,,,,,,2101.7,,,,,,1538.7,,,,,,,,
P01876,,3561.6,4251.4,15452,4751.9,,,,,40420,7437.9,,,4958.9,2832.3,9628.1,5373.1,,3781.5,5282.1,3278.9,,3169.2,983.98,,1450.7,,977.26,,,,,,,
P02042,1160.5,834.38,666.25,538.78,2150.9,,,1309.2,2573.3,5669.5,7607.5,1820.8,1981.8,1049,2375,,1688.4,6410,,1000.2,13603,1340.4,1620.2,2734.8,10585,3815.2,1289.9,8494.5,3898,6282.7,2806.6,8918.5,7328,5842,12152
P02452,,,2575.6,,,375.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02462,,,,,,,,,,1591.8,,,,,,,,363.07,,,,,368.99,,443.31,,518.24,424.89,412.31,,,317.4,310.84,355.07,346.94
P02511,,9322.4,3242.6,14077,2738.3,5352.1,3667.1,8524.1,5861.3,47197,19323,84235,29439,20018,8469.2,1152.8,9490.7,22381,26940,68533,30706,42452,47424,9804,28288,28360,16675,41566,33390,58646,36892,61593,47617,42473,34972
P02538,20799,23492,27362,33700,22373,56727,56232,53516,59372,69170,28344,38019,300920,19539,62710,51168,28933,11706,2217,8891.7,33752,2624.8,7303.3,3303.1,3716.4,14462,,25406,40020,,4409.9,6674.6,997.55,2926.8,18311
P02545,8147.9,2937.7,11007,3442.8,3527.2,6152.4,4137.4,2927.6,24654,37809,5321,25866,14865,16789,13871,4910.5,9120.7,11289,13898,20451,31760,12523,11947,8389.2,10608,12100,18949,24375,16976,28469,19626,11859,23819,14438,1268.5
P02647,,,,506.35,,,,1607.4,,2857.7,,460.52,,,,,,,,,,,,,,,,,,799.5,,,4710.7,,
P02649,,99.575,,,,,130.79,,,458.71,304.33,536.6,780.88,207.09,165.67,140.01,,2026.9,,11711,1475.8,5534.1,4137.4,,,6558.7,1123.1,8597.4,24633,3932.3,5364.4,1952.9,581.73,4966.1,1701.8
P02671,,271.56,,,,,,707.53,,5636.2,555.66,,,,,,,,68.286,,,,,402.36,,,,,,,,,,1041,
P02675,,,,,,,,,,5689.4,,,,,,,,,,,,,,,,,,,,,,,,,
P02686,3979.2,2298.3,13658,3451.1,4339,,,4988,52270,37200,25949,20995,14342,11552,8931.5,12416,5151.1,34754,11204,26938,70397,52663,42018,16973,30172,27683,65636,82006,41760,98324,52843,57769,157480,74334,24912
P02747,,,,,,,,,2312.2,,,,,1314.8,,,,,,1291.8,,,1218.1,,,,,,,,,,,,
P02768,18844,15327,5751.3,26352,6182.1,10206,31124,113400,17232,35967,11339,19907,25228,15792,39886,34555,14567,3234.2,2124.4,1641.7,1651.1,2352.3,1354.5,402.92,1306.2,1591.8,4092.1,1715.4,2394.8,,1843.3,,1789.9,,21746
P02788,1852.5,2638,366.95,20416,2813.4,2371.7,4948.8,8546.5,4837.7,247350,2148.9,5381.1,,1478,3914.7,3136.6,2077.8,1053.3,,,,,,,,,,,,,735.96,,,,
P02792,,2936.1,298.03,382.84,,,,1209.6,1505,5461.8,1163.8,5654.3,1857.3,1689,977.5,,,,,,,,,,,,236.26,382.69,6248.7,661.66,,494,1439.8,,
P02794,,,858.05,,,881.75,,1178.8,2797.4,4636.6,4765.2,10849,4440.4,4411.6,,4543.6,2111.4,16297,1404.1,4682.4,15952,10149,13560,3963.9,5709.1,2112.2,3852,11796,11737,17620,4744.7,9569.1,13467,16148,1763.7
P02808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43612,9734.6
P02810,,,,,,,,,,195.69,,,,,,,,384.71,166.45,304.18,,,,,,,,216.39,321.22,,244.13,,,1547,
P02814,,,,,,,,,,,,,,,,7419.4,,,2239,4551.5,,,,1085.9,,,,2307.3,,,,,,10810,2305.4
P03886,,763.53,814.17,,865.64,,,,10375,6408.6,,,3827.9,1169.2,2635.5,,1216.8,4254.3,5917.9,5896.8,18877,13893,9189.8,4779,2772.7,7231.1,4140.1,13561,7049.1,16985,5479,,11303,10782,2531.3
P03897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03905,567.2,,815.92,,,,,,5683.2,4270.2,2663.2,,1445.6,,,,181,3291.7,,1965.1,1648.9,4826.1,2649.1,,3877.8,2385.7,5148.5,4619.2,973.7,1531.6,2552.7,,4501.1,2928.1,433.84
P03915,800.78,277.4,,,,,,,2579.7,,,,,,663.83,,,5919.4,1681.8,4685.6,2609,5584.9,,2440.9,3173.8,3366.4,,5558.9,4038.4,2778.9,,,,3005.9,2686.8
P04040,6392.2,3963.7,6277.5,6615.9,6602.3,7788.5,9101.3,10101,6312.8,7134.2,5355.5,8550.8,4294.1,6441.8,4575.8,10040,6073.7,,,,,,,,1982.2,,,,,,2757.4,,,671.19,
P04075,272.8,1525.1,5838.7,4197.9,3110.2,5088,4245.9,58189,12686,39257,25283,33497,62844,14394,25893,66239,17417,187730,84541,123370,302790,159650,94564,129160,115270,88192,79702,310370,269100,340870,45769,132960,139040,102060,164040
P04080,,,,,,,,,,,,573.3,,,,,,1352.3,2774.9,,,2606.6,3834.8,,,,,,,,,,,3326.6,2180.9
P04083,973.88,1285,427.41,1450.3,,495.8,9619.2,240.98,,42904,1502,8221.3,7466.6,3102.3,14103,6819,305.04,,,3799.4,1412.4,827.92,,601.38,,,,4684.2,3778.8,,,763.67,4483.4,3122.4,785.15
P04156,,,975.1,1167.3,,,,1913.5,10591,11368,7518.1,,2014.6,1462.7,1469.7,,,3696.2,3113.5,5208.5,3029.8,2160,1749.8,1140.7,1295.6,1469.3,4526.7,5448.8,4273.8,6449.7,3249.1,1728.1,5527.7,9413.1,5579.8
P04179,1216.1,1356.2,800.49,965.33,1006.6,866.66,820.63,2098.7,,7108.2,2458,3437.2,3937.8,2053.5,,1195.4,,20031,10565,15758,15966,18405,18386,8690.9,16316,13862,7510.8,18933,15530,28860,7363.3,11714,21656,15219,13414
P04181,,,,,1710.8,,,,,2412.4,,2839,2757.6,,1051.2,1262.6,,,3314.9,5324.8,3568,7074.4,4491.7,,3315.9,,,2911.1,2878.3,9381.9,1381.8,,3397.7,7729.9,2536
P04216,6544.1,6605.1,6921.9,3680.4,3892.3,3151.3,8257.1,6886.4,56384,71282,22574,21046,11435,8797.3,3795.7,,13480,16224,15947,24968,22996,19897,30606,19564,17870,31692,17218,37956,41428,33956,20541,51356,22492,15017,97009
P04259,3868,5920.7,,,,7247.2,6112.5,,9567.9,,3656.9,2794.9,29806,,,8816.2,,,,2401.5,10841,,3119.8,,2562.6,3213.7,2763.2,3742.7,11798,,,,,,
P04264,4539200,5210200,3252400,4691400,4246800,4525200,8897900,5992500,5099600,6818400,5505200,6037800,7763900,5129200,5241600,5494900,6300000,3062700,2550000,1682900,3004800,1794700,4352400,1105200,1313800,1489600,1312900,1238000,1438700,1729600,3325200,1548500,2715900,1663900,1160100
P04279,,,,,492.23,197.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04350,32238,20824,59982,15063,61218,17661,22093,76339,549810,520420,288000,110770,122110,56677,60150,106390,94110,530700,274470,197530,470070,421950,397460,341250,406630,344520,425920,649580,438810,550330,209000,299700,400250,190440,348150
P04406,26737,25330,27604,38504,25694,26269,54432,72040,85223,139500,57376,109930,96862,70082,56860,146490,68207,254710,116200,181140,292880,245850,229180,167830,179290,157530,102980,208750,233580,464270,151230,221770,259130,182750,200080
P04439,,,,,,,,,,1794.6,,,,,,,,251.69,,444.83,,,,,,,,,,,,,,,2073
P04632,,,,,,54.208,,,,,,,,,,,,1927.9,3828.3,2105.5,2405.3,2255.7,,1345.1,3112.1,,252.97,2704.1,2756,1075.3,2942.8,2300.9,254.74,365.52,
P04792,664.62,21838,4194.3,12389,5658.3,8355.4,17052,3985.2,28031,71423,32876,54068,41112,15636,24922,14250,5935.8,2993.8,26721,47309,16448,21560,52770,2502.4,16110,12673,,20794,33633,23097,16130,48050,7506.2,42979,25142
P04843,4826,1571.7,8270.8,1219.9,4512.2,196.74,3470.5,4017.9,40403,42274,17710,9594.7,16262,10035,8096.2,8902.9,7741.4,35090,15776,15633,40133,26689,24163,32382,33432,18056,37870,29800,14138,45174,26894,5010.3,29809,37415,14699
P04844,6163.2,705.18,5737.5,378.34,1663.3,,,4367,47385,19082,7171.8,6057.2,8006.5,7715.5,462.8,3809.6,9493.2,21170,10796,19093,26252,20395,13371,17445,8688.4,4079.3,18904,13018,6970.8,14506,14149,8540.7,7941.1,17036,
P04899,,,,,,,,,6260.4,1195.6,6112.6,2830.3,3427.7,,,1063.6,,9253.4,7008.5,12619,15049,13794,9546.4,2912,7108.2,5606.6,8617.4,9803.6,6065.9,13642,3706.1,7128.6,13509,7187.5,3053.8
P05023,3020.1,548.75,6895.4,1600.3,1230.9,647.74,2822,7925.1,63775,57950,41960,13061,26728,6626.4,6545.8,15964,6048.1,130560,46461,69133,118320,93776,96404,91641,104730,92968,140180,146800,39680,132630,70727,84724,138640,125360,66055
P05026,56431,62267,73150,47658,46577,57491,55239,36540,365760,315240,257420,84665,96017,55510,56216,52671,52461,333030,123280,173900,316700,327260,339900,258370,336640,307610,266360,455220,440670,485400,319830,249290,377790,269770,280850
P05067,,,107.43,,167.74,82.909,,2544.5,445.99,10391,6724.3,904.03,13205,2639.2,,165.51,,3306,5482.3,15978,1749.2,1299.7,8390.9,952.62,534.31,4790.9,949.4,7690.7,2315.6,2046.2,3820.5,10130,850.92,3379.7,6777.7
P05089,8456.3,16401,10399,14604,10274,11321,24703,32769,11240,14871,10960,16988,19668,13895,24172,25572,14334,2361.1,,,2384.5,,10739,435.03,1022.9,2272.4,1123.2,571.77,471.58,,12277,3749.7,647.24,2623.7,
P05090,3276,1159.1,838.01,40160,2614.3,2061,,,3401.5,,2352.2,4627.6,,1481.5,4028.1,5939,1196.9,473.7,,,847.04,5984.7,,1487.9,3887.3,5280.1,,,3174.5,6420.6,328.04,2976.9,2155.7,2713.5,6187.2
P05091,657.52,,319.05,456.58,612.78,,,5785.8,9634.9,9446.3,1467.8,14193,10644,6704.8,7244.1,15919,4348.7,42913,14701,24241,27398,42504,34097,17244,23723,26664,7898.4,19464,34367,59406,16527,35802,36243,18803,6688.2
P05109,5452.5,19054,8389.3,13723,7981.6,18062,12230,21799,58041,137840,13687,17738,15372,10558,42918,23230,17375,6332.7,2937.4,7048.5,6232.1,7013.3,1583.3,3213,2044.1,4890.8,1146.3,8982.9,2371.6,,3315.2,2024.2,1532.1,8381.1,5543.7
P05129,2895.5,6322.5,8164.5,2385.1,6552.5,909.78,937.85,20114,162190,134260,36038,16197,17906,6051.1,9396.4,13925,14870,134670,73221,88479,189080,106430,69011,90318,90188,103310,121090,163350,85860,115290,92209,65592,115440,116870,71849
P05141,8303.5,,5419,,4246.4,414.05,1366.5,,61719,32337,7490.9,4974.6,15406,6182.1,10158,1557.6,,54998,21613,30233,59609,46774,23381,38703,37836,26854,62764,65078,37262,73891,24935,37589,46215,38651,33202
P05164,,,,,42.442,,,,,9038.8,,,,,,,,,,,,,,,,,,,,,,,,,
P05165,,,18731,26467,24238,796.97,29172,,4298.4,120550,38226,,748.65,433.36,,1414,,10630,1243.3,8923.4,4108.9,6287.4,7569.9,7379,3307,4044.3,11775,10803,17764,8884.2,6366.6,15533,18384,6642.4,7762.7
P05166,,,,,,,,,,,,,1039.7,,,,,826.7,,2339.6,1240,1781.5,2222.3,1584.6,1971.6,1966.6,2475.5,4525.1,2770.5,7152.2,1877.3,4794.8,725.46,,682.08
P05198,,,,336.45,,,,,,,,,1102.4,,,1287.4,,,1651.9,1859.2,3999.1,1729.8,2381.6,1870.7,1947.4,2048.1,2971.5,2997.7,1741.6,4473.4,3594.7,3251.2,1451.8,4434.9,1693.8
P05388,22537,11030,30596,,29299,11784,3957.3,19440,134980,107770,36290,26940,40453,23260,24935,42613,16827,59309,63179,64006,119890,88494,52822,78321,60686,39096,42237,101170,52354,86130,68068,45309,81263,62195,46207
P05413,,,516.72,,,202.33,399.99,1026.4,1249.4,1468.7,574.2,350.94,,,1407.1,4674.5,,7477.9,865.74,906.29,6331.8,,5581.9,9084.4,8849.1,8090.4,6562.2,23622,22607,5801.8,4103.2,9615.9,2484.9,5597.7,5372.5
P05455,1537.2,1119.4,1693.8,240.67,3271.8,,3374.8,7675.6,14005,24846,6367.4,1773.9,13511,4367.8,5913,6501.1,2206.2,4980.5,6361.6,1231,11228,13384,10707,1709.9,4707,2226.6,645.72,10890,4250.7,19662,1346.9,15699,6503.6,16817,8726
P05771,310.37,339.39,951.2,1486.1,3151.3,585.8,1109.2,2880.5,29717,35147,15215,6892,10439,892.86,4081.8,3366,4047.6,44799,14892,33419,37108,43376,20199,38043,48950,21817,44065,79239,38354,52451,29261,34942,42552,25015,27810
P06241,,,,,,,,,1499.9,,,,,,,,,,,2110.8,2941.6,2327.4,2280.5,1222.1,3620.7,1986.5,6566.2,7664.5,7569.3,7344.9,6213.1,5400.7,7831,4808.4,6366.8
P06310,,,,717.29,,,,840.92,,4367.4,,,,,,,,,,1456.6,,,,,,,,,,,,,,,
P06396,,4964.9,847.89,2868,2625,2073.6,631.14,3590.3,1034.5,22001,9326.3,11776,15586,4593,4715.5,1562.7,1972.5,3938.6,14052,15714,4179.7,22207,33591,4252.6,6879.5,7648.6,6901.9,8961.1,10325,28892,2909.4,27761,12733,23948,7113.3
P06576,116720,93018,237150,128690,175780,111850,129250,334120,592950,733060,585030,403540,568230,186930,469830,594060,180560,712630,758780,988280,964250,1061300,865530,652660,619740,444530,595160,1619800,1398400,1489900,535560,934870,1056900,849740,1049600
P06702,22088,63256,38701,70026,47460,54095,70678,53435,274090,932820,47685,62548,57759,55701,226360,50966,47349,7787.1,3924.6,11745,5752.8,7838,,3249.9,3118.3,8654,6813.2,3380.7,3280.3,3519.1,771.4,5873.9,,13358,2704.1
P06730,,365.11,,,,,,1231.8,1802.3,,1254.8,588.18,,543.27,,,545.31,,1917.9,2307.6,1882.2,3388.3,,,,,,,,,,,,3242,
P06733,,13899,3816.3,8196,4145.5,6436.3,10350,29112,5496.1,49067,31995,38478,57596,13907,32875,13960,770.56,24696,143280,228030,39156,58820,134270,780.63,3692.5,2302.2,509.07,21899,39522,24295,3339.8,69054,4331.1,76068,1152.3
P06744,27990,15002,30629,16877,50049,10682,14531,61496,187990,377080,202850,76675,100300,65779,53687,81605,28353,194060,160190,322180,207530,264560,263060,175720,259960,166560,201560,312880,263020,309700,179770,206640,207320,323580,261600
P06748,29948,37101,75252,25177,67802,42701,32560,53166,163900,127210,56883,64639,72363,57606,68530,66183,49415,56913,83651,89341,108590,97287,74388,44876,57791,53238,44687,146310,73561,148800,136100,54506,78105,145550,48559
P06753,838.27,2933,1157.2,1642.6,1257.4,1452.4,2365.8,3068.7,,1733.2,2529.3,4331.1,3649.9,482.27,738.42,3377.5,3838.9,,,1445.2,1986.6,,2826.1,,,1431.8,,,,,,,1393.1,1912.7,
P07099,2814.3,,878.47,343.59,,,,2022.4,19413,29162,15739,4885.3,10079,,2541.8,4254.8,1475.7,28562,19174,20645,27534,25148,32632,20314,40593,34372,20543,61940,36556,50546,33230,26015,28332,52739,34448
P07195,8281.7,9695.3,31719,4636,18176,6944.5,4027.6,86221,111310,265520,110020,106050,182070,57019,57382,110890,24006,361880,255810,281750,367260,421200,319480,191100,257720,253690,208100,375950,398410,458210,199990,348930,332160,308870,277530
P07196,43984,65692,63639,40419,130880,42198,42850,70613,362080,557230,323240,215890,137090,108980,114010,111780,34076,162130,334110,437250,443210,508150,398710,142540,432220,349880,267550,504970,425090,445230,443390,439120,384610,473600,461820
P07197,32393,63334,77624,49020,118900,44104,44320,60055,395740,488040,335590,174830,134270,110150,79382,100850,46755,352600,439860,585120,598810,722660,435640,161500,588690,425040,334900,650630,594230,641230,543860,551260,494660,609830,584550
P07237,1467,,227.67,164.09,197.75,,516.86,1085.5,2010.2,7645.2,2349.7,5285.3,10804,3337.9,1903.6,4178.5,,18562,7197.1,19370,19362,12926,20307,19691,4782.3,4321.6,7281.9,15866,13184,19067,9078.3,11770,13200,18345,6357.8
P07339,32656,20890,29979,16853,22950,20939,19500,39710,83914,37984,39754,36620,60078,45195,50510,29017,23952,41923,12746,18750,45506,28537,24739,37652,27349,35460,27692,36776,26254,41624,46328,19418,41284,24545,28825
P07355,14780,17358,19945,23791,20892,23813,31485,47681,41645,56611,28175,34244,28194,23757,41036,28878,13869,1642.6,1350.1,3152.1,5016,2806.8,5319.1,,2047.7,1772.7,537.33,7872.3,1292.5,,6337.6,,5282.8,1254.1,
P07384,1475,782.74,731.61,755.51,1662.1,,,8721.5,10396,7836.8,4375.1,2447.7,4398.4,1027.6,866.55,2368.9,1658.8,1392.9,,2535.9,7665.1,,,3132.2,1003.6,,1985.8,5974.9,1652.6,3052.5,4237.9,2718.3,,5131.9,4810.1
P07437,11611,15336,34400,6614.8,26106,5068.7,8351,27877,184460,165660,95403,55921,48881,39977,22376,47575,44716,117850,71029,75525,118720,109760,85652,100530,145520,97335,100440,200230,147620,183400,123580,113760,132820,148620,144760
P07602,,,,,1115.7,,893.23,2899.9,9037.4,10713,,5043.4,9037.4,4916.3,2670,2259.4,2899.9,,,3676.9,,5047.6,3195.5,5670.1,15200,12694,29001,4288.3,7278.6,3839.1,,3993.9,12913,4313.9,
P07737,1176.6,2636.5,602.78,915.7,2030.8,641.92,1181,8210.1,12926,14914,8898.9,4046.6,14983,3147.4,9092.8,1465.3,,29944,22325,26331,33041,36420,41957,21520,13966,11093,14491,33479,30770,50700,5969,20344,30730,47121,18934
P07814,1680,106.26,1241.8,47.871,1684,,,1657.3,10939,9828,1770.9,3330.8,4816.2,1998,2173.2,5940.9,3576.4,5975.1,18782,14148,31465,15426,5020.4,6605,14046,11825,9662.8,30262,10811,36673,13636,9015,11295,19682,2726.7
P07900,74315,28920,43689,28034,59752,27462,24688,85334,281850,247840,165810,88227,146540,70362,62201,85417,33092,261240,182080,282780,379950,301280,366410,210300,280510,212850,228590,323950,247930,505520,219700,225340,194820,444340,223940
P07910,107130,26789,90530,9286.4,82204,31791,10839,78790,263930,214280,115580,83984,158340,58289,102550,118300,75839,69784,93523,101990,255870,150080,149920,47169,140250,72943,52955,152540,100410,268350,152500,80552,102190,151380,96965
P07954,678.5,,657.64,519.57,3037.8,,,8968,15552,23399,10785,8814.8,13429,1265.5,6299.1,23060,4236.8,48986,43272,56679,73348,47607,44571,20010,31676,26915,18453,60266,66396,52699,19258,40248,26465,60382,36859
P08133,4617.5,5444.6,13180,4782.4,8130.7,2862.1,6199.8,21316,70379,41674,20090,34938,43194,24512,8110.4,24049,22074,163130,37744,50888,166230,118180,120230,157690,122240,128580,111530,208090,161000,187860,99664,135120,185510,155790,126330
P08134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08195,373.96,570.84,2394.9,726.08,210.69,377.97,360.11,821.66,18443,13379,15463,1411.6,5593.9,3117.1,,2846,525.81,9602,7229.5,22454,41913,20600,24465,4736.3,9321.6,12129,15858,41939,27070,29934,12349,31866,25017,27071,21515
P08237,4973.3,8139.8,13578,12182,7325.9,9748.5,14684,17759,68098,79656,46086,16280,19543,17027,13033,5516.5,7527.7,70012,44889,70399,117860,89525,51097,48072,51864,30334,59292,95350,45497,95815,28361,53696,52951,58427,50411
P08238,158350,71517,115860,65783,123160,56199,36854,178280,587110,693330,367350,232210,360260,195980,159380,165050,139200,547230,396050,510150,676620,581540,723070,368470,525790,387580,482320,685100,549220,1163200,474860,494310,546180,939280,471970
P08240,,,,,,,,,,,,,,,,,,,,,488.07,267.18,,,,,,,,,,,,,
P08247,6706.7,8431.2,12254,8974.2,10352,2130.1,4731.1,9762.3,105150,90888,48680,12299,20787,9074.3,7447.2,12420,855.91,92066,45306,63220,99463,73960,84025,81344,82080,83581,80699,96595,94845,97637,53956,82512,99019,94249,91064
P08311,,,,,,,,,,40150,,,,,,,,,,,,,,,,,,,,,,,,,
P08559,1302.3,677.29,2443.8,585.29,5275.5,3579.2,,11102,19472,14876,13848,4010.7,16749,5640.5,3804.3,11378,6757.6,66804,44348,61258,36302,27884,31978,21957,18066,12465,7003.9,34774,28742,79728,20044,36625,27342,35998,18916
P08572,,,,,,,,,,,,510.43,359.87,,,,,4001.8,544.7,703.82,,891.1,881.31,1882.6,,1009.8,2539.7,,2131.8,,1252.6,1096.3,1204.9,2521.1,1380.1
P08574,3430.3,6988.6,3737.8,2363.9,1926,890.12,1742,3015.8,61767,47984,23942,13435,11403,10307,1904,6017.2,9426.2,12419,13729,14800,32820,23056,26576,13291,21702,13004,27021,45100,46794,52295,31174,31214,49772,17205,32652
P08670,855.4,13387,2863.4,10160,4835.2,10101,10789,12622,21523,101320,54237,119740,42326,48240,22019,5035.2,5844.7,21733,97986,174670,91718,85488,161780,6400,20267,25957,20242,108630,126500,61037,25479,84678,38439,139850,22841
P08708,232.25,,412.63,,614.23,215.75,,1275,7584.7,10208,1016.2,699.11,2815.3,601.26,2592.5,,564.71,,,2420.5,3735.4,3101.4,941.38,2990.2,2084.4,,,9626.5,2540.5,3057,5668.5,,3217.9,,
P08727,315.29,,,3028.4,3660.7,6232.5,6792.7,10414,6949,10751,5125.2,6452.8,506.28,4891.7,,1210.5,8311.8,,,,,,478.53,966.32,,2010.8,1240.3,,,,,,,,1876
P08758,2222.1,3640.3,1260,6274,3154.6,,4292.4,6342.3,13039,21841,15312,31232,32329,13920,11504,7210.1,599.44,5822,9462.3,22869,13791,38765,43003,9426.4,19701,18098,14035,26607,36420,33672,19977,43423,18431,34052,18993
P08779,95365,110980,108820,162550,104090,310780,359820,254920,171700,215290,164910,188790,1735700,111480,197850,208540,144910,31299,16656,7030.3,111990,16505,21456,8118.8,10259,16836,20563,53870,88201,1780,6778.3,3004.5,13044,2995.2,2631.4
P08865,,,,,1254.5,,,,,,886.58,,,595.43,,,,2454.2,1835.9,1426.1,3358.1,2246.4,,,,1058.4,,1993.9,2375.4,,,,,,
P09104,,,,,,,445.77,1235.8,,3889.1,2622.1,1565.9,3656.5,,498.69,1455.6,,4224.2,15421,31088,3443.2,4824.4,18621,,,1354.6,,5159.5,2287.3,4062.4,,4513.4,,20287,962.69
P09132,,,,,,,,,,,,,,,,,,,219.48,263.16,273.93,,,,,,,,,,,,,,
P09211,,,868.41,2209.3,,,776.04,,7780.4,3543.2,5830.5,12382,10343,1963.7,2680.5,6126.7,378.35,6076.1,5670.6,3366.2,9976.9,11218,9172.1,1183.3,1298.3,4390.3,1732,14899,15670,19001,5327.9,10306,8644,14847,6904.4
P09417,,,,1194,,,1889.2,,,7994.4,1479.5,3532.5,,2354.1,2023.9,,2240.1,6351.7,2028.6,4036.3,2648.1,4256.2,7878.9,3827.5,1863,,,4585,6502.2,12413,1371.7,4226,2059,5221.7,
P09471,15457,15217,25682,14391,21565,9357.5,3214.8,50028,283310,268690,196100,68285,92313,53721,28421,50039,26330,376420,183560,249070,444550,327180,371500,288660,311730,308850,377740,471110,340790,482180,243900,339660,486610,346920,345090
P09488,,,890.54,1091.9,452.22,,,336.15,784.97,,,687.37,2048.4,,,1706.4,,,,,,7971.5,3512.4,,,,3641.4,4100.8,3657.3,747.41,,3028.3,,5110.6,7807.8
P09496,515.18,833.62,,,,535.16,,,2156,1666.2,978.67,265.32,758.78,598.34,892.29,568.93,,3379,1083.5,1262.8,1341.4,2105.3,1003.1,1568.7,2680.5,189.73,2588.3,2561.1,2869.2,,1823.5,,324.56,,
P09543,17631,1823.3,21631,4611.7,11380,430.38,2019.7,24073,252920,199420,115460,78477,38370,86545,10958,34017,14910,157740,104160,197150,382130,256760,180300,161070,187930,176720,274380,235160,186110,479130,188730,188200,538370,235860,133780
P09622,,2238.4,,,2977.6,366.57,,1686.2,,4253.8,4049.1,2523.8,4620.2,2033.1,3786.4,1990.5,1189.8,9278.5,9818.3,9446.6,13954,8932.1,31985,1108.3,12228,3574,3508.1,12893,18199,21308,8024.6,11282,6415.3,23773,
P09651,30432,15126,41723,5085.7,33673,11111,7374.8,42041,96839,145920,51314,51355,85656,55489,50116,49516,28942,33088,54098,58064,74902,74024,48474,16810,29585,24728,22702,56584,38299,101700,20057,42361,43302,74640,26570
P09669,,,,,,,,,,,,,,,,,,,,7175.5,,11137,5130.2,3390.1,3066.5,7741.3,3802.2,12981,6573.2,5690.1,,,8287.8,6692,10038
P09874,,340.98,581.41,657.9,671.57,,,2977.2,8100.2,1714.9,1700.5,1188.9,2011.7,497.03,1910.3,1510.8,,5057.4,4313.6,,6129.2,4936.1,5306.8,1396.3,2465.1,1752.3,3734.3,6242.2,1742.2,13522,2228.5,1707.2,2372,7123,
P09936,31905,59095,49122,29334,52325,18965,24496,97037,314300,590460,233790,102430,154740,78604,49820,112140,75475,471810,339690,388150,453010,426660,432750,230750,383430,299730,324270,420010,367680,549050,265720,352440,360840,548590,314440
P09960,,497.93,,,,,,,1217.9,,91.723,,568.38,,,,,5666.3,4587.2,4205.7,7589.1,3634.9,5461.2,3519.5,4132.4,1955.7,1770.4,5469,4310,11571,212.93,3126.8,6637,13533,206.11
P09972,605.42,936.4,1165.5,1918.6,914.29,,,32668,7825.4,15830,9191.3,15764,56312,82091,21239,40430,7615.6,61516,44283,58820,126360,104270,74247,56846,45409,49215,27147,207180,185270,208370,46260,136970,83041,111860,99271
P0C0L4,,,267.71,,,,,,716.97,,1179.3,1910.3,6831.5,,,,,,1534,1240,,2570.4,,,2848.6,,,,1412.8,1043.2,,,,2289.3,686.85
P0CG08,759.02,976.04,,,1568,2302.7,3444.7,,3263.5,,3168.2,,1606.1,2844.5,,3202.7,3020.7,,,,,,,2173.6,1473,1296.8,,,,1594.9,1725.3,1701.4,1819.2,4439.2,
P0DMV9,4948,15188,3014.2,12435,7957,2684.1,4226.5,11795,19284,65311,30382,23194,36589,14228,13977,15553,6339.8,36297,54507,74376,60358,65494,205090,22817,54828,37696,14569,37450,46733,63682,44703,55115,35101,214130,61407
P0DO92,,,,,,,,,,,,,,,,,,,956.52,1631.9,,,4118.7,,,,,,,,52.503,,,,
P0DOY3,,,483.91,2659.8,,822.06,,1135.4,1268.1,8332.5,,,,,745.69,,,,,1032.2,1184.3,,,,,,,,,,,,,,
