proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
O00442,,,,,838.85,,,495.87,4751.1,4780.3,2658.8,,2681.5,,973.85,,,,,,,,,1414.8,1603.8,,1165.1,1863.3,997.55,4863.1,,,1664.6,1664.6,4144.1
O00468,,362.79,,,,,,,1128,1219.7,,,,,,,,,,,,,,,,,,,,,,,,,
O00483,,721.91,304.03,,,,,,20975,13338,,,1584.3,419.16,,1240.6,312.31,26444,4089.6,17252,32232,16458,16392,23975,24824,21099,30547,33539,25745,28663,20858,17771,33466,22037,28298
O00487,,,,,,,,,,3000.9,,,,,,,,6945.9,1319.2,,5376.6,4095.6,,4898.2,,,4842.7,,,6631.9,5090.6,,1318.8,1710.1,1579.1
O00499,,1122.1,172.41,,945.14,502.71,,1890.6,18516,19416,12481,,3229.9,1531.8,,3173.6,908.32,16334,7742.3,13964,24166,18786,8144.6,5216.8,9134.8,11759,13335,7072.5,16994,20168,11678,11857,7745.1,20580,11369
O00505,,,342.46,28.638,,,,,3134.3,243,,,1933.6,,,797.69,1854.5,2550,1782,1620.9,7054.7,2280.4,1051.1,2335.8,1814.9,789.92,675.71,5168.7,2700.9,4294.2,2011.8,1066.7,3261.8,5916.2,3706.8
O00560,1521,567.98,1066.4,436.73,3111.1,951.41,,760.09,,16316,7430,972.9,3519.8,1656.1,1806.9,3182.3,885.38,3410.1,10605,8566.7,6278.2,10510,4952.9,3021.5,13222,3066.7,2744.7,12052,11500,2089.7,2748.1,9694.4,1745.6,16935,2236.1
O00567,,,1137.9,299.89,,,5702.5,1325.6,11687,4137,,626.33,2867.1,250.47,624.26,,833.57,1244.9,,,,2351.6,237.23,5633.2,2545.7,,7591,11303,224.34,1556.5,4531.4,3453.6,11270,5462.6,1723.6
O00571,,,1316.1,,536.01,,,,9251.6,6596.4,1382.9,2390,7411.4,733.46,1863.4,2010.2,684.34,6620.2,7045.1,3272.3,14522,6932.3,3266,5957.4,6431.6,3462.6,4658.7,14534,5413.7,717.33,4100.5,6731.4,9240.4,7292.6,1810.3
O00629,,,,,,,,,3003.8,,,,,,,,,,1089.7,1444.4,6085.2,3042.4,,1757,,,2861.6,,,,,,,,
O00764,1041.4,40.643,803.32,683.44,1719.2,772.05,,5144.2,43741,44085,22114,9412.9,10732,7681.1,3829.1,3570.7,1086.2,22960,3956.2,16928,11844,15776,10073,1927.6,18248,13706,17327,41021,23403,18562,15433,15532,18313,24566,19586
O14490,,,,,,,,,1834.3,,,,,,,,,2599.7,823.45,1035.7,4897.1,398.32,3081.8,,1119.2,,2340.1,,3385.3,1171.8,988.16,,,2214.7,2933.8
O14495,,,,,,,,,,4338.8,,,,,,,,4751.1,,1519.1,,5247.6,,3831,1771.7,,,3333.7,5749.7,,3089.9,4357.1,,1928.1,2918.7
O14523,,,,,,,,,1271.4,1688.4,,,,,,,,,,,2039.2,2502.9,,,413.81,1373.2,1742.1,1370.5,,531.7,,,518.21,1611.2,351.01
O14531,416.12,,,171.07,250.83,,,2046.1,5396.2,4069.1,880.32,554.82,1038.2,382.02,,3417.9,,8404.2,41326,14157,24528,20041,24035,21506,19033,18690,13184,12457,21670,30628,20263,19101,4859.7,12671,10346
O14548,1343.9,,,,1374.8,,,,2848.2,,2650,,,,,,,4367.1,2668.4,3302.3,4746.3,6174.8,2538.3,6184.2,3625.7,6038.2,11699,10048,4742.5,12245,882.45,5670.7,11328,5887.4,11519
O14561,,270.91,,319.96,,,,,,,657.52,,,,,769.16,,1369.7,,1718.9,,,,,,,,,1061.3,,,,,1480.7,1430.6
O14576,,,,,,,,472.33,4200.5,5088.8,2507.3,1256,694.18,951.27,,934.22,,2015.8,3143.7,4088.2,3259.8,6163.3,8280.9,845.99,1667.1,4522.3,,3109.2,5681.9,9306.7,1310,2385.1,428.53,8422.1,493.99
O14579,,,,,595.25,,,,,4517.2,1927.8,1455.9,1767.1,,1678.5,,,,1549.4,,,2069.5,,,,,,,,1981.7,,,1521.6,2422.1,
O14594,,211.35,,432.67,,499.84,,,927,,913,1930.9,1693.9,,1149.8,,,18519,8245.8,24125,8933.6,11046,15724,23411,13296,15041,13466,26033,15505,22894,12558,11707,15473,14610,19779
O14617,,1191.9,,,654.19,,,,13357,15809,5405.2,418.62,2249.9,,1191.8,345.18,2484.4,12396,6859.7,4405,15294,13083,7008.3,10612,16321,3994.5,15123,12444,8627.3,31311,5323.9,11018,16837,11796,7854.7
O14682,,,,,,,,,,,,,,,,,,,,,1174.5,,,,,,,1160,,,,,871.24,,
O14732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14735,,,,,,,,,,,,,,107.5,,807.98,82.068,3475,,4505.2,2039.8,,,1499,1974.8,,1298.3,2075.5,,,1356.4,,,,1577.6
O14773,,,1101.1,915.74,,,1033,1508,,5617.8,,,,,,,,,,614.23,,,,,,,1273.9,,,1078,,,2624.2,3216.8,
O14775,,,,,,,,,,,,,,,,,,2960.9,,,,2091.4,,,,3098.9,,3981.3,,,,5510.3,7135,5333.8,3998.2
O14776,,,,,,,,,,343.07,,,,186.65,,,,,,,,,,,,435.03,,819.36,,,,887.74,,502.61,247.13
O14782,,,,,,,,,,,,,,,,,,,,,,,,,,,197.67,404.56,319.36,,224.77,,,,
O14787,,,,,,,,,,,,,,,,,,,,,2438.9,,,2283.7,2537.1,1823.1,,4452.2,,,,,,,
O14807,,,,,,,,,,,,,,,,,,,,1538.7,,,,,,,,,1529.7,,,1702.5,,,
O14818,,,710.39,2366.3,692.43,,,5632.3,7394.9,2207,4708.9,1923.2,2907,1773.8,4098.4,,24623,1456.9,1351.1,1549.7,3594.9,2004.6,7677.8,1291.5,4682.5,1381.3,1878.3,4769.3,,10437,995.75,3129.4,2588.9,10601,3499.3
O14827,,,868.86,,,,,,4473.4,4019.9,7309.2,1051.9,1053,,,,,,,,,878.05,4340,381.3,,,,,,603.05,,,,,695.03
O14828,,,,,,,,,1387.3,2842.6,,,,,,,552.79,2381.2,1414.5,1001,7314.9,,1848,,1591.6,4969.5,3309.9,7796.1,3777.1,4967,1693.9,,1161.3,,
O14880,1240.7,,,,,,,,17748,5649.5,10229,3431.1,4699.4,3504.7,,,2130.6,3038.6,1915.8,4484.2,,3205.6,2297.1,2306.1,6490.8,,4102,7160.9,4536.3,6220.9,1389.1,,6210.5,4304.1,3007.4
O14908,,,,,,,,,,,,,,,,26.595,,,,,,601.27,365.68,,494.74,,,,1671.8,,,,,,
O14910,755.34,870.81,1881.8,,1361.5,591.05,,580.2,7039,7015.1,3707.4,980.73,,1295.7,554.14,1271,209.79,6740.6,1780.8,9982.5,14356,4956.2,3788.2,6604.6,4874.1,2414.1,5455.1,2697.5,7021.4,,,1202.8,,4897.2,3190.7
O14949,,,,,,,,,1682.1,2771.4,,488.03,1350.3,,818.41,574.39,,,,1024.3,2145.4,1876.7,1206.4,,,,1279,3684.2,1475.1,,,,1538.1,2100.2,
O14964,,,,,425.1,,,,,1105.4,,,,,,,,1506.7,3547,2761.4,1800.6,2100.1,1904.6,1851.9,3302.2,805.7,,1701.8,4284.8,1645.6,2032,1338.6,1102,2603.7,2729.4
O14974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O14979,,537.04,1076.9,801.85,1329,1031,,,17955,19929,4250.9,3777.6,4545.9,3128.2,3998.5,3337.5,4210.5,944.69,3058.7,1719.1,,1630.2,880.75,,1980.7,1643.3,1424.8,1939.6,1733.6,6960.6,1547,,1833,1369.1,
O14980,,,,,,,250.75,,,1138.7,509.11,,427.03,,,,,,980.22,1317,,,,,,,3593.6,2198.2,,10055,1647.1,,6310.9,4435,
O14994,,,,,,,,,1650.7,,,547.51,,,,,,,,,2714.6,,,,1431.3,3178.5,,3670.5,2943.5,,,,,,
O15020,4453.7,493.74,2311.7,123.97,844.1,396.27,1048.8,117,51391,40058,19069,2901.8,2334.4,1122.4,478.77,1375.5,1718.7,128190,14989,33013,108730,47725,56764,73915,59095,36216,88543,99704,54367,96785,37876,39633,82056,57511,70114
O15027,,,,,,,,,,,,,,,,,,308.46,,433.73,,,199.86,,300.84,,258.76,390.25,208.09,271.74,,214.75,274.54,,
O15042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O15066,,,,,653.93,,,512.63,1355.7,,768.04,,,,450.74,533.73,,3278.5,,1091.5,794.37,1244.8,1234.4,1689.6,1519.2,3118,1564.5,5208.7,2286.3,,2988,409.36,3129.7,2694,2653.3
O15075,3319.4,290.72,1828.9,395.26,1016.8,441.09,,1213.6,21707,12386,4605.9,2256.6,6086.9,,2333.2,1579,,16707,5984.2,14720,31184,21933,14026,18055,11047,15160,26271,36049,27285,47238,18183,16030,18319,37846,18592
O15083,230.84,425.97,31.563,,,,,,2450.7,2095.6,1260.8,73.647,,,,,,4489.6,,,1410.7,,4431.5,626.02,723.83,694.4,2024.8,999.74,1183.7,4439.6,,4030.4,3544.9,4725.6,3274.8
O15126,261.96,,,786.18,,,,1158.8,3247.7,3438.3,609.3,,,,,,632.22,1683.4,773.15,,3402.5,1511.9,1255.8,6098.1,5903.9,7754.3,3606.4,11200,5898.1,11852,1532.9,5037.9,4014.8,1515.7,5769.8
O15144,2111.2,401.76,2581,2265.8,379.81,573.57,747.59,3119.8,19022,19809,5673,1701.6,7360.7,1560,4557.9,3459.4,1182.3,51364,8061.1,32634,62941,42224,21815,56070,17423,22480,45421,54269,68564,43227,17853,40894,25259,28388,38805
O15145,374.52,2148,2580.3,1005.4,1178.7,1101.2,,2246.3,27609,27105,11304,5333.1,8381.3,4902.5,3918.6,8202.9,5889.3,41030,19645,21576,49507,23305,34371,32794,24257,19981,32273,36608,23204,48899,12700,29126,31594,33341,19464
O15173,,,778.33,,597.19,852.11,,,,,,,,,,,,,1216,2152.5,,2012.1,,,,1160.7,,1735.7,1596.7,1407.8,,,,1632.2,
O15240,,,,,,,,,,,,,,,,,,,,234.42,,,,1231.7,,,,,1267.9,,,,,,
O15258,896.35,,569.11,,655.71,,,,3917.9,2297,,,1049.7,,1782.6,556.22,,4201.3,,3185.4,7114.2,6075.7,2424.2,4084.5,4235.9,2337.8,5787.6,12225,4123.6,6983.2,5938.7,273,6663.5,2572.4,1782.8
O15260,811.07,208.67,924.29,,340.63,,,567.64,5552.4,5721.3,,648.31,1994.2,812.56,788.22,1260.3,1049.3,2422.8,1433.1,1420.7,5573.6,1877.6,,2044.8,4902.8,,2844.4,3702.2,2390.8,3628.8,,1774.3,2749.9,654.37,2603.1
O15294,,,,,,637.83,,,4886.3,3445.8,402.25,42.949,,655.13,117.89,941.15,1026.4,9791.8,3857.7,4221,5908.4,6351.2,2664.3,1451.8,6609,3529.2,18345,13861,3782.8,9949.1,6703.3,5070.2,10316,4369.9,9394.1
O15372,,,,,,,,393.99,,,,,267.29,146.77,,,120.96,318.67,3524.9,1717.4,3157.5,1897.3,,,377.06,1493.3,,672.99,,2256,,1168.3,,2235.5,
O15394,1066.2,2155.6,978.51,,,3418,2240.6,,7075.6,4663.9,11685,686.09,1771.4,735.67,3517.5,1474.1,,22375,9700.9,6557.4,18416,13874,25778,26243,21899,12437,19636,38023,40079,33135,20497,26872,22102,30227,31587
O15400,1705.2,4898.4,2526.2,3937.8,2557.3,2708.8,2139.2,1702.2,3891.6,17898,3140.7,,1147.2,895.87,1098.5,964.01,,,4321.5,12096,4524.2,12253,11600,5236.6,7364.1,7684.2,1221,16978,20012,7617.9,3896.9,4272.2,,4834.6,2930.7
O15498,930.03,,,,,,,,1774.9,2029.6,1145.5,484.87,,633.7,891.53,1390.2,,851.92,,197620,21381,,75477,,3984.1,3170,,4988,7500.7,40893,3922.8,,56259,65796,1129.2
O15540,,526.73,1434.2,,,,,2386.3,1868.7,2782.4,,,2374.2,1554.2,,2263.5,114.93,7060.2,1311.9,3649.8,3585.1,4034.6,3958.6,3758,2662.4,2372.3,9235.1,9081,,10079,6795.3,3367.1,6003.8,12860,3107.1
O43143,,,1580.5,416.6,707.53,,,4636.7,13636,12360,2659.2,1638.8,8006.1,2102.3,1617.6,5281.9,3854.8,13566,2678.8,5534.8,17398,11360,3532.6,5863.5,4869.5,1385.4,9470.7,6841.4,2441.7,21742,7888.2,2852.5,6477,9762.5,
O43149,,,,,,1534.2,4526.3,2602.1,,7622.9,,,,748.15,,1097.3,,,,,,,,,,,,,,,,,,,
