proteinId,S1,S2,S3,S4,S5,S6
Q9P2R7,5254000,6384700,500940,7165700,10278000,13505000
Q9P2U7,0,700730,797980,972200,1039000,1774200
Q9UBB6,7275400,3114100,3209800,3859100,5252900,9732200
Q9UBQ7,3380800,3453500,2581300,3892500,1945200,3096900
Q9UEY8,3836800,5501100,3857100,4335600,4017500,6420500
Q9UF11,338870000,298280000,316710000,413330000,168300000,251980000
Q9UFN0,42510000,45251000,39685000,50085000,53853000,65563000
Q9UGM3,5410000,4624200,2731300,3829700,2248800,2762900
Q9UH03,4298300,2458400,1828500,4897000,4239300,11404000
Q9UHD8,2389200,2269100,4180900,2044300,4853100,3470700
Q9UHY7,1765900,1540600,2911700,3837400,2168000,4110500
Q9UI09,294870,474320,450810,312370,1041800,488220
Q9UI12,2403400,2975200,2348900,3119700,4314600,4150700
Q9UI15,3711800,2033400,2118500,3251300,4277500,6930900
Q9UJ70,319130,846770,1811700,755470,0,872500
Q9UK22,4332900,4185000,5472700,5653500,7091300,7917100
Q9UKK3,397280,429080,0,829310,0,335820
Q9UKK9,614750,789830,0,0,949270,862140
Q9UKU0,0,1527700,0,0,0,0
Q9ULA0,132880000,95049000,12050000,95648000,35826000,53882000
Q9ULB1,446650,1397900,0,950750,4452500,419130
Q9ULC4,0,0,943300,0,0,0
Q9ULP9,0,832930,419410,377130,595750,889620
Q9ULT8,2471200,1692800,1340600,1231500,0,0
Q9ULU8,2564900,2737200,1564800,3161700,3834900,8390700
Q9UM22,12054000,8083800,7684200,17739000,23555000,15742000
Q9UM54,2535400,1590400,2656100,2979600,715310,1114600
Q9UN36,9558400,8338900,12837000,3713700,10936000,15478000
Q9UNF1,0,230910,134310,347920,503400,502940
Q9UNS2,0,0,157850,0,0,0
Q9UNW9,1108700,334070,0,458370,335880,1029900
Q9UPV7,0,0,475490,0,0,1863600
Q9UPW5,946860,323200,199610,611940,989380,415980
Q9UPX0,25882000,11112000,8958100,15484000,12377000,18303000
Q9UPY8,0,673670,0,0,0,1446800
Q9UQ16,5587700,5725700,4768200,5417700,3766200,6873200
Q9UQM7,5637700000,4302600000,2083600000,3579000000,5840200000,3435000000
Q9Y241,575850,573780,786070,1167600,1179600,1289100
Q9Y277,17315000,16279000,11855000,15458000,20912000,24980000
Q9Y281,11426000,8352800,17150000,16774000,5590800,15251000
Q9Y285,285320,140430,0,339040,298590,576040
Q9Y2A7,217190,3229900,1145000,1593600,3922300,4176500
Q9Y2J2,57357000,38120000,29632000,32552000,33524000,46850000
Q9Y2J8,18655000,20865000,19073000,17994000,8099200,11548000
Q9Y2Q0,1512100,1178300,977380,1701100,1769200,2681100
Q9Y2Q3,3533200,2323300,2281500,2146200,2440400,3257700
Q9Y2S2,5275100,4258100,12091000,8731800,3032400,7512300
Q9Y2T3,73393000,61829000,35464000,45086000,51273000,65948000
Q9Y2X3,8781100,2463800,884890,4219500,4814700,4794700
Q9Y342,3323800,3071900,3677200,4016200,5498200,3464300
Q9Y383,3895600,2036800,1400500,1349500,3496200,2021700
Q9Y3A2,6235700,6612600,0,4497900,3691800,0
Q9Y3A5,33449000,37253000,31203000,37708000,13252000,27278000
Q9Y3B4,547010,0,745750,753550,304820,497580
Q9Y3D6,3240700,4874300,3514400,3294100,2023400,3201900
Q9Y3U8,41518000,28304000,26631000,40146000,46288000,53138000
Q9Y490,268080,0,0,813420,410020,552110
Q9Y4F1,332010,252320,169180,293140,367100,571750
Q9Y4I1,51867000,50461000,22277000,39814000,66255000,53038000
Q9Y5J5,26185000,22825000,17984000,42117000,6854500,30998000
Q9Y5K8,48017000,42717000,25695000,73720000,71098000,69002000
Q9Y617,36960000,32989000,39566000,33537000,41543000,44563000
Q9Y639,5373100,1339800,2169000,2784700,4378900,10460000
Q9Y696,17515000,10443000,28015000,20706000,4475300,8500000
Q9Y6C9,507320,533460,445030,696270,710420,2136200
Q9Y6K8,1734900,632120,627990,1816000,465730,1132500
Q9Y6M9,1700800,955930,985390,1259800,1423100,2142300
Q9Y6R1,0,0,1197000,0,2485700,3305500
Q9Y6R7,1162500,118010,0,0,0,0
