proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
Q9UKF7,194470000,352110000,252310000,397280000,365870000,223560000,220420000,190970000,164850000,324830000,374230000,341320000,597060000,784640000,1021300000,843060000,758390000,449420000,57522000,76390000,65663000,444300000,467230000,220220000,282450000,195010000,242110000,105700000,56254000,264090000,9048100,76124000,52808000,225820000,180400000,157390000,335880000,361740000,505700000,507220000,462770000,302890000,87987000,93692000,60695000,284850000,239820000,243950000
Q9UKG1,1398200000,1772900000,1644400000,2787600000,2240900000,2314100000,212380000,301990000,267670000,1961500000,1811900000,1371800000,4097800000,4895300000,3476400000,1636300000,1671100000,1615900000,807280000,1167600000,967990000,2910700000,2817800000,2849600000,1326000000,1393200000,1299400000,1310100000,1099800000,843220000,306000000,281540000,313910000,1245900000,1034800000,967770000,2364200000,1717500000,2490100000,1888100000,2020300000,1671600000,779310000,1024700000,665450000,1563800000,1465200000,1728700000
Q9UKG9,122050000,141690000,114050000,102820000,93543000,67968000,11245000,0,10423000,114620000,169550000,100960000,922510000,592330000,919550000,418640000,388460000,381960000,257070000,170710000,108880000,0,25791000,1061700,1009700,3288800,4718700,3284900,0,1399300,0,0,0,6334900,0,0,0,0,3212400,5243500,0,4281900,0,6761600,8411500,0,11974000,0
Q9UKI8,1661200,4679600,3868400,25843000,45065000,63610000,0,0,0,0,0,0,41220000,36655000,29983000,5739800,0,0,15087000,15117000,14970000,16471000,3417800,0,0,0,1959000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068800,0,3865700
Q9UKJ3,93986000,114970000,123230000,463490000,514680000,545300000,2541800,9351100,2999300,40172000,51194000,47914000,146720000,145010000,298380000,13302000,27729000,30588000,48889000,62315000,45893000,46249000,41131000,27765000,15454000,4473400,3294200,21564000,23411000,36723000,3856000,8097700,24876000,6689400,1905100,17635000,10481000,490390000,608670000,13445000,6371900,4225800,4671200,0,2157900,0,0,266040000
Q9UKK3,158930000,109560000,136630000,37367000,35889000,33604000,237980,0,0,40583000,22358000,14221000,1129300000,547850000,526050000,276350000,155810000,191840000,126860000,141740000,147150000,675270,0,2355100,2149400,7849100,3544400,17045000,51674000,30131000,22503000,3363100,7728300,85203000,18106000,63213000,95530000,42530000,48786000,110160000,54890000,58316000,13703000,8379000,17586000,77772000,67216000,44660000
Q9UKK6,8350600,0,0,112470000,139920000,126640000,0,0,0,0,0,0,19929000,0,23978000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q9UKK9,942310000,665500000,902610000,1371400000,1385200000,1705500000,1058400000,1009600000,406370000,2562600000,3016200000,2600500000,2293800000,2356800000,2658000000,1054700000,861790000,749700000,443650000,588670000,630740000,2239300000,2347800000,3012100000,860220000,596680000,867320000,784290000,587570000,690490000,254380000,410940000,225130000,938830000,805380000,974200000,816110000,1502100000,1154600000,1029400000,1098600000,1057400000,476480000,538650000,435140000,1134300000,930330000,1077300000
Q9UKL0,21157000,59096000,59104000,158530000,256750000,130710000,0,0,0,37066000,12509000,0,162750000,143240000,150540000,36611000,34005000,7572100,41633000,20380000,32500000,21915000,28236000,19352000,3451700,0,7412000,21923000,5389300,4674000,0,5352100,5350300,51309000,35299000,14215000,0,0,0,3272700,0,3832000,1109200,0,0,19286000,8444500,7736300
Q9UKL6,4762100,4147000,13373000,5978600,7048800,4145900,2027400,0,0,9288100,7026800,0,0,7229400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
