proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
Q1KMD3,1758000000,1771900000,2989200000,2296800000,1942500000,2740800000,2110100000,2398800000,1792800000,2485000000,2835900000,1852800000,1833100000,805980000,1810200000,1940700000,998440000,1600300000,1429600000,961950000
Q24JP5,13925000,13076000,55581000,19087000,45796000,51220000,16674000,49626000,27698000,38805000,64397000,56706000,11985000,31195000,14542000,13927000,14401000,16097000,45792000,16990000
Q27J81,307050000,377270000,376900000,340680000,463030000,839790000,220690000,431910000,426810000,530940000,551310000,645560000,337130000,280210000,860370000,462900000,947510000,476210000,415100000,338150000
Q2KHT3,155680000,131840000,134900000,162470000,136270000,176170000,136160000,152480000,128630000,153820000,144960000,126690000,110880000,111660000,132320000,172750000,87973000,111010000,155380000,149960000
Q2M2I8,1411200000,1369600000,1851300000,1575500000,1450800000,1842700000,1392300000,1750100000,1328200000,2173500000,1657100000,1070900000,982930000,688970000,1121300000,1592200000,444330000,1568200000,2223300000,2766000000
Q2M389,126590000,42359000,37867000,103500000,51833000,282960000,66780000,183920000,94439000,125710000,94009000,103480000,77370000,70493000,69394000,63833000,100850000,53948000,144200000,74675000
Q2M3C7,58948000,36623000,36181000,21274000,30216000,48622000,31141000,31295000,0,41112000,47081000,23855000,9817400,3980100,27141000,6694200,0,29501000,13476000,11450000
Q2M3V2,0,0,0,0,0,0,0,0,0,0,0,6878900,0,0,0,0,0,0,0,25598000
Q2NKQ1,32554000,21689000,20459000,38128000,24625000,46643000,37639000,32065000,15525000,36814000,17242000,22296000,9142900,6532400,33429000,38623000,0,27539000,100170000,98849000
Q2TAA2,570600000,466410000,727560000,794560000,390840000,721440000,771820000,666970000,844480000,1103200000,953530000,653970000,523680000,468510000,705830000,1031800000,389940000,758470000,724290000,663700000
Q2TAL8,27292000,23039000,24725000,38829000,21933000,0,0,0,0,0,15860000,30505000,12064000,0,28397000,24310000,0,0,0,0
Q2TAY7,312530000,243160000,317500000,293220000,218080000,184230000,273480000,133030000,149200000,88073000,114090000,83269000,133700000,140790000,133700000,120820000,31604000,168710000,69758000,17843000
Q2UY09,0,0,0,0,0,0,0,0,0,0,0,33840000,0,0,0,0,0,0,0,0
Q2VPB7,5508000,0,4893600,7561400,6359700,8709200,7408800,7402100,0,0,12118000,9410000,4125000,5004700,0,0,0,0,12993000,0
Q32MZ4,27803000,44080000,33775000,25625000,21853000,92649000,87471000,87988000,110430000,135080000,182120000,91198000,17941000,8759100,133000000,27115000,112200000,73585000,31997000,39306000
Q32P44,0,46481000,38365000,85457000,51912000,101240000,0,70987000,100860000,63341000,0,70335000,69533000,0,0,81674000,0,55704000,34756000,0
Q32P51,0,0,0,0,3432800,7006100,0,3992700,0,0,0,1547500,0,0,0,0,0,0,0,0
