proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
A0A024RBG1,18031000,0,0,30541000,0,0,25400000,0,37882000,0,0,0,0,0,0,0,0,23211000,0,0
A0A075B6J9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71842000,0,0,0
A0A075B6K0,0,0,0,18174000,0,0,0,0,0,0,0,29216000,0,0,0,0,302530000,0,0,0
A0A075B6K5,163520000,184940000,201140000,120890000,159820000,191980000,156160000,276950000,156510000,154230000,154790000,148650000,130610000,66802000,95345000,127340000,314540000,108600000,104820000,180950000
A0A0B4J1X5,0,0,0,0,0,162270000,86892000,25805000,77918000,0,0,239130000,0,19076000,0,27170000,327830000,0,66822000,0
A0A0B4J1X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32373000,0
A0A0B4J1Y9,25757000,44618000,23834000,19058000,17237000,51642000,66263000,56581000,40703000,48350000,25138000,109000000,20034000,0,21844000,26862000,358220000,44412000,41879000,0
A0A0C4DH25,0,85093000,47548000,0,39688000,67475000,107290000,63682000,0,64794000,0,98740000,0,0,44792000,51624000,567920000,0,0,0
A0A0C4DH31,0,32887000,0,0,0,35044000,32428000,0,0,25300000,0,0,0,0,0,28112000,79978000,27802000,0,0
A0A0C4DH34,0,13300000,0,0,0,0,0,0,0,0,0,20436000,0,0,0,0,203980000,0,0,0
A0A0C4DH38,0,27872000,22625000,24133000,0,31997000,0,0,26786000,0,0,35581000,29174000,75162000,0,0,147360000,0,0,0
A0A0C4DH72,0,0,0,0,0,0,0,0,0,0,0,15497000,0,0,0,0,50588000,0,0,0
A0A0J9YXQ4,0,0,0,0,0,0,0,0,0,0,89163000,0,0,0,0,0,0,0,0,0
A0A3B3IRV3,270720000,316890000,395990000,315630000,279210000,335020000,329670000,340740000,213230000,436170000,411020000,254910000,291740000,215590000,220720000,289290000,267370000,385260000,364960000,250780000
A0A494C0Y3,104450000,0,12782000,0,107310000,32687000,11172000,87990000,0,103030000,77679000,0,0,65272000,0,20734000,0,22385000,0,0
A0AVT1,1292700000,1275000000,1578300000,1359200000,1211600000,1976800000,1333500000,1749200000,1442300000,1887000000,1837200000,1291100000,1380100000,949080000,1626200000,1518900000,757780000,1447800000,1276700000,902160000
A0FGR8,116460000,370910000,129780000,92583000,165960000,143200000,114500000,263460000,126230000,216440000,58482000,77930000,41467000,81424000,157960000,146070000,203580000,113520000,251710000,361510000
A0MZ66,412730000,407200000,528050000,437200000,524180000,793480000,428900000,477870000,358580000,663180000,662810000,283280000,531600000,412420000,420000000,459450000,307300000,765890000,570180000,615310000
A1L0T0,353970000,394360000,397520000,391530000,433250000,411380000,387330000,513620000,402220000,304390000,281900000,358360000,338720000,155400000,391030000,421490000,462810000,347460000,308760000,273950000
A1X283,0,0,0,14508000,0,0,144640000,31313000,0,21320000,0,0,0,0,0,0,0,0,0,0
A1Z1Q3,223830000,138920000,203020000,351200000,167840000,408460000,184140000,216480000,245810000,288720000,246170000,254500000,179970000,200740000,164610000,304170000,46539000,214990000,217580000,179260000
A2NJV5,39094000,178120000,128790000,0,114810000,295600000,300570000,213870000,130570000,138280000,135510000,326730000,0,208330000,146310000,0,1455500000,197970000,143360000,83176000
A2RRP1,177440000,156680000,187250000,131810000,133710000,83505000,84620000,45491000,70853000,144420000,81827000,139140000,87682000,91024000,105890000,159340000,67744000,85807000,36438000,65589000
A2RTX5,123170000,195330000,250860000,125050000,277380000,218850000,151680000,217920000,134340000,216240000,217520000,280760000,218000000,118490000,221770000,321130000,97615000,358780000,160300000,229650000
A2RU67,35542000,40364000,49338000,30799000,26504000,61767000,0,29456000,38331000,34468000,42877000,32125000,30690000,37092000,44448000,36628000,19216000,50224000,56898000,57474000
A3KMH1,49963000,145210000,117800000,153460000,317370000,142860000,126800000,238480000,130800000,115450000,93131000,169770000,160170000,67345000,110430000,104200000,143810000,122490000,93834000,147210000
A4D126,27364000,44540000,0,27312000,51654000,31626000,36235000,34497000,40865000,31007000,7760100,7680800,6991000,25829000,23466000,27477000,0,41804000,0,8859700
A4D161,0,0,0,0,0,0,0,30570000,0,0,0,14289000,0,0,0,5080400,0,20057000,0,0
A4D1P6,199900000,141260000,147850000,161070000,104690000,226300000,130450000,84873000,131510000,159470000,116120000,213650000,65031000,136290000,109880000,114640000,51234000,67913000,80502000,112430000
A5A3E0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5D8V6,0,0,6433200,0,2210700,0,0,5257700,0,0,0,6314700,0,0,0,0,7034900,0,8478400,0
A5PKW4,35296000,27246000,0,0,50183000,91179000,0,0,49908000,0,0,0,0,0,11957000,55693000,0,0,160420000,184830000
A5YKK6,0,0,0,0,18772000,33629000,0,31653000,0,10503000,20379000,14629000,32102000,30811000,16181000,16302000,10827000,8690200,29708000,30589000
A5YM72,221600000,227310000,509380000,133540000,115540000,264490000,121290000,253680000,15614000,235060000,475300000,200250000,75868000,259790000,117930000,449460000,345050000,409470000,188250000,114780000
A6NC98,18966000,33487000,0,19668000,0,0,24467000,0,0,0,16101000,51031000,0,0,40857000,0,0,0,42637000,22960000
A6NCS6,32155000,0,7990800,27949000,99718000,26740000,46593000,68489000,44952000,50746000,21952000,0,24815000,9454400,0,43359000,0,55511000,15860000,31596000
A6NDG6,340730000,431110000,483390000,518620000,487950000,667090000,532450000,455290000,381680000,769220000,813740000,441960000,300410000,290520000,536690000,514300000,156500000,398550000,910180000,801790000
A6NDU8,160340000,148520000,118200000,191900000,71650000,254370000,143000000,205190000,47644000,86610000,189510000,266400000,121310000,98655000,199450000,169370000,145500000,243770000,186550000,80432000
A6NE02,25003000,0,33176000,12736000,25723000,58128000,18070000,0,13989000,20315000,0,0,0,15186000,16882000,0,0,9430300,17762000,0
A6NGB9,0,24108000,19434000,0,0,0,0,0,20319000,0,0,0,0,0,0,0,0,0,0,36145000
A6NGN9,0,0,21850000,13039000,7634000,0,29860000,14864000,10111000,13411000,14752000,0,0,0,25753000,0,9440000,18969000,39815000,23123000
A6NHL2,4089200000,5202300000,7559300000,4294400000,6503600000,7324100000,5242600000,8807000000,5044900000,10336000000,10633000000,3043400000,4120800000,2806200000,4612300000,5471800000,4076500000,6642500000,6390000000,5055200000
A6NHR9,13573000,11698000,12169000,12660000,9111000,23185000,20873000,17231000,9714800,35554000,0,15069000,3992800,8915300,15068000,10503000,0,11591000,21378000,13473000
A6NHX0,129220000,121540000,161960000,179280000,161100000,208050000,207170000,207610000,153240000,239010000,164210000,181910000,36131000,105730000,223110000,296920000,45763000,194880000,207450000,218830000
A6NIH7,105250000,61817000,175370000,144930000,218070000,83815000,131490000,135670000,123760000,164700000,166840000,94519000,130650000,49010000,89124000,82476000,27843000,111860000,33893000,0
A6XGL0,127510000,120370000,0,46423000,188970000,75502000,296510000,59394000,59329000,67451000,58015000,53452000,29648000,35826000,22806000,230120000,0,157960000,27440000,84654000
A7KAX9,56521000,51633000,13962000,0,92889000,0,0,0,15053000,19198000,4208300,163330000,0,0,0,9767400,0,0,0,51172000
A8MVW0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20555000,65161000
A8MXV4,49673000,19520000,25427000,13332000,6955400,62387000,51156000,44883000,35786000,16114000,24860000,14158000,16919000,14157000,0,15430000,25545000,13601000,51960000,17298000
C9J069,90079000,64135000,89908000,55627000,33917000,80979000,82721000,87329000,71878000,111220000,81026000,29145000,65837000,20530000,140620000,79154000,13264000,114240000,135280000,163770000
E9PAV3,388910000,544120000,499790000,436790000,463560000,435450000,347490000,599630000,425780000,704370000,758100000,542500000,303260000,168750000,335360000,513640000,612270000,520260000,343870000,415610000
M0R2J8,110060000,25412000,126180000,108440000,28056000,30977000,174710000,183600000,49744000,35915000,0,83126000,132990000,41647000,71186000,109290000,24182000,96853000,147330000,47352000
O00116,149460000,85177000,69923000,71797000,75665000,172540000,84426000,101130000,117690000,125450000,0,22151000,81627000,53298000,75746000,141800000,37712000,40917000,30774000,20629000
O00139,1375500000,1229700000,1886700000,1249600000,1594000000,1884200000,1425900000,1789600000,1311700000,1905400000,2274200000,737060000,1167500000,843550000,1538800000,1288700000,285260000,1539900000,1366600000,1714100000
O00142,89390000,69406000,89698000,114850000,41999000,154670000,62563000,216380000,80134000,129030000,73970000,110290000,77850000,91241000,41071000,127350000,103130000,87861000,37292000,103210000
O00148,40673000,12011000,0,14135000,0,0,19866000,22845000,17295000,0,10631000,0,0,0,0,0,63558000,0,0,0
O00151,30157000,0,83898000,35755000,87830000,50428000,62270000,1255200000,31646000,1324200000,1683600000,53224000,0,51686000,33494000,21273000,1195500000,25187000,0,36786000
O00154,5360200000,4798800000,5755600000,6030600000,4293700000,6085600000,4765300000,4930000000,3966900000,5634200000,4668700000,3991600000,3880300000,2312100000,4701300000,4867800000,2139400000,5536000000,8719900000,7875100000
O00159,228180000,212370000,139810000,160790000,85328000,243500000,119280000,120630000,328330000,128620000,64048000,241580000,168460000,89914000,207510000,114620000,1424200000,213080000,114660000,26436000
O00161,0,0,0,63105000,40455000,0,47984000,0,31952000,0,52650000,0,25805000,34098000,62254000,30822000,27814000,24395000,0,0
O00165,34400000,16108000,14173000,31424000,35070000,17410000,13620000,19136000,21260000,41508000,13813000,33954000,35843000,14214000,27460000,14462000,0,37054000,28934000,20583000
O00170,973390000,1155600000,1534100000,1002300000,1234100000,1248600000,1131300000,1289000000,1042100000,1232300000,1428400000,389910000,601780000,374950000,736400000,1084700000,252600000,1234700000,901680000,846570000
O00178,30257000,37330000,30740000,35071000,26925000,129240000,117200000,138920000,47898000,123550000,91833000,91175000,31795000,65702000,147860000,85967000,26588000,33626000,109300000,18968000
O00182,142550000,169140000,134470000,131700000,101840000,189710000,291400000,133580000,161090000,141200000,69219000,158990000,45826000,21271000,83050000,112400000,152140000,139390000,116810000,0
O00186,730230000,1045400000,1031400000,1076400000,958720000,1018000000,1071600000,898110000,808010000,1019100000,1277600000,900750000,895670000,435090000,944000000,784290000,499730000,1128000000,694390000,571560000
O00192,310230000,416770000,249570000,295450000,358950000,164650000,365870000,412690000,291910000,407110000,449470000,269300000,329080000,274290000,261450000,183600000,146390000,255420000,214020000,93508000
O00194,163850000,130240000,98611000,128960000,85302000,87257000,94020000,63640000,142310000,113950000,94177000,125180000,91569000,17509000,133570000,114960000,54024000,82880000,377470000,383370000
O00203,264430000,185280000,202000000,201320000,288160000,289090000,158210000,321160000,225540000,255270000,222870000,281780000,155730000,162190000,175610000,239190000,201180000,205680000,155020000,112780000
O00213,172960000,177930000,137860000,177060000,186370000,253040000,25657000,226730000,146470000,205890000,135320000,201810000,138460000,161440000,72735000,380910000,21620000,211080000,356620000,244380000
O00217,1335500000,777170000,1329000000,1311300000,982920000,1710500000,944530000,1126300000,919780000,1327800000,1117400000,857070000,1041300000,676770000,1097500000,988980000,422680000,940010000,1549500000,1319000000
O00231,1841600000,1656900000,1840400000,1748800000,1947300000,2251600000,1859700000,1833800000,1540400000,1991100000,2015800000,1638400000,1437800000,1052300000,1682000000,1426300000,1201900000,1601300000,1729800000,1740700000
O00232,1255300000,1112900000,1562200000,1208700000,1332100000,1846500000,1441800000,1696600000,972820000,1657100000,1388100000,1310800000,1048200000,570680000,1567000000,1125200000,1279300000,1332800000,1458900000,1412100000
O00233,270990000,423810000,441230000,545460000,456710000,352920000,349030000,393580000,520080000,447830000,513950000,287220000,374500000,196920000,361590000,270070000,817710000,503750000,377590000,283760000
O00244,0,29026000,22249000,71420000,131280000,62491000,27969000,33842000,22696000,59451000,48939000,21648000,22061000,29949000,22841000,26274000,0,19491000,0,0
O00264,1921600000,1675500000,2177900000,2664100000,1018400000,3312800000,1630400000,2114000000,1833900000,1968200000,1610600000,2732200000,1470800000,3624600000,3038900000,2582700000,3056000000,2505900000,5162900000,2527100000
O00267,10316000,0,44038000,0,0,15314000,10282000,10007000,0,29187000,15715000,17621000,0,0,16167000,6279200,4130800,12788000,0,0
O00273,210680000,337900000,263170000,297750000,387360000,324290000,227210000,318240000,213120000,376890000,418460000,240040000,355510000,129170000,312430000,222680000,172280000,274980000,132770000,82526000
O00291,49090000,135540000,98791000,131220000,132500000,268370000,31455000,168470000,112670000,245320000,70660000,208510000,235640000,67462000,239950000,172300000,164760000,66308000,0,131310000
O00299,1390300000,1852000000,1766800000,1372400000,1993100000,2353200000,2088600000,1758200000,2618900000,2239500000,2657000000,1844700000,1349100000,1641900000,1904900000,1651600000,3287700000,1945000000,1529000000,707000000
O00303,445080000,382780000,428790000,420630000,365880000,499780000,622930000,500080000,442230000,756970000,524710000,424210000,376760000,309160000,640760000,483620000,595090000,468030000,464900000,340020000
O00305,59329000,47273000,63974000,55721000,41064000,76146000,31062000,60349000,0,36104000,0,0,26992000,0,32880000,49430000,0,63543000,101410000,66874000
O00308,39481000,10018000,13841000,53078000,27995000,23928000,14744000,17845000,28703000,25647000,9817500,11070000,17204000,43449000,14771000,82711000,11613000,17566000,16676000,14022000
O00311,169960000,240850000,88650000,52585000,79119000,209780000,68737000,76285000,180730000,124740000,176040000,187980000,103280000,281190000,288700000,235900000,0,0,352840000,190980000
O00330,1378000000,1237100000,950690000,1425600000,719940000,1336600000,1530000000,1331400000,1129300000,1090800000,966000000,1377100000,1209000000,968840000,1173800000,1147200000,617520000,1013000000,2320000000,845160000
O00399,512940000,602130000,690640000,500600000,564330000,600960000,428060000,563150000,506490000,710710000,633840000,354220000,488180000,245930000,387180000,405490000,321960000,756700000,532030000,595340000
O00401,264630000,353330000,587360000,339010000,375070000,395560000,230290000,171860000,523770000,403410000,443740000,310130000,300840000,157620000,112920000,273750000,49216000,380850000,184470000,752230000
O00408,1472200000,1236800000,1385200000,1784700000,1071200000,1531700000,1639500000,1218200000,1136400000,1602700000,1595800000,1175600000,990910000,524280000,1258500000,1115600000,238400000,1073600000,3112000000,2892000000
O00410,5404700000,4168500000,4625400000,5061100000,5313700000,5983500000,4394800000,6246100000,5040700000,5766900000,5518700000,5363100000,3724700000,2807900000,5083500000,5837200000,3861800000,4814200000,5489300000,4807500000
O00422,55785000,26188000,131110000,72088000,27395000,100260000,50492000,108730000,26773000,117030000,129400000,20799000,44848000,0,22924000,31183000,81963000,110780000,0,22622000
O00423,23127000,0,75450000,21724000,43479000,91853000,0,96020000,49834000,47885000,39153000,32529000,0,62657000,32381000,19524000,60187000,53317000,32204000,0
O00429,8706000000,9169800000,11128000000,10025000000,9252300000,12484000000,7241400000,9368500000,7381700000,11763000000,10649000000,8067500000,6980500000,5165800000,8173500000,10128000000,2962500000,9220800000,11776000000,15227000000
O00442,306530000,414890000,497170000,483850000,475790000,706770000,522520000,466860000,408300000,532770000,569870000,367450000,480440000,153260000,463040000,406450000,179400000,485660000,454410000,378420000
O00443,0,0,0,0,0,0,0,0,7054400,0,0,0,0,0,0,0,4546300,0,0,0
O00445,47380000,21062000,40016000,21482000,41758000,81256000,49606000,95794000,19159000,75605000,74490000,0,42094000,29094000,26429000,78681000,0,357840000,465850000,54744000
O00451,102960000,196930000,208030000,103890000,104200000,198130000,145880000,44102000,131260000,38835000,72482000,60068000,46660000,14221000,252250000,106430000,16018000,98418000,41643000,163270000
O00468,457740000,493520000,353380000,363860000,191000000,526080000,784190000,218280000,283040000,682060000,523120000,736120000,350210000,218100000,414220000,263450000,736120000,336230000,155620000,267730000
O00471,324800000,346360000,154890000,280240000,277500000,316090000,322000000,403570000,343880000,268550000,70476000,312980000,202370000,66427000,283100000,212150000,204450000,228380000,450910000,291420000
O00478,385050000,451130000,528620000,486260000,597370000,624830000,467100000,319080000,705420000,356730000,526580000,616300000,599640000,190380000,318420000,640780000,170540000,315070000,162670000,162760000
O00481,0,0,0,8297300,0,0,8380800,2308000,7893500,8764200,0,0,0,0,0,6131000,0,6198600,0,0
O00483,808690000,586650000,567140000,1378100000,1671100000,2499700000,626900000,601330000,152830000,520520000,689170000,324850000,120270000,251670000,698630000,1241400000,186030000,1016000000,1556100000,724760000
O00487,464800000,393500000,470480000,533100000,729780000,349600000,343600000,511210000,494110000,503830000,607190000,338120000,305960000,202280000,466720000,373220000,354920000,458890000,355460000,448350000
O00499,3913900000,4075200000,4610400000,4596000000,3568600000,6513200000,4261100000,5321900000,3332600000,5522600000,5276100000,3538400000,2935500000,1485300000,4197200000,4153500000,2617800000,4815400000,5974000000,7358600000
O00501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40866000,0,0,0
O00505,714770000,879480000,1021500000,1142600000,897560000,968440000,1146800000,1024700000,809540000,1257200000,1067900000,1060000000,1059900000,621970000,929620000,1277500000,536500000,866790000,1069100000,1008900000
O00507,0,2715700000,0,0,0,0,0,0,0,37106000,0,0,0,0,0,0,0,0,0,0
O00519,33137000,39183000,38708000,64291000,86962000,115900000,117960000,108360000,31680000,90220000,104880000,44349000,49667000,94463000,68748000,70224000,10089000,11765000,164820000,119210000
O00533,386840000,405600000,934940000,1018200000,366170000,1300400000,865730000,1178700000,1086400000,1066500000,892710000,1038000000,501230000,508190000,1090700000,696540000,819560000,1059400000,1775000000,1767200000
O00534,338770000,661450000,606490000,281210000,417430000,555920000,392370000,458730000,425010000,467610000,557800000,490800000,592080000,207430000,512300000,318710000,153530000,630870000,917850000,436320000
O00560,208110000,331110000,398820000,336810000,278350000,242890000,363070000,286340000,350850000,392190000,253820000,246100000,307380000,162940000,317840000,241830000,320900000,394660000,350370000,359000000
O00562,55231000,138260000,263370000,115940000,197590000,227070000,117670000,282400000,99064000,276910000,131780000,77100000,51154000,56181000,79432000,215300000,66719000,163830000,178230000,99921000
O00571,2022900000,2315600000,2591700000,2253600000,2634700000,2437000000,2286800000,2236100000,2814600000,2408800000,2777800000,2061300000,1902900000,1372100000,2433300000,2045400000,2233300000,2410700000,2042800000,1614200000
O00584,51837000,64717000,45282000,90003000,50426000,88683000,201880000,142910000,141710000,139720000,84425000,38945000,81724000,0,147000000,51593000,133230000,70814000,153200000,45126000
O00592,0,0,0,0,0,0,16312000,0,0,18898000,0,29158000,16727000,17554000,0,0,110850000,0,20600000,0
O00625,273670000,261780000,311980000,289000000,621350000,418700000,431960000,191900000,323350000,506010000,461550000,433210000,375750000,262080000,542900000,315780000,274690000,274440000,397600000,252210000
O00629,988260000,1151200000,1321800000,1148400000,1170800000,1465600000,1463700000,1481700000,752180000,1939100000,1845900000,1214000000,1336700000,565570000,1604500000,805920000,875590000,1049800000,1344900000,550090000
O00635,82885000,61760000,65735000,75342000,71048000,52696000,43293000,64827000,81522000,61654000,64469000,97673000,80120000,42638000,65459000,45196000,54478000,49558000,0,70257000
O00743,383670000,625160000,500190000,544280000,543210000,605940000,688670000,626010000,555460000,502840000,606620000,482320000,383150000,304420000,504500000,575040000,297930000,418600000,510960000,581760000
O00754,59730000,0,0,37785000,0,0,94690000,0,24479000,0,0,0,0,0,0,16450000,19240000,16324000,0,0
O00764,8991300000,9224700000,11121000000,9333300000,10502000000,10640000000,12086000000,11269000000,7997000000,14039000000,10907000000,8641400000,9560200000,6807300000,11275000000,9786400000,3395600000,9884900000,8821000000,7752000000
O14490,227670000,218040000,162460000,207320000,89138000,261830000,183910000,210580000,109140000,255610000,301190000,109850000,92523000,78681000,138130000,107430000,0,71621000,375360000,649870000
O14493,0,0,0,0,0,43300000,26679000,36652000,0,67843000,131510000,25695000,0,0,21969000,51294000,0,0,0,0
O14495,308980000,385010000,358890000,388490000,561670000,298230000,282550000,196530000,346050000,462740000,351480000,297820000,190280000,78335000,243800000,299680000,104420000,235450000,242710000,248240000
O14523,13905000,30902000,50090000,18689000,54068000,34772000,63177000,21552000,14848000,40629000,38774000,13063000,25604000,14058000,19358000,18600000,18582000,62430000,30994000,178140000
O14525,308410000,452370000,380060000,471300000,290450000,454000000,312720000,255280000,256740000,78363000,417680000,313100000,490680000,128730000,645670000,233560000,67812000,381190000,346920000,227200000
O14530,20099000,23229000,21726000,20417000,21112000,26795000,21817000,29360000,23250000,26179000,27278000,18851000,22092000,17557000,24176000,25921000,16295000,27090000,29755000,19407000
O14531,6115100000,6902300000,8090200000,6464000000,5419100000,6941000000,6122600000,5790300000,4742800000,7024100000,7039700000,3639700000,4100100000,2024500000,5082000000,5622500000,2018700000,6369700000,5021900000,4294200000
O14545,17953000,24540000,28667000,20731000,22105000,0,17440000,15760000,23452000,25783000,79325000,0,15068000,18649000,19161000,0,0,24424000,0,0
O14548,643640000,445610000,538220000,589690000,516280000,715740000,609780000,423630000,240460000,476810000,396860000,429230000,432710000,346540000,548710000,475840000,45400000,532010000,737040000,541900000
O14558,590710000,649160000,830330000,642610000,755910000,814740000,1067200000,720000000,787490000,769190000,933210000,420020000,950320000,431180000,891150000,381710000,1228700000,737720000,564250000,349710000
O14561,74518000,15547000,36337000,117940000,104740000,158980000,110390000,66415000,11775000,63028000,51272000,45113000,33907000,9774100,27442000,20412000,78096000,97054000,108660000,106520000
O14562,0,0,0,0,32119000,0,0,0,0,33066000,0,13453000,14366000,0,15788000,0,0,16172000,16764000,14463000
O14576,835420000,992720000,1280200000,1141400000,725860000,1312400000,889180000,979150000,670920000,1060500000,1341300000,786930000,868730000,305460000,1095600000,587290000,393220000,1192200000,1507100000,2104600000
O14578,56629000,38887000,56026000,72764000,0,35610000,570570,14697000,0,30986000,61134000,30744000,44344000,10058000,35415000,15279000,76967000,23819000,84335000,302720000
O14579,465080000,403820000,446580000,589190000,293700000,444490000,404460000,533400000,521440000,541330000,465340000,403360000,540820000,257300000,340110000,259560000,508060000,422330000,368040000,220860000
O14594,3209500000,2053500000,3954700000,3102300000,1844500000,6154500000,3403300000,4881100000,3008900000,4311200000,4418600000,3188600000,2236000000,2964300000,5792700000,5335000000,1175200000,4630800000,5945100000,6736800000
O14617,790630000,617860000,404630000,1129300000,569400000,1248900000,901110000,586080000,1120000000,1259500000,931780000,653990000,587380000,466400000,1200100000,1029600000,258230000,814040000,1773600000,2151100000
O14618,211440000,198140000,246560000,194300000,286990000,316060000,253170000,161680000,178690000,313270000,222200000,140770000,161710000,83704000,91218000,271750000,266040000,312700000,137950000,121470000
O14639,1010800000,2059400000,2447700000,2001000000,2363400000,1371500000,956710000,942720000,2313100000,2504100000,2894700000,1630700000,1390200000,686970000,1123900000,1126800000,796350000,2247600000,1079100000,1203300000
O14656,9218400,15493000,11042000,17675000,16065000,44612000,22575000,27619000,8463700,18707000,0,17300000,20920000,7399900,33797000,40464000,21613000,22024000,27593000,10611000
O14662,118890000,130490000,104390000,88015000,131110000,44269000,56600000,115840000,107930000,104810000,85845000,100510000,119860000,57846000,57817000,107280000,17898000,103660000,26005000,123620000
O14672,228200000,278410000,426830000,308330000,293460000,452330000,401620000,302010000,296430000,288370000,325510000,313720000,580340000,100850000,356690000,344010000,172290000,450190000,309740000,162360000
O14683,0,0,28763000,21793000,34627000,28998000,23567000,0,39842000,29520000,0,0,11502000,0,0,21800000,0,29768000,0,26990000
O14734,46700000,118290000,71349000,64789000,38081000,29941000,74199000,23407000,16943000,10550000,27653000,75130000,81498000,235490000,125060000,0,42070000,23414000,95389000,64329000
O14735,87810000,70751000,94791000,122950000,103980000,92372000,159670000,114060000,115700000,109980000,126190000,49899000,95233000,70133000,231440000,144170000,70014000,126780000,69725000,67254000
O14737,194380000,122950000,218800000,218910000,197180000,204110000,43345000,238350000,116690000,176710000,263670000,160040000,101850000,21344000,294520000,24313000,175090000,320090000,203590000,288870000
O14744,932100000,789600000,1337600000,1174300000,1167000000,1657100000,741060000,1007900000,1026600000,1376500000,1178900000,892100000,782510000,909050000,933400000,1282800000,595060000,879000000,1133900000,672850000
O14745,3830900000,4321400000,5950700000,4596700000,4217200000,3035100000,3607400000,3111500000,4461700000,4911000000,5262000000,4423200000,3016900000,1991300000,3610600000,2395000000,2670100000,5152200000,3266800000,3026000000
O14770,203270000,220530000,155960000,532360000,111410000,147120000,235960000,75062000,138740000,127840000,201620000,212300000,103860000,64846000,217930000,186840000,0,163320000,0,0
O14772,110310000,63681000,83770000,105330000,56795000,159060000,129790000,157330000,87136000,126450000,131830000,109370000,0,50074000,20297000,123310000,48240000,122750000,22853000,15157000
O14773,4911800000,3521300000,4115400000,5797700000,3728200000,5247000000,6000000000,3989500000,4095800000,4654800000,5916000000,4939900000,4755200000,4534600000,5082300000,6056300000,5765300000,3619700000,4608300000,3563100000
O14775,1225100000,1019100000,1129800000,1233400000,869400000,1415400000,1282400000,1128900000,857600000,1280100000,1385300000,819890000,871750000,696050000,940820000,1279900000,250370000,911780000,1373500000,1786400000
O14776,120430000,52818000,137360000,152770000,101970000,142710000,69219000,132640000,117760000,215070000,91950000,67398000,77427000,57213000,107080000,62312000,62496000,63167000,48959000,28750000
O14787,744800000,805130000,1604000000,1373900000,896370000,1962000000,926570000,1330200000,911070000,1723600000,1565300000,933320000,740520000,603230000,1290100000,1042000000,612830000,865350000,1596000000,744290000
O14791,0,0,0,0,0,19970000,40350000,0,0,0,30522000,21067000,15037000,0,0,0,206080000,42036000,0,0
O14807,97528000,204540000,237510000,126170000,65809000,84755000,109090000,57303000,25876000,51993000,200250000,0,51674000,101840000,105280000,114830000,43126000,98514000,26340000,186310000
O14810,148780000,50705000,159460000,77384000,125590000,249180000,39727000,109580000,138500000,161520000,195420000,77979000,93183000,0,34280000,50123000,0,170330000,39507000,235830000
O14818,2756500000,2500000000,2953500000,2376800000,2438700000,2968100000,3283000000,2454200000,2551500000,2815300000,3025200000,2471700000,2276900000,1802000000,2263600000,2346400000,2104200000,2237800000,2510300000,2238200000
O14827,0,0,11583000,13251000,0,20042000,11788000,0,0,0,17307000,0,0,0,11815000,0,10784000,21499000,21975000,59457000
O14828,218410000,308240000,382880000,148860000,284080000,277030000,190240000,241970000,296730000,394270000,425590000,33343000,116780000,52615000,38363000,63368000,78156000,389770000,69836000,543780000
O14841,409450000,196850000,435530000,277450000,504180000,293180000,374650000,530990000,403580000,393220000,563040000,309660000,333050000,339910000,302440000,350470000,157780000,270280000,299720000,73811000
O14874,53163000,37729000,22474000,6368200,17194000,4908800,17338000,83046000,18297000,62350000,14545000,0,21143000,10729000,0,37731000,0,18206000,108710000,39227000
O14879,577360000,1809600000,637120000,720070000,1299900000,4548400000,3603000000,718860000,850250000,1894500000,1132400000,826260000,301890000,200190000,1004500000,1821800000,368210000,836000000,356280000,135140000
O14880,636770000,860030000,759850000,1067500000,1163600000,1129400000,1194000000,936560000,631900000,1066300000,897460000,591690000,618920000,677810000,1020300000,810970000,477400000,1060100000,1212500000,1224200000
O14907,120790000,20063000,102790000,147580000,154730000,158220000,139040000,145330000,0,172600000,233150000,0,0,0,98114000,117780000,130280000,179430000,117140000,94812000
O14908,151110000,209470000,225940000,156970000,165940000,274550000,116920000,209100000,202140000,188580000,296540000,54848000,205570000,20570000,405280000,161950000,83452000,348710000,75346000,116260000
O14910,2361600000,2774400000,2660700000,2425200000,2397800000,2794600000,2263700000,2564000000,2149600000,2412800000,3089800000,2201500000,2091600000,1237000000,2386200000,2175400000,895040000,2503800000,1611300000,1973100000
O14920,22650000,41361000,18212000,12375000,34072000,7604800,15170000,44005000,19140000,105230000,38306000,52627000,28706000,31023000,59283000,0,78436000,33172000,18201000,0
O14924,40629000,27611000,21069000,33548000,18641000,10549000,0,12622000,15755000,47762000,62790000,10047000,24280000,8958400,51257000,20458000,0,0,21597000,89358000
O14933,111890000,139570000,121520000,120810000,214200000,314430000,314130000,91310000,176110000,185030000,175350000,183140000,34354000,80718000,136960000,135450000,10196000,142550000,81011000,0
O14936,1453700000,1155600000,908400000,1334600000,1015100000,1687000000,979010000,1369700000,1053000000,1172700000,1355300000,819960000,777540000,610110000,1432700000,1024700000,604530000,1078400000,1418500000,513320000
O14939,0,0,16667000,0,0,12135000,56820000,0,11131000,14802000,22665000,0,6101300,0,8162100,0,10971000,0,0,0
