proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58
Q5T5C0,83330000,162730000,64406000,154880,50174000,55053000,13012000,69752000,59305000,13143000,79169000,52592000,31711000,67361000,16867000,91893000,69760000,72826000,58066000,61944000,13641000,35079000,95086000,14157000,47655000,19373000,64834000,83424000,56379000,108040000,32272000,104250000,56345000,54141000,55585000,6957500,140680000,56763000,73241000,47391000,131730000,60553000,90852000,65819000,143210000,127270000,67031000,68713000,64418000,43567000,30480000,8459800,52498000,40509000,12858000,45868000,53787000,45876000
Q5T5P2,266900000,109130000,351170000,35227,145430000,52169000,6382500,36099000,102070000,16355000,135660000,56181000,105220000,82107000,6253000,83792000,65126000,65882000,144420000,91530000,41253000,46631000,38704000,23802000,104840000,21922000,110180000,61262000,102460000,158150000,76647000,79733000,102440000,224910000,86812000,25505000,102000000,42870000,43594000,134400000,221080000,55251000,78052000,110470000,483680000,89444000,69011000,207630000,44688000,68968000,29506000,17789000,65433000,40336000,16799000,172450000,37893000,115230000
Q5T5U3,42251000,24356000,9415700,0,7335900,9469500,731070,2538500,15404000,5781200,7887500,4988800,10644000,1940500,813320,11381000,13982000,7560800,5731900,17423000,0,5751500,14024000,918550,3635900,1770000,17473000,6490400,4968800,7510900,0,18601000,0,16738000,21551000,4440200,31923000,21768000,7382700,0,36267000,17870000,15025000,0,8471800,23389000,25435000,5261800,8758400,6163600,3710700,3870800,9410700,6101500,2153400,6227100,6522000,4847400
Q5T653,0,0,0,0,2572200,0,0,4010900,0,0,0,1438100,0,0,403870,2533600,0,0,0,0,0,0,2587400,425490,0,774720,0,0,0,2909600,0,5609100,0,0,0,4568600,0,8680700,0,6851500,0,0,0,1930300,0,5378900,0,4213500,0,6362500,0,884570,3391100,1626200,0,1842800,4658600,0
Q5T6J7,0,0,0,0,0,2287500,0,0,0,0,0,0,1428400,0,0,0,0,0,2390200,1454100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q5T6V5,32819000,72277000,29495000,5951800,9885000,9240800,843480,7009700,12274000,23923000,5621500,0,20056000,5247500,1002800,0,25417000,15583000,19463000,18955000,0,7091300,21005000,0,23941000,2171900,17061000,2746900,18459000,13165000,20424000,23246000,23037000,14160000,16780000,42891000,13863000,26318000,0,23068000,16173000,26681000,30449000,22480000,39424000,18355000,22097000,16192000,22929000,10920000,6212500,0,2991200,4217400,0,11695000,17659000,10377000
Q5T749,0,0,0,2740000,0,0,0,2399700,3202700,0,3814400,0,2435200,0,0,5352700,4788100,3103400,5764800,4498600,0,13173000,6513600,0,3404000,1176800,2032200,11413000,3367400,8028000,1517600,0,5109400,3219400,1003200,37485000,0,0,18572000,0,0,0,0,2187800,0,0,0,1964100,0,0,4823700,0,3677800,0,857140,0,0,12861000
Q5T848,66636000,105360000,46205000,0,32869000,26787000,2342700,18256000,50226000,9010200,26609000,24873000,21720000,28172000,3276100,24301000,34799000,18253000,37211000,54371000,10245000,16288000,12842000,3571000,30487000,28685000,40472000,16680000,38610000,25867000,21550000,16781000,25559000,31254000,45004000,5070000,52084000,30154000,16638000,49996000,41901000,81237000,28397000,20844000,90779000,10874000,28355000,53920000,21760000,22375000,35425000,10158000,54249000,28379000,8324700,52209000,24851000,33671000
Q5T8D3,68540000,57525000,55103000,0,25637000,16111000,0,2468600,33621000,35006000,12838000,9705200,17403000,7822700,3200300,8235100,28668000,12619000,38203000,16796000,24808000,10694000,11110000,2548000,27021000,2902300,37565000,6053600,19569000,11855000,16286000,15427000,48219000,30021000,37043000,25364000,21982000,38120000,17308000,33811000,31316000,30910000,28392000,24719000,46057000,35854000,29560000,13155000,10295000,9516700,21150000,1813800,26663000,6839400,1792100,27720000,22059000,33436000
Q5T8P6,8439600,0,0,0,0,0,0,0,2931700,0,0,0,0,1469900,0,1497000,0,0,0,0,2050500,1461600,1734200,0,0,0,3124400,1423800,0,2422600,0,0,0,2541200,2305300,0,0,0,0,0,0,0,0,1996400,0,0,4889200,0,0,2920200,3577900,0,0,0,0,2935700,0,0
