proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29
P46939,7763500,16782000,7326600,13922000,39612000,173760000,23338000,250670000,56139000,366600000,37576000,307470000,414120000,175630000,381740000,184510000,78292000,1182600000,175980000,187180000,0,0,0,5344300,5081100,72889000,18633000,41779000,6934500
P46940,44461000,114200000,43819000,83913000,2273800000,5216700000,373350000,4002600000,874760000,2906900000,1555500000,3056900000,2758700000,3237400000,10537000000,2668800000,1049800000,6780800000,2731800000,1160500000,74194000,466810000,13122000,229730000,415220000,1149200000,384350000,679360000,220740000
P46952,0,0,0,0,17901000,41654000,0,0,0,0,0,0,15482000,28366000,7399100,0,0,262860000,17219000,119810000,0,0,0,0,0,0,4128000,0,25973000
P46976,0,10368000,0,2541000,619000000,535280000,6003900,297300000,0,123290000,156460000,285500000,258780000,246120000,393700000,174370000,144330000,487260000,46610000,11981000,0,93130000,395860,73170000,166860000,75304000,73366000,50125000,20373000
P46977,2052700,22360000,4681200,1293200,294110000,409920000,10098000,326210000,44082000,153420000,113850000,338500000,252230000,174070000,239210000,211700000,84495000,453880000,146760000,67293000,1456000,13578000,2446700,12965000,18530000,64681000,19826000,14223000,9926700
P47224,0,4659800,0,0,0,0,0,0,0,0,10390000,0,0,0,35239000,0,0,0,0,0,0,10458000,0,10327000,7664300,0,0,0,0
P47712,0,0,0,0,0,0,0,0,0,0,0,24932000,0,0,9940400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P47755,4662200,0,3933300,0,271310000,730410000,45546000,499610000,267080000,281020000,80591000,716760000,334580000,235340000,327360000,239690000,381470000,827570000,219510000,267850000,0,23555000,0,17391000,16121000,119620000,27842000,27677000,20387000
P47756,28286000,59519000,46505000,41228000,734710000,1795800000,284140000,2563900000,121270000,938770000,773650000,3278900000,1984500000,1867200000,3481900000,1401500000,1000800000,5171000000,1328100000,1282100000,17078000,169280000,6816300,84728000,100060000,752370000,252730000,138030000,89276000
P47813,0,0,0,0,37573000,140850000,0,103280000,30100000,8354000,4621000,83869000,96410000,50359000,185790000,150830000,0,72430000,36062000,20770000,0,0,0,0,0,56463000,43722000,17085000,0
P47895,0,0,0,0,0,4597900,0,49858000,0,0,0,0,0,0,978970000,0,0,39255000,0,0,0,0,0,0,9692400,0,0,3103800,0
P47897,4264500,8094200,0,0,109890000,555490000,3316700,281330000,81338000,95975000,46305000,164070000,216550000,301320000,868260000,231910000,34762000,653410000,169510000,123700000,2013600,75410000,0,8809200,13916000,40852000,0,9807700,5576600
P47914,0,8897400,0,0,40075000,72255000,0,0,0,0,0,30164000,0,21703000,0,70585000,0,42234000,0,0,0,51672000,0,0,35719000,0,0,0,0
P47985,5132600,9206300,40691000,7563500,63397000,149230000,0,241660000,126650000,198540000,39117000,156110000,233450000,146410000,862550000,253700000,46591000,312330000,92202000,69134000,0,25978000,0,12613000,24054000,31895000,6961600,18909000,15653000
P48047,223780000,362070000,342590000,329280000,1269300000,3058300000,59088000,1692000000,140290000,1142300000,345820000,860970000,918620000,1580800000,2217000000,1234700000,155810000,2703800000,953360000,288500000,0,270950000,3202900,309850000,617440000,579050000,318520000,281750000,36537000
