proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65
P14854,343790000,214520000,16265000,16498000,102250000,586180000,175560000,20129000,126410000,118990000,53695000,130090000,0,73279000,111420000,531940000,38073000,492200000,172920000,32798000,15324000,331030000,204110000,45437000,97542000,620390000,375420000,98294000,149590000,60826000,267950000,126310000,222030000,339780000,228860000,121120000,266020000,369850000,247740000,313760000,44884000,90202000,662480000,282070000,179670000,537350000,15503000,409160000,193680000,134770000,326230000,198220000,88023000,17914000,877970000,186410000,43410000,246340000,159830000,115750000,401820000,560930000,0,933990000,27607000
P14866,138930000,74878000,63151000,4750100,68335000,39383000,107220000,46677000,54214000,69889000,692530,27340000,0,178790000,4855800,208700000,18344000,86684000,1269700,5572800,7914500,86196000,26177000,91294000,2616800,72048000,46474000,48609000,62107000,62719000,23428000,48236000,29514000,23241000,137990000,5752200,31521000,66184000,139370000,131980000,14071000,143480000,37159000,65854000,126360000,186420000,79580000,14427000,86579000,124810000,85803000,62165000,36976000,53583000,97440000,146430000,210010000,211340000,59050000,49327000,163140000,27611000,716580,28629000,54395000
P14868,7466900,2219100,0,1912700,0,0,0,1663300,11279000,2798300,1657100,0,0,0,0,5033800,6221700,0,1727900,0,754340,10308000,0,4083500,407080,0,0,0,0,0,0,12447000,0,0,8171700,23710000,0,3643000,0,6551200,5458400,4970200,0,0,4549300,4492000,0,0,0,10173000,0,0,0,0,0,3115800,5109800,11511000,1465600,0,25064000,0,0,6598100,3529100
P14923,60741000,39308000,8203700,1682700,48607000,86222000,14291000,24856000,0,6741500,7976700,17996000,0,105300000,511730,92538000,2058600,16008000,0,5032300,26343000,63979000,8840300,13359000,1471000,0,105400000,5280100,15630000,22128000,0,9687900,23404000,25148000,6910300,10014000,0,11668000,45875000,105640000,7994000,127560000,143570000,66192000,12661000,15309000,1910900,0,104740000,290570,29235000,13258000,56342000,22756000,58161000,16255000,15093000,41886000,9239900,17710000,27226000,75733000,0,32706000,7069400
P14927,6678800,9598700,0,9288400,5301400,22016000,13720000,3157300,21154000,10911000,6296300,18650000,0,20783000,3058400,44839000,5301900,46489000,12049000,1981000,3068600,17381000,41633000,0,2325200,48665000,21188000,10295000,24060000,24826000,9582100,10991000,15576000,17847000,22520000,0,15119000,29367000,12865000,50496000,2043700,6992400,10832000,13428000,16175000,65324000,7641400,23120000,19906000,37322000,33899000,13900000,0,4547700,74028000,28721000,14047000,23151000,13047000,6588900,30766000,14013000,0,100390000,2082900
P15104,47380000,166770000,107970000,0,64037000,178770000,52441000,111050000,88640000,37054000,87158000,20596000,27221000,71820000,59479000,148500000,54602000,130980000,196360000,32087000,9095700,1749200000,448700000,483760000,14110000,79927000,215100000,17025000,49272000,1256300000,146470000,105220000,23852000,74370000,1211900000,40336000,52041000,89643000,367110000,140850000,0,52198000,90404000,86380000,199010000,80768000,8440300,44514000,554320000,88425000,127690000,217320000,79820000,2459100,47557000,8155900,249400000,751110000,38702000,15278000,219920000,124130000,0,143030000,6946600
P15121,26998000,25637000,23968000,0,30449000,14395000,25057000,10127000,69619000,26191000,13902000,15997000,0,89286000,15135000,178300000,4965300,28635000,8044700,2602200,4338000,30409000,0,4450700,3598600,16614000,13587000,7896600,15379000,14466000,12019000,18868000,0,4546400,95773000,0,7602000,33245000,26045000,11669000,2030600,72243000,2544600,41462000,18212000,46245000,32081000,6875500,78459000,15352000,8350100,18110000,5375500,11635000,14471000,35954000,14502000,15851000,14644000,10058000,23569000,5919000,0,19182000,24370000
P15144,7327500,0,20342000,0,15087000,0,34992000,3220000,0,399460,2178500,3211500,0,9957000,0,0,0,1780100,0,0,1339100,0,0,777340,0,0,3311900,0,0,0,0,2022400,0,0,0,0,0,4629400,6909500,7998500,0,23898000,0,11732000,6779300,0,4169000,0,2435600,0,0,0,0,2170200,0,0,0,0,0,0,0,0,0,0,8542600
P15153,0,0,0,0,0,0,0,0,49315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5334900,560050,3377800,0,15309000,4541900,6031500,30923000,1797400,6905200,7972600,0,18051000,0,7406700,1703300,1900000,7288800,0,323090,8261500,0,0,0,0,0,0,320050
P15259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9891400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P15311,208780000,24219000,110030000,0,307030000,199690000,411940000,55997000,0,19727000,12213000,184310000,102070,137460000,6870300,65823000,60735000,121290000,0,15616000,9131700,153740000,41380000,124800000,105580000,10505000,248450000,76140000,121220000,65134000,56356000,3447300,120640000,163620000,63407000,225920000,215170000,129400000,147710000,248580000,12572000,20882000,147490000,249020000,140940000,340380000,43263000,35280000,48452000,80102000,37707000,29865000,21503000,1748700,195330000,7199500,8086400,90521000,44925000,23494000,138360000,69704000,0,170160000,42596000
P15374,0,246990,0,0,23026000,17461000,24618000,0,14849000,19276000,11763000,4914100,0,13336000,2194000,12633000,0,12096000,6079800,1953900,7640100,3059800,0,11823000,3199000,7937700,13160000,2508700,0,0,0,19018000,0,0,12219000,0,0,2643700,14456000,7627100,0,10964000,5485600,10006000,9085700,4524000,177750,538180,18337000,5016600,8081100,2476800,3562500,566790,9057300,12566000,0,0,0,0,2067400,0,0,0,0
P15502,0,6050600,5317600,1698900,0,0,0,0,0,0,0,0,0,0,26039000,4335500,0,0,0,4223900,0,3058800,0,0,0,0,0,0,0,0,0,0,0,0,0,6105000,0,0,3343200,1684300,0,0,0,0,5200000,0,1075700,9984000,6845500,0,0,1810500,633610,1186100,0,10308000,651700,5646800,4214300,1575600,3497000,0,0,0,1184100
