Chemical_ID,Protein_ID,Combined_Score,Smiles_ID,UniprotID
85325326,ENSP00000295121,0.008244994,C1CNCCC1N2C=C(C(=N2)C(=O)NC3=C(NN=C3)C4=CC=CC=N4)Cl,Q96MX6
11523228,ENSP00000295121,0.004711425,C1=CC(=CC(=C1)C(=N)N)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N,Q96MX6
66754292,ENSP00000324056,0.210836278,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)C(=O)O)COP(=O)(O)O)O,Q96MX3
20274032,ENSP00000324056,0.210836278,[H+].CC(=O)O,Q96MX3
44475985,ENSP00000324056,0.083627797,CC(C)N1C2=NC=NC(=C2C(=N1)C#CC3=CC(=CC=C3)O)N,Q96MX3
71307952,ENSP00000324056,0.082449941,CN(C1=CC=CC=C1)C2=CC3=C(N=C(N=C3N=C2)N)N,Q96MX3
74766018,ENSP00000324056,0.069493522,O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[OH2+][Te]([OH2+])([OH2+])([OH2+])([OH2+])[OH2+].[W].[W].[W].[W].[W].[W],Q96MX3
44717482,ENSP00000324056,0.062426384,B(C1=C(C=CC(=C1)C(=O)N2CCCC2)F)(O)O,Q96MX3
18222039,ENSP00000354579,0.221436985,CC(C)CC(C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O)N,Q96MX0
17805101,ENSP00000354579,0.153121319,CCC(C)C(C(=O)O)NC(=O)C(CC(=O)N)N,Q96MX0
44603530,ENSP00000354579,0.070671378,CC(C)(C)[C@H]1C(=O)N2C[C@@H](C[C@H]2C(=O)N[C@@]3(C[C@H]3C=C)C(=O)[N-]S(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCC[C@@H]7C[C@H]7OC(=O)N1.[K+],Q96MX0
11840919,ENSP00000354579,0.05418139,CCC(C[C@H](C1=C(C2=C(C=C1CC(=O)OC)C(=O)C3=C(C2=O)C(=CC=C3)O)O)O)O,Q96MX0
17979726,ENSP00000354579,0.051825677,a,Q96MX0
57253359,ENSP00000354579,0.051825677,C[C@@H]1CC[C@H]2[C@H]([C@@H](O[C@H]3C24[C@H]1CC[C@](O3)(OO4)C)C(=O)OCCC(=O)O)C,Q96MX0
44134894,ENSP00000386186,0.197879859,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCCCCCCCCCCC,Q96MW7
46179405,ENSP00000386186,0.126030624,C[C@H]1CC2=C([C@]3(N1)C4=C(C=CC(=C4)Cl)NC3=O)NC5=CC(=C(C=C25)F)F,Q96MW7
13303808,ENSP00000386186,0.122497055,C1C(C(C(C(C1=O)O)O)O)CO,Q96MW7
25202914,ENSP00000386186,0.122497055,C1[C@@H]([C@H]([C@@H]([C@H](C1=O)O)O)O)CO,Q96MW7
12658497,ENSP00000386186,0.120141343,C1=CC=C2[C]=C3C=CC=CC3=CC2=C1,Q96MW7
90470186,ENSP00000386186,0.113074205,C(C[C@@H](C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CO)N)CN=C(N)N,Q96MW7
52944012,ENSP00000386186,0.075382803,CN1CCC=C1C2=CNC(=O)C=C2,Q96MW7
