Chemical_ID,Protein_ID,Combined_Score,Smiles_ID,UniprotID
13154130,ENSP00000354964,0.230859835,C(CC=O)C[N+](=O)[O-],Q5VUA4
24762199,ENSP00000354964,0.182567727,CCCCCCC/C=C/C=C/C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)C[C@H]([C@@H](NC1=O)C)O)O,Q5VUA4
45254002,ENSP00000354964,0.137809187,CC1=CC=C(C=C1)OC(=O)N(CC2=CC(=CC=C2)OCC3=C(OC(=N3)C4=CC=C(C=C4)Cl)C)CC(=O)O,Q5VUA4
18236761,ENSP00000354964,0.113074205,CC(C)CC(C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)O)NC(=O)C(C)N,Q5VUA4
71464519,ENSP00000354964,0.113074205,C[C@H]([C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)N)O,Q5VUA4
57265062,ENSP00000354964,0.070671378,C1=NC(=S)C2=C(N1)N(C=N2)[C@H]3C(C([C@H](O3)CO)O)O,Q5VUA4
18702506,ENSP00000354964,0.069493522,CC(C)OC(C)O,Q5VUA4
21584051,ENSP00000360167,0.077738516,C1(C(C(C(C(C1O)O)OP(=O)(O)OP(=O)(O)O)O)O)O,Q5VU92
10328966,ENSP00000357547,0.223792697,C([C@@H](C(=O)O)NC(=O)[C@H](CS)N)C(=O)N,Q5VU65
18218192,ENSP00000357547,0.223792697,C(C(C(=O)O)NC(=O)C(CS)N)C(=O)N,Q5VU65
20574757,ENSP00000357547,0.174322733,CC(C(C(=O)O)NC(=O)C(CS)N)O,Q5VU65
15667209,ENSP00000357547,0.089517079,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(C(F)(F)P(=O)(O)OP(=O)(O)O)O)O,Q5VU65
88059768,ENSP00000357547,0.008244994,C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)OO,Q5VU65
44461819,ENSP00000357547,0.008244994,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)CO)O)O,Q5VU65
71528207,ENSP00000357547,0.001177856,C[C@@H]1[C@H]([C@@H](NC(=O)[C@H]([C@H](OC(=O)[C@H](OC1=O)C(C)C)C)NC(=O)C2=C(C=CC=N2)O)CC3=CN=CC=C3)O,Q5VU65
66563349,ENSP00000360905,0.451118963,C1=CC(=NC=C1CC(C[Se][Se]CC(CC2=CN=C(C=C2)N)C(=O)O)C(=O)O)N.Cl.Cl,Q5VU57
24776232,ENSP00000360905,0.449941107,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Q5VU57
24827784,ENSP00000360905,0.449941107,CC(C)C[C@@H](C(=O)N[C@H](CC1=CC=CC=C1)P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Q5VU57
20395750,ENSP00000360905,0.435806832,[H+].C(CO)O,Q5VU57
20274032,ENSP00000360905,0.435806832,[H+].CC(=O)O,Q5VU57
24776225,ENSP00000360905,0.413427562,CC(C)CC(C(=O)N1CCCC1P(=O)(CC(CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Q5VU57
24827312,ENSP00000360905,0.413427562,CC(C)C[C@@H](C(=O)N1CCC[C@@H]1P(=O)(C[C@@H](CC2=CC=CC=C2)C(=O)O)O)NC(=O)C,Q5VU57
71456891,ENSP00000360905,0.394581861,C(CCC(CS)C(=O)O)CCN,Q5VU57
44543640,ENSP00000360905,0.394581861,C1=CC=C(C=C1)C[C@H](CC(=O)CO)C(=O)O,Q5VU57
78333411,ENSP00000358363,0.600706714,CC(=O)C[C@@H]1CC(NO1)C2=CC(=C(C=C2)O)F,Q5VU43
