"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","t_test_p_value"
"A0A0A0MS15",-0.95455655,-1.87041389,-1.5542242,-0.82055417,-0.2521149,-1.45582948,-0.46205245,-2.10315835,-1.04530004,-0.6005394,-0.73101846,-1.30599321,-0.9311595,-1.00825656,-0.48887649,-0.53371568,-0.60327974,-0.04424673,-1.09232002,-0.99432856,-1.45734471,0.224627790473699
"A0A0B4J1X5",-0.9129887,-0.493284,-1.0792342,-0.369951,0.1966217,-0.8840432,-0.2608013,-1.0723552,-0.6169358,-0.4920325,0.398607,-0.2751029,0.2588027,-0.954819,-0.5963413,-0.3470895,-0.4801843,-0.6279278,-0.5143329,0.6788309,-0.6852363,0.337899439861391
"A0AVT1",0.43998538,0.54887119,-0.08856355,0.65479389,0.45357795,-0.03925422,0.28329742,0.10632263,0.31583841,0.0300975,0.60584581,0.51872154,0.16183388,0.50089503,0.2853362,0.46638324,0.3925418,-0.78406707,0.27511566,-0.92860634,0.76919641,0.553318729975413
"A0FGR8",-0.430145946,-0.307209383,-0.0783864,0.247755506,0.005733315,-0.111411266,-0.587481438,0.026467625,0.179181976,0.047434305,-0.309373977,-0.893799619,0.127614964,0.057014049,-0.177679461,0.972675737,-1.597974855,-0.409697086,-0.300590917,-0.800109587,-0.880386317,0.32742165890396
"A0MZ66",-0.476929053,0.052740337,0.093318068,0.543386617,-0.390316949,0.194686186,-0.551603561,-0.076347001,-0.106764767,0.033596231,-0.448699967,0.055724086,0.04585648,0.162139165,-1.392275338,-0.2740909,-0.159136773,-0.394849641,-0.112432554,0.004940403,-0.391155979,0.0756769433938868
"A1L020",-0.1601376,-0.0958808,-0.1220402,0.1429195,-0.5300566,-0.3011828,-0.407878,-0.5419636,-0.1669963,-0.4112379,0.1199338,-0.4335716,-0.1986588,-0.5085379,-0.8887113,-0.4911279,-0.3816858,1.0947344,-0.601019,-1.5144384,-0.1457737,0.0392356692518751
"A1L0T0",-1.14632262,-0.93820961,-1.32025404,-0.19213693,-0.37336094,-0.7378519,-0.68660953,-0.43058907,-0.8125169,-0.07205702,-0.11251048,-0.20932933,0.47720416,-0.64648181,-0.77599397,-0.80656197,-0.18859896,1.09473436,-1.19580505,0.15036696,-0.83951607,0.302374092610421
"A4UGR9",0.52540654,0.01076458,-0.12758889,0.20640006,-0.01403642,-0.95565692,-0.18909665,-1.16267928,-0.7610123,0.18517777,0.10032715,0.18196368,0.48784844,-0.04596587,-0.49897981,-0.09535478,0.9924316,-0.31957179,-0.36300367,-0.19179517,0.4409733,0.345951694194656
"A5YKK6",-0.08613809,0.22851727,-1.94788534,0.04480522,-0.25617858,-0.17493755,-0.10673433,-0.33814319,0.0450705,0.29161739,-0.32267992,-0.24136376,-0.03976372,0.3179315,0.0889338,-0.40595018,-0.50978603,-0.6120117,-0.03862019,-0.83639717,-0.15405265,0.653814089495559
"A6NDG6",-0.70943396,-0.64022385,-0.70378475,-0.31282152,-0.72073071,-0.24913328,-1.55654772,-0.32075147,-0.93087941,-0.86647581,-0.70919261,-0.34189736,-0.13583221,-1.46250885,-0.09005868,-0.40979546,0.23327369,-0.17775246,-0.94126034,0.24126835,-1.01680645,0.982907280351056
"A6NE02",-0.33581213,-1.11031465,0.85773828,-1.08804413,-0.45535093,0.51458927,-0.22900959,0.84683831,-0.02516679,-0.50157492,0.05104356,-0.89495374,0.10351935,-0.91670481,-0.21259355,-0.27742832,-0.3713878,1.09473436,-0.43163604,-0.10515562,-1.13384179,0.718500554231707
"A6NGN9",-1.2480469,-0.4326847,-0.570181,-1.7455593,-0.4578409,-0.4476647,-0.9227672,-0.3757347,-0.9894014,-0.5351967,-0.917583,-0.5880398,-1.4907905,-2.026551,-0.590265,-0.2531491,-0.3938541,1.0947344,-0.8324479,-0.3587606,-0.5768693,0.568535730063257
"A6NHL2",-0.541127669,-0.628883288,-0.408384957,-0.570058258,-0.267700104,-0.269166747,-0.271392873,0.01153168,-0.07641377,-0.07622748,0.2162508,-0.584271851,-0.721882953,-0.219240762,-0.667179597,0.000711204,0.04391552,-0.399482014,-0.709538262,-1.271415728,-0.620493919,0.118317970165402
"A6NHQ2",0.05452231,0.53824535,-0.07690657,0.14125958,0.54718363,-0.63772362,0.07153574,-0.32138334,0.17769847,-0.73372958,-0.36586376,0.18573014,-0.1460017,0.52875915,0.20642394,0.24402427,-0.10677177,-0.03394148,0.04884655,-0.77385692,0.49234085,0.324861513893926
"A6NHR9",0.001738692,-0.042189587,-0.186649411,-0.026716622,-0.521040869,-0.249656306,0.054022222,-1.078335879,0.045963377,-0.427163314,0.121962013,0.137321079,-1.076373826,0.148759532,-0.125214066,0.222599448,0.007124641,-0.157227197,0.206399851,-0.595635276,-0.212702731,0.297196306986957
"A6NKT7",-0.7280172,-0.4593441,-0.5211829,-1.0957553,-0.2365961,-0.3988427,-0.4762305,-0.5516571,-0.3617604,-1.4018488,-0.5436653,-0.3675297,-0.650313,-0.2698218,-0.3187433,-0.3869277,-0.2367617,1.0947344,-0.4684314,-1.2040666,-0.4484006,0.327741881123144
"A6NMB1",-0.50894353,-0.50611563,0.06475661,0.44453765,1.01642202,-0.17396189,0.73734998,-0.4917381,-0.73691112,0.6131451,0.24924115,0.09023949,0.02099196,-0.11296435,1.00891231,1.60372097,0.34581538,0.07803123,-0.49997276,0.70683441,-0.5930481,0.522137068562936
"A6ZKI3",-1.055605747,-0.482962075,-1.253670015,-1.102223558,-0.483670474,-0.55063175,-1.098029209,-1.050740865,-0.648431135,-0.34809094,0.008476097,-0.680651485,-1.113967946,-0.753044085,-0.884034816,-0.067632334,1.158831628,1.094734356,-1.092733058,0.012917411,-1.537361341,0.173293528214869
"A8MUH7",-0.09924116,0.34987612,0.2669941,0.42495361,1.08387224,0.23621837,0.6872076,-0.15546211,0.29719954,0.11972183,0.9819615,0.43363004,1.11516139,0.48342024,0.23900056,0.10853354,0.38578957,-0.18404733,0.05619659,1.09208367,-1.10977612,0.989441051031783
"A8MVW0",-0.948375867,-1.68927437,-1.057508073,0.285643944,-0.759942432,-0.093875169,0.003826867,-0.271324844,-1.135350752,-0.346205049,-0.623394868,0.363404605,-0.180595996,-0.9768222,-0.271504759,0.189114657,-0.279945276,-0.68895546,-1.315471254,-0.090434576,0.078653357,0.527413281771016
"C9JLW8",0.23582788,-0.50236242,-1.13132042,-0.21901041,-1.7796944,-0.92588423,-1.15588539,-1.92956619,-0.63667889,-0.09055194,-0.90336128,-0.44050777,-0.26143115,-0.62736532,-0.39574179,-0.45427509,-0.47125035,1.09473436,-0.37878543,-0.77214417,-0.46150247,0.987264456658224
"E9PAV3",0.511607853,0.540265117,0.170565822,0.490485216,0.637323528,0.298641507,0.389538936,-0.034973109,0.38690942,0.285065887,0.77713626,0.9311877,0.398435891,0.856843822,0.676207005,-0.005638097,0.353100744,-0.167328296,0.330909945,0.425209321,0.54043528,0.913233181961847
"O00116",-1.3648797,-1.12074334,-0.50000444,-0.62283385,-0.43750041,-0.42822722,-0.81850867,-0.40458792,-0.84938784,-0.38635366,-0.4107433,-0.26148577,-0.62544606,-0.88204574,-0.31141181,-0.33838602,-1.54045927,1.09473436,-1.26531926,-0.07701709,-0.91257247,0.381510021820778
"O00139",0.24172816,-0.23690677,0.07007987,0.04011663,0.31558273,0.06157132,0.03565224,0.06880546,0.21406058,-0.30134784,-0.10489262,-0.20515029,-0.78003692,0.04443432,-0.64256729,0.40702517,-1.31336397,-0.21080141,0.24787286,-0.2550588,0.1765637,0.553199095957317
"O00151",0.1944492,0.2663814,-0.4765824,-0.7266219,-0.6949114,-0.862741,-0.1024096,-0.4124134,0.1555269,-0.1674762,0.7865423,-0.6956064,-0.1162236,-0.9746304,-0.1381258,0.7356088,1.3785573,-0.525484,-1.2482981,0.5711134,-0.9411668,0.746332654646215
"O00154",0.54744994,0.07050385,0.8147206,0.80143459,-0.43028439,0.9985002,0.26624283,0.93423063,0.47038271,0.48438137,1.70593863,0.52833608,-0.1628139,0.87834674,0.21193786,0.26311697,0.22628596,1.09473436,0.50855302,0.73835486,-0.0384198,0.862759964642219
"O00159",-0.541,-0.106,-0.503,-1.67,-0.00771,0.352,-0.215,0.0223,0.433,-0.108,0.235,-0.486,0.522,4.99e-10,-0.0173,-0.211,0.000678,-0.0105,-0.802,0.35,-0.674,0.260936037947032
"O00165",-0.5420303,-0.6846219,-1.1528567,-0.9098473,-0.9046484,-0.4402014,-1.1016819,-1.8648967,-1.4311621,-0.4097563,-1.2338864,-0.6963062,-0.3399105,-1.0638398,-2.0028551,-0.3958131,1.1588316,1.0947344,-0.9987528,-1.2097102,-0.7041093,0.483445028168309
"O00170",-0.25566437,0.05222251,0.1719166,0.057603,0.13138964,0.23796762,-0.32300785,0.13219463,0.44170681,0.06874797,-0.59704325,-0.35890887,0.01618201,0.22226576,-0.16764146,-0.33443883,-0.11940278,-0.61193693,0.01716783,-0.28560553,0.04970387,0.0423691688412033
"O00178",-0.15698727,0.03522099,-0.29895468,-0.09117203,-0.2531806,-0.81924933,-0.39087246,-1.04198253,-0.07456847,-0.02258417,-0.07845483,-0.11716685,-1.06512903,-0.52317685,-0.07430934,-0.2076284,-0.01105949,2.23210219,-0.06729147,-1.78162775,0.06977378,0.561367971823687
"O00186",-0.38803334,-0.87701693,-0.20641611,-0.93046428,-0.85914573,-0.33983004,-0.81940849,-0.3692513,-1.67787886,-0.48158644,-0.41388865,-0.75439681,-0.36722288,-1.04010648,-0.24989276,-0.56943405,-1.54641925,1.09473436,-0.36318254,0.01684821,-0.77656383,0.708027921056217
"O00192",-0.66042902,-0.78457716,0.030299,0.16925183,-0.05988108,-0.1294148,-0.95274937,0.07178443,-0.53929556,-0.18352657,-0.35343551,-0.99487254,-0.6652405,-0.49115249,-0.168256,-0.58576278,0.15386212,-0.60972215,-1.59623254,-0.45772375,-0.03937531,0.493023331308993
"O00193",-0.58376045,-0.66044206,-0.66921612,-0.36842941,-0.42438823,-0.67637811,-0.80701017,-0.84681096,-0.70061295,-0.42536828,0.84687813,-0.24526239,-0.61113417,-0.36934978,-0.49746971,0.22019586,-0.35842975,1.09473436,-0.19734926,0.00986132,-0.5038861,0.0934971868241491
"O00203",-0.85948125,-1.03094066,-1.02386262,-0.49180342,-0.16791371,-0.85871619,-1.0527898,-1.01102734,-0.40116172,-0.24606615,0.71070197,-1.27496289,0.04454871,-0.44505721,-1.24159037,0.1358275,-0.19386299,-0.42657512,-0.22049277,0.32888268,-0.7882787,0.115568681360371
"O00217",0.028976874,0.217015709,0.411247,-0.323450973,0.086916256,0.44179733,-0.13337891,0.324123997,0.094411277,0.076366252,-0.077909668,0.278377165,0.23171827,-0.003590879,0.095610496,-0.205640775,0.075601452,-0.257674371,-0.00989709,0.046951742,0.196157648,0.912891856276562
"O00231",0.6854491,0.7807176,0.5214,0.7358151,0.8327338,0.3278011,0.6170871,0.4088702,0.7444803,0.8215576,0.6113876,0.8466432,0.4780809,0.7108069,0.8480092,0.9426112,0.775314,-0.3041011,0.4959254,0.3020193,0.7058537,0.480732271377594
"O00232",-0.005027228,0.152219264,-0.013618177,0.28973623,0.272546528,-0.156435908,0.317752463,0.089297981,0.245233491,0.162495018,0.360010104,0.560463172,0.054177504,0.333647282,0.091043273,-1.111062088,-0.65035594,-0.219248461,0.205230806,-0.695904124,0.237709305,0.347093802669652
"O00233",0.0836815,0.083326606,-0.165481677,0.256994721,0.359945512,-0.121450458,-0.005446677,-0.12861615,0.110574338,-0.013196488,0.013721218,-0.347334806,0.247527369,-0.672757935,-0.144934335,-0.10236242,-0.02752272,-0.801567167,-0.213987112,-0.950686715,0.003380134,0.20562683032707
"O00244",0.27197639,0.03496112,0.47302592,0.52495196,0.01875482,-0.12874148,0.36348982,0.0461457,-0.20682333,-0.57763591,0.31093578,0.34423822,-0.07468454,0.09865481,-0.34086445,-0.08891763,-1.10771657,-0.08260946,0.38801648,0.11196664,0.5036835,0.118051728234428
"O00264",0.6670422,1.047534,0.7438072,0.9458685,0.9842907,0.9161043,0.7854374,0.9158946,0.9301451,0.7925172,0.8156362,0.971245,1.1162424,0.8690375,0.5855297,0.6853528,0.8630237,-0.2140567,0.607504,0.5942833,0.4388628,0.202576651999669
"O00267",-0.29392745,0.17054646,-0.58376306,0.20798541,-0.10555603,-0.43288576,-0.6907848,-0.50013622,-0.13845209,-0.13872185,-0.22594924,-0.03249116,-0.65203791,-0.86669876,-0.28954436,-0.25595053,-0.18520736,1.09473436,-0.53162882,-0.49513516,-0.14064985,0.526397015074964
"O00273",0.31547542,-0.67120711,-0.26130935,-0.82793964,-0.09798091,-0.69153098,-0.20805474,-1.30783795,-0.88995811,-0.22292902,-1.25102496,-0.56885343,-0.88309167,-0.05207235,0.33594936,-0.58262172,-0.51087818,-0.59531426,0.06463587,-0.50972333,-0.21702204,0.628613002820507
"O00291",-0.539938873,-0.320776478,0.062440501,-0.71715846,-0.11433588,-0.87757805,-0.005897039,-0.29174634,-0.59878755,-1.187061441,-0.02070177,-0.503747142,-0.103170486,-0.658454151,0.021310989,-0.116081682,-0.642044235,-0.309153572,-0.627019887,0.633932389,-0.810584152,0.881974552796006
"O00299",0.56477795,0.906895,0.23085951,0.31508863,0.90987247,0.6751992,0.73548853,0.4835693,1.11063346,1.01385472,1.03782483,0.34035781,1.33900984,0.95858414,0.46518216,0.4023892,0.32994564,-0.07227141,0.77881973,0.77011304,0.23210666,0.469523361354194
"O00303",-0.009523424,0.377170193,-0.00497866,0.081316762,0.598038928,-0.126445367,0.441866412,0.070695494,0.450508321,0.154639484,0.062702362,0.180578499,0.361898299,0.313143945,0.097782051,-0.129990715,0.06501016,-0.359736375,0.152057897,-0.705181106,0.19413797,0.766741151311561
"O00330",0.04584159,-0.26163398,0.16835181,-1.34613697,-0.88906348,0.32015166,-0.48260235,0.23969623,-1.19395817,-0.38597732,-0.24474919,-1.62060707,-0.45858352,-0.57368373,-0.13562001,-0.09329527,-0.06205947,1.09473436,-0.04397238,-0.64860368,-0.73150252,0.802432613251765
"O00410",0.5844856,0.8811265,0.8501493,0.8790284,0.8805457,0.5249224,0.822232,0.6560544,0.988719,0.8800168,0.8111956,0.7427266,0.8838752,0.8120465,0.7512177,0.7891535,0.8211633,-0.1476149,0.768213,0.1077347,0.8741825,0.0343200003056734
"O00422",-0.10773414,-0.62448359,-0.64644132,-0.75222165,-0.09559413,-0.59664269,-1.06525041,-0.87140324,-1.11364591,-0.08826295,0.12109347,-1.09189255,-0.19730318,-0.85741989,0.05041354,-0.10647592,-0.18799032,1.09473436,-0.17121751,-0.53219395,-0.12663025,0.0316718573808795
"O00429",0.7050074,0.5289612,0.9349594,0.4116642,0.6776991,1.0685722,0.4953006,1.0681242,0.5173058,1.2147226,0.8418832,0.3685966,0.2957589,0.7491826,0.8489846,0.5004103,0.4836613,-0.2994252,0.7395091,0.31765,0.5040803,0.943122056203414
"O00442",-0.15293595,-0.09073244,-0.56826861,-0.2889605,-0.21814095,-0.37607554,-0.30543997,-0.3680762,-0.33712169,-0.28107948,-0.44798698,-0.20574581,-0.97882878,-0.13572475,0.36838665,0.04473605,0.37967364,2.23183814,-0.12102,-1.66923492,0.11767705,0.45494803565179
"O00468",0.3625274,0.3368039,0.20894752,0.66156463,0.64931051,0.34435794,0.93804917,0.53190096,0.33556909,-0.02942511,1.72411457,-0.03203153,1.03068872,0.31101346,0.63765006,0.91776146,0.05599825,1.25374148,-0.04058289,1.29207534,0.67668028,0.273082952387073
"O00471",-1.06019104,-1.18851764,-0.43974999,-0.01669579,-0.48932186,-0.83288199,-0.52140822,-0.15064769,0.42612125,-0.42342682,-0.35359485,-0.67860725,0.06221197,-0.83206409,-0.28440517,0.05847864,-0.57042625,-0.04424673,-0.51383443,-0.21670567,-0.73563657,0.639727401859628
"O00483",0.48270028,0.56762602,0.82656137,-0.08170905,0.06171494,0.74497515,0.34400295,0.54565039,0.38593823,0.67154798,0.03201524,0.26548227,-0.08752321,0.29758933,0.616836,0.70976779,0.6409656,-0.05876913,0.29143242,0.61589092,0.51686095,0.873343509044183
"O00487",-0.48393893,0.2626016,-0.11194429,0.25092892,0.11778281,-0.56790714,0.05372195,0.15911895,-0.02085764,0.19824608,0.21484347,0.23218871,-0.06885872,0.0744872,0.07945968,0.23441244,0.18129202,-0.19812684,0.09531701,-0.12923171,-0.06313762,0.514778293507407
"O00499",0.1645161,-0.70214854,0.89860284,-0.32845595,-0.04270068,0.49597691,0.05717405,0.96910445,0.21661558,0.26197164,-0.43913593,0.21057165,0.10626528,-0.28778405,-0.42404107,-0.03088757,0.04715521,-0.32222066,0.1626993,0.20247549,-0.67366413,0.893525655873485
"O00505",-0.301920016,0.211901995,0.099594859,0.032725311,-0.434081415,-0.393420912,-0.163743508,-0.121989669,-0.050009942,-0.103332348,0.130864892,-0.910469702,-0.120781214,-0.382306301,-0.164299382,-0.236754202,-0.545592147,0.035497216,-0.000224014,-1.05661294,0.206841605,0.0021374001969307
"O00533",0.173423762,-1.218574042,0.495600159,-0.520904029,-0.003340004,0.396870225,-0.739101552,0.354058723,-0.932030152,-0.160246594,0.529698994,-0.155032735,0.333903895,-0.842420916,0.069190061,-0.788949916,0.064377477,1.094734356,-0.285953719,-0.152641888,0.50137469,0.536361326776459
"O00560",0.24800436,-0.14320987,-0.17221034,-0.67387833,-0.39485748,0.10780398,-0.26825849,0.07028275,0.05557631,-0.51008092,0.13512914,-0.37941048,0.55325084,-0.35716032,-0.85785024,-0.11073831,-0.18225063,-0.51696009,-0.04826364,0.78624464,0.07113024,0.335658548565866
"O00567",0.253829645,0.581274851,-0.139165424,-0.170851838,0.348652005,-0.53226907,0.488510644,-0.307373435,0.351554937,0.839479895,-0.09635891,0.348832797,0.007657353,0.65058507,0.814438125,1.70898399,1.054956624,-0.570911419,0.463332322,-0.256053136,0.231884017,0.459572933832456
"O00571",0.6933346,0.5659283,0.5303804,0.8495814,0.6694067,0.3967201,0.6331722,0.5442563,0.7313152,0.9355709,0.2510665,0.7758735,0.3414767,0.8518102,0.9508653,0.907415,0.5806632,-0.3433188,0.3668519,0.4970137,0.6815313,0.587872653890363
"O00584",-0.39370739,-0.26855026,-0.52761902,-0.49290923,-0.86880174,-0.5989648,-0.53479878,-0.72398536,-0.24432769,-0.20972299,-0.33066862,-0.73775144,0.20381583,-1.31270152,-0.9419687,-0.39948533,0.00876158,-0.64239975,-0.72776486,-0.27589398,-1.16515117,0.332469537565748
"O00625",-1.19107715,-0.91387931,-1.31452028,-1.34497787,-1.15665479,-1.03536078,-1.84823946,-1.75115381,-1.23080486,-1.03454652,-1.66662844,-1.02509646,-1.06907303,-1.05636718,-0.40012409,-0.1047433,-0.06457553,1.09473436,-1.47946141,-1.61416207,-0.97919671,0.344299678622965
"O00629",0.335867882,0.419039858,0.658726726,0.377792783,0.506325441,0.002341582,0.623518159,0.503556251,0.537355318,0.303906818,0.171616018,0.407965832,0.059662888,0.35485267,0.05148007,0.455459533,-0.135304713,-0.49954816,0.385789958,0.229221161,0.611267993,0.111437580306374
"O00712",0.4392169,1.02343935,-0.9109334,0.78959828,-0.28994216,0.34366857,0.18960654,-0.77928318,0.69609266,0.56800821,0.04501275,0.69783058,-0.12390959,0.86312414,0.1392204,0.62261511,0.58892016,-0.17872674,0.61574046,-0.30979466,0.86583059,0.962336507315498
"O00743",-0.4225142,-0.5132813,-0.9078481,-1.1501901,-0.9212389,-1.0115864,-1.0999011,-1.1006451,-0.3759488,-0.3204519,-1.3561719,-0.2096768,-0.3374337,-0.792717,-0.1606696,-0.4152211,-0.2931548,-0.4524058,-0.631744,-1.4249235,-0.1631188,0.395914387884907
"O00764",0.30669402,-0.40287224,0.81481539,-0.01081728,0.37415969,0.59494123,0.07438721,0.77719658,0.61471304,-0.28105065,0.66332747,0.72871383,0.44476719,-0.08409626,0.22672065,0.08936744,-0.15445468,1.12022337,-0.06200348,0.09784761,0.34140857,0.647818433040895
"O14495",-0.12427441,-0.33250806,0.68286373,-1.82928484,-0.23686631,0.4756556,-0.21576419,0.46686383,-0.54021185,-0.55448671,-0.54530436,-0.53499955,0.02805946,-1.61783868,-0.54661832,-0.60316267,-0.3780763,-0.35075294,-0.58548872,-0.58835965,-0.36088539,0.904577958286783
"O14497",-0.2937856,-0.3504434,-0.5212639,-0.1413758,-0.1468774,-0.4088019,-0.9241611,-1.4839008,-0.4777777,-0.3891517,-0.9086861,-0.4463622,-0.2026855,-0.239406,-0.5222435,-0.3426729,-0.721489,1.0947344,-0.1170433,0.2309596,-0.4768301,0.804243014862
"O14531",0.71289794,1.10987892,0.68525452,1.65566054,0.86956522,0.48642387,0.76455721,0.68516651,0.40639958,0.55587166,0.9296413,1.54086866,0.09302703,1.08296704,0.38570578,1.80123292,0.35163076,0.06996264,0.84055462,0.40439002,1.87899384,0.312312055410998
"O14548",-0.15862883,-0.07919794,0.38474728,-0.78718737,0.01570325,0.77004556,-0.29519648,0.39090635,-0.26046091,-1.30083451,-0.0322622,-0.58892697,-0.37432032,-0.35527288,-0.28263015,-0.2747234,-0.2728035,1.09473436,0.14084412,-1.09495297,-0.25385166,0.971532078379566
"O14558",-0.95731231,-1.15231579,-0.01128334,-0.46932068,-0.9835131,-0.78507979,-0.59855463,-0.64318286,-0.19867285,-0.77867047,-0.79834014,-1.12914928,0.09158341,-1.1851297,-0.48729773,-0.19900885,0.01383034,-0.24696906,-0.87554414,0.46664585,-1.60525659,0.917278842142448
"O14561",0.464821569,0.159572396,0.129139314,-0.530128689,-0.290841817,0.387756166,0.010590554,0.542380459,0.225282646,-1.781974754,0.008800238,-0.142986375,-0.055284496,-0.794095631,-0.049024608,-0.021150832,-1.980346063,0.027916804,0.212900583,0.30080077,0.143761105,0.71090216654564
"O14562",-0.42692297,-0.41943724,-0.31875692,-0.01385083,-0.52902222,-0.91441789,-0.75111073,-0.35399034,-0.29315926,-0.0738122,-0.55845474,-0.28556318,-0.54038237,-0.3160685,-0.26595646,-0.47191724,-0.27980224,-0.17889565,-0.54050798,-0.88293927,-0.57440705,0.220148395751112
"O14576",-0.350614388,-0.479217059,-0.345019872,-0.898301726,0.355398463,0.336715101,-0.502893971,0.158637894,-0.982851244,-0.185973799,-1.126140924,0.187781834,-0.187053435,-0.36939706,-0.316933109,0.384593576,0.292803882,-0.004096585,-0.335499332,-0.255232065,-0.115602661,0.104427159362041
"O14579",-0.46967605,-0.04292617,-0.33593994,-0.03251105,-0.36302284,-1.02173403,-0.04335561,-0.53282855,0.22258035,0.56943393,-0.86540802,-0.40325387,-0.06665975,0.25280419,-0.26008436,-0.38941083,-0.15052009,1.09473436,-0.21408581,-0.09969167,-0.19368156,0.961191525486309
"O14594",0.16746754,-0.3151348,1.23916079,0.44660806,0.49507502,0.8551027,0.71861632,0.88948064,0.24207086,-0.31995251,1.30439026,-0.07662841,-0.91378223,-0.84429084,0.30071532,0.64100379,-0.02435893,-0.75990952,-0.13749054,-0.06277007,0.41841243,0.584471784097882
"O14617",0.42301957,0.06188487,0.65292759,0.61203744,-0.3220616,0.55280249,0.20528854,0.48718717,0.65611807,0.26012411,0.73087135,-0.15322481,0.54901522,0.5685667,-0.13994004,0.08653055,-0.25646852,-0.12690083,1.05822015,0.77299158,0.44905764,0.596738766949672
"O14618",-0.40418443,-0.68163806,-0.13492364,-1.34171414,-0.22099428,-0.19312116,-1.3374034,-1.21312879,-1.06486693,-0.21643102,-0.09615125,-0.62129701,-1.28252129,-1.14249361,-0.50687879,-0.57023679,-0.19296288,1.09473436,-0.70328964,-0.09567295,-0.7281313,0.661735697929406
"O14639",0.46337715,-0.69637429,0.88078878,0.14270143,0.28725604,0.81520287,-0.03990219,0.95182381,0.72507815,-1.60902168,-0.60976173,-0.78885747,0.50495476,-0.8912788,-1.61834854,0.06623529,-0.33261221,1.09473436,0.27945528,0.02315654,0.06453439,0.752960326880368
"O14662",-0.95576142,-1.03389769,-0.18631442,-1.01092077,-0.12984069,-0.56581106,-0.82893195,-0.4072723,-0.75488215,-0.55306256,-0.49634802,-0.83508428,-1.8490884,-0.49611632,-0.96809341,-0.36121579,-0.5933589,1.09473436,-1.00465903,0.06158701,-0.77954117,0.591275127219488
"O14672",-0.7127575,-1.47929667,-0.35322242,-0.36692249,-1.1361017,-0.07762557,-0.19808012,-0.15266857,-0.67899548,-0.36347406,-0.78166259,-0.37946382,-0.32194048,-0.99069656,-0.61359106,-0.05366939,-0.19210292,-0.3332463,-0.76949178,-0.50876119,-0.87820954,0.592709198391043
"O14683",-0.56978749,-0.31251261,-0.47784671,-0.13775523,0.01433228,0.15668813,-0.1010216,0.05680263,0.02547565,-0.23410804,-0.32071351,-0.16969139,0.03368919,-0.65259706,-0.45163922,-0.62536386,0.01052075,1.09473436,-1.21972051,-0.97934277,-0.51154795,0.619344701415795
"O14735",-0.47833646,-0.63583365,-1.21532698,-0.45068398,-0.2920375,-0.35711959,-0.33820617,-0.14760236,-0.28873269,-0.67424171,0.27659839,-0.31250374,-0.89578532,-0.39536493,-0.91341136,0.17171559,-0.26293674,-0.43842013,-0.09032972,0.03059693,-0.57718913,0.18442042546022
"O14737",0.454819143,0.181854572,0.22682342,0.162566963,-0.142886106,-0.186508558,0.328267017,-0.132611941,-0.590281988,0.409525252,-0.576915416,0.241898623,-1.282337713,0.257514631,-0.117853628,-0.208550757,-0.319057509,-0.008322186,0.272690493,0.371556825,0.284026031,0.022962747325387
"O14744",0.10888807,0.4466509,0.20357821,0.18842257,0.76318953,-0.13969837,0.23696301,-0.3874818,0.05869689,0.45847887,0.06661838,0.07752479,-0.19842158,0.39526963,0.63032979,0.24446415,0.29032936,0.1303314,0.13155933,-1.81691723,0.57677438,0.261240628276397
"O14745",0.37744702,0.33622693,0.93124714,0.07352674,0.33105666,0.96364134,0.20779131,0.88034611,0.28832458,0.17849313,0.06625769,0.21330498,0.51661474,0.02267521,0.3280592,0.58484161,0.22161261,-0.12147816,0.37947271,0.20065945,0.11024604,0.66187560504575
"O14773",0.61486362,0.54659483,0.84852356,0.54563473,0.77331913,0.40892689,0.91840118,0.39251047,0.97163555,0.95282033,0.83879725,0.7726704,1.27319081,0.74732034,1.42410192,0.86232999,1.00110515,-0.08245848,0.70784556,1.03593567,0.84986512,0.252551625628627
"O14775",0.055929488,-0.140927038,0.664991469,-0.791989553,-0.934451128,0.58348041,-0.888754214,0.57280892,-1.165058587,-0.227599881,-0.333841956,-0.941013464,-0.218664265,-0.532148949,-1.224807702,-0.005243915,-0.854206317,-0.461642261,-0.250685039,-0.963261346,0.134621247,0.483475474936766
"O14776",0.09332439,0.39374592,-0.30192668,0.24407546,0.41873382,-1.60819323,0.26559078,-0.45811714,0.07836691,0.27674168,0.06513517,0.18593172,-0.77778587,-0.09516687,0.33364839,-0.14137943,0.07044902,0.27098634,0.10551542,-0.25261134,0.16176077,0.514233989023017
"O14787",-0.264985102,0.227467878,0.132475109,-0.202346361,0.043536784,-0.643075804,-0.060565812,0.006265793,0.015508152,0.15971819,-0.6285227,0.44665592,0.065334696,-0.045183931,0.262926757,-0.102596989,-0.284765265,0.035497216,0.200832207,-1.646606603,0.181243411,0.370254554219847
"O14818",0.7962787,1.0872023,0.970529,0.9571589,1.1142935,0.6380506,1.0877084,0.8278526,1.0257153,0.9068902,0.8746544,1.270089,1.1634868,1.1268715,0.8242723,0.7136732,0.7902343,0.2782056,0.970316,0.9007039,1.0806454,0.239898437454811
