"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","t_test_p_value"
"Q9UI09",0.127815792,-0.082201103,0.157826869,-0.751548667,-0.109210513,-0.049581589,-0.619152944,-0.314425599,-0.362702924,-0.038420435,-0.008933535,-0.628528093,-0.163973419,-0.785201362,-0.022617996,-0.13419699,0.023620763,-0.801567167,-0.06240109,-0.234147309,-0.703174957,0.824954143629546
"Q9UI10",-0.59413553,-0.13816055,0.11647304,-0.88805283,-0.83599392,-0.14459528,-0.79737628,-0.44595683,-0.75881822,-0.66145985,-0.55550265,-0.96093208,-0.46363656,-0.78078164,-0.22316141,0.01445188,-0.28850981,1.09473436,-1.19190168,-0.07114339,-0.58240001,0.685906457389549
"Q9UI12",0.418665624,-0.001285375,0.825813931,-0.249733879,0.653506067,0.68675402,0.019031082,0.731161623,-0.317513707,-0.017406757,-0.281357527,0.014989106,-0.138123386,-0.714629379,0.203714301,0.501640104,0.230909559,0.142813276,0.469278428,0.341100243,0.501972975,0.97138687668336
"Q9UI15",0.54189649,0.5572811,0.33522735,0.35210173,-0.01444378,0.82066231,-0.80045377,0.57627254,0.57377695,0.5924803,1.02307362,0.98671894,0.02627587,0.23649915,-0.30641077,0.1623463,0.13300404,-0.0460814,0.40563243,0.29566457,-1.01674065,0.211005982898926
"Q9UI30",-0.12884107,-0.32556396,-0.68513751,0.0818858,-0.33675646,-0.59231572,-0.23955863,-0.39500619,-0.32761229,0.31305384,-0.25159364,-0.42839981,-0.1152628,0.06512656,0.14297095,-0.25339972,-0.08104193,-0.41587684,-0.61955768,-0.51392721,-0.3430334,0.841827116844674
"Q9UI36",-0.322077539,0.195557896,0.008317557,0.915895446,0.578894734,-0.383689139,-0.201144083,0.225240748,0.219692527,0.069348659,0.474993064,0.288996928,0.418716619,0.060340662,-0.075313656,0.464254824,-1.525011478,0.041333718,-0.032292699,-0.02705218,1.035377221,0.432020486941953
"Q9UIA9",0.44081783,0.51375757,0.46519229,0.49070059,0.76756354,0.13569331,0.85120715,0.44319925,0.6372326,0.10992593,-0.0582853,0.25560496,0.76559163,0.45813656,-0.07697704,0.09458285,0.13135546,-0.15424603,0.37979615,-0.67170068,0.84422894,0.0649509582679283
"Q9UIC8",-0.8598354,-0.7270293,-0.8005905,-0.7216037,-0.8226041,-0.9896771,-0.6852267,-1.1602301,-0.5747997,-0.3084016,-0.9513101,-0.6693244,-0.9700483,-0.7870022,-0.5514889,-0.8686775,-0.1091118,1.0947344,-0.6092076,-0.8431284,-1.1806286,0.438615440982795
"Q9UID3",-0.9423416,-1.7528064,-0.2523774,-0.516004,-1.0320989,-0.3997472,-1.1629436,-0.2179994,-0.640362,-0.4077383,-0.8169114,-0.6648443,-0.388809,-0.8631083,0.290932,-0.6007625,-0.6070435,1.0947344,-0.9134085,0.2024255,-0.718781,0.503157717539226
"Q9UIG0",-1.19940205,-0.74299183,-0.20528917,-0.60293171,-0.28398927,-0.42516698,-0.34302398,-0.2805084,-0.25505747,-0.03155105,-0.51946924,-0.64562369,-0.35706298,-0.29563333,-0.09316618,-0.44467079,-0.0326442,1.09473436,-0.79662572,-0.71286735,-0.51781696,0.302714280076191
"Q9UIJ7",0.65598844,0.42050848,0.4653437,0.22218791,0.17261876,0.40086333,0.17156152,0.36435532,0.59193207,0.3501038,0.32698369,0.45118742,0.57352842,0.42369047,0.13399548,0.14091426,0.23180601,-0.27188707,0.33471272,0.05673309,0.258915,0.362329767819119
"Q9UIL1",-0.8872301,-0.4883575,-1.0733684,-0.973595,-0.1606329,-0.9787831,-0.6711808,-0.7455412,-0.4912925,-0.5528112,-0.6034262,0.159381,-0.9938943,-0.7592574,-0.5193526,-0.678599,-0.4224058,1.0947344,-0.7216419,-0.4344715,-0.3188907,0.148311744503073
"Q9UIS9",-1.1037032,-0.2821824,-0.5969907,-0.7581175,-0.5865082,-0.6458602,-0.6102692,-1.0904647,-0.7400807,-0.6460719,-0.1972676,-0.4517538,-1.2279418,-1.0664558,-0.7517524,-0.6106091,-0.6988179,1.0947344,-0.7305025,0.1760247,-0.9792329,0.886441512949532
"Q9UJ14",-1.32953134,-1.33469066,-0.5019126,0.0778699,-0.31288447,-0.45515973,0.18452443,-0.28561883,-1.98729286,0.09232081,-0.1567095,-0.93230374,-0.77568744,-0.75211166,-0.18549004,-0.71315704,-0.30748288,0.11621207,-1.47092035,1.35455732,-1.38065687,0.811318379408625
"Q9UJ70",-0.05888197,0.58620002,0.35242145,0.46777157,-0.2043425,0.35488496,0.4181258,0.19055089,0.38212653,0.50968195,-0.18980639,0.35173151,0.19469436,0.28639921,0.16824853,0.34065252,-0.39079972,-0.50068762,0.23163144,0.32235081,0.5480293,0.0192638447669092
"Q9UJC5",-0.16112897,-0.35159229,-0.06958212,-0.93527463,-0.74144785,0.29254278,-0.31414856,0.45390208,-0.30420432,-0.39537559,-0.29521763,-0.27651505,-0.4210642,-0.44491883,-0.68396601,-0.17345476,-0.5820337,-0.40746198,-0.28087516,-0.1227257,-0.55376997,0.636269370703643
"Q9UJS0",0.10460317,0.53582132,0.28373256,-0.09965015,0.60005997,0.61391691,0.48433027,0.41285556,0.31312707,0.48559982,0.04619532,0.28804215,-0.15131006,0.74175716,0.07216183,-0.16824953,0.28629974,-0.29523151,0.34576988,-0.54201044,0.15773775,0.917844183307839
"Q9UJU6",0.006700479,0.446688213,0.32632641,0.701507272,0.383212331,0.141259202,0.304986437,0.438031937,0.359671361,0.36448624,0.441370977,0.505291424,0.137886516,0.262047771,0.416731643,0.484097234,0.426772295,0.125205858,0.173334757,-0.537096569,0.394696676,0.188392237677399
"Q9UJW0",-0.242446711,-0.103587149,0.350401108,0.264022867,0.007477984,0.339324423,-0.108778549,0.060468611,-0.434758911,-0.675288318,0.051780628,0.420357385,-0.26284271,-0.007750691,-0.714918655,0.423884021,0.314338748,-0.549542382,0.181963257,-1.258548825,-0.031517051,0.149802641489651
"Q9UJX3",-0.2192652,-0.6287412,-1.349095,-0.7042121,-1.3528432,-0.4984316,-0.8984345,-0.9822989,-0.6950778,-0.333901,0.0664382,-0.5037669,-0.1954417,-1.3897397,-0.222474,-0.3006464,-0.4311591,1.0947344,-0.2364535,0.1804906,-0.2494444,0.150008664339826
"Q9UJZ1",0.326208211,0.493570926,-0.225517947,-0.115298595,-0.640416429,0.055445184,-0.039100324,0.010178842,0.000787433,0.027281864,-0.025115317,-0.010782312,0.171065509,0.53070497,0.315130888,-0.042592122,0.203993655,0.323020709,0.135643904,0.449681769,0.119277056,0.870207480475912
"Q9UK22",0.5897397,0.56565451,0.74823854,0.61005921,0.57864854,0.90277512,0.21984117,0.59489239,-1.05083795,-0.87011569,0.51363786,0.68950439,1.41739897,-0.90248112,0.21186544,0.77760541,0.32608867,0.01847465,0.75284452,0.80295191,0.89759504,0.112788708376106
"Q9UK41",-0.17588105,-0.10915938,-0.24198666,-0.37286741,-0.51867479,-0.45708556,-0.60668133,-0.34333356,-0.15393692,-0.42390715,-0.41659966,-0.61978257,-0.23284226,-0.08365443,-0.23933047,-0.03839764,0.11155396,-0.53901836,0.03352328,-0.77142304,-0.31599782,0.401138428101812
"Q9UK45",0.14475788,0.19960311,-0.28358207,0.19234402,-0.15600902,-1.28442596,-0.09489475,-0.32515,-0.38714297,-0.29736939,-1.03180023,0.04885409,-0.49195203,0.02807839,0.01683291,0.01634119,-2.0652577,1.09473436,0.07359829,-0.19004165,0.21775244,0.204706681592098
"Q9UK59",-0.87504922,-0.25491995,-0.16034189,-0.48250439,-0.89492013,-0.31216579,-0.90284423,-0.46928033,-0.55298363,0.06474721,-0.3362798,-0.51495704,-0.06179392,-1.08550499,-0.35516755,0.06593696,-0.90383827,1.09473436,-0.74405422,0.72342114,-0.17311334,0.926808786453621
"Q9UK76",0.84511177,0.79768772,0.15907481,1.45752653,-0.87006718,0.09495242,0.84717372,0.20558262,0.11226604,-0.62167657,1.28621993,1.02646861,0.73234734,0.44314484,0.78282124,0.52487602,0.77827468,-0.01471349,0.777614,0.7051543,0.89557072,0.453463874942158
"Q9UKA9",0.07483214,0.78469302,-0.36519531,0.50326641,0.60953034,0.05586427,0.70527797,0.22887951,-0.25265815,0.75519956,0.30969291,0.89823759,0.53508152,0.21675286,1.04151778,0.9969738,1.02160934,0.08673765,0.60215473,-1.07591776,1.32766568,0.688708348983915
"Q9UKD2",0.06946947,-0.08152075,-0.08282073,-0.23661797,-0.55340412,-0.23875053,0.16830823,-0.31143183,-0.29727335,0.23064901,-0.01112516,-0.33252257,-0.28260495,0.12212341,0.13553855,-0.75844732,0.11096545,-0.15515912,-0.02707251,-0.26039234,-0.35182497,0.712290612805111
"Q9UKE5",0.25701253,-0.96537593,-0.3015961,0.50873382,-0.2947654,-0.76289883,-0.08699622,-0.28275672,-0.38020514,-0.26387064,-0.22741126,0.08385717,-0.24048735,-0.54196722,-0.65039843,0.43816105,-0.036489,-0.03301396,0.26238627,-0.08509683,0.14455152,0.871487470861661
"Q9UKF6",-0.38130357,-0.32744503,-0.77179799,-0.54136917,-0.21192599,-0.65902745,-0.19389194,-0.25538973,-0.33054671,-0.11885751,-0.73726317,-0.10645464,0.01995004,-0.06951501,-0.16865491,-0.4094733,-0.65303533,-0.15233475,-0.30493225,-1.47916498,-0.47042449,0.317255080372611
"Q9UKF7",-1.10248448,-0.77994973,-0.24439559,-0.65437432,-0.74790711,-0.45647187,-0.68892843,-0.46275219,-1.10031098,-0.78412839,-0.96660407,-0.27381141,-0.56612795,-0.69797777,-0.49382083,-0.51666306,-0.04209171,1.09473436,-0.69263368,-0.27528447,-0.722167,0.756387946211737
"Q9UKG1",0.058803703,0.244817252,0.308320149,-0.196877834,0.001774255,0.240615343,-0.136053256,0.263172075,-0.104850929,0.105529959,-0.464638248,0.412630281,0.253908451,-0.119808134,-0.403236195,-0.017971993,0.018120181,-0.41591254,-0.112343292,-1.242582052,-0.035098825,0.301738967126865
"Q9UKK9",0.267443767,0.187020378,0.347749946,0.486273891,-0.352178631,-0.186090515,0.217248547,-0.12592468,0.045963377,-0.038590821,-0.012136423,0.247496141,0.313622566,0.148830051,0.096555985,-0.690565724,-0.03831998,0.169355403,0.196733722,0.004122671,0.07180689,0.030273925574115
"Q9UKM9",0.44669091,0.90127315,0.2226083,0.22449443,0.24873193,0.07511869,0.38490768,0.30401924,0.89394985,0.88391784,0.41796383,0.82465024,0.02287666,0.74352985,0.78258486,0.97798652,0.59833047,0.14546589,0.72158479,0.09924225,1.03858657,0.738478802472743
"Q9UKN8",-0.755129228,-0.24799403,-1.573147497,-0.061933571,-0.256782399,-0.163389724,-1.853134166,-0.068188843,-0.850918282,0.004935602,-0.505503738,-1.206939184,-0.87896575,-0.887684691,0.041446301,0.162646639,-0.095717599,-0.378045041,-0.005486992,-0.426086644,0.022513736,0.725491846183764
"Q9UKU0",-0.61052849,-0.311215754,0.091889623,-1.221155769,-0.445748111,0.216473283,-0.681621203,0.182607634,-0.192037743,-0.85224969,-0.058396808,-0.209996806,-0.229884112,-0.52466368,-1.371053726,-0.278317424,0.139968909,1.094734356,-0.003007962,-1.626482196,-0.933353539,0.761420976181854
"Q9UKU7",-0.1846149,-0.63863525,0.15909524,-0.66127232,-0.03937038,-0.31010749,-0.30150615,-0.1749294,-0.09043095,-0.15215483,-0.44108999,0.35692812,0.09784136,-0.40446209,0.00528361,-0.48966246,-0.15819372,1.09473436,-0.26371976,0.04522088,-0.59890536,0.422144093691758
"Q9UKV3",0.549421075,0.751913606,-0.530488228,0.694218243,0.631965804,0.22334339,0.601621789,0.119477597,0.728872884,0.075183348,0.202341806,0.81622506,0.228733526,0.76654074,0.190769077,-0.253060896,-1.070606721,-0.363943116,0.469395355,-0.002470052,0.80018384,0.900897029421997
"Q9UKV8",0.19526998,0.19626239,-0.06169935,-0.1709117,0.20242491,-0.16468489,-0.27801293,-0.19813593,-0.63689921,-0.60541871,-0.13356846,-0.42196326,-0.79597175,0.1678459,0.23356026,0.29887741,0.28705609,0.20211361,0.12880838,-0.99872249,0.51797645,0.467818105192375
"Q9UKX7",-0.9034409,-0.4203427,-0.2944639,-0.5345181,-0.5236949,-0.3885403,-0.4391699,-0.6312061,-0.8410214,-0.7275616,-0.7039218,-0.8187283,-0.6042169,-0.4499927,-0.1967667,-0.327499,-0.1865479,1.0947344,-0.727949,-0.1853691,-0.4370659,0.994603735870662
"Q9UKY7",0.31958173,0.43473613,-0.03092402,0.27156634,0.22412309,0.08505087,0.66722318,0.10924464,0.45503483,-0.18027449,0.15183794,0.17246446,0.26579665,0.49785411,-0.02715668,0.26136557,0.02700041,-0.15175653,0.41603419,0.22246648,0.38958966,0.929911098446808
"Q9UL03",0.81600956,-0.58243374,1.86148362,0.37083232,-0.43974725,0.79578881,1.10811767,0.58463671,-0.02165863,0.35249354,-0.03173433,0.14893024,1.55205535,-0.33580921,0.19840096,0.50088766,0.70404344,-0.51015222,0.4531061,1.12278329,1.31326445,0.893443437237196
"Q9UL15",-0.8478413,-1.1625716,-0.7110252,-0.364055,-0.3702605,-1.0195573,-1.6164516,-0.6335069,-0.8565826,1.1107277,-0.719243,-0.191165,-0.6113168,-0.9925153,-0.6332393,-0.5061567,-0.7842716,1.0947344,-0.9262781,-0.2226205,-0.5934797,0.429323692169508
"Q9UL18",-0.1640115,0.120112,-1.0324454,-0.2628512,-0.3873112,-0.6741228,-0.8894226,-0.5306108,-1.0041383,-0.4587349,-0.8214773,-0.1634385,-0.6369676,-0.4218122,-0.2342124,0.106675,-0.3066086,2.5317491,-0.3508172,-1.760191,0.3348229,0.891246147180204
