"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","t_test_p_value"
"Q9C0H9",0.34945929,0.26731238,0.19870114,0.24583247,0.23669802,0.08199673,0.29863394,0.54992058,0.22262262,0.33272084,0.2127851,0.4601008,0.37399482,0.43503884,0.45795627,0.56806674,0.37082025,-0.07925674,0.34643264,0.6165436,0.153069744988118
"Q9C0I1",-0.9007606,-1.1979846,-1.5731064,-1.2850657,-1.146045,-1.2633635,-1.231795,-0.3692213,-1.2209987,-1.5851939,-1.2508489,-1.0698677,-1.276522,-1.4659412,-1.4108372,-1.0215031,-1.2626916,-1.1876035,-1.3636801,-1.0390987,0.447411127447559
"Q9GZL7",-1.0276355,-1.2674604,-0.8370712,-1.2940477,-1.1533557,-1.10001,-1.0663002,-0.9993865,-0.992137,-1.2009075,-1.1421966,-1.0167492,-1.1996095,-1.129676,-1.0599378,-0.8685692,-0.7671688,-0.9094523,-1.0515036,-1.4362164,0.821585097135237
"Q9GZM7",0.9681348,1.200088,1.0743913,0.8191151,1.1748003,1.0439331,1.0023915,0.5192422,0.9991305,1.1417564,0.8205181,0.8448655,1.0856786,1.0126385,1.007629,0.9707178,1.0322816,1.4803386,0.9657499,0.6314204,0.843300467795289
"Q9GZM8",-0.25329711,0.06808569,-0.29300478,-0.19480386,-0.41271178,-0.69256963,-0.22594532,0.38588391,-0.17733268,-0.12187687,-0.2368711,-0.04461361,-0.29245182,-0.23636329,-0.3338687,-0.25130511,-0.24646716,-0.22472689,-0.25959208,-0.07059267,0.880769111243141
"Q9GZN7",0.11200174,0.15223392,-0.16806605,-0.11933515,-0.04425237,-0.10164679,-0.00781624,0.47885518,0.12070608,-0.08372582,-0.36686322,0.33234705,0.11212676,-0.07387331,-0.50887557,0.23521626,0.19723882,-0.83473699,-0.06248385,0.33150985,0.449006069802647
"Q9GZN8",0.02712375,0.0109878,-0.09007917,0.10155875,0.01319443,-0.10534553,0.01796265,0.04554026,-0.10318506,0.15637256,0.12566477,0.18207963,0.09647588,0.40344547,0.12508507,0.38417098,0.49167702,-0.05896002,0.17652439,0.2281215,0.000984645044176964
"Q9GZP4",0.752485,0.7672877,0.744705,0.7362902,0.809784,0.7680333,0.8270288,0.9905966,0.8376772,0.8347241,0.8147605,0.8407988,0.7546854,0.842317,0.8720379,0.7843422,0.8000838,0.7213284,0.840342,0.926479,0.750613568955183
"Q9GZQ8",0.5109868,0.4998522,0.555673,0.4914445,0.4469557,0.449449,0.5287496,0.496211,0.4754652,0.5426079,0.5894821,0.558179,0.6501677,0.5051432,0.5156335,0.2212792,0.4458253,0.3108206,0.5794278,0.606985,0.82532133126749
"Q9GZS3",-0.065478884,-0.053485754,0.127832179,-0.209576731,-0.102946715,0.065953256,0.256761324,-0.215536459,0.044984057,-0.012919253,0.124556983,-0.009552668,0.071495086,-0.053578186,0.337179337,-0.096303644,0.075814194,0.281800896,0.230889599,0.343748349,0.110239683250574
