"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","t_test_p_value"
"Q01433",-0.4509021,-0.2805237,-0.4761631,0.131637,-0.7249498,-1.2626247,-1.6594788,-1.7916562,-0.9302814,-0.5346262,-0.4210228,-0.7252497,-0.2626109,-0.5706509,-0.8800374,-0.9152586,-0.6203437,-0.6795733,-0.2122964,-1.5708504,-0.5151301,-0.3006218,-0.386311,-0.4207064,-0.6281511,0.0642834457000696
"Q01469",1.2203249,0.6680546,0.3065099,1.6158199,0.9742095,1.5275386,0.9029952,-0.2980113,1.0993636,1.754455,1.3512919,0.2252996,0.1124051,0.7495691,-0.1147184,1.8156995,2.088892,2.1422834,0.2349668,1.3447024,0.8142529,1.5185024,1.7339819,0.9366331,1.0618718,0.695712460818092
"Q01484",-0.15609833,-0.68880657,1.53609261,0.49747093,0.76649031,0.57598694,0.73055569,0.58850571,-0.24604824,-0.18268575,-0.88439398,-0.27803519,0.2167321,-0.69274514,0.13717533,0.28319893,-0.29535667,0.1603568,-0.90714094,0.94023051,0.53725219,0.84879959,0.06342623,-0.03649311,0.66308505,0.683262507218137
"Q01518",1.5528048,1.5673202,0.644304,1.5995969,0.929155,1.2714353,0.8170408,1.1576031,1.8714454,1.1342626,1.1568458,0.9747155,1.0332722,1.1470545,1.0208096,1.1208459,1.3420777,1.7150678,1.2899135,1.6719992,0.8756279,1.3357519,1.2785441,1.2532398,1.3773651,0.904132568035117
"Q01740",-0.598924688,-0.819478497,0.437697407,-0.853583004,-0.620611708,-1.914036263,-0.693819649,-0.212444991,-0.437340224,-0.565700285,-0.008690162,-0.264119601,-0.574043972,-0.39817782,-0.299434984,-1.342557476,0.494836059,-0.60168232,-0.704670274,-0.346482067,-1.456116081,0.126975791,0.282840875,-0.177253795,-1.197324953,0.827487117252828
"Q01813",0.65683399,-0.13272027,1.2779598,-0.03847191,0.2726102,1.03448287,0.85350468,0.40951388,-0.18222665,-0.09781297,1.0012317,0.54079512,1.08265523,0.43617051,0.89160492,0.33819816,0.04444306,0.34105992,-0.53298813,0.34276213,0.51619067,0.07112562,0.29507053,0.39612609,-0.05904017,0.981865644861665
"Q01844",-0.74313152,-0.97347712,0.04699314,-0.36196346,-0.71512797,-1.04920913,-0.25298793,0.07662092,-0.60322439,-0.33350601,-0.33986024,-0.51282016,-0.04379924,-0.28520716,-0.63421704,0.02266418,-0.26659129,-0.52341276,0.17354626,-0.01385197,0.06499092,0.25194111,0.04208668,-0.0445123,-0.20405495,0.605084486832479
"Q01995",3.04407819,3.35485897,2.02212493,-0.01594829,0.97615039,1.92352676,1.6909146,1.07931029,2.09457809,1.70951941,1.2869272,1.07269195,1.33006909,1.69549794,1.2893849,1.95892125,1.41420475,1.4095568,2.00426083,1.51393819,1.69581412,1.84082381,1.492124,0.88456945,1.57368929,0.811657534175202
"Q02108",-1.81630094,-1.87571333,0.51113807,-1.43671885,-0.66041388,-1.91474164,-0.57361464,-0.23763178,-0.75066494,-1.33455342,-1.35568971,-1.80977752,-0.51854147,-0.18590366,-0.1824585,-0.07464812,0.16752925,-0.33880213,-1.35766484,-0.21218389,-1.30427242,-0.34591404,-0.59076631,-1.11886428,-0.15716254,0.788478923661939
"Q02153",-0.92400817,-0.71925029,0.14899058,-1.04951991,-1.35220201,-0.82936851,-1.2242029,0.03210817,-0.14824746,-0.42783375,-0.41406842,-1.54986947,-0.08809883,-0.51403852,-0.26435376,-0.05812885,0.07653386,-0.16310514,-0.03891674,0.33269666,-0.03407589,0.09778589,0.09410112,-0.23057381,0.06363611,0.601656825824185
"Q02218",1.135738982,1.228286545,1.007195867,1.114643072,1.104035525,0.517730906,0.516721743,0.674488591,0.482550268,0.583811479,1.397211462,0.624032581,0.519486301,-0.005137284,0.898338153,-1.162582744,0.253492559,0.274523002,-0.215656343,0.746010334,0.413334593,0.559488088,0.386109785,0.579963045,0.521551048,8.23335153870295e-05
"Q02252",1.75450027,1.20221956,1.41409714,1.03781301,0.11185319,-0.24972116,-1.02013308,-0.02946454,-0.05020401,0.43276135,0.82500936,0.64286598,0.52135981,0.15901189,-1.74774677,-2.06373935,-0.31595792,-0.09101369,1.37530866,0.8524942,-0.02614158,0.6716359,0.95865764,0.25012006,0.41427243,6.19495340089133e-05
"Q02413",-0.313,-0.0815,-1.23,-0.428,-0.663,-0.521,-0.364,-1.02,-0.371,-0.638,-1.62,-0.0427,-0.403,-0.44,-0.662,-0.0448,-0.382,-0.232,-0.108,-0.0971,-0.0544,0.0284,-0.691,1.76e-11,-0.844,0.718801004020949
"Q02543",-0.484108529,-0.236377429,-0.836708445,0.008749099,0.320224347,0.253228623,0.408614232,0.000919697,0.114998605,-0.060007518,-0.562653443,-0.020133316,0.14448053,0.126500992,-0.248786271,0.022269104,0.220652917,-0.254963902,-0.254749018,0.052231238,0.520993145,0.319313029,-0.187311927,-0.20577414,-0.228879715,0.268644276398651
"Q02750",0.394963178,0.043095847,0.94180896,0.410596193,-0.23607691,-0.208900763,-0.85305182,-0.16607075,-1.157958212,-0.039011109,0.052305801,-0.057420903,0.131188321,-0.349995134,0.556735729,-0.271856456,-0.436306481,-0.316664088,0.222798631,0.355507378,-0.309181928,0.126141991,0.062704162,-0.006939161,-0.020223635,0.135404176699434
"Q02790",0.6671912,0.7901594,-0.3067388,0.485605,0.4160521,0.7690813,0.604289,0.9281797,0.7782987,0.2877477,0.3232599,0.5630729,0.6592578,0.7948416,0.2437613,-0.2821599,0.2010725,0.6872157,-0.3935976,0.1286808,0.2819523,0.3960746,0.3226755,0.7702863,0.1271063,0.817827432295977
"Q02818",0.238704678,-0.003759734,0.256345053,0.58380104,-0.095984687,-0.464149307,0.076860522,0.429367421,0.910784207,0.076633581,0.022268306,0.002245999,0.554216889,-1.315513383,-1.407368822,0.283547127,0.33276899,0.676645654,0.492135416,-0.063403998,0.381248129,0.266963773,0.371718567,0.31020488,0.085972988,0.418344617567826
