"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","t_test_p_value"
"A0A0B4J1X5",0.69065869,0.64272894,-0.75884886,-0.1722409,0.12511421,-0.02257527,0.03153002,-0.00994566,-0.91650767,0.06926124,-0.90905126,-2.22581356,0.29403769,-0.07183478,-0.13671168,0.24546067,0.06186081,0.80487078,-0.07009055,0.61337451,-0.42322962,-0.51942613,-0.41636043,-0.85853093,-0.38317744,0.788048990716766
"A0AVT1",-0.65454991,-0.44929554,-0.73263866,0.3268379,-0.02860027,0.79234343,-0.29630698,-0.01139007,-0.15765525,0.03371789,0.20742103,-0.4051651,-0.33103315,-0.11800664,-0.0893826,-0.68759645,-0.50266901,-0.08443179,0.06013706,0.11721257,-0.32243456,-0.30820692,0.17156145,-0.06519104,-0.08637409,0.621941008587487
"A0FGR8",-1.193307312,-0.03149724,-1.277519957,-0.247558852,-0.659395333,-0.318863692,-0.296306984,-0.319170891,0.095221463,-0.278980175,0.007805297,-0.002545678,-1.106946822,-0.870498992,-0.979812945,-0.161552345,-0.199224602,-1.41929463,-0.327596504,-0.173093543,-0.328579012,-0.047735237,-0.081194282,0.516639051,-0.944805954,0.749823860591177
"A2NJV5",0.61228916,1.15077911,0.07336845,-0.09730262,0.74730958,-0.16649636,0.49482608,0.55066771,1.1211621,0.4714867,-0.12564028,0.36430564,-0.09800392,0.25258242,0.43056757,0.0384063,0.48446651,1.02968302,0.06753758,0.26463115,0.0224761,0.40681383,-0.57154508,-0.17421846,-0.94822261,0.736634902446411
"A3KMH1",0.24441374,-1.63447096,0.58799322,-0.68249506,-1.00127596,-0.94282161,-1.62599666,-1.35296598,-1.72845043,-1.95169348,-0.07886188,-1.21579737,-1.2226206,-0.37937701,-0.48772217,-0.68972841,-0.56261903,-0.70457434,-1.40648891,-0.55004412,-0.96162476,-0.5285665,-2.13108151,-0.25953008,-1.531629,0.56817148984851
"A5YKK6",-0.8634832,-1.6238657,-1.7780362,-0.3715894,-1.2588049,-0.3849287,-1.0225852,-0.8647318,-0.9386923,-0.6992937,-0.4738177,-1.3563705,-0.7905986,-0.4205188,-0.7120485,-1.4253009,-0.934487,-0.7049797,-0.8927009,-0.9556787,-1.1445629,-1.171862,-0.7437766,-0.7192111,-1.3532468,0.510402937549941
"A6NIH7",-0.004344295,-0.200750586,-0.72018938,-0.270248547,-0.252620637,-0.826190793,-0.670092243,-0.678559786,-0.801544018,-0.315454311,-0.552361277,-0.300921369,-0.436590978,-0.938564318,-0.897481634,-0.915258599,-0.511713454,-1.149051605,-0.691157094,-0.527447499,-0.218468343,-0.412442682,-0.525425261,-0.713442963,-0.896462439,0.285388100677157
"A6NKF1",0.6925503,0.8086529,0.7467502,1.1053321,0.8727977,0.7146236,0.8914679,0.7498372,0.5695024,1.0400639,0.8923709,1.2814653,1.4288998,0.8468037,1.6635634,-0.3194399,0.1454593,-1.013667,0.823492,1.3362096,-1.0713145,-0.8945885,0.6476774,0.4430666,0.8903872,0.138475314320318
"E9PAV3",-0.124432,0.484208,-0.7305719,0.6539273,0.904971,0.6873061,0.6443433,0.5685326,0.1591074,0.4947555,0.525037,0.6198105,-1.4802577,0.781555,0.2572292,-1.5921848,1.2159305,0.8903143,0.4399403,0.5610514,0.7619442,0.7327462,0.4118557,0.4382221,0.498561,0.606860830464679
"L0R6Q1",-1.08806124,-0.70597286,-0.90540589,-0.23924109,-0.48151167,-1.38752729,-1.21138743,-0.56059206,-0.47414852,-0.85426276,-0.51317433,0.02088208,-0.42413478,-0.16097672,-0.52216317,-0.53890849,-0.40416265,-0.2328932,-0.53120395,-0.69617784,-1.11010838,-0.95964891,-0.60347594,-0.86149148,-0.50940792,0.989819394371037
"O00151",0.107470162,0.566448868,0.101208529,-0.062644063,0.270188325,0.007896481,-0.049238774,-0.353867435,-0.900033572,-0.528841245,-1.23133041,-0.70386157,0.3737422,0.549069563,-0.016342502,-2.434915768,-0.571403864,1.033957769,0.08743309,0.031698539,0.339562506,0.426567812,-0.534806139,-0.359631843,0.920258109,0.18787998084185
"O00154",0.4765128,-1.4599737,1.0493349,-0.6791272,-1.0567364,0.3747623,-1.1890526,-1.5484966,-0.4209696,-0.7555772,-1.4558049,-1.0349169,-0.55511,-0.9426933,-0.9538732,-0.1422611,-0.8820991,-0.858033,-0.4735791,-0.9355427,-0.6856966,-0.7918917,-1.8568624,-0.3493245,-1.8652246,0.562645288906733
"O00159",0.33526495,0.53436773,0.17520285,1.56967278,0.7983044,0.4780189,0.81426498,-0.04237409,0.67959322,0.47994351,0.47608203,0.24086688,1.14204609,0.61786231,0.63722746,0.06362666,0.61323949,0.5262052,0.83064809,0.56576676,0.4814242,0.86503802,0.5600378,1.20748234,0.39212838,0.728149856720493
"O00161",-1.908792,-1.3628824,0.3874837,-0.4566073,-1.4071041,-1.2413011,-0.7174135,-0.6049576,0.1305272,-1.3440242,-1.2761952,-2.2415094,-0.482773,-0.8010052,-0.5283487,0.1427636,-0.2631313,0.2598938,-0.2729679,-0.2021568,-0.8057217,-0.3753259,-0.4844686,-1.2098299,-0.5280284,0.732919902936987
"O00170",-0.0176722,0.4627803,-0.7192688,-0.2244367,-0.5530543,-1.329888,-1.7566826,-0.5380543,-1.2245395,-0.4571448,-0.3581043,-0.5237982,-0.2255813,-0.353078,-0.1455843,-0.6550849,-0.2593518,-0.7259709,-0.1510769,-0.6016485,-0.2505175,-0.3063907,-0.5768655,-0.5284054,-0.2332657,0.364088079868165
"O00186",-1.12783703,-1.2921414,0.26430795,-1.76067573,-0.76410823,-1.39910428,-1.18487902,-0.98002558,-0.53463677,-0.45183706,-0.44992489,-0.75859645,-0.27238319,-0.52626503,-0.48951945,-0.4483607,-0.34610052,-0.52624871,-0.07832218,-0.50199107,-1.32868887,-0.64536577,-0.78874915,-0.06985944,-0.83130847,0.680831262067734
"O00203",0.17418578,-0.90747038,0.66546287,-0.67001388,-0.12065662,-0.35183458,-0.18265523,-0.05916232,-0.82809049,-0.51772654,-0.48432865,-0.07340267,0.03048631,-0.37562567,-0.36761763,-0.18075672,-0.43299131,-0.639613,-0.52173454,-0.17074501,-0.04672749,0.02641273,-0.66871104,0.48155214,-0.36167781,0.963160634342088
"O00217",-0.12294947,-0.20319224,0.4865602,-0.32510576,0.16549738,-0.83028987,-0.29946845,0.08750675,-0.0409299,0.17703943,-0.2433617,0.48437221,-0.54349759,-0.2006151,-0.28266078,-0.64873565,-0.06947277,-1.33082139,-0.27229496,-0.17930942,-0.49482317,-0.94782512,-0.75268918,-1.39089039,-1.38202091,0.235303465659196
"O00231",0.112413122,0.004374471,-1.406787705,1.044537763,0.72616913,0.594160589,0.71583755,0.575017403,-0.657818686,-0.069586688,0.113228828,0.831234151,0.613147469,0.871782168,0.560806605,-1.160409521,0.491712109,0.319562971,0.759771078,0.711468641,0.428954689,0.868972402,0.61734807,0.641484224,0.726915866,0.513442999637521
"O00232",-0.38464593,-0.33103851,-0.26295308,0.53531504,0.26453369,0.21752299,0.16678738,0.39055063,-0.48442478,0.03504827,0.14345216,0.32712823,0.41306227,0.51456526,0.36710751,-0.50200652,0.20045695,0.60766716,0.48501242,0.15391722,-0.50121922,0.4282007,0.30368104,0.40153242,0.47683769,0.499122014991338
"O00233",-0.49336622,0.11511081,-1.91884376,0.08475497,-0.47583607,-0.18344799,-0.62256943,-0.00972998,0.28232672,-0.02882982,-0.54304811,-0.12213959,-0.90650292,-0.22729471,-1.21442344,-0.33707214,0.46187852,0.47206167,-0.05777419,-0.34663892,-0.41606497,-0.48508095,-0.39764846,-0.54649886,0.06797823,0.696283671779154
"O00244",-0.94013642,-1.09437392,-1.32989903,-0.43726151,-0.65385497,-0.08554033,-0.61256144,-0.60634338,-0.53244233,-1.35217442,-0.99214505,-1.02383185,-0.56510391,-0.33463611,-0.33750399,-0.09697189,0.2957388,0.66234189,-0.29149086,-0.96324235,-0.65521527,-0.49726434,-1.14306226,-1.39031701,-1.24160531,0.30657010494711
"O00264",0.435293564,1.048409634,0.826627081,0.982504917,0.532521559,0.129374336,0.832629787,0.213179717,1.002562465,1.262071984,0.840010358,0.523687855,1.198979549,0.852795189,0.063126454,0.915426531,1.494045985,1.064286228,1.0895001,0.008583786,-0.114721569,0.187016598,1.016594544,0.29802328,0.883932893,0.0413192759585662
"O00273",-0.2412429,-0.51632196,0.77189212,-0.22652346,-0.32728815,-0.57939274,-0.69891015,-1.19415695,-1.13601047,-0.71806304,-1.02325244,-0.72984976,-0.54373004,-0.29573414,-0.36698556,-0.43621242,0.04704012,-0.9002422,-0.27843922,-0.07521663,-0.55873776,-0.3790087,-1.97915488,-1.67371132,-0.8420758,0.204397199660753
"O00291",-1.10365166,-0.63158959,-1.61515926,-0.21192874,-1.87903808,-0.85212347,-0.56988332,-0.19702573,-0.4345925,-0.6634457,-0.35569471,-1.37173947,-0.45389565,-0.79413455,-1.43305834,0.09991532,-0.16275734,-0.26848509,1.72567079,-1.35063826,-0.28634165,0.04917276,-0.56172081,0.54642283,-0.2450217,0.476563915381863
"O00299",1.00284717,1.27542766,0.06631512,1.10138673,1.38371274,1.82082438,1.63421581,1.5400141,1.73944248,1.71619497,1.31497322,1.53218074,1.80122162,1.64183171,1.51037415,0.82570603,1.62810549,1.79251095,1.83060886,1.57477294,1.92483124,1.57342938,1.20975753,1.10934263,1.42752922,0.188337924588952
"O00303",-0.68461745,-0.42623736,-1.68202669,-0.10256735,-0.061833,-0.11669816,-0.36894091,0.07518597,-1.15516687,-0.82990405,0.36870988,-0.17737214,-0.15065961,-0.29265558,-0.02168131,-0.11465978,-1.38333039,-0.89413388,-0.040296,-0.08515037,-0.1094336,-0.01706943,0.02049598,0.29996717,-0.16196622,0.417974245697752
"O00399",-0.8187201,-1.0395536,-0.4878326,-0.5011581,-1.1945764,-2.091954,-0.9927043,-0.9717741,-0.657742,-0.7268068,-1.117839,-0.6149403,-0.4341769,-0.379377,-0.6841391,1.6651249,-1.8792349,-0.9616391,-0.7822859,-1.8255158,-1.2483357,-1.1843485,-0.9461667,-1.2435891,-0.7410386,0.382538966699687
"O00410",0.83808978,0.73618629,-0.07512786,1.00280752,0.91040602,0.97161664,0.82829609,0.45377331,0.06160547,0.38355695,0.87605766,0.20837187,0.9778123,0.63609135,0.67442109,0.92167177,0.4375924,0.45100585,0.38592331,0.2054464,0.88070053,1.0804575,0.83440603,0.42490137,0.66427876,0.835583959392191
"O00422",-0.9643361,-1.387069,-1.7473484,-0.4130195,-1.8884986,-1.883402,-1.8669272,-0.9532088,-0.8187156,-1.1984937,-0.9872774,-0.4116146,-2.4481521,-0.661724,-0.7049381,1.6651249,-0.6554943,-1.8172985,-0.8606989,-0.7029002,-0.5292398,-0.6697957,-0.7426838,-0.7564558,-0.6528912,0.606507653190928
"O00429",0.38256236,-0.02874504,0.90818325,0.33182511,-0.09190117,0.51562595,0.09069634,-0.02233813,0.1770452,-0.18047372,0.18427704,-0.20707118,0.39754177,-0.20872155,-0.31250942,-0.27253171,-1.22873681,-1.21858374,-0.40343848,-0.15237995,0.18681163,-0.13893233,0.05464081,0.43791213,-0.18403622,0.18332893102631
"O00461",-2.1632309,-1.5852013,-1.2902448,-0.5787904,-0.724864,-0.5884482,-0.5791695,-0.5034027,-1.6559067,-1.4800743,-0.4466326,-1.3184099,-0.2957185,-0.3849633,-0.6471735,-0.2680703,-0.4623789,-0.5581064,-0.9871784,-2.0782264,-0.7220384,-0.9624054,-0.7057651,-0.5464989,-2.3711263,0.455509668771024
"O00468",0.76566991,1.30175768,-0.62193323,-0.91254053,-0.45860535,0.17374964,-0.57951033,0.0222893,0.215739,0.09130168,0.10376296,0.43671837,0.71916646,0.18745885,-1.05402635,0.44353031,-0.73165439,0.146713,-1.3294871,-0.6910197,-1.23677943,-1.39786284,0.60957744,-0.12074657,0.35152335,0.882515562563891
"O00469",-1.885916255,-1.378124056,-1.378506071,0.269303595,-0.490709539,1.42955682,0.166080124,-0.000166899,-1.542073457,0.453150461,0.650860712,-0.445024057,-0.42783881,0.199776321,-0.350225434,-0.373094761,-1.088384219,-0.323726995,-0.755247913,-0.688714465,-0.681272167,-0.223043939,-0.699673964,0.121168029,-0.331837322,0.40820670793096
"O00483",0.13447826,-0.0108655,0.62945138,0.19272567,0.18556026,-1.30288541,-0.12716586,0.39564528,0.17544476,0.05268509,-0.38805437,0.50775446,0.28820804,0.29935374,0.11440507,0.45204758,-0.439342,-0.83176651,0.23746963,-0.08775501,-0.27071181,-0.31004044,0.11650826,-0.10943372,0.13487613,0.231286942868786
"O00487",-0.835,-0.526,-0.132,0.353,0.282,0.0467,0.033,0.217,0.0236,0.08,-0.245,-0.0444,0.168,0.337,0.00799,-0.436,-0.48,0.156,-0.157,1.76e-11,0.099,0.023,-0.255,-0.342,0.426,0.737527895522667
"O00499",0.51244689,-0.43206526,0.99935826,0.05250656,0.18926726,-0.19668627,0.03773868,-0.02676513,0.49746442,0.14609568,-0.22675624,-0.25073537,-0.63317651,-1.27972375,0.07963686,0.26501692,0.67365911,1.00591705,0.44586063,0.84000655,-0.0699044,0.32307543,0.20024843,0.06712257,-0.12038538,0.816433187960952
"O00533",0.8982796,-0.4615887,0.3298886,-0.428917,-1.3215412,-1.0186734,-0.8115539,-0.4629403,-1.8450895,-0.5077383,-0.7445924,-0.6003678,-0.5683134,-0.344731,-1.149105,-0.6908543,-0.4453217,-0.8320669,-0.324246,-0.8845446,-0.4724695,-0.5482961,-0.824119,-1.8634675,-1.5578048,0.108818801829123
"O00560",-1.5531149,-1.35686562,-0.6905347,0.42278176,-0.4585306,-0.54288889,0.3167252,0.17696666,-0.50314517,0.10180739,-0.84410635,0.67560741,-0.10613124,-1.10251309,-0.78033307,0.43284173,-0.54045757,-0.20784466,-0.28989571,-0.55947231,0.51330192,0.02777342,-0.3986497,-0.44489328,0.24133744,0.585123048546953
"O00567",-0.86643174,-0.6290096,-1.39788214,-0.55599815,0.36567511,0.26207513,0.39967642,-0.06334078,-0.55055183,-0.82861547,-0.16026738,-1.4265716,-0.6026278,0.01359984,-0.08586381,-0.06764579,-0.20940836,-0.03162369,0.45777939,0.19651158,-0.29391479,-0.26221777,-0.32697453,0.94315363,-0.15134689,0.0919365871099316
"O00571",-0.94221029,-1.0550973,0.06656502,-0.08217244,0.30842272,0.52903071,0.59277819,0.45000977,0.86439273,0.16491413,0.6737442,0.23883726,-0.09485263,0.1695632,-0.09089866,0.69158479,0.31659482,0.30072471,0.59893571,-0.1671379,0.44983457,0.43733375,0.40577433,0.74165158,0.63984386,0.163510244653222
"O00584",-0.37067071,-0.49351147,-0.21771319,-0.48434577,-1.00084588,-1.50863877,-1.66563453,-0.65239305,-0.8370848,-1.27223543,-0.98692412,-0.54728482,0.02506019,-0.65360228,-1.08821309,0.38482932,-0.70435544,0.08727721,-0.58975707,-0.41183728,-1.66144102,-1.31482746,-0.40721092,-1.58635028,-1.98458137,0.0114242614906236
"O00592",-0.2934358,0.34534211,-1.24898752,-0.61999558,-0.06975974,0.11938102,-0.66477608,-0.2785299,-1.38113237,-0.19029206,0.22514628,-0.3732764,0.36942262,-0.64912892,-0.52577503,-0.2774462,0.11512638,-0.92219443,-0.37191336,-0.26284549,-0.53917585,-0.62926789,-2.07844506,-1.42240739,-0.15303361,0.949930958368481
"O00629",-0.7816538,-0.1209587,-0.4170315,-0.2869377,0.3609669,0.3573506,-0.5308393,-0.2436965,0.0462754,-0.7677503,-0.5507053,-0.4072034,-0.3272685,-0.3831261,-0.4657303,-0.1380453,-0.8178161,-0.3345702,-0.6935114,-1.2248037,-0.1368125,0.1187817,-0.3067402,-0.5133735,-0.930911,0.435789557905652
"O00764",-0.06699842,0.22246482,1.00433209,1.1512874,1.18463492,0.89870214,0.85095305,0.82464014,0.78785865,0.75128232,0.91752248,0.80780161,1.39723649,1.1175838,1.20871429,0.21193884,1.71788951,1.12525264,0.98623211,1.22439446,1.51586337,1.48481641,1.15144794,0.95708746,0.8355023,0.47538230592372
"O14498",0.576373006,0.000762565,0.389224119,0.575392729,-0.762182035,-0.370978499,-0.666830858,-1.136108608,-0.408462478,-0.774397657,-1.620355269,-0.871201978,-0.52563054,-0.456818348,-0.446592139,-0.318255151,-0.718750917,-0.103788683,0.182641393,-0.472701556,-1.022769547,-0.476454607,-0.640813678,-0.585729887,-0.115397769,0.0159470110690919
"O14531",0.6771625,-0.39669818,0.8491564,-0.27759832,0.16711962,0.38110273,-0.25177492,-0.41823033,0.14762414,-0.45475844,-0.37369191,-1.31685023,-0.02370559,-0.41333721,0.67344234,0.79287061,-0.35170416,0.33118778,0.50759476,1.00016709,-0.66341557,0.0214018,-0.27531776,0.16072313,-0.93710985,0.795971244741589
"O14548",-1.244580029,-0.423357873,-0.098892493,-0.587810899,-1.13638605,-1.509298628,-0.855777362,-0.673419636,-0.973918965,-0.913761589,-1.413386911,-0.061999027,1.494997412,-1.699529849,-0.574068849,0.131023858,0.005917639,0.031470868,-0.572725319,-1.369980024,-1.790039668,-1.544648911,-0.869218292,-1.415108713,-0.926696719,0.0886271836698644
"O14558",-1.0440439,-0.30236497,-0.71161275,-0.44419924,-1.24141597,-0.02579789,-1.12364948,-0.7939807,-1.26177211,-1.63381124,-0.71750133,-0.1870479,-2.32451125,-0.38595262,-0.23729716,-0.87666338,-1.97764969,-0.99461294,-1.26210783,-1.84854297,-0.89838413,-0.63788626,-0.65228823,-0.51550457,-0.64613545,0.0264984869152919
"O14579",0.041992359,-0.021822599,-0.587145066,-0.967052032,0.092243719,0.441000519,-0.005360365,0.420608665,0.166118796,0.048262951,0.265586179,0.542582638,0.132374357,0.392296522,0.003832711,-0.523280828,0.372609383,0.239410125,0.163710307,0.085653586,0.475198261,0.131962774,0.153083068,-0.408852184,-0.037572596,0.127359834864989
"O14617",-0.27493761,-0.77051722,-1.30128439,-1.62814377,-1.19743464,-0.20803902,-0.62384309,-0.14418411,-0.68081676,-0.70690538,-0.17535384,-0.43297462,-0.59266825,-0.11636459,-0.88384611,-0.16472243,-0.25254113,0.01935861,-0.71652814,-0.08392865,-0.66250618,-0.4440221,-0.25834164,0.0508805,0.10656189,0.0664375871891022
"O14618",-0.36167415,0.13193381,0.13299061,-0.40455808,-0.05106965,-0.22404147,0.03219751,-0.40742039,-0.69653321,-0.64638525,-0.31571281,-0.444914,-0.72999821,1.619205,-0.49846354,0.05711938,-0.17532402,-0.01014409,-0.29818023,0.26563654,-0.37360755,-0.95941098,-0.39965325,-0.92154637,-0.5372524,0.351307862644409
"O14639",-0.06347745,-0.85157265,0.35076596,0.47298287,0.9180407,0.442872,0.02540073,-0.15692839,0.80695477,-0.08868817,0.02023693,-0.86427549,0.31271566,-1.00084223,0.27754589,0.68269033,0.98730614,-1.61013997,0.30136986,-0.22254686,1.41290319,0.7488015,0.80445956,0.81776809,0.00590024,0.651455145346187
"O14683",0.41414658,0.69731952,-0.38044452,-0.22986922,-0.94907433,-0.31422665,0.33866805,-0.21767083,-1.08625603,-0.23806309,0.32899963,-0.33266271,0.04553893,-0.26114279,0.29648198,0.02088285,-0.6677683,-0.13093981,-0.51433632,-0.93268544,-1.54412387,-2.14989048,-1.22206229,-1.69556948,0.61193932,0.247722960658905
"O14737",-1.400295259,-0.474352804,-0.687650635,-0.598648228,-0.973191821,-0.741144711,-0.49347545,-1.605834279,-1.921261241,-2.123742778,-1.074363252,-0.82726944,-0.388258284,-0.379377007,0.055333971,-1.693530896,0.063069984,0.005742494,-1.254119115,-1.527982882,-1.210353737,-0.925121529,-1.565783751,-1.128285463,-1.823167255,0.0108655013883708
"O14744",-1.305450767,-0.306654384,-1.087621674,-0.358241307,-0.338751193,-0.281636623,-0.297057641,-0.457751375,0.041553522,-0.68753718,0.049039974,-0.703182899,-0.564045783,-0.224681133,-1.300685488,-0.280839916,-0.27966853,-0.006316013,-0.285939205,-0.026103043,-0.357397164,-0.210739087,-0.225047677,-0.291686954,-0.395240796,0.435800940390657
"O14745",-0.046641732,0.020232964,0.087701358,-0.006622325,-0.278027459,-0.817775761,0.036804768,-0.367773788,-0.982008409,-0.246457292,-0.42708904,-0.585481964,0.988178405,0.466782647,0.156715215,-2.077951627,0.535374914,0.178294125,0.18493778,0.492489844,-0.165040625,-0.68294643,-0.568527807,0.324373639,0.07843857,0.164270227552355
"O14773",1.5493117,1.6972073,0.9345493,1.5769498,1.4107072,1.2331874,0.6575055,1.1430651,0.612385,0.6398903,1.2303704,1.1410745,0.7932517,1.3583649,1.3138045,0.21366,1.0728996,1.43441,1.0662762,1.5178748,1.1778061,1.0313886,1.0573352,1.0652906,1.1766745,0.285719410859592
"O14786",-0.85903045,-0.84475068,-1.84151704,0.18277924,-0.57588405,-1.90305729,-0.61445433,-1.10597943,-1.61998539,-1.549117,-1.27928066,-1.32685922,-0.87985517,-0.243369,-0.6663107,-1.21280255,-1.62841865,-1.13902481,-0.70295125,-1.20900111,-0.59971231,-0.05890189,-0.83134525,-1.01431408,-0.69008204,0.81321478227386
"O14787",-0.22859098,0.25506978,-0.75758356,-0.19431961,-0.60840636,-1.90318764,0.14068686,-0.16451198,-1.21988004,-0.55409217,-0.55660187,-0.74990715,-0.09139988,-0.18613221,-0.63006769,-0.10304656,-1.06686147,-0.31265512,-0.92071635,-0.72133324,-0.07103615,-0.57585732,-0.43473363,-0.15090086,-0.34062549,0.414480067027805
"O14818",0.6823783,0.8472832,0.5564449,0.2990303,1.020703,1.0794256,1.0221137,0.800307,1.3972654,1.0656319,0.8540862,0.9736044,0.9595912,0.8698773,0.9642352,0.7425861,1.5225435,1.0757667,1.2155829,0.8531357,1.2023983,1.1026648,0.8652838,0.5376509,0.978543,0.0988640606236019
"O14828",-0.0418258,0.1804957,-0.16700388,-0.42645036,0.16153608,-0.68476349,-0.26733437,0.25305933,-0.76274047,-2.62210961,-0.66080711,-0.63633514,-0.02384201,-0.25900864,-1.6582424,0.25496247,-0.80136559,-1.95829929,-0.07634467,0.10795405,0.01127881,-0.68396589,-0.65317706,-0.41505167,-0.64594004,0.115628853576585
"O14841",-0.9566376,-1.4890986,-1.9729884,-0.1710242,0.6861858,0.1112197,-0.2863945,-0.8552618,-0.771877,-1.5708314,0.1105408,-1.2313981,-0.27563,1.619205,0.2413283,-0.8178118,-0.6560632,-0.5481183,-0.2785233,-0.9154079,-0.3259779,-0.1386709,0.0840113,-0.5825719,-1.5130605,0.257038645187414
"O14880",0.72769294,0.73209458,0.58215453,0.51710615,0.16728771,-0.42060558,0.40650419,0.49973373,0.14858279,0.22574668,1.06586799,0.86005968,-2.98827711,-0.30639338,0.34187085,-0.41674588,-1.39095716,0.25702916,0.4270572,-0.52871968,-0.19019061,0.40728886,0.35963626,-0.01530568,0.38907062,0.00369798306694416
"O14907",-0.93902841,-0.37977802,-0.99563308,-0.48564766,-0.10163216,-0.04919255,-0.07201771,-0.43674406,-0.21049645,-0.27499764,-0.48670971,0.04562513,0.56812778,-0.35671475,0.04994911,-0.36127928,-0.2790823,-0.13959276,0.05280997,-0.53426912,-0.10694818,-0.02906195,-0.23381533,-0.76528658,-0.40235206,0.144809536851471
"O14936",-1.0169136,-0.5564532,-0.849826,-0.1717457,-0.7582919,-2.1125515,-1.1227494,-1.5619255,-1.2148168,-0.5547856,-1.2181674,-1.2827631,-0.8048907,-0.3001809,-0.5018875,1.6651249,-1.0283556,-0.8248474,-0.722088,-1.1757186,-0.6562514,-0.2063862,-0.8149138,-0.2766936,-1.3313811,0.324884324469184
"O14949",-1.690332,-0.40222743,0.40229299,-0.46532409,-0.79929804,-2.45819412,-0.93863765,-0.17913186,-0.14653544,-0.62766423,-0.87059286,-0.01819279,-0.16127993,-1.78228213,-0.48141592,-0.81274733,-1.34186919,-0.61066299,-0.91963923,-0.68828499,-0.56181186,-0.39582307,-0.63112387,-1.73931523,-0.87261381,0.124500492176291
"O14964",-1.012180376,-0.959601543,-0.274597423,0.084012093,-0.620135587,-1.199584694,-0.520934372,-0.221073036,-0.472869967,0.142928888,-0.199269996,0.101724633,-0.391940422,0.005180248,-0.363781078,-0.03522166,-0.487924433,-0.225734824,-0.183668723,-1.561799169,0.456477166,0.195620704,0.18841191,-0.256222964,0.031263599,0.748009764974826
"O14974",-0.29955263,0.82801163,-2.733166,0.16457856,0.03971707,-0.50545402,0.24044787,-0.27177577,0.13874677,0.41183689,-0.4256588,-0.79880213,-1.39969243,0.38568571,-0.22228037,0.01486159,-0.73265912,-0.8434823,-0.30560676,-0.36594412,-0.02285104,-0.17377072,0.17578616,0.48456653,0.12486995,0.757551818800441
"O14979",-0.8786987,-0.4325568,-0.5220259,0.8223888,1.1187322,0.3982036,0.4151912,0.8179078,-0.5553228,0.3660912,0.8485334,0.6816928,0.2353764,0.4420915,-0.2067073,-1.426871,1.2434866,0.3657737,0.8987534,0.6530863,0.8674051,0.30374,0.3527515,0.4015468,0.2255945,0.414007518567923
"O14980",-0.5613217,-0.00797364,-0.08276391,1.12644293,0.96196672,0.98586422,0.86601551,0.64955311,0.36307396,0.62372517,0.74944349,-0.08698012,0.77879444,0.87685422,0.69314561,0.69146231,0.37696847,0.30624404,-0.85391522,0.56722408,0.77181928,0.82374251,0.50909784,0.85804145,0.38949929,0.6317341390369
"O15020",-0.3989306,-1.51572325,1.11601922,-1.22057643,-0.31141077,-0.3613281,-0.74066508,-1.94661308,-1.34646927,-1.15189374,-0.46968353,-1.58548194,-0.2902504,-0.50302324,-1.55006338,-0.53490613,-0.03542599,-0.44433178,-1.88882905,-1.10112284,-1.09997612,-1.44152129,-0.44011972,0.03490928,-1.10023374,0.730210614879374
"O15031",-0.327,-0.0879,-0.525,0.0675,-0.568,-0.614,-0.289,-0.478,0.0217,0.42,-0.213,-1.06,0.0477,-0.582,0.133,0.546,-0.886,-1.39,1.76e-11,-0.452,0.138,0.0327,0.538,0.742,-0.111,0.965553269803749
"O15042",0.07930599,-0.3748239,0.50620528,-0.5758209,-0.66819542,-1.44023714,-0.15862914,-0.8353064,-0.2584363,0.36816166,-0.26852912,-1.09082211,-0.27249024,-0.80639341,-0.47782826,-0.53895985,-1.95783148,-0.54830972,-0.51076349,-0.65720924,-0.03077864,-0.9407249,0.56467467,0.08790444,-0.57579197,0.377370870617533
"O15067",0.18751491,-0.397072832,-0.891546198,-0.179622145,0.176182256,0.0899192,-0.058476788,-1.058984318,-0.976864965,-0.494710494,0.216518418,-0.537812181,0.008765658,-0.223025066,-0.751371799,0.510085753,-0.070528605,0.157795879,-1.000574117,0.007888592,-1.405370311,-0.424647505,-0.2430838,-1.528936852,-0.67695726,0.71928600211599
"O15075",-0.693566049,-0.800861643,0.417439523,-0.681778066,-0.61495666,-0.417650656,-0.117932239,-2.234516107,-0.390253032,-2.226571335,0.43837945,0.006197448,1.578689687,-0.222745166,0.722483131,-0.765421533,-0.59543017,-0.33264417,-1.133719777,0.090096631,-1.933937666,0.096910013,-1.24581471,-0.304324694,0.263723229,0.850120621576505
"O15126",-0.686988,-1.7811504,0.2634763,-0.1771782,-0.3715537,-1.2305408,-1.1062835,-0.1765247,-0.6477051,-0.4794005,-1.0163698,-0.3987358,-0.2897719,-0.5858257,-2.043298,-1.1877018,-0.2378858,-0.5624267,-0.3429052,-0.5953513,-0.3476857,-0.5143626,-0.8016018,-0.6041936,-0.3334245,0.892418539346033
"O15143",0.1284009,0.6511098,-0.7307517,0.3894411,0.3484264,0.8039655,0.7304815,0.9134926,0.6526316,0.7797608,0.5701995,0.8502998,0.7192796,-1.0087366,0.84721,0.8605696,0.9522912,1.4367461,0.3732892,0.9793067,0.9449364,0.79821,0.8300131,0.4039431,0.8457907,0.29425481412844
