"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"O00299",0.1611819,0.09366957,0.26981526,0.67406519,0.93646896,0.9545189,1.11164609,1.11678856,1.07842364,0.67963303,0.67897411,1.10282049,0.95374252,1.10147359,0.99054235,1.17604628,1.22693624,0.96752377,0.73283567,0.86565345,1.14019073,0.97109604,1.29155128,1.11638086,0.87561631,1.08442565,0.36298079,0.94034493,0.88179359,0.265139894127256
"O00303",0.0395578,0.27932452,-0.07661652,-0.18265828,0.08325552,-0.36285364,-0.01268319,-0.08291621,-0.75397696,-0.1753983,-1.17936062,0.10492198,-0.17280115,-0.2716756,-0.45436775,-0.19789442,-0.0395436,0.20507173,0.18834124,-0.51019245,-0.33735004,0.22127714,-0.14412909,0.37203796,0.67073009,0.0746268,-0.21561673,-0.60573436,-0.04748886,0.928326143986252
"O00410",0.209208238,0.425587516,-0.237416705,-0.959497686,-0.475639191,0.072835867,0.092184829,-0.562086696,0.458254628,0.391964696,0.120806772,0.255253838,0.51705529,-0.18395388,0.285389203,0.185729463,0.215806134,0.397038658,0.647563362,-0.157650668,0.146491681,-0.000525348,0.125447587,0.445072498,-0.371673204,-0.363763656,-0.639398158,-0.220540239,-0.090864289,0.252651720284149
"O00429",-0.024639607,-0.016190167,0.523967317,0.004002801,-0.189759137,-0.256211058,0.068288992,-0.535179285,-0.294031705,0.238546421,-0.638559559,0.071646556,0.041296862,0.329967674,-0.516954899,0.069362622,0.338670458,-0.211519716,-0.038129515,-0.027698156,-0.083220547,0.151268293,0.192554727,0.041655294,-0.598581498,-0.207436476,-0.037626558,0.110522657,0.269309148,0.639837404085631
"O00442",-0.10781284,-0.54887272,-0.69090014,-0.70320829,-0.54269798,-0.95000891,-0.6976126,1.89314108,-0.53100747,-0.62862362,-0.70954061,-0.67004214,-0.83805229,-0.78288489,0.02922184,-0.37728117,-0.20931402,-0.54545319,-0.37942269,-0.62667743,-0.63415671,-0.450851,-0.26890899,-0.37818633,1.23052229,-0.23076484,0.314316,-0.29471246,-0.17028099,0.965035296553167
"O00461",0.091598434,0.290851778,-0.09612997,0.068958702,-0.18687012,0.141665215,-0.479124536,-0.325566519,-0.112785231,-0.405497922,-0.669835512,-1.259240391,-0.392332572,-0.324174941,-0.393614482,-0.535783297,-0.002137506,-0.121844393,-0.906592634,0.40656519,-0.708813,-1.026732082,-0.306439278,0.085111207,-0.342378627,-0.218398494,-0.645511155,-0.29761754,-0.173049334,0.016589060006789
"O00468",0.43021608,0.5701967,0.38238518,0.61544196,0.83820334,0.16481982,0.35283145,-0.70702311,0.93093086,0.70900313,0.27156693,0.25292456,0.15553386,1.0022633,0.24458201,0.49802844,0.80899638,0.68383,0.74327677,0.37441114,0.5379401,0.37118112,0.40894308,0.62121168,0.51600401,-0.03832475,0.28114959,0.79241705,-0.01017837,0.731740932986949
"O00469",0.1362096,0.3535888,0.546061,0.387724,-0.1094225,0.5700482,0.2273136,0.2368786,-1.9576395,-1.5633304,0.2452928,-1.7156375,-0.7750256,-0.5982654,-0.1585704,-1.2124306,-1.1660049,-0.9988204,-1.7514829,-0.8839323,-0.6010739,-0.7451372,-1.0134444,-0.6892715,-0.8145582,-0.3937192,-0.2458788,-0.5047972,-0.1055653,0.0290486823628213
"O00483",-0.53998481,0.12263626,-0.0755642,-0.38511255,-0.43443635,0.10141495,-0.03460172,-0.07399218,-0.63122391,-0.72707565,0.18910494,-0.24812636,-0.87454667,-0.68706413,-1.08820579,-0.60616362,-0.35091269,-0.37264276,-1.91966076,-0.38685935,-0.43950469,-1.03278201,-0.70454308,-0.70094187,-0.61295145,-0.69711521,1.81969432,-0.53864864,-0.56739927,0.064350914936977
"O00487",-0.11193053,0.19335858,-0.5951519,-0.33643189,0.12033998,-0.28637748,-0.25307629,-0.1827348,-0.16518919,0.03666149,-0.34042771,-0.18947389,-0.30778399,-0.21907805,-0.12043376,-0.35160208,-0.13707964,-0.43986737,0.07004206,-0.26314303,-0.24015395,0.08828371,-0.27572123,0.01206519,-0.57442187,0.29463857,-0.01402469,0.44918144,0.04391731,0.550934700701502
"O00499",-0.529214501,-0.543620528,0.251972658,-0.350727062,0.001144368,0.774035157,-0.358900033,-0.244900267,-0.112245421,-0.071597177,0.104832416,-0.200498889,-0.184700039,-1.177817088,-0.27267971,-0.014521663,-0.70538858,0.550929059,-0.007915036,-0.080250227,0.064691414,0.141599751,0.02743944,0.521058493,-0.430289679,0.244263113,-0.033511166,-0.016380336,-0.082704206,0.962379189563404
"O00505",-0.3786544,-0.6078168,-0.6939368,-0.4942903,-0.7481506,-0.3946213,-0.3859424,-0.7945073,-0.3281391,-0.7618055,-0.7972256,-0.5743106,-0.3356406,-0.7518329,-1.2106623,-0.8255311,-0.6811773,-0.4361948,-0.5291391,-0.8136841,-0.9398019,-0.7495211,-1.0932652,-0.3720366,1.2305223,-0.3776491,-0.6834775,-0.5788344,-0.1357755,0.908174043015557
"O00534",-0.71057348,-0.98615647,-0.88350732,-0.60878462,-0.34088144,-0.24969064,-0.44788517,-0.36469162,-0.4853589,-0.72975993,-0.11788355,0.04533542,-1.36885459,-1.13953473,-0.54750458,0.11941036,-0.67775532,-0.46458023,-0.74282973,-0.6658937,-0.57521074,-0.74818425,-0.27696279,-0.92235556,-0.64448677,-0.20074226,0.57731285,-0.66610316,-0.3830496,0.775676997500665
"O00560",0.4492478,0.415289936,0.000702401,0.632235278,0.063226621,0.101414361,-0.463141923,0.23084188,-0.319224279,0.014531797,-1.023906553,0.051446938,0.173705988,-0.354007184,-0.248007106,0.182210386,0.058144224,-0.200524331,0.411422344,0.078389223,0.242178938,0.188005524,0.258916218,0.111702011,0.165714305,-0.878951376,-0.352250928,-0.857733163,-1.131024014,0.1656863647141
