"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","t_test_p_value"
"P24158",0.663725376,-0.295189178,0.037605405,-0.182055628,0.009318559,-0.368926821,0.196357498,0.341713734,-0.417541343,-0.470355765,0.433552775,-1.403770218,-0.776839087,0.268805352,1.516613414,-0.967449933,-0.975138338,-1.269817483,-1.129301541,-0.5072507,-0.88270203,-0.718525336,-1.057542037,-0.177749638,0.313897946,-0.036570452,-0.233799558,0.107668397,-0.014668726,0.106407086789303
"P24534",0.19267799,-0.21602689,-0.52569304,-0.64695981,0.60029435,0.08789452,0.58597633,0.62505998,0.3846533,0.32103064,0.33418492,0.13850968,0.69825338,0.30793285,0.37458133,0.35062538,0.05807761,0.45620266,0.6862764,0.69871482,0.03759604,0.24955183,0.33252245,0.48259226,0.02442866,0.93561325,0.25616167,0.4320912,0.90089894,0.166914489447224
"P24539",0.8789616,0.9188697,0.3686317,0.7236742,1.6863347,0.1934086,0.810708,-0.9755647,0.559235,0.7956648,-0.1149067,0.810006,-0.7713993,0.9203428,0.5086874,0.5774394,0.8929717,0.9154546,0.8883395,0.9612871,0.6792555,0.9260189,0.7165469,1.3256915,0.3585006,0.6086569,0.5224622,0.8907507,1.0323698,0.644390532821432
"P24557",-0.3040161,-1.35465597,-0.24273255,-0.23370624,-0.50622726,0.20909748,-0.09453486,0.27060001,-1.34488693,-0.17452558,-0.15474856,-0.63145825,-0.60754112,-0.9337216,-0.62737353,-0.7085778,-0.34045983,-0.28885498,-0.1868742,-0.14332151,-0.2505382,-0.68748334,-1.24328596,-0.22502558,-1.17006708,-0.28475431,0.4227036,0.09818985,-0.22267811,0.980999363847161
"P24666",2.50642648,-0.26917486,-0.15110942,-0.24096275,0.01320888,0.14584755,1.16850242,1.73241626,1.41385817,-0.30099111,1.52455327,-0.02904287,0.01656708,-0.31956262,0.32350007,0.26558232,-0.06780223,0.3812649,-0.41746272,-0.15575315,-0.09102125,-0.77777129,0.12177629,0.287507,-0.94472862,1.12586132,-0.72301295,1.67610004,0.24345205,0.284728999748012
"P24752",0.96173655,0.945137289,0.780337301,0.864150668,0.836106261,0.384063573,1.012480769,0.642333393,1.070541802,0.62228341,0.651562177,0.829454461,1.198784469,0.571701136,0.903260569,0.851540182,0.705600199,0.970014489,0.936830156,0.809743882,1.336435989,0.812309556,0.863798455,0.667159433,0.466191182,0.914646227,0.009092378,0.764424024,1.155602814,0.884100417513962
"P24821",-0.29774542,-0.2923168,-0.79516834,0.35202501,0.95669548,1.88218844,1.55490057,1.64864268,-0.41922365,-1.29781416,-0.2974983,-1.23913103,-0.82719559,-0.76737737,1.23322217,-1.38196543,-0.26101253,-0.37576163,-0.17617513,-0.33054465,-1.20461905,-1.48185115,-0.65189265,-0.58817968,-0.02946889,-0.50329456,0.53162001,-0.73049927,-0.48342687,0.0168359615906236
"P24844",-0.1099498,0.3906538,0.69161752,1.07682026,0.95102924,1.09230308,-1.34433478,0.04489093,-0.43555949,-0.65922791,0.56244841,-1.10794081,-0.50884202,-0.42315457,-0.73278351,-0.51090868,-0.61982684,-0.53538201,-0.64273898,-0.91072485,-0.28127789,0.11016533,-0.38226498,-0.70981479,0.39171079,-0.41707093,-0.71965633,0.29956127,-0.90690815,0.0458446748521401
"P25311",0.28749983,-0.40559767,-0.55038603,-0.16680717,0.20752442,1.37543007,1.18842154,1.2475105,0.12078705,0.34440031,1.52717831,0.42218164,-0.29049867,0.64677047,0.23471544,-0.14931538,0.98315243,-0.31632696,-0.11141815,0.3059506,-0.06198191,-1.14047782,0.35714943,-0.56548863,0.30533323,0.2046164,-0.28193071,0.71537789,-0.22296797,0.465258206952477
"P25325",-0.43580989,-0.14274758,-0.340990303,-0.18683467,-0.168139757,-0.529326701,-0.727726059,-0.203293923,-0.378989098,-1.508050313,0.55419456,-0.284295423,-0.451548761,-1.82441007,-0.582808311,-0.656026192,-0.846797006,-0.136487279,-0.55640117,-0.761950892,0.02224744,-0.073470922,0.007126927,-0.481847886,-0.5190418,-0.098161337,1.819694317,-0.777177341,-0.062428475,0.886386710023116
"P25398",0.8460983,1.0208231,0.4715236,0.973951,1.2818234,1.0649421,1.0830639,2.0164027,1.0133826,1.0250101,0.7370397,0.9839333,1.0724504,1.0443033,1.1254893,1.0773783,1.0665659,1.2430062,1.3835772,1.1197227,0.8832033,0.9750621,0.7312052,1.1084059,-0.1576246,1.358454,0.2743323,1.4631535,1.4033303,0.506042012882083
"P25685",0.001600301,-0.592473735,-0.154778236,-0.204381057,-0.536661738,-0.519499943,-0.43569174,-1.192123579,-0.384027955,-0.281797551,-0.506046329,-0.013710013,0.072729484,-0.425799258,-0.503309813,-0.297406169,0.142914166,-0.975897641,-0.206740347,-1.100074905,-0.086870237,-0.177332101,0.031206456,-0.629568822,-0.900089889,-0.328299539,-0.166344451,-0.372696787,-0.236461942,0.277356038870935
"P25705",2.042507,2.114667,2.063184,2.114674,1.874951,1.637749,1.895128,1.438002,1.748847,1.768897,1.328884,1.73855,1.592186,1.734863,1.611493,1.494845,1.701294,1.746707,1.619323,1.75492,1.918323,1.673041,1.625827,1.587325,1.639791,1.908577,1.094222,1.987126,2.040396,0.0891040329886653
"P25786",0.03699055,-0.60324535,-0.82740492,0.33488026,0.55667629,0.44271851,0.62279685,0.44650542,-0.19560686,0.45597797,0.40213438,0.60455412,0.06674791,0.3340916,0.58605056,0.44021099,0.54213821,0.45646764,0.5100429,0.56551083,0.48114507,0.51157065,0.31791256,0.22198966,0.20187595,-0.40599647,-0.04961172,0.7670909,0.3296596,0.228650065659087
"P25787",-0.03334196,0.11878557,-0.06308483,-1.02319417,0.59155993,0.21926709,0.31203861,-0.26585488,0.2491897,0.30363419,0.82129993,0.20997659,0.02713225,0.39011079,0.32255396,0.59207263,0.2111325,0.55743644,0.06098085,0.4798605,0.18982854,0.11776566,0.12119529,0.49942412,-0.01224156,0.52323154,0.09333126,-0.5792852,0.31882905,0.219668940985178
"P25788",0.05907528,-0.15118441,-0.32258032,-0.10791829,0.23853214,0.26286335,0.21243032,0.05330757,0.02530329,0.06455319,-0.27224624,0.10514182,-0.25664237,0.02458049,0.34829552,0.05703504,0.1003234,0.31910275,0.16047576,0.3306561,-0.92029703,0.16991165,-0.11775889,-0.12764883,0.0925485,0.55636588,-0.23411915,0.07974875,0.45505393,0.845532897486282
"P25789",0.154,4.31e-11,0.085,0.286,0.398,0.562,0.432,0.579,0.0841,0.37,-0.0396,0.295,-0.574,0.31,0.471,0.0607,0.221,0.0572,-0.0267,0.34,0.271,-0.00416,-0.599,-0.0527,0.00785,0.423,-0.493,0.454,0.606,0.0889762013353835
"P26038",1.0221429,0.9983828,0.9535845,1.2469588,1.6018473,1.6710115,1.550087,1.2429799,1.4876691,1.5157954,1.2183291,1.5231624,1.4218786,1.3335465,1.6959238,1.7485654,1.5012872,1.4056189,1.2359103,1.4725144,1.510511,1.155113,1.7690324,1.5735042,1.5601643,1.5625723,1.0280281,1.4326916,1.5892729,0.290615577738552
"P26196",0.155971013,-0.79401043,-0.694406396,-0.537193866,-0.46453501,-0.645298294,-0.459547655,-0.013645924,-0.408184785,-0.150115511,-0.142481748,0.201573892,0.458566835,0.063854206,-0.602935276,0.099716753,0.325231932,-0.128774217,0.0990908,-0.092585365,-0.051039849,0.125605014,0.001151263,0.02459117,0.562439443,-0.193255779,-0.464973178,-0.66031811,-0.16483841,0.000498321037144957
"P26232",-0.48080359,-0.64462478,-0.54615724,-0.71887704,-0.56345543,-0.48974965,-0.20826015,-0.18301261,-0.63084427,-0.45198883,0.23012994,-0.13179969,-0.31086737,-0.48951744,-1.56967929,-0.07963129,-0.32476105,0.0188844,-0.14835553,-0.3462262,0.04084258,-0.09501094,-0.01816609,-0.10319441,0.14136534,-0.26736291,1.81969432,-0.3025914,-1.28425467,0.0601327722269138
"P26368",-0.25230232,-0.12737968,-0.385873,-0.15030861,0.24006903,-0.04125963,-0.80535061,-0.07188992,0.42176532,0.18544829,0.12389474,0.11958121,0.89303036,0.38663396,0.54123861,0.22579363,0.10367518,0.39978151,0.54947456,0.28572886,0.56404465,0.51954781,0.15603789,0.16066487,-0.19349206,-0.01850686,0.42778179,-0.1267656,-0.01864005,0.0256135088701208
"P26373",0.35282692,0.57522362,-0.18033433,0.06711657,0.1279694,0.88211002,-0.04148236,0.438507,1.01684548,0.76029356,-0.11354519,-0.11231868,-0.33919246,0.41833573,0.86358153,0.14035472,0.38161988,0.90542944,0.4629148,0.48908048,0.0127863,0.80679055,0.04534998,0.71497506,0.19424569,0.8830091,0.29710592,0.58041768,0.71303185,0.805790030223924
"P26440",0.985344614,0.771145047,-0.140771079,-0.056954689,-0.35270352,-0.372541429,-0.149111414,-0.113630071,0.143726167,0.356859875,-0.432467622,0.201573892,0.042998047,0.122120436,0.337253543,-0.195630073,-0.091210793,-0.043692147,0.235491735,-0.308304413,-0.044998493,0.239167127,-0.007011462,-0.071343747,-0.039909748,0.411346089,0.159539385,0.12718694,0.755436359,0.411820134256214
"P26447",0.06326618,0.28844511,0.63232019,0.75515798,0.12767945,0.95995275,0.37561528,1.07229295,0.38771271,-0.38466994,0.63663821,-0.06335285,0.16811564,-0.03923002,0.59267499,-0.28189111,-0.12209659,-0.15284366,0.13974609,0.61370122,0.8062174,-0.59703834,-0.97954691,0.09487361,0.47958658,0.14308004,0.57842353,0.23825664,-0.3162595,0.00544459821079433
"P26583",0.4210615,0.2615155,0.7825457,0.6473884,0.6048882,0.3960745,0.657856,-0.308457,0.3966404,0.3857647,-0.3756148,1.0382146,-0.2817455,0.4687015,0.8916388,0.3769567,0.8108445,0.4504109,0.6746429,0.9594238,0.3912626,0.481485,-0.5529875,0.1037346,0.8027163,0.7553524,0.2767257,0.4143681,0.7214001,0.950487882201729
"P26599",0.2050235,0.3100915,-1.658761,-0.6389227,0.8223963,0.5183896,0.6631208,0.4940574,0.8807066,1.0441497,1.1467257,0.9015051,1.535447,1.0953049,0.5970478,1.1154114,0.9562376,0.9674277,1.0424766,0.9470871,0.9176951,1.0023458,1.0675502,0.9514915,0.2128144,0.7970945,0.2527509,0.6495178,0.43408,0.0584117956290072
"P26639",-0.837549714,-0.37723597,-0.629005195,-1.010621574,-0.334486038,-0.089912111,-0.173044548,0.058879818,0.350700244,0.427587688,0.159441207,0.126582938,0.493920598,-0.050077345,0.281279655,0.031424155,0.290183635,-0.004525575,0.172259613,0.171388949,-0.009116639,0.049526556,0.220378377,0.465963392,-0.103931144,0.037691537,-0.236865353,-0.162671705,0.131965339,0.0312809925578638
"P26640",0.27506644,-0.15418879,-1.38222921,-1.21171145,0.44650481,0.18088442,-0.2152974,0.16222554,0.67030977,0.53387348,-0.20124578,0.19486856,0.69873663,0.41257978,0.64228718,0.36070967,0.44783562,0.46894701,0.20281697,0.37369239,0.63854122,0.47174329,0.07424109,-0.065375,0.39037178,0.48917473,0.056569,0.37676853,0.58220303,0.0786125273772855
"P26641",0.6680236,0.5209586,0.2679824,0.1386642,0.9963089,0.9815009,0.9019514,0.817977,0.9905761,0.8531143,0.5431812,0.9184078,0.9323352,0.786688,1.3300989,1.0212428,0.6528993,1.2353999,0.9799197,1.1221544,0.8840549,0.9717353,1.0865349,0.9186604,1.2355311,1.4900143,0.358274,1.0712166,1.2261936,0.0666865372286573
"P26885",-0.417936179,-0.01188321,-0.084079881,0.140173185,0.377564312,0.373790032,0.510529138,0.336181145,-0.110788634,0.150383013,0.366870712,0.491099079,0.335809059,0.443283923,0.22232479,0.322957645,0.573640178,0.433831479,0.209816975,0.217442427,0.006148353,0.540009406,0.262710128,0.186451605,0.653342821,0.078053142,0.038035237,0.219757431,0.403671528,0.242286357885835
"P27105",0.30281674,0.17410099,0.49671789,0.16742525,-0.0782425,0.69680008,0.29401613,0.88291712,0.27279634,-0.29763408,1.36039252,-0.14382325,-0.21241293,0.28486192,1.04481025,-0.62716996,-0.27206941,0.18616631,0.59263524,-0.02661691,0.57419574,-0.38147104,0.22776436,0.45782297,0.26956175,0.44209002,-0.1367972,-0.04113241,0.66238586,0.30416815753984
"P27144",0.757638013,0.625726639,0.26495279,0.840548006,0.32912988,-0.364562889,-1.204230182,0.006419829,0.320397504,0.245805117,0.963958951,0.293412994,-0.111522037,1.094161877,-0.148617612,0.179942524,1.095644048,-0.249951771,0.354020249,0.114709448,0.289264369,0.431832927,0.808044447,0.404949311,0.091116036,0.237668184,0.134210509,0.412236245,0.47798923,0.322290042519356
"P27169",-0.18995077,0.03422371,-0.7758402,-1.49117653,-0.66204351,0.61758579,0.74072691,0.79208913,-0.94732487,-0.69588288,0.72145099,-0.82027777,-1.02388802,-0.57885935,-0.50434816,-0.64417598,-0.49556056,-0.96050793,-0.91925391,-1.00436814,-0.05939394,-0.63906134,0.01398998,0.16216462,0.07581604,-0.41940967,-0.44292687,0.36887248,-0.25345252,0.568075685549505
"P27348",0.4857598,0.5327375,0.314374,0.6609262,1.4819089,0.8015955,1.2186782,0.6718595,1.4288829,1.1247378,0.857447,1.2994217,1.1256883,1.3228373,1.4733299,1.274961,1.1391534,1.2300791,0.992898,0.5744059,0.7803457,1.1470002,1.4075321,1.1368981,0.3112212,0.9892789,0.7069605,0.6443175,0.7581026,0.470689040717074
"P27361",-0.10072079,0.19142134,0.11775339,0.50426611,0.16228205,-0.14470149,0.16137136,-0.21410396,-0.10451438,0.18083985,-0.52254561,-0.12935395,-0.77139928,-0.23578081,0.18182338,0.06322313,0.13489483,-0.05492711,-0.07688268,-0.62592812,-0.04965807,-0.06203242,-0.14540008,-0.01300962,0.36324128,0.4555748,0.26942055,0.36242999,0.38901604,0.387435165245045
"P27635",-0.04901831,0.08855943,0.27697789,0.19816968,-0.96653594,0.28029503,-0.09338884,0.14514069,-0.02690557,0.31666359,-0.91737229,-0.41297652,-0.85528449,-0.36720284,-0.03319917,-0.22399063,-0.08354374,0.08500732,0.36960863,0.17620148,0.28371888,-0.04828615,-0.84795094,-0.62209685,-0.05238628,0.50951968,-0.95071933,0.13035642,0.1856786,0.394464696631345
"P27658",0.03441021,-1.26487469,0.0963925,-1.14712129,-0.07406229,0.27584128,-0.1489692,0.41234661,-0.5644274,-0.37267303,0.26986197,-1.60001145,-0.38125678,-0.06719409,0.74878889,-0.78935083,-0.75283133,-0.69429997,-0.83851634,-0.91480186,-0.4334141,-1.30687598,-1.64009027,-0.03845044,0.71266697,-0.52564572,0.43246959,-0.900272,-0.56023886,0.5137623687993
"P27694",0.22069625,0.01262013,0.01218863,-0.18697271,-0.3271257,-0.36078101,-0.51441608,-0.19080517,-0.67558777,-0.15171188,-0.59782106,-0.40049549,-0.10047257,-0.18449709,-0.21535258,-0.33725684,-0.17411581,-0.31428629,0.15329183,-0.20047877,-0.20884526,0.15377378,0.05958372,0.04462982,0.17982369,-0.16457205,-0.10593609,-0.05985257,-0.08290333,0.162914486138477
"P27695",-0.23484111,-0.02276214,0.68836527,0.80382545,1.04000678,0.19311655,1.12465775,0.26210636,1.01275301,0.9355586,0.55801921,1.06022849,0.98009725,1.01749577,1.01714515,1.12614032,0.52198685,1.12758289,1.03943304,1.12942122,1.17608468,1.15372956,0.95390935,0.87162107,-0.20523788,0.72280898,-0.15991561,0.69748224,0.59760022,0.338216106026003
"P27708",-1.046210656,-0.39852651,0.043492827,-1.204769682,-0.124496413,0.081171813,0.109946797,-0.09578917,0.22169164,-0.107479162,-0.361598196,-0.231589072,0.281901436,-1.623621744,-0.433505283,-0.090990516,-1.05066732,0.072099539,0.254938034,-0.371258288,-0.581516356,0.270810932,0.056186967,0.425280672,0.718506444,-1.386516015,-0.004034201,-0.124242409,-0.262680466,0.789226223987377
"P27797",1.3015467,1.524103,0.5463683,1.6104201,1.8417349,1.7873098,1.6825555,1.9144337,1.699557,1.9683744,1.7406878,1.7153093,1.7138767,1.7029759,2.1475252,1.8679107,1.8125676,1.7133068,1.6206246,1.8686683,1.9131217,1.6324815,1.9997694,1.8209144,1.0220014,1.6374899,0.3944742,1.9061804,1.3509997,0.574770915162298
"P27816",0.4694238,0.21486728,-0.25089978,0.17220294,0.95697408,0.41379014,1.08342071,-0.04478006,0.46734822,1.06278435,-0.45145389,1.18170455,0.50359041,0.66509326,-0.10355235,1.02169237,0.91927775,0.99176519,0.85872245,1.02100254,0.70250239,0.7042407,0.8104887,-0.42828738,0.10185033,1.33985148,-0.06338,1.03119508,0.77079691,0.225106372867563
"P27824",1.1804373,1.1142684,0.5634671,1.0047743,1.2805788,0.9856759,1.3354288,0.7887489,1.3484864,1.4847919,1.0683304,1.4225839,1.405398,1.8084637,1.5068546,1.3666091,1.819123,1.2284753,1.0590217,1.5452273,1.4512346,1.2740242,1.4490123,1.2025425,1.5763727,1.1707409,-0.3085583,0.7355308,1.0397549,0.146772783736707
"P28062",-0.671912564,-0.074956441,-0.79170875,0.020576467,-0.909458227,0.030541204,0.155799892,0.017380773,-1.678933412,0.03979532,0.107301126,0.129737414,-0.193893446,0.001882369,0.669507168,0.284503749,0.446294117,0.188396287,-0.313804873,-0.096137116,-0.227249539,0.334203609,-0.630450585,-0.005601192,0.492355991,-0.0240001,0.448435947,0.182938874,0.593661852,0.0606717869495743
"P28066",0.232282402,0.017937793,0.395407832,0.004231282,0.494945141,0.245297726,0.55547223,0.508482685,0.373642388,0.367055446,0.311433311,0.614403452,-0.353788514,0.405308139,0.417082863,0.451108007,0.430382082,0.475781941,0.333135393,0.409187827,0.35186728,0.486309405,0.431315373,0.329058004,0.129092814,0.390202841,0.10122488,0.441814714,0.501586198,0.768257749397443
"P28070",-0.21505396,0.21433971,0.140968,0.08517823,-0.17120741,-0.02339227,0.17334206,-0.24445171,0.05149387,-0.10708088,-0.02360956,0.0333152,-0.01358253,-0.04024865,0.09148626,-0.02947352,0.04803606,-0.09462599,0.1373078,0.0580008,0.14648041,-0.02264186,-0.12999214,-0.01260289,-0.04964953,0.49560854,-0.28728783,0.39804134,0.47936079,0.731852200237236
"P28072",0.048420376,0.345668603,-0.291421159,0.223131586,-0.503053551,-0.227167507,-0.338030608,-0.167492197,-0.195606863,-0.020857577,-0.127668151,-0.297164619,-0.40420808,0.060703784,-0.050114964,0.136971668,-0.186339435,0.007402863,-0.117608147,0.344498501,-0.204945939,0.193009884,0.146791755,0.059917865,0.153617926,0.178641012,0.54507097,0.574281644,0.439101,0.090352896772072
"P28074",-0.012628928,-0.27261711,0.530422293,-0.55497317,0.449919721,0.466023608,0.313174713,-0.113918604,0.209764519,0.354373466,0.153108031,0.481307198,-0.632525762,0.279436561,0.334925583,-0.38070992,0.267121644,0.16800785,-0.404425659,0.211183933,0.326559658,0.094114173,0.205314359,0.066484077,0.375038197,0.493381487,0.095132954,-0.009021828,0.035848864,0.986257584923707
"P28161",0.158079934,0.124890693,0.040094238,0.005700289,0.782867604,0.696168796,0.839251144,0.532655131,0.000511919,0.074657497,0.660597373,0.460712172,-0.345813308,-0.072684902,-0.210200719,0.688996453,0.161629641,0.587982592,-0.273414601,0.108148625,-0.085498007,0.596682023,0.487199203,1.075759316,0.072943111,-0.453783598,0.170875142,0.259308429,-0.291013161,0.245239206948032
"P28288",-0.007208002,0.48937724,0.883287897,0.527534855,-0.572005491,0.277122012,-0.349668899,-0.217732079,-0.913751022,0.031568511,-1.369646264,-0.395404118,-0.173628342,-0.395071974,-0.945093617,-0.695352868,-0.756624837,-0.150000993,0.035241473,-0.331927249,0.061173366,-0.714654222,-0.30183,-0.270212607,-0.289773461,-0.695594119,-0.453864847,-0.701027964,-0.627797842,0.0744613887752929
"P28289",0.75175985,0.56941534,-1.2732296,0.53438584,0.92188692,0.76463213,0.93884655,0.86911201,0.90677087,0.76150749,0.91960796,0.92950456,0.16972931,1.157937,0.27509809,0.98589673,1.13403809,0.95910849,0.77897263,0.95512346,0.93973756,0.95509223,1.08318469,1.04708627,0.46599807,0.7973173,0.09649695,0.94846727,1.11276578,0.311549934529803
"P28331",0.64272639,0.82656211,0.87998616,0.7235878,0.29895671,0.04924453,-0.12935822,-0.30512157,0.58955422,0.39878178,0.14445779,0.34505177,0.86731467,0.3713964,0.4348889,0.3051821,0.26894293,0.52234128,0.59051278,0.33160378,0.67389281,0.41110569,0.47227825,0.52427086,-0.28543265,0.34519823,-0.23024131,0.58414826,0.73508845,0.893174667725589
"P28482",0.4029418,0.6249298,0.853255,0.8147138,0.2557463,-0.547445,0.3362464,-0.2605829,0.2242054,0.212721,-0.0963597,0.6992686,0.6984951,0.4811398,0.0580959,0.6784019,0.5172066,0.1395126,0.4516588,0.3924729,0.4091709,0.5221431,0.2677592,0.7950564,0.2665352,0.571906,-0.7482765,0.1999281,0.6398931,0.722300186550832
"P28676",0.03208802,-0.88949968,0.02984506,-0.63819663,-0.20962495,0.35901335,0.06607654,0.58076325,-0.57232721,-0.89047545,-0.34965917,-1.01125104,-0.72105124,-0.76814615,0.68161607,-1.26604303,-1.04788082,-0.84619374,-1.51161455,-0.7253484,-0.61158386,-1.00071462,-0.57802187,-0.43016338,-0.91425953,-0.54818126,0.17189593,-1.05636003,-0.28341019,0.028184197150654
"P28838",0.4621166,0.6751536,0.2633304,0.63733,1.0114787,1.081556,1.0769717,0.9139482,0.9167291,0.9578899,0.5592277,1.0685491,0.4112735,0.730674,1.3183733,1.0857474,1.1515229,1.1855707,0.7587489,1.0568833,1.036829,0.7632067,0.8464628,0.9407425,0.2332043,0.8945985,0.3863008,1.0399846,1.1018431,0.655029025461274
"P29144",-0.19222813,-0.29648037,-0.0819926,-0.25286972,-0.61595848,-0.21603814,-0.50095141,-0.40464219,-0.35817395,-0.67060154,-0.08713629,-0.44627488,-0.5582393,-0.45747745,-0.15946236,-0.24415277,-0.42357739,-0.11752857,-0.54705283,-0.5749653,-0.02110771,-0.51041314,-0.37302837,-0.98303066,1.23052229,-0.06898365,-0.72583659,-0.23323783,0.11736094,0.683710767369117
"P29218",0.05280706,0.04483797,0.40584204,0.25417384,-0.1228965,-0.82935023,0.09344991,-0.49210867,0.09506209,-0.02706277,0.33290552,-0.0404883,-0.23636284,0.04098239,-1.03941308,0.0816482,-0.02864345,-0.42936073,-0.03091915,-0.02197067,-0.72622075,-0.03703794,0.06491092,-0.021534,0.29342728,0.19644878,1.81969432,0.11218577,0.69897,0.539044453078687
"P29350",-0.459,-0.672,-0.254,-1.01,-0.353,4.31e-11,-0.32,-0.818,-1.83,-1.04,-0.626,-0.876,-0.493,-1.18,-0.0551,-1,-0.49,-0.662,-1.05,-0.335,-0.533,-1.1,-0.475,-0.418,-0.0584,-0.837,-0.564,-0.627,-0.152,0.898488253343103
"P29373",0.7073679,0.5181469,-1.5532752,-0.72881,1.160692,0.2914755,1.3241191,-0.3933573,0.9989059,0.5654918,0.9985918,1.385196,1.1603489,0.3148999,-0.5556561,1.4789467,0.8977842,0.8870918,0.856037,0.9814447,1.8557826,1.2880427,1.6914428,0.9217142,0.9337969,-0.322658,-1.1130087,1.1642775,1.2462186,0.142430661574932
"P29401",0.9693763,0.88684,1.0807733,0.8329914,1.4858116,1.1638935,1.4931809,1.0305656,1.6146057,1.3875528,1.2870688,1.3408144,1.5518513,1.2509527,1.6523594,1.7645201,1.0008115,1.6054014,1.4574781,1.5815961,1.7534504,1.8517478,1.2730576,1.6350098,1.3427301,1.7168023,0.3883036,1.3121905,1.4415131,0.0915644341311476
"P29466",-0.3724784,-0.8931054,-0.1603728,-0.1679162,-0.0298733,0.3710839,0.123984,0.574288,-0.5759857,-1.0553647,-0.1352243,-1.0924022,-0.7498837,-1.8496933,-0.3642746,-0.8720803,-1.0223445,-0.8313568,-0.9127548,-1.4669289,-0.6540592,-0.5781486,-1.1555062,-0.7509288,-0.1241681,-0.2842717,-0.3204959,-0.5187284,-0.7249321,0.00456485376305088
"P29590",-0.142085328,-0.264874708,-0.295880524,0.052800393,-0.443563794,0.143942356,-0.307879195,-0.410450002,0.410938329,0.556407631,-0.118893808,0.131878263,0.989520241,0.185369039,0.274191578,0.615048947,-0.001780523,0.282858503,0.462778857,0.524055833,0.165439771,0.290712314,0.490863105,0.263597631,-0.370496266,0.563845424,0.533089331,0.357954772,0.544849717,0.00253289368563463
"P29622",0.34487428,0.03629362,-0.92983625,0.01910382,-0.02418392,-0.59970263,0.29734114,1.25020544,-0.25286085,-0.40070991,0.58572905,-0.93561539,-1.13006151,-1.00013672,-1.36355153,-0.91360698,-0.92113193,-1.42571618,-1.06019053,-1.3125041,-0.46459599,-1.05956839,-1.63138682,-0.74573493,0.37066626,-1.03915629,1.81969432,0.34424105,-0.41992627,0.0553531242560592
"P29692",0.6215559,0.7231868,0.4808986,0.8393252,1.4625724,1.0598418,1.1211573,1.2910756,0.895364,0.7589859,0.8644827,0.5773116,0.998501,0.4766745,0.9251971,0.6433709,0.4965393,0.9128746,0.8769383,0.9574744,1.1829311,0.771389,0.7079227,0.6936296,0.5285295,1.3276079,0.6575926,1.3060851,1.1757494,0.282357591340525
"P29762",2.1757746,1.7706565,-0.1289065,1.84035,1.8512987,0.7073059,0.919154,0.6095471,2.3777828,1.7845252,1.8973543,0.8207426,1.5065576,2.2369218,1.0316278,1.6742078,1.7818416,1.9944372,1.8842633,1.4508642,2.6833129,2.3006518,0.6232365,2.3571571,1.0829809,2.3638869,0.7759003,1.6273856,1.7960381,0.205777403033978
"P29966",0.9301186,0.6028376,0.6316724,0.5201153,0.9123098,-0.5934749,0.8009261,-0.3769987,0.329239,0.6044451,0.4386257,0.7486558,0.8599025,1.0860527,0.254269,0.7548596,0.7740109,1.0696764,0.2070268,1.3182123,0.4214111,0.8066103,-0.6056872,0.3388465,0.9691588,1.6863834,-0.3092785,0.576664,1.5393017,0.184024087945736
"P29972",0.1416828,0.3149517,-0.3085093,0.2586784,-0.8100083,-0.2992974,-1.7592288,-0.5005227,-1.8024993,-0.7882969,-0.3859382,-0.9258598,-0.5854285,-0.3804442,0.425181,0.4984355,-0.5076805,-0.6503919,-1.373787,-1.6239859,-0.6120495,-0.6995847,-0.1207627,-0.1796738,-0.2214738,-0.1400822,-0.1059413,-0.2967043,-0.2040005,0.595526940856177
"P29992",-0.28373108,0.2444085,-0.1188213,-0.71417201,-0.29817113,-0.23301028,-0.25288285,-0.50950605,0.33455049,0.02410355,0.11676009,0.19422453,0.19107564,0.38835909,-0.97286348,0.35309618,0.46250215,-0.06014324,0.28825512,0.13117107,-0.01889587,0.09814523,0.37601538,0.22697298,0.8272901,0.19951864,0.07958812,0.20158995,0.54300824,0.0233819302600525
"P30038",-0.42923093,0.13240705,0.27362907,0.28686842,-0.75394111,-0.88148279,-0.17491526,-0.06224628,-0.42681725,-0.64409871,-0.31361499,-0.08069212,-0.45504771,-1.47353539,-0.65071733,-0.14792199,-0.58768446,-0.70600263,-0.80337452,-0.46785742,-0.58704949,-0.28607509,0.11268232,-0.15206968,-0.01033196,-0.28086633,-0.44286252,-0.27930158,-0.77183628,0.186670231681764
"P30040",0.08347164,0.37523457,-0.08153404,0.38605628,1.09215936,0.76713025,0.94714934,0.79189336,0.57452727,0.66432239,-0.32233647,0.77082227,0.35660364,0.59983292,0.55247926,0.69760042,0.63378298,0.43192307,0.19349631,0.70764613,0.42656713,0.12382424,0.81648118,0.66606187,0.40612937,0.64620018,0.06115572,0.54381586,0.47114486,0.381928520414512
"P30041",1.545663,1.240748,1.364467,1.524346,1.52103,1.37941,1.760129,1.500135,1.378555,1.378093,1.935789,1.569817,1.693831,1.466307,1.508753,1.303788,1.629973,1.423457,1.266702,1.390536,1.721617,1.297683,1.40403,1.785802,1.358501,1.596408,1.292073,1.402269,1.997356,0.40354453923755
