"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"O95202",-1.3384868,-1.3027148,-1.4061531,-1.0466,-0.3793292,-0.7854204,0.131805905974654
"O95299",-0.3188085,-0.5538524,-0.3852635,-0.3286749,-0.2525864,-0.3180616,0.173627339471507
"O95563",-0.8860382,-0.8359887,-1.0186081,-0.806587,-0.6444758,-0.7768544,0.167547636945923
"O95670",-0.03417503,0.0154195,0.04752791,0.10067396,0.18675117,-0.09118676,0.969184602660408
"O95716",-0.11387415,-0.02963205,-0.12601842,-0.08148383,0.09962716,0.08478962,0.0199822365993533
"O95782",1.24257,1.425902,1.132057,1.239666,1.39933,1.341799,0.349065747260299
"O95810",-1.4798144,-0.8748334,-0.5593943,-0.3235885,-0.3250448,-1.0676889,0.819914520027105
"O96000",-1.1499781,-1.1382307,-1.1777874,-0.9369647,-0.8283806,-0.6343931,0.0936529090868841
"P00338",0.601558,0.6941974,0.6688678,0.595589,0.8286249,0.7667183,0.0537388919698145
"P00367",0.5131782,0.4438771,0.5227759,0.5831519,0.8468929,0.9071364,0.00566127338577611
"P00387",-0.105350097,-0.056689988,-0.23019154,-0.004858749,-0.019533869,-0.144271775,0.879292776784241
"P00390",0.28819882,0.32201594,0.24867888,0.12789822,0.11821656,0.06741871,0.120060783748833
"P00403",0.13203709,0.06873913,0.01828435,0.13554234,0.47051549,0.23019735,0.24165043263551
"P00414",-0.6748069,-1.2322924,-0.4124347,-1.3776437,-0.3417857,-0.6105705,0.216042035328467
"P00441",0.8051376,0.8733965,0.7977872,0.6277877,0.8649066,0.6495237,0.950715149319548
"P00450",0.31636963,0.41928812,0.20265524,-0.07279063,-0.33540647,-0.33683024,0.0676699373104263
"P00488",0.2673236,-0.2726723,-0.5648877,-0.2720592,-0.3019191,-1.1592053,0.551766198769078
"P00492",0.7178673,0.7075889,0.7165993,0.544036,0.6307422,0.5935734,0.52310701912556
"P00505",1.751913,1.66973,1.673593,1.534416,1.688617,1.567639,0.979216418732592
"P00558",0.8895658,0.8768779,0.8705808,0.7496964,0.9853735,0.8666553,0.326352176743783
"P00568",-0.38066686,-0.07643719,0.067841,-0.13210302,-0.17348025,-0.10776526,0.265932593988229
"P00738",0.3864215,-0.3326085,0.8272019,-0.2277108,-0.2445581,-0.3227076,0.420509076796209
"P00846",-0.2255165,-0.274427,-0.3628293,-0.3102403,-0.1200928,-0.2105329,0.12517736809728
"P00915",0.6067508,0.2918952,0.6028121,0.4503717,0.2465413,0.3244047,0.206899595885037
"P00918",0.7268582,0.8138371,0.8308478,0.7526763,0.5071203,0.5430573,0.00275907204820135
"P01009",0.183083,-0.3248345,0.2324718,-0.3581561,-0.3789339,-0.1788659,0.595804537949134
"P01011",-0.04228374,0.14387467,0.7053381,-0.25409525,-0.15444028,-0.11336022,0.354818559695678
"P01023",0.15065152,0.31118674,-0.09872077,-0.07920123,-0.09906397,-0.07811507,0.424160277862055
"P01024",-1.063717884,-0.003394312,-0.662845446,-0.938716101,-0.075633327,-1.360817291,0.827080575367669
"P01040",-0.301817,-0.72759,-0.3175552,-0.8032763,-0.4041926,-0.1178916,0.194335498615528
"P01116",-0.6278556,-0.6878764,-0.6682353,-0.7289956,-0.9162253,-0.8895748,0.0026456562899188
"P01591",-0.5870057,-0.7750378,-0.6234682,-0.6161846,-0.8310164,-0.9627945,0.104040690472457
"P01834",0.04422239,-0.16750811,-0.34701355,-0.23086154,-0.18381471,-0.29096495,0.893285638692502
"P01857",1.5087226,1.1481823,1.0507845,1.052761,0.7405793,0.9171817,0.179681036301622
"P01859",0.50981598,0.36624283,-0.02395192,0.19033249,0.06467278,0.10766144,0.504854378130689
"P01860",0.17916834,0.11005073,-0.13532963,0.12194542,-0.23069562,-0.05212551,0.266196521440529
"P01876",1.0591384,0.8742542,0.7769776,0.9624556,0.3428179,0.8651502,0.488603483711776
"P02042",0.03527072,-0.13203345,0.04456739,-0.14995118,-0.35627665,-0.43927331,0.0237376877694655
"P02452",-0.45989414,0.09905262,0.86878819,1.3038702,0.45036026,0.48924282,0.500345725334681
"P02462",0.9219796,0.5916647,1.1397709,2.0924535,1.5929051,1.5431851,0.572451325892029
"P02511",1.914792,2.014286,2.149569,2.090911,1.596026,1.731121,0.0464320553986349
"P02533",1.060132,1.124666,1.318929,1.312024,1.189744,1.507336,0.652441931096958
"P02538",-1.045308035,-0.085323287,0.075169831,-0.002087836,-0.261224783,0.03795469,0.600948123124925
"P02545",-0.357972207,-0.005347281,-0.190847484,-0.126782771,0.092205727,-0.102086091,0.471097128809904
"P02647",0.20859238,0.02405278,-0.06749717,0.10554714,-0.14085195,-0.09314005,0.0970928621386795
"P02649",0.8164312,2.1282341,1.0231699,1.0397445,1.0979044,1.0185127,0.452221183849986
"P02671",1.567963,1.019687,1.613144,1.390135,1.09877,1.563419,0.97573172788685
"P02675",1.6455821,1.1228192,1.6858696,1.3490195,0.9190174,1.5461635,0.717050308102733
"P02679",1.575644,1.135028,1.609666,1.454905,1.119813,1.57763,0.868433508950438
"P02686",2.450613,2.86351,2.661408,2.608787,2.24655,2.175208,0.0133160659298492
"P02689",1.0629051,1.2149866,1.2398657,0.9881395,0.4859922,0.8390059,0.177802129788133
"P02741",-0.1057288,-0.2309318,-0.2023168,-0.7368238,-0.6530571,-0.5756055,0.324797243603447
"P02743",-0.08748999,0.62859802,-0.51413241,-0.45827032,0.35374985,-0.47975198,0.933415447557927
"P02746",0.43308482,0.03395227,0.08690194,-0.03224115,-0.09608101,-0.18382401,0.0831948864778811
"P02747",0.56696328,0.64730405,0.62911773,0.39493301,0.06834997,0.31086552,0.134097734568695
"P02751",1.1546056,0.7458129,0.6509645,1.3316921,1.1071942,1.0708891,0.488034529356866
"P02763",-0.009930351,-0.388230469,0.256716473,-1.02514882,-1.053336031,-0.946848039,0.237070424157798
"P02768",1.520335,1.564583,1.48452,1.345853,1.260835,1.350976,0.134754527322521
"P02787",0.21702154,0.20623612,-0.26313824,-0.07584116,-0.12256755,-0.19504018,0.49333613540969
"P02788",-0.3569705,-0.1979403,0.0208232,0.5174871,-1.0403036,-0.4726213,0.127540240998083
"P02792",3.24211,3.0784,3.255607,3.018872,3.198937,3.041048,0.983905146673975
"P02794",3.849264,3.660017,3.776196,3.694933,3.626972,3.476574,0.242983354168713
"P02810",0.01314896,-0.51416392,0.52139873,0.73930763,-1.44119538,-1.05349316,0.0457099152474989
"P04003",-0.04597149,0.22693012,-0.117221,-0.28401474,-0.86966323,-0.91480878,0.0287628309805287
"P04004",-0.8323668,-0.4626483,-1.4856005,-0.6844393,-0.1295899,-0.7694379,0.417291230438259
"P04040",1.50805,1.384805,1.395671,1.192266,1.065573,1.076968,0.0609185985056086
"P04075",1.275701,1.317342,1.31991,1.283797,1.397318,1.383974,0.00915054899454331
"P04080",-0.53204485,-0.61902559,-0.2027342,-0.08316852,-0.16514225,-0.60854857,0.785054132133334
"P04083",-0.7997464,-0.81710986,-0.85911355,-0.03510282,-0.42916985,-0.74418629,0.961703395951916
"P04156",1.1867955,0.9294232,1.1971787,1.0805316,0.6143716,0.8752361,0.186118675522375
"P04179",1.023705,1.0344773,0.9882852,0.9081267,1.0857281,0.9249479,0.788870221382746
"P04216",1.0995862,0.9776542,1.1773798,1.0385841,1.0292082,1.0066752,0.514936863737534
"P04264",2.694516,2.646498,2.908185,2.822007,2.733476,2.990456,0.693342923755675
"P04350",1.245586,1.33966,1.358108,1.18024,1.08927,1.092491,0.070046670528451
"P04406",2.640671,2.691297,2.287476,2.450454,2.381635,2.170484,0.298481730070791
"P04792",-0.032952189,-0.006443304,-0.048831296,0.136419888,0.27475662,0.192462558,0.0591092288793461
"P04899",0.8688084,0.7616124,0.9504459,0.8168204,0.5729368,0.7509913,0.240537251911702
"P05023",0.8766318,1.0218799,0.9107647,0.8342232,1.0362097,0.8020458,0.983407972131449
"P05026",1.153491,1.212651,1.187292,1.11515,1.245457,0.980406,0.73462889524438
"P05067",-0.51415735,1.30655669,0.02071622,0.18169975,1.58461439,-0.54805124,0.991065823115583
"P05089",-1.5495141,-0.9881941,-0.7100054,-0.8643672,-0.6663469,-0.6179886,0.10959771439911
"P05090",0.23054339,0.46789756,0.44713266,0.31356937,0.17324315,0.05587185,0.048430172052933
"P05091",0.15669249,0.01796777,-0.06825156,-0.03596838,0.26143835,0.18853846,0.0306066805367184
"P05109",-0.5484478,-0.4969363,0.3904128,0.580556,0.0515203,-0.1085816,0.634825119031401
"P05129",-0.1395566,-0.2804674,-0.5694787,-0.3815243,-0.4566158,-0.456271,0.641738152485768
"P05141",-0.004032371,0.111761351,-0.018384913,0.088751544,0.300463458,0.099769961,0.377202758109392
"P05164",-1.4446451,-1.0541369,-0.771424,0.2406366,-0.6743718,-1.2589129,0.436906919530548
"P05771",-0.8254375,-0.752339,-1.0383667,-1.2975575,-0.718855,-0.6353805,0.147800888603536
