"","Control","Control.1","Control.2","Disease","Disease.1","Disease.2","t_test_p_value"
"P14923",-0.33785291,-0.04768998,0.24113963,0.10131217,0.22593909,0.27626029,0.202706424261832
"P15104",0.2664595,0.2455858,0.4946068,0.5881575,0.5413533,0.6518819,0.281674409855999
"P15121",-1.2402105,-1.0116156,-0.5447266,-0.5393192,-0.5509787,-0.6767583,0.655552313274251
"P15311",-1.1557994,-0.9114691,-0.8638992,-1.0674532,-1.0354046,-0.9522804,0.577472887121346
"P15531",1.1469816,1.1981599,1.160678,0.9643594,1.0662621,0.9608706,0.370631262370104
"P15924",-0.44817954,-0.34840268,-0.1374547,-0.23940399,-0.3292035,-0.07990294,0.820950724252506
"P16112",1.5528323,1.6328654,0.9415937,1.0180635,1.1809837,0.3615205,0.476451013480934
"P16152",1.614484,1.52865,1.653713,1.529617,1.133379,1.373495,0.201128792836337
"P16401",0.2097578,0.28748878,0.22508349,0.10397758,0.03898622,-0.18022482,0.19314106792617
"P16402",-0.1602674,-0.1253175,-0.222616,-0.2465577,-0.1374717,-0.4304908,0.662189396513799
"P16403",2.069248,2.148586,2.07316,2.012712,1.974528,1.830199,0.195750906473457
"P16615",0.03770636,-0.44140082,-0.31193816,-0.31114292,0.03833876,0.03221866,0.0117773772532313
"P17174",1.753049,1.684208,1.657495,1.493803,1.648784,1.548285,0.875593267111887
"P17252",-0.2622134,-0.2051692,-0.3657935,-0.4710001,-0.2289735,-0.3692938,0.677591508331587
"P17302",-0.07542441,-0.02490972,-0.68826241,0.18608045,0.33948387,0.9116548,0.14894462870832
"P17600",0.9077411,0.7069416,0.8513529,0.9542141,1.205875,1.2062889,0.0358359709363744
"P17612",-1.3533503,-1.2505012,-1.3044434,-1.1463264,-0.9098083,-1.1293678,0.268664657255661
"P17677",0.3812136,0.3343462,0.4699998,0.5086724,0.5506582,0.5524354,0.163981352353468
"P17858",0.17533605,0.19602971,0.24114499,0.10317234,0.2002089,0.07661237,0.63286520985269
"P17987",-0.2539096,-0.1754638,-0.1964708,-0.2940932,-0.4178683,-0.5004562,0.0348890865189724
"P18077",-0.11936583,-0.23560402,-0.20097785,-0.13794646,-0.08351993,-0.20503843,0.577129104143388
"P18085",0.7900027,0.8839495,0.9749894,0.775482,0.4865568,0.5778071,0.0186611355456067
"P18124",0.7617778,0.6673319,0.6200617,0.7508936,0.9005702,0.681543,0.485060295293826
"P18507",-0.2068836,-0.929544,-1.166378,-0.3004647,-0.7101347,-0.7399634,0.802322618338206
"P18583",-1.007063,-1.208444,-1.524001,-1.074299,-1.208315,-1.249408,0.793366819456373
"P18669",0.8265538,0.9015892,0.879459,0.8781963,0.8355241,0.9282069,0.937895513507271
"P19013",-0.33762578,-0.5538852,-0.47739161,0.70307766,0.01742584,-0.16169811,0.936246332881116
"P19086",0.1066075,0.1449457,0.1922755,0.1383218,0.1185638,0.1386589,0.229187714236063
"P19338",0.783153,0.1877953,0.1500923,0.1082169,0.2132958,0.1597206,0.380876172422768
"P19367",0.6418991,0.5387313,0.7412612,0.7407729,0.8392862,0.8878049,0.0945022963957948
"P19404",-0.4918491,-0.5744057,-0.3658587,-0.6278589,-0.6441637,-0.2824741,0.802347580153092
"P20020",0.27655102,0.03869713,0.11932223,0.11028816,0.31204015,0.31593838,0.0122795133386993
"P20073",-0.9749198,-0.834171,-1.1180863,-0.6655008,-0.2274441,-0.5101413,0.0949971508529008
"P20336",0.3942963,0.6145378,0.5293758,0.7653135,0.7092204,0.6836415,0.477437502264667
"P20340",1.121382,1.068927,1.227754,1.173391,1.052302,1.056397,0.159007305041515
"P20618",1.951801,1.85864,1.86995,1.841233,1.849559,1.816304,0.363747171269877
"P20674",-0.9948983,-1.0705195,-0.9850001,-1.0322452,-0.9160818,-1.027087,0.476518677142719
"P20916",0.46814524,0.68399896,0.55322334,0.17750601,-0.08921875,-0.23447704,0.0384430549683383
"P21266",0.4540978,-0.1771139,0.3932201,0.3248928,0.5249968,0.2812841,0.380589036519293
"P21281",-0.05670472,-0.2153849,-0.04105324,0.0518412,0.28068919,0.10431135,0.134353996912085
"P21283",-0.9515845,-0.848335,-0.6967057,-0.7864417,-0.5940101,-0.5243949,0.0308893517634268
"P21291",0.8307819,0.7817163,0.8240864,0.6866955,0.3454525,0.6057537,0.246988633711639
"P21333",1.1280862,0.9318742,0.6040938,1.2068496,1.2443695,1.2925292,0.176980323361702
"P21579",0.5514365,0.4817755,0.5111735,0.5925327,0.841172,0.8235793,0.00831166353731454
"P21695",-0.8766438,-0.4561039,-0.7676945,-0.6989829,-0.9423414,-0.8228894,0.120318009449957
"P21796",0.7732266,0.8132318,0.7634383,0.8824801,0.7935097,0.8738725,0.813105609537691
"P21810",0.01310223,0.89406513,-0.11713527,0.26612013,0.51784835,0.17528298,0.997595519234604
"P21912",-0.7752561,-0.6030858,-0.7598188,-0.6584257,-0.504255,-0.5891775,0.14174083233729
"P21926",1.2212238,1.2971458,1.3024444,1.223771,0.9113891,1.002416,0.0406813284351221
"P21980",0.06274536,0.19300856,0.16889381,0.01560544,0.3577708,0.19546263,0.268436944533487
"P22061",-0.3322618,-0.3789224,-0.4214469,-0.193006,-0.3538898,-0.3601921,0.747337842411299
"P22234",-1.0097637,-0.7910274,-0.8989476,-1.1766183,-0.8177178,-0.863328,0.423149637468094
"P22314",0.4516077,0.3624014,0.4464976,0.5225147,0.2876786,0.4535614,0.536373570732798
"P22392",0.02006407,0.26713411,0.16294588,0.13814716,0.09279676,0.04430206,0.0812246168177829
"P22626",1.4566859,1.2811228,1.1597145,1.0433403,0.9252922,0.94883,0.0783452824453446
"P22694",-0.3302995,-0.3655153,-0.3768312,-0.4860543,-0.3798192,-0.4370075,0.983836830232777
"P22695",-0.05083542,-0.39559538,0.13442424,0.30544438,0.32829282,0.28677005,0.299266444596276
"P23246",-0.06892192,-0.44409294,-1.53693856,-0.55363827,-0.6195734,-0.39312627,0.437900467918001
"P23396",-0.5339896,-0.4689689,-0.3738352,-0.5729433,-0.4659876,-0.4784902,0.996039396417965
"P23471",0.8287623,0.6593951,0.4922952,0.6256112,0.6015525,0.6154419,0.783617134355357
"P23515",-0.1915304,-0.2428362,-0.3380825,-0.3707546,-0.5578847,-0.5361867,0.020626375227134
"P23526",1.693444,1.582393,1.463133,1.193622,1.404597,1.33128,0.739325220402575
"P23528",1.250113,1.295223,1.472968,1.526495,1.044202,1.204166,0.0817082052812035
"P23634",-0.8870211,-0.7499186,-0.7232454,-0.6520196,-0.7015861,-0.7127084,0.970136453967082
"P24043",-0.280980978,0.059018225,-0.353866159,0.473854272,-0.177733734,-0.001067434,0.607147009656959
"P24539",-0.46861465,-0.20773398,-0.39282175,-0.16266866,0.03204432,0.01732898,0.0567160224472594
"P24821",-0.7343162,-0.5079804,-0.9336981,-0.8412256,-0.743006,-0.7676696,0.969296311184665
"P25311",-0.2669226,-0.5709801,-0.3610004,-0.3505744,-0.6150773,-0.273475,0.939378482837641
"P25686",-0.15087229,-0.06386961,0.02637633,-0.05687049,-0.48253274,-0.26324388,0.178584983619907
"P25705",1.050628,1.061435,1.070393,1.019324,1.261611,1.17214,0.13548333701026
"P25786",2.016786,1.891555,1.880236,1.833553,1.863218,1.772864,0.452626720959971
"P25787",1.315749,1.328106,1.369878,1.380795,1.405525,1.343599,0.719790773610856
"P25788",1.846883,1.577427,1.875591,1.608405,1.730883,1.700708,0.791967825618065
"P25789",1.791575,1.652189,1.697283,1.545273,1.661398,1.648898,0.654468563361694
"P26038",0.5478816,0.9486023,0.6350301,0.6280796,0.5166295,0.618879,0.25258412461116
"P26373",0.9470566,0.8570382,0.7943925,0.8752754,0.9942929,0.917175,0.142986649823278
"P26641",-0.4461341,-0.4506643,-0.4185691,-0.3106518,-0.245263,-0.275018,0.0761608883410611
"P27105",1.221658,1.349113,1.111211,1.048211,1.281307,1.089553,0.913168348125697
"P27338",-0.7314606,-0.4865593,-0.5985379,-0.5270036,-0.4551331,0.1871258,0.42643904163012
"P27348",0.30641514,0.2641219,0.34655834,0.27282317,0.06043765,0.05972258,0.0122037304569642
"P27361",-0.17582219,-0.02270282,-0.04282474,-0.05373955,-0.21539848,-0.45367694,0.242844422619074
"P27449",-0.9166176,-0.4409554,-0.4431287,-0.4199254,-0.158216,-0.1933204,0.0200974278287568
"P27635",-0.14961292,-0.34293929,-0.36224754,-0.05017012,-0.01941873,-0.33974979,0.743005747228324
"P27797",0.22579644,0.05508102,0.17615988,0.05140805,0.16243432,0.2086432,0.151070098908629
"P27824",-0.2043574,-0.2744442,-0.3367403,-0.2516419,-0.1329839,-0.2268247,0.211500593043604
"P28062",1.0076074,0.9059122,0.9570616,0.78733,0.802425,0.7278638,0.155334910446362
"P28065",0.3435524,0.3520155,0.236266,0.1915896,0.46806,0.1415295,0.83077254255024
"P28066",1.977259,1.897884,1.946328,1.83204,1.88384,1.789557,0.438318280387122
"P28070",1.534889,1.40837,1.367918,1.168233,1.417746,1.320953,0.582194080617958
"P28072",1.368722,1.291806,1.347484,1.260036,1.311618,1.293325,0.928387186577811
"P28074",1.895876,1.760166,1.832707,1.742752,1.819999,1.75519,0.848490441068278
"P28161",-0.4573095,-0.3857287,-0.4084406,-0.5672173,-0.563317,-0.5623021,0.196378882832517
"P28288",-0.6390038,-0.5358299,-0.7105525,-0.5631771,-0.4252582,-0.4856724,0.101379493602248
"P28331",-0.35903517,-0.291585091,-0.257941746,-0.193936908,0.182200254,-0.008831012,0.152856321856086
"P28482",-0.13455975,0.05305841,0.01455656,0.05710064,0.35308768,0.51266677,0.119729304410316
"P28838",1.734603,1.789552,1.746406,1.540972,1.614925,1.523621,0.263781610036294
"P29218",-0.100577866,0.134900781,0.036956361,-0.007899713,-0.15583405,-0.081630823,0.0572575762426793
"P29401",1.794252,1.915968,1.349955,1.65732,1.586839,1.49487,0.608135319408908
"P29966",0.2189314,0.08653922,-0.062836,0.11407979,-0.26974574,0.04581674,0.491374252247714
"P29972",0.8554329,0.7767195,1.0179973,0.1751689,-0.3152008,0.4244141,0.314420233690461
"P29992",0.000633822,0.029574623,0.11867521,0.0508574,-0.21405759,-0.084042505,0.146203728971552
"P30041",0.4248334,0.5934442,0.3146314,0.4510026,0.3809485,0.3125812,0.322530374252643
"P30044",0.33550798,0.12856821,0.23938105,0.32948586,0.06453046,0.29090375,0.719370118417608
"P30046",-1.0437072,-0.9379452,-0.7164381,-0.513661,-0.5151383,-0.5858091,0.293714150160198
"P30048",0.06809673,-0.07135348,0.07647348,0.08218175,0.30923266,0.11643798,0.266647246393776
"P30049",-0.5653176,-0.5981905,-0.3969773,-0.1903814,-0.2061044,-0.1847627,0.23113046594209
"P30084",0.6345499,0.5621538,0.3039983,0.5109705,0.2512187,0.2584663,0.122208245874111
"P30086",1.353376,1.386238,1.423453,1.295521,1.366853,1.400356,0.741510577550333
"P30101",-1.1670324,-1.3886404,-1.2491579,-1.1094086,-0.9096933,-1.1071767,0.184207037734251
"P30153",0.05864077,-0.02306986,0.09812405,-0.05177229,0.09246004,-0.09371459,0.945023842920776
"P31040",0.12914292,-0.08144846,0.06044332,-0.06796479,-0.06463561,0.12123592,0.6476557769958
"P31146",-0.25174,-0.2532172,-0.9187314,-0.9395103,-0.6582169,-0.3032683,0.494048882543286
"P31150",1.215035,1.187045,1.425915,1.311873,1.086953,1.191458,0.146138202541803
"P31323",-1.0828456,-1.1016362,-1.0813902,-0.5837648,-0.4057911,-0.2296667,0.0551687274026382
"P31930",0.15422315,0.10547503,0.06398444,0.0432633,0.35455007,0.21460991,0.182674354133981
"P31939",-0.513376,-0.9779018,-0.5305697,-0.6049718,-1.1879167,-0.8523431,0.268535658159522
"P31942",-0.3721302,-0.3690374,-0.6903476,-0.4205431,-1.2144425,-0.6911285,0.30384933945465
"P31943",0.005171093,-0.438348005,-0.277673563,-0.177677411,-0.127138116,-0.404593975,0.862033750608962
"P31944",-0.5220222,-0.7066121,-0.6482084,-0.5848649,-0.8707597,-0.49908,0.870874246887182
"P31946",0.7891948,0.7087909,0.8097179,0.7109071,0.7630935,0.8544577,0.362712057053779
"P31947",-0.2348175,-0.2778882,-0.2156002,-0.3902796,-0.3538365,-0.2847802,0.715483430025564
"P32119",0.5339745,0.4492839,0.5518871,0.5746993,0.6415742,0.8676483,0.266755584283499
"P33176",0.1920839,0.5025444,0.3261504,0.3014015,0.3073767,0.1592567,0.260370372551608
"P33947",-0.9633905,-0.9018098,-0.9140722,-1.1519697,-0.9766227,-0.949275,0.778557705484908
"P35030",0.30279252,0.34911328,0.26496379,0.09811171,0.28775968,0.07960165,0.71455714628306
"P35080",-0.111086734,0.004720838,-0.073602546,-0.146118543,-0.117755722,0.018330889,0.813321092356695
"P35222",-0.7548034,-0.8303165,-1.1274651,-0.892109,-0.7769132,-0.8497681,0.270170829105971
"P35232",-0.30864186,-0.29745243,-0.02749404,-0.05689698,0.19958357,0.21399645,0.058747143342566
"P35237",-0.23557631,-0.08316511,-0.53244573,-0.37213873,-0.3328774,-0.17160377,0.65236598401534
"P35241",-0.893933,-0.8290783,-0.1435936,-0.3936592,-1.633769,-0.6972293,0.346307633995494
"P35268",0.3772915,0.3738252,0.283746,0.3705587,0.3594582,0.2528268,0.621109348943657
"P35527",2.044288,2.052507,2.359663,2.214312,2.06493,2.437941,0.861513277222293
"P35555",-0.5964764,-0.7346448,-0.74668,-0.3988463,-0.3508982,-0.7310375,0.740997842659681
"P35579",1.331298,1.710454,1.258014,1.400018,1.595348,1.411752,0.789081169830624
"P35580",0.6539967,0.9765917,0.5029104,0.8070662,1.1285976,0.9257765,0.220549029868525
"P35611",-0.2706192,-0.4211446,-0.5331473,-0.4546818,-0.3905864,-0.3167978,0.120334920622508
"P35625",0.11827518,-0.09109375,-1.09572209,0.15560453,0.54961688,0.52954841,0.147218738872854
"P35749",0.6264675,0.3161177,-0.5844472,0.4491072,0.8796166,0.8141937,0.134959550725962
"P35908",2.392512,2.201053,2.283069,2.298724,2.180984,2.568741,0.661463021935585
"P36542",0.2289779,0.2847339,0.167726,0.2984516,0.4797581,0.316962,0.28197487534646
"P36543",-0.167608935,-0.130323044,-0.000729914,-0.033243102,0.115036315,0.084026634,0.0452012625539401
"P36578",0.8928144,0.7810645,0.6875049,0.8060265,0.9617587,0.7620703,0.478243029690802
"P36871",-0.32216667,0.02248078,-0.0410738,0.01464075,0.04258714,-0.16523621,0.66620551549173
"P36873",-0.9927299,-1.2076485,-1.059421,-1.1510478,-1.2783111,-1.3399333,0.0493450839921248
"P36957",-0.18952623,-0.29135204,-0.18952892,-0.19096996,-0.08329124,-0.10114087,0.0519522146772436
"P36969",-0.7976557,-0.1662164,0.1227474,-0.3526623,-0.5157825,-0.6838435,0.0643695989576647
"P37235",-0.320400389,-0.310815229,-0.198061374,-0.237379617,-0.001859732,-0.200355726,0.359486792285191
"P37837",0.108962534,0.339953319,0.472338315,-0.000108316,0.136944482,0.165669713,0.485817944824265
"P37840",0.3700932,0.6976301,0.110429,1.1706186,2.0110025,1.6645855,0.0466832767726571
"P38159",-0.4679539,-0.9277402,-1.4626233,-1.4296404,-1.3681911,-0.8696908,0.662183780645854
"P38606",0.2679305,0.3520155,0.3417744,0.4053487,0.5348156,0.4870113,0.0328853968504226
"P38646",0.02495745,-0.05808084,0.1818077,0.18517144,0.27899651,0.22838648,0.196086465280099
"P38919",0.961785,0.9485714,0.8376007,0.9110445,1.0494059,0.8444548,0.722933724966663
"P39023",0.4429809,0.3202619,0.234433,0.3878267,0.5264967,0.3230007,0.460796461297871
"P39060",-0.75624818,-0.82083025,-0.96055164,0.01589667,0.02378529,-0.17960814,0.231802391589917
"P40227",-0.17772773,-0.11074424,-0.08246646,-0.20071832,-0.45973243,-0.19949767,0.35659177441747
"P40306",-0.6575022,-0.8002828,-0.7217498,-0.8515819,-0.6838749,-0.9591462,0.863132259850498
"P40429",0.5778782,0.4250078,0.5118647,0.6145053,0.6163925,0.5200954,0.535972655126402
"P40925",1.448103,1.459423,1.47019,1.311458,1.253782,1.363845,0.272746185420361
"P40926",1.588629,1.465269,1.486477,1.51784,1.681831,1.531703,0.355425909141142
"P40939",0.8838031,1.1128933,0.6246133,0.8210498,1.0263683,0.7755963,0.816510001736547
"P41222",1.1686859,1.2631081,0.8273272,0.8839493,0.8344317,0.6227684,0.226561860686932
"P42262",-1.0645926,-0.8910691,-0.8348637,-0.8862597,-0.8824849,-0.9334877,0.355175610351008
"P42658",0.9433592,1.0424776,0.6834922,0.9958922,0.95479,0.9217378,0.810241128838009
"P42677",-0.6715164,-0.6389113,-0.2586028,-0.6273662,-1.0258694,-0.4698245,0.541913285015431
"P42765",0.7739432,0.7858019,-0.2992751,0.6082337,0.5709562,0.6526775,0.539740293491309
"P42766",0.9212488,0.8060018,0.7470423,0.8859676,0.8679229,0.7870033,0.818316904349036
"P43003",0.08716849,-0.01560686,0.02697434,-0.08619865,0.22286674,0.34365009,0.06775137813529
"P43004",0.311969207,0.142728395,0.430797481,0.009686454,0.290346457,0.537555117,0.308661185666912
"P43007",-0.8013642,-1.0295518,-1.0798365,-0.7025206,-0.3065296,-0.4142665,0.0267377351396543
"P43034",0.4318392,0.3655326,0.4748523,0.3725992,0.1991165,0.3322159,0.239434931915264
"P43243",-0.01898479,-0.32607525,-0.78191367,-0.4733887,-0.48483198,-0.54035096,0.924604926495951
"P43304",0.5354743,0.498638,0.4017202,0.4883044,0.4800967,0.4271367,0.834441360065803
"P43487",-0.808397,-0.8194616,-0.7707175,-0.8520058,-0.6819803,-0.8608217,0.717057627419124
"P45381",0.23476706,0.11818838,0.4851021,0.12526002,-0.36535503,0.05219958,0.261733710998651
"P45880",0.6472672,0.6192973,0.533091,0.5309644,0.5944684,0.7075047,0.325382587413336
"P45974",0.039593781,-0.078353544,-0.051160575,0.001923898,0.01332712,-0.135192447,0.847020137819244
"P46459",0.9302587,0.9561787,0.8579653,0.8202658,0.8996597,0.8743797,0.850883912715642
"P46776",1.0575944,0.9910944,0.9364608,1.0035397,0.991439,0.9662494,0.944961230643686
"P46777",-0.24166718,0.01549024,0.57953843,0.48855586,0.75126477,0.64066374,0.189175593130349
"P46778",0.8129381,0.8423114,0.7471762,0.8711384,1.0137386,1.0191381,0.0339707531670241
"P46779",0.3926092,0.202073,0.2783459,0.4302873,0.2560033,0.5413594,0.626690951814368
"P46781",0.8191424,0.8038192,0.7121044,0.8249258,0.9555573,0.836524,0.256504843395374
"P46782",-0.7550545,-0.6334794,-0.8718111,-0.6493867,-0.596798,-0.7162083,0.571554443721872
"P46783",-1.0634577,-1.3387532,-1.0277715,-0.9950165,-1.0222042,-1.1730839,0.874421627289865
"P46821",0.5931591,0.6911667,0.734369,0.6484694,0.6923696,0.6439203,0.556106811687058
"P46940",-0.6698617,-0.5415633,-0.5957272,-0.5904982,-0.256671,-0.5127694,0.372170110964572
"P46976",-0.112603,1.078262,0.740446,1.08254,1.103697,1.088475,0.372926252299965
"P47755",-0.5467765,-0.522902,-0.5577362,-0.5558755,-0.2840423,-0.3988083,0.163132632442639
"P47756",-0.65246051,-0.09375776,-0.39330721,-0.12943475,-0.25768044,0.04397931,0.640432279118675
"P47870",0.3083139,0.2007129,-0.1131612,0.2224276,0.3133798,0.2681775,0.222817245141443
"P47914",0.7402605,0.5168815,0.3965726,0.5242086,0.3834925,0.4344857,0.245521088480566
"P48047",0.4923705,0.2178315,0.3106664,0.3843892,0.5399039,0.4034096,0.183227704454275
"P48426",0.21853845,0.14550324,0.08650367,0.15967647,-0.21960261,-0.10171199,0.0927978216580086
"P48637",1.4646895,1.5071293,1.3951067,1.3895668,0.2619119,1.4099313,0.488243185289703
"P48668",-0.1862227,0.1724968,0.96257,0.8321312,0.6196897,1.1776997,0.569472782368993
"P48735",0.02933885,-0.08220073,0.08890305,0.18588871,0.30605724,0.46901875,0.0766142923719853
"P49189",0.23641435,0.16939362,0.326238654,0.13545165,-0.510527894,-0.006014449,0.302273412443855
"P49207",0.8795442,0.8260157,0.780092,0.9617628,0.9357656,0.9620114,0.22683869769197
"P49327",-0.11956665,-0.06277766,-0.17458341,-0.26935853,-0.32030039,-0.43223921,0.0919379401454299
"P49368",-0.1319848,-0.2492626,-0.081766,-0.279408,-0.2218642,-0.4131522,0.429272654887696
"P49411",-0.26930392,-0.29560244,-0.23347683,0.04641293,0.02831034,-0.06763755,0.318185106947034
"P49418",-0.098941572,-0.007337029,0.226373619,0.141391148,0.130924955,0.445551351,0.466788100870441
"P49419",0.8145036,0.4841562,0.5362036,0.6148814,0.3992983,0.2738601,0.121375020089723
"P49441",-1.188274,-1.37622,-1.156345,-1.148708,-1.284837,-1.443236,0.310856271331553
"P49588",-0.298,1.02e-07,0.0801,-0.686,-0.634,-0.579,0.236998387236248
"P49720",1.562919,1.41289,1.500731,1.469148,1.575118,1.423636,0.701920686616686
"P49721",1.523496,1.466898,1.517667,1.452453,1.505257,1.419002,0.767359388526203
"P49821",-0.8678922,-0.9245324,-0.8485347,-0.4828414,-0.5038784,-0.2102611,0.160190304126944
"P50148",0.6639255,0.6941047,0.8321848,0.6325056,0.3605909,0.4114491,0.0191061249934731
"P50213",-0.29304374,-0.48348002,0.0952123,-0.10250734,0.06899448,0.20308326,0.215107318970754
"P50395",0.6480081,0.5329415,0.6480722,0.6433774,0.3646512,0.3212192,0.00964767368938084
"P50570",0.18621562,0.19088826,0.12978833,-0.18164734,0.10291563,0.07696787,0.742528517050327
"P50897",0.3536962,0.4199854,0.5303145,0.647773,0.6781179,0.4780989,0.742966084781166
"P50914",0.7413978,0.6203968,0.7340068,0.8436143,1.0406077,0.8543406,0.200787616946002
"P50990",-0.0399,-0.0353,0.0825,-0.0268,1.02e-07,-0.103,0.455283617090903
"P50991",-0.27545122,-0.12584359,-0.08089765,-0.01841092,-0.16138587,-0.37596878,0.304831895268596
"P50993",0.436389,0.5270462,0.3788032,0.5245327,0.6248315,0.6720378,0.0577113075236883
"P50995",-0.9083556,-0.7170365,-1.0613122,-1.0303238,-0.6930861,-0.9052211,0.441649998853463
"P51148",0.3091814,0.2150481,0.3451245,0.2672515,0.1693365,0.1039336,0.0718894109954442
"P51149",-0.005525797,-0.452452649,-0.081111756,0.118475677,0.136548445,-0.162151974,0.616588154051082
"P51553",-1.172957,-1.0251896,-0.9311349,-0.7947634,-0.7095703,-0.8849673,0.384632892247689
"P51649",-0.4283399,-0.4227181,-0.463986,-0.4987829,-0.4524725,-0.4005177,0.394213831025264
"P51659",0.6194483,0.3565144,0.6755513,0.3403008,0.6583693,0.6161045,0.238791279874473
"P51665",0.034611495,-0.007281118,-0.213546427,-0.198474594,-0.100580515,-0.203173543,0.894444161516063
"P51674",0.8159532,0.7191301,0.7702052,0.7563692,0.9426401,1.0378779,0.0979052194730386
"P51685",-0.8056893,-0.7961029,-0.6796938,-0.786489,-0.8457635,-0.8668057,0.102729388986006
"P51888",0.3016718,1.0198013,0.297674,0.4795638,0.465025,0.3491563,0.473113733085843
"P51970",-0.5684565,-0.5960525,-0.6185062,-0.6546336,-0.3427888,-0.5599044,0.353891759299136
"P51991",1.0850616,0.7678498,0.6177905,0.6001043,0.5697719,0.6170897,0.334028071719276
"P52272",0.08069723,0.01331852,-0.28302339,0.25356309,-0.1843674,-0.07782782,0.510965556942206
"P52306",-0.42301322,-0.03269377,-0.05720968,-0.09536011,-0.31165672,-0.15872729,0.249931246976697
"P52565",0.5425516,0.5370317,0.6715456,0.5135652,0.469823,0.5497675,0.386756544579177
"P52597",-1.145769,-1.03854,-1.477553,-1.460528,-1.500303,-1.576787,0.273960641859856
"P52758",-0.28562027,-0.20622868,0.13914016,-0.33815196,-0.15021892,0.05340573,0.654364645073433
"P53396",-0.8335142,-1.0402155,-0.6558885,-0.7698296,-0.8500183,-0.7860339,0.976045210925173
"P53420",-1.5845052,-0.8519807,-1.0707617,-0.3487902,-0.698708,-0.8694841,0.915454486580064
"P53816",0.8594014,0.913884,1.0685522,0.9298291,0.35211,0.5637088,0.0835086151621797
"P54577",-1.130609,-1.220381,-1.1804,-1.229596,-1.244085,-1.321983,0.284254353321955
"P54578",-0.9187428,-0.7963092,-0.8047933,-0.9125882,-0.8571017,-0.56788,0.54135691807733
"P54652",1.548495,1.535165,1.728974,1.571222,1.3397,1.390519,0.0400718521688975
"P54920",-0.2933433,-0.1614063,-0.1306428,-0.1653572,-0.245512,-0.1486124,0.522648469195867
"P55072",0.4827838,0.15921921,0.25313414,0.13806828,0.10485953,0.03960376,0.110150206845348
"P55087",0.49558795,0.48750917,0.26432826,0.2881657,0.03949632,0.2118425,0.169887354157872
"P55268",0.8471574,0.861107,0.8463467,1.4142693,1.1063456,1.006884,0.940643749276251
"P55290",-1.0803175,-0.8679306,-0.8998006,-1.0066294,-0.6992192,-0.8853529,0.366060297359872
"P55786",0.6531947,0.6576854,0.7521853,0.5878976,0.6446328,0.709558,0.858650809536127
"P55809",-0.264155863,-0.170428658,-0.302472081,-0.005548367,0.053846757,0.063134192,0.126057496061161
"P56134",-0.25378,-0.1738746,-0.2690574,-0.1934047,0.1516104,-0.1132153,0.320724942497265
"P56199",-0.9604784,-0.5492843,-1.2179449,-0.3068369,-1.1914582,-0.5028307,0.753748671133802
"P56556",-0.7517242,-0.9091883,-0.7249943,-0.5710647,-0.6828508,-0.6062428,0.462100675226202
"P57088",-0.4053066,-0.226263,-0.4805753,-0.3137982,-0.1816826,-0.3316001,0.493775460199545
"P59998",0.1588528,0.2011514,0.3108173,0.4114262,0.2467596,0.2505441,0.432769903924636
"P60033",-0.07117633,-0.08237793,-0.01025691,-0.05618257,-0.04822222,-0.16227363,0.499535316240767
"P60174",1.535193,1.552017,1.599627,1.408625,1.537561,1.494781,0.953758312958543
"P60201",2.730173,2.955215,2.835612,2.917319,2.598986,2.568846,0.00593744989722401
"P60709",2.440833,2.437968,2.507992,2.464576,2.317866,2.347002,0.0118704609146852
"P60842",0.03901447,-0.18613448,0.21271822,-0.07745778,0.04247306,-0.05110076,0.928514614387847
"P60866",-0.4441652,-0.3601696,-0.1642378,-0.1813886,-0.3599177,-0.4512876,0.11558665440913
"P60880",1.076659,0.959551,1.141766,1.15023,1.160336,1.233177,0.217653886567025
"P60900",2.01151,1.908454,1.969296,1.898814,1.926616,1.88648,0.572541568148137
"P60953",-0.5833611,-0.577512,-0.5922392,-0.6207844,-0.6114944,-0.742486,0.430973361940164
"P60981",0.6111557,0.742891,0.8592344,0.7461823,0.693868,0.7064525,0.160260382918307
"P60983",-0.6866607,-0.6205145,-0.5146521,-0.5021411,-0.4405348,-0.4159507,0.0777971313220332
"P61018",-0.9806017,-0.7111494,-0.7955617,-0.8399329,-0.8012874,-0.9655238,0.415870256726624
"P61019",0.038441738,0.000723385,0.244529061,0.068993988,0.177141163,0.076261266,0.819941349782214
"P61026",0.7991366,0.8560947,1.0712114,0.9636023,0.6404599,0.8169337,0.161895906489998
"P61088",-0.5390704,-0.4774687,-0.4950957,-0.5034472,-0.5678867,-0.5959498,0.0477595027749469
"P61106",0.08289821,0.13845933,0.23953191,0.18871088,0.23973058,0.23386175,0.241580401203042
"P61160",-0.7122121,-0.2763792,-0.2631897,-0.2259224,-0.7352547,-0.1045434,0.69351822324052
"P61163",0.18335674,0.17055835,0.43117879,0.29453939,0.04307166,0.06591051,0.080124770200701
"P61204",0.30851118,0.08736427,0.29794248,-0.02084939,0.30219231,0.13244871,0.506431621146621
"P61224",-0.7056819,-0.6777548,-0.8246948,-0.8453277,-0.8033925,-0.81515,0.664072853292587
"P61225",-0.1222283,-0.2395469,-0.2257027,-0.1806368,-0.1435139,-0.2441724,0.745451314902792
"P61247",0.11336257,0.23305959,0.09987367,0.11766147,0.35207505,0.26153398,0.100577308582456
"P61266",1.354194,1.295692,1.298121,1.325552,1.46462,1.326594,0.416331704923821
