"","Control","Control.1","Control.2","Control.3","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","Disease.22","Disease.23","Disease.24","Disease.25","Disease.26","Disease.27","Disease.28","Disease.29","Disease.30","Disease.31","Disease.32","Disease.33","Disease.34","Disease.35","Disease.36","Disease.37","Disease.38","t_test_p_value"
"P15259",2.061202,1.760953,1.897836,1.010117,1.681879,1.449161,1.155028,1.80727,1.760723,1.389041,1.944445,1.728703,1.125126,1.275492,1.968061,1.930873,1.247176,1.761029,1.69212,1.402835,1.352527,1.468449,1.476387,1.546505,1.200837,1.288715,1.300448,1.316059,1.451707,1.168764,1.710613,1.503714,1.544182,1.60295,2.325202,1.211053,1.781384,1.581127,2.41694,1.359031,1.571257,2.338407,1.430413,0.928630050042126
"P15289",-2.1290962,-1.8895633,-1.9589344,-1.9101008,-1.8566274,-2.0183526,-1.6573098,-1.7566561,-1.8193448,-2.0131738,-1.9222634,-0.8831562,-1.8175281,-2.1210435,-0.8497931,-1.9729804,-1.8881564,-1.9765728,-0.3334424,-1.7577685,-2.0435654,-1.8853337,-0.7037996,-2.0636277,-1.8310667,-1.0509781,-0.9925941,-1.8062517,-0.6616135,-2.1051041,-1.9062801,-1.7370789,-1.7400827,-1.7329637,-1.6112625,-1.8826922,-2.0082316,-1.9689082,-1.8868882,-2.0083811,-1.9231689,-1.9994356,-1.9794574,0.0101666844793625
"P15311",2.1265132,1.2104584,0.8420071,1.5735798,1.925619,1.7891585,1.9858803,1.20603,1.713448,2.003899,1.8441665,1.3466255,1.9464494,1.7739809,2.2109651,2.154983,1.778993,1.5257474,1.8283023,1.9370376,2.1402714,1.9818511,1.8403599,1.5273981,1.5840782,1.6486236,1.8538425,1.6300971,2.2513381,1.6102349,1.8284058,2.1534853,2.2275145,1.8967413,2.4110157,1.7310706,1.8662042,1.8740099,2.2545647,1.7560616,1.9199296,2.1686032,1.9290617,0.128181338277573
"P15374",-2.798597827,-0.216794924,-2.628443267,0.304148083,-0.273734395,-2.687859465,-2.326823181,-2.426168589,0.275901336,-0.096937725,-0.88108152,-0.438916692,0.002007105,0.107051418,-0.41506777,-2.642488773,0.034298306,0.063985064,0.445355381,0.135385043,0.285671894,-2.554844285,0.464979225,0.052196632,-0.11881183,-0.204791095,-0.963138998,0.030581589,-0.330940339,0.293946083,-2.575790277,-2.406591617,0.175127015,-0.216314834,-2.280776175,-0.056974514,-0.27397402,0.086819024,-0.736642672,-2.677888356,0.297932425,-2.668943176,0.08532037,0.988371203192393
"P15502",-0.1662862,-1.2392775,-1.3086486,-1.2598149,-1.2063414,-1.3680668,-1.0070238,-1.1063701,-1.1690588,-1.3628881,-1.2719775,-0.9318401,-1.1672422,-1.470758,-1.3704336,-1.3226946,-1.2378705,-1.326287,-1.1634223,-1.1074825,-1.3932797,-1.2350478,-1.4073467,-1.4133421,-1.1807808,-0.400692,-0.342308,-1.1559658,-0.4624415,-1.4548185,-1.2559943,-1.0867929,-1.0897967,-1.0826777,-0.9609765,-1.2324063,-1.3579459,-1.3186224,0.1910099,-1.3580954,-1.2728831,0.0962383,-1.3291716,0.0321713073973727
"P15531",1.003915,1.0402772,1.1049237,1.1109453,0.8875725,1.113311,0.9461836,0.9916972,1.4592018,0.9615459,0.9551172,0.9380093,1.0385107,0.9798543,0.6980685,1.0578957,0.9742761,0.9666325,1.2981605,1.1070259,0.9210667,1.2088711,1.2289415,0.9917977,1.0100267,0.9571791,0.9801839,0.7603374,0.7354521,0.9453652,0.8215037,1.2464723,1.1012139,1.0860345,1.1119928,1.0001746,0.8600531,0.9196224,0.982355,0.9907493,1.267768,0.974961,1.0139492,0.743099598529391
"P15559",-1.84824978,-1.60871658,-0.49410235,-1.62925403,-1.57578056,-1.73750591,-0.15485765,-1.47580924,1.07203209,-1.73232715,-0.34605926,-1.30127928,-1.53668133,-1.84019701,-0.23885062,-1.69213366,-1.60730963,0.24179589,0.94140437,-1.47692169,-1.76271876,-1.60448694,0.65646523,0.11790816,-1.55021988,-0.01035063,-0.71174718,-1.52540489,-0.3632335,-1.82425756,-1.62543339,-1.45623206,-1.45923588,-1.45211689,-0.63144563,-1.60184543,-1.72738497,-1.68806149,-1.60604145,-0.38661973,0.73473556,-0.21908633,0.07118163,0.241379669110205
"P15586",-0.984274446,-2.039873355,-2.109244371,-0.681037973,-2.006937387,1.226706607,-0.183379272,-1.906966186,0.176914144,-2.163483648,-0.875471425,-1.732436326,-0.283497462,1.194985188,-2.171029115,-2.123290264,1.466586231,-2.126882653,0.003152713,-1.908078625,-2.193875152,-2.035643726,-0.297674301,-0.574529106,-0.223248412,-1.201288344,-1.142904316,-1.257592058,-1.962007493,-0.429416874,-2.056590135,-1.887389017,-1.89039284,-1.88327385,-1.76157266,-0.18479014,-2.15854148,-2.119218098,-2.037198224,1.457976259,-0.945311692,-2.149745466,-0.414514379,0.163930370393432
"P15880",1.3465314,1.0397129,1.072048,1.2377668,1.1979595,1.4319651,1.2932984,1.0378352,1.9823913,1.6790867,1.2930539,0.7827293,1.3306375,1.8556094,2.1079809,1.3524211,1.3914117,1.1917247,1.1673437,0.9810026,1.107084,1.4547773,1.6486638,1.2900026,1.315145,1.2361864,1.0724791,1.262868,1.8247365,1.2790132,1.1832702,1.3044494,1.3044122,1.2745949,1.5526443,1.4433211,1.375083,1.4196842,1.23277,1.393124,1.8423078,1.2315109,1.290358,0.00477244848245178
"P15882",-0.67627437,-0.12942635,-0.32903304,-1.14676654,-0.07686567,-2.10599456,-1.74495195,-0.92747037,-1.90698688,-2.10081581,-2.00990547,-0.9707984,-1.90517026,-2.20868538,-2.10836129,-2.0606224,-1.97579849,-0.18469376,-1.90135032,-1.02603922,-2.13120735,-1.97297581,-2.14527434,-0.51630565,-1.9187088,-1.13862032,-1.0802363,-0.59000738,-1.89933954,-1.11050061,-1.99392223,-1.82472105,-0.44674939,-1.82060588,-1.69890467,-0.42211218,-2.09587364,-0.89305221,-1.97453031,-2.0960231,-2.01081101,-0.42125535,-2.06709941,0.0123856306980275
