"","Control","Control.1","Control.2","Control.3","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","Disease.8","Disease.9","Disease.10","Disease.11","Disease.12","Disease.13","Disease.14","Disease.15","Disease.16","Disease.17","Disease.18","Disease.19","Disease.20","Disease.21","Disease.22","Disease.23","Disease.24","Disease.25","Disease.26","Disease.27","Disease.28","Disease.29","Disease.30","Disease.31","Disease.32","Disease.33","Disease.34","Disease.35","Disease.36","Disease.37","Disease.38","t_test_p_value"
"A0A0B4J1X5",-1.84179455,-1.60226135,-1.6716325,-0.51987695,-1.56932533,0.13476672,0.25544388,-1.46935401,-1.53204272,-1.72587193,0.02180923,-0.24059012,0.08285676,0.07329055,-0.37103899,-1.68567843,0.41936412,-0.68389918,-1.52640615,-1.47046645,-1.75626353,-1.59803171,0.07795099,-1.77632594,-0.23677126,-0.06470598,-0.70529195,0.06363446,-0.61206348,-0.46689722,-1.61897816,-1.44977683,-1.45278065,-1.44566166,-1.32396039,-1.5953902,0.10231012,0.18666708,-1.59958621,0.48898716,0.18624942,-1.7121337,-0.40218342,0.115125695846304
"A0AVT1",-0.02807777,-1.11935446,-0.57846522,0.02701978,-1.81744518,-1.28020072,0.43732423,-1.7174739,-1.78016259,-0.29499772,0.15496573,0.49850119,-0.20112258,-0.44522777,-1.98153715,-1.93379821,-0.4698166,-0.22961562,0.15569083,-0.45946275,-2.00438324,0.4709208,-0.0268984,0.14943323,0.18972545,-0.09062236,-0.1106758,0.03517109,-0.56191961,0.06391636,-0.30276791,1.62951575,-0.3480327,-1.69378155,-1.57208031,-1.01513519,-1.96904949,-1.92972604,-0.2597101,-0.45275743,0.06654853,0.24299446,-0.49717977,0.441636653176209
"A0FGR8",-1.988381,-1.7488479,-1.8182191,-1.7693854,-1.7159119,-1.8776372,-1.5165943,-1.6159406,-1.6786293,-1.8724585,-1.781548,-1.4414107,-1.6768127,-1.9803283,-1.8800039,-1.832265,-1.747441,-1.8358574,-1.6729927,-1.6170531,-1.90285,-1.7446183,-1.9169171,-1.9229124,-1.6903512,-0.9102626,-0.8518786,-1.6655363,-0.972012,-0.6515845,-1.7655647,-1.5963634,-1.5993673,-1.5922483,-1.470547,-1.7419768,-1.8675163,-1.8281928,-0.8866523,-1.8676657,-1.7824535,-0.3807699,-1.838742,0.0137801974573342
"A0MZ66",-2.19480168,-0.07330679,0.12952986,-1.97580638,-1.92233296,-2.08405809,0.53563481,0.18079903,-1.88505038,-2.07887934,-1.98796898,0.88891725,-1.88323375,-2.18674894,-2.08642482,-2.03868592,-1.953862,-2.04227831,-1.87941381,0.56269003,-2.10927088,-1.95103931,-0.47403373,-2.12933325,-1.8967723,-0.4177138,0.44322459,0.01164732,-0.43353386,-2.17080953,-1.97198574,-1.80278454,-1.80578836,-1.79866937,-1.67696815,-1.9483978,-2.07393717,-2.03461375,-1.95259381,-2.07408663,-0.48580344,-2.06514115,-0.44336043,0.505994708385229
"A1L0T0",0.005174921,-1.178862763,-0.710551876,-0.151727399,-0.843194788,-0.480298323,-0.436116704,-1.744925304,0.041343346,-0.933148229,0.541378663,-1.570395377,-1.086576592,-0.201458059,-0.192641478,0.194074489,-0.389275979,-0.273433611,-0.326155756,-0.193780527,-2.031834602,-0.024923952,-0.257233435,-0.056631242,-0.375794289,-1.039247345,-0.980863316,-0.361164137,-0.22648205,-0.639228709,0.254139417,-0.189335422,-0.565319018,-1.001637248,-0.326799973,-0.252505034,-0.092966589,-1.957177416,0.152662506,-0.339342573,-0.2606174,0.031830418,-0.325954124,0.343028063742789
"A1X283",0.684471081,-0.51746906,-1.402654219,0.220126092,0.025025759,0.996443945,0.001004943,-0.068710095,-1.26306441,-1.456893656,0.0827801,-1.025845713,0.67485587,1.069917655,-0.381960653,0.705207373,0.947494036,0.302154071,0.070483389,0.169688658,-0.388255971,0.636957891,0.270711652,0.37671847,0.515007835,0.204272364,-0.436313611,0.251980922,0.369939097,0.193526909,-0.023942387,0.501454593,-1.183802333,-0.042548,-1.054982061,0.58930272,0.082927112,-0.255244685,0.327058253,0.976630966,0.53500409,0.289905516,0.556872259,0.244699162430747
"A2NJV5",0.212993981,-0.242029918,-0.038076374,0.496646123,0.496327879,1.093398129,1.050773204,0.26641738,-1.217868032,-1.411697282,0.390422991,0.759201658,0.78466308,0.808617612,0.278237278,-1.371503775,0.972258612,-0.002661176,0.19794829,0.602458976,-1.442088894,0.332343411,0.649367313,0.176485833,0.395787996,0.249468743,0.511280957,0.51166819,0.059148694,0.473890053,0.33986096,0.952014112,-1.138605955,0.256987808,0.758594893,0.278752813,0.273770444,0.38026238,-1.285411538,1.215003276,0.645604903,-1.397959055,0.345475756,0.997343761482202
"A5YM72",-2.91423373,-2.67471629,-2.7440845,-2.69525297,-2.64178137,-0.51475252,-0.05171463,-2.54181253,-2.60449982,-2.79832086,-2.70741509,0.88944478,-0.41837122,-2.90618183,-2.80586586,-2.7581297,-2.67330939,-2.76172191,-2.5988634,-0.1800309,-2.82871039,-2.6704868,-2.84277635,-2.84877126,-2.61622144,-1.13716874,-0.08013845,-2.5914071,-1.1186792,-2.89024398,-2.69143247,-2.52223571,-0.22510616,-2.51812062,-2.39642098,-2.66784538,-2.79337899,-2.75405774,-2.67204125,-2.79352844,-2.70832059,-2.78458349,-2.76460638,0.00342096414526545
"A6NCS6",-2.596711853,-2.357182219,-0.291440996,-0.182823397,-0.522527426,0.263987603,-0.15969898,-0.722704628,-2.286964078,0.004301619,0.145783004,-2.049746252,-0.439603814,0.118719235,-0.049811043,0.172496142,0.207945213,-0.10490202,-2.281327543,-2.225388127,0.089614278,-0.422137104,-0.80316597,-0.447913983,-2.298685935,-0.819628613,-1.46021456,-0.768233566,0.023095898,-0.280737191,-0.029698311,0.210660639,0.045939001,-0.433242184,-0.122459951,-2.350311121,-2.475849324,-0.434443564,0.058784381,-0.155302416,-0.634728539,-2.467053406,-0.175544542,0.772966233443162
"A6NE02",-2.1709575,-1.9314247,-2.0007958,-1.2529924,-1.8984887,-2.0602139,-1.6991712,-1.7985175,-1.8612061,-2.0550351,-1.9641247,-1.6239876,-1.8593895,-2.1629048,-2.0625806,-2.0148417,-1.9300178,-2.0184341,-1.8555696,-0.5277626,-2.0854267,-1.9271951,-2.0994937,-2.1054891,-1.8729281,-1.0928395,-1.0344555,-1.8481131,-1.8535588,-2.1469653,-1.9481415,-1.7789403,-1.7819441,-1.7748251,-1.6531239,-1.9245536,-2.050093,-2.0107695,-1.9287496,-2.0502424,-1.9650303,-0.9383481,-2.0213187,0.780111362848972
"A6NHL2",0.4507004,1.3015209,1.4191811,0.39314,1.078176,0.828306,0.9594826,1.4063619,1.032209,0.7017544,0.8957687,1.6274702,0.6477479,0.7147844,1.1451153,0.625991,0.8499121,0.4999206,1.0545045,1.0572537,0.7796015,-0.8617767,0.8234699,0.276483,0.7787671,0.6715491,1.2398942,0.760234,0.864761,0.6188273,0.8574677,1.1271016,0.8282593,1.038575,1.0272251,0.6866365,0.4342236,0.9384575,0.8366766,0.8205673,0.7755341,0.7228892,0.6922416,0.381586861670673
"A6NHQ2",0.170089631,-0.246312791,-1.051997941,-1.003164226,-0.94969074,0.117593084,-0.750373077,-0.150749403,0.347710241,-0.0913663,-1.015326846,-0.67518942,-0.910591497,-0.06404545,-0.020141141,-1.066043873,-0.005040282,-1.069636273,-0.906771554,-0.850831846,-1.136628998,0.361563063,0.161058511,-1.156691423,-0.924130052,-0.144041344,-0.085657315,-0.899315064,-0.023319538,-1.198167834,-0.999343581,-0.830142217,0.155707784,-0.826027047,-0.704325768,-0.975755612,-1.101295198,-1.061971696,0.312577274,0.163725494,0.283550036,0.236605565,-1.072520896,0.190509800384307
"A6NHR9",-1.06589651,-2.1519051,-2.22127601,-0.39926308,-2.11896918,-1.58172514,-0.4437357,-2.01899807,-2.08168665,-0.63707219,-0.84144648,-1.84446829,-2.07987003,-1.15869003,-1.0903286,-2.23532188,-0.99425344,-0.7583193,-2.0760501,-2.0201105,-0.67296138,0.02363194,-0.89401332,-0.34928746,-0.4229633,-1.31332037,-1.25493635,-0.87415186,-1.00995539,-0.2353828,-0.68326014,0.46714855,-2.00242473,-1.99530575,-1.87360461,-0.35754961,-2.27057302,-2.23124972,-2.14922998,-2.27072248,-2.18551061,-2.26177703,-2.24179887,0.457852323752697
"A6NIH7",-0.23173078,-1.15740346,-1.22677463,-0.19724062,-1.12446743,-1.28619283,-0.92514977,-1.0244961,0.15541548,-1.28101407,-1.19010353,-0.84996611,-1.08536819,-1.38888398,-0.02090253,-1.24082056,-1.15599651,-1.24441296,-0.08274958,-1.02560854,-1.31140568,-1.15317382,-0.38839813,-1.33146811,-0.39993674,-0.31881804,-0.26043401,-1.07409175,-1.07953747,-0.24325263,-1.17412027,-1.00491891,-1.00792273,-1.00080374,-0.87910246,-1.1505323,-0.12573423,-1.23674838,-0.01631915,-1.27622134,-0.09143973,-1.26727584,-1.24729758,0.809514413482166
"A8MXV4",0.06846386,-2.11836585,-2.18773679,0.91538355,-2.0854299,-2.24715473,-1.88611255,-1.98545876,-2.04814737,-2.241976,-2.15106583,-1.81092896,-2.04633075,-2.34984523,-0.19054163,-2.20178267,-2.1169589,-1.50640592,-2.04251081,-1.9865712,-2.27236745,-2.11413622,-2.28643441,-2.29242976,-2.05986927,-1.27978102,-0.49916934,-2.03505433,-0.44021792,0.95720575,-0.94239221,-1.9658816,-1.96888542,-1.96176644,-1.84006528,-2.11149471,0.21742392,-0.35425665,-2.11569072,0.31287772,-1.32610044,-2.22823784,-2.20825966,0.764341161782307
"E9PAV3",0.456811,0.3081421,0.2181406,0.6185963,0.202703,0.5570726,-1.5374259,0.2639545,0.6514152,0.1501316,-1.8023796,-1.4622423,0.7234733,0.5997698,0.4735114,0.3409463,0.572173,0.5712892,0.3704529,0.4601163,0.319923,0.5363797,0.561189,0.5942514,0.8240576,0.5495156,0.5788957,0.4843983,0.6269601,0.6754029,0.2654677,0.5407853,-0.9212289,0.5273148,0.7219366,0.7809514,0.3557349,0.5052906,0.5906338,0.5550554,0.4932187,0.4878315,0.4751201,0.892299536118242
"M0R2J8",-2.12638533,-1.88685244,-1.95622354,-1.90738988,-1.85391644,-2.01564165,-1.65459889,-1.75394518,-0.17756886,-2.0104629,-1.91955249,-1.57941525,-0.32433591,0.06547849,-2.01800838,-1.97026945,0.49388022,-1.97386185,-1.81099729,-1.75505762,-2.04085446,0.33647674,-2.05492147,-0.23587268,-1.82835578,0.26664874,-0.29091319,-1.80354081,-1.80898652,-2.10239316,-1.90356924,-1.734368,-1.73737182,-1.73025283,-1.60855159,-1.87998129,-2.00552072,-1.96619728,-1.88417731,0.89525854,-1.92045803,-1.9967247,-0.05607037,0.000750766373440478
"O00139",0.4576107,0.8408358,0.914738,0.2527862,0.3206757,0.5412371,0.4802207,0.8014824,0.5405835,0.3928259,0.8862375,0.8151582,0.4033672,0.5562961,0.4374138,0.5299264,0.4241776,0.2025494,0.3781603,0.6112429,0.3496256,-0.2499216,0.246838,0.1618918,0.5166357,0.1780849,0.5434034,0.4836175,0.37537,0.5897093,0.7290438,0.9177167,0.4297632,0.3198393,0.5676582,0.4052382,0.2157899,0.6137756,0.8207543,0.2519599,0.5638253,0.5310727,0.514932,0.58378142443708
"O00151",0.07515449,-2.11028835,-2.17965931,-2.13082575,-2.07735241,0.89239875,-1.87803505,-1.97738126,0.42757364,-2.23389852,-2.14298834,-1.80285145,-0.10937809,-0.02226426,-0.67674445,-0.01711279,0.02712268,-0.03598852,1.11372644,-1.9784937,-2.26428998,0.02661358,0.1464043,0.35157534,-2.05179178,-0.57273351,-1.21331947,-2.02697684,-0.46543409,-2.32582843,-2.12700512,0.41539769,-1.96080792,-1.95368893,-1.83198778,-2.10341722,-2.22895636,-2.18963303,-0.0467789,-0.83328667,0.88383173,-0.16645144,0.40047225,1.07989537974768e-07
"O00154",-1.936386475,0.998972293,1.125158466,-0.623192142,0.066255176,-1.825642646,0.241957536,0.918999413,-0.800262375,0.476640656,0.157096576,1.005251629,-1.624818092,-1.218151251,-0.56898605,-1.780270405,-0.996476469,0.185737933,0.302641263,0.324437554,0.337284197,-1.692623703,0.448575617,-0.000197422,-0.144764614,0.032769729,0.76966845,0.504911911,-0.476047292,-0.275918805,0.233105402,0.641451266,0.472138321,0.413818794,-0.55967522,-0.292428552,0.492672539,0.358200343,-0.893442835,-0.785178931,0.189082173,-0.828201131,-0.355155585,0.267331529096733
"O00160",-2.64717599,-2.40764731,-2.47701762,-1.30516738,-0.66600942,-2.53643483,-0.50714497,-2.27474101,-2.33742931,-2.53125616,-2.44034702,-2.10021171,-1.63664428,-2.63912347,-0.72452686,-2.49106334,-2.40624038,-2.49465569,-0.27048774,-0.86484395,-1.32614792,-2.40341772,-0.10937801,-2.58170914,-2.34915114,-0.3873756,-1.51068013,-1.1613674,-0.89415133,-2.62318447,-2.42436394,-2.25516392,-2.25816773,-2.25104878,-2.12934798,-1.24950782,-2.52631407,-2.48699123,-2.40497221,-2.52646353,-2.44125255,-2.51751819,-0.05260847,0.751156734881499
"O00161",-0.12067806,-2.04292044,-2.11229145,-2.06345785,-2.00998447,-2.17170947,-1.81066703,-1.91001327,-1.97270191,0.12778368,0.01591675,-1.73548341,-1.97088529,-0.93541481,-2.17407619,-2.12633734,-0.01968069,-1.43096034,-1.96706535,-0.82412168,0.32536429,-0.87717668,-2.2109892,-1.13641855,-1.98442382,-1.20433543,-1.1459514,-0.65176905,-1.96505457,-0.23919356,-2.05963721,-1.8904361,0.33590136,-1.88632093,-1.76461974,-2.03604929,-2.16158856,-2.12226518,0.25083636,-2.16173802,-2.07652599,0.10641553,-0.06383136,8.59438763741952e-06
"O00168",-0.2643959,0.49820335,0.53889409,-0.22701839,-2.38518307,-0.21549393,0.23116198,0.45789512,-2.34790078,0.28670025,-2.45081844,0.51008139,-2.34608417,-0.11419706,0.21829746,-0.07736438,-2.41671182,0.28045127,-2.34226426,-2.28632494,0.40851764,-2.41388917,-2.5861852,-0.06663987,-0.49880592,-1.5795357,-0.82218172,-0.47379604,-2.3402535,-0.46098872,-2.43483538,-2.26563543,0.47671686,-2.26152028,0.43175166,-0.52892668,-2.53678543,-0.55749881,-0.12381018,-2.53693489,-2.45172398,-0.20295002,-2.50801165,0.399674125053639
"O00170",-0.004093394,0.082849296,-0.080968313,-0.037111527,-1.720570027,-0.069797875,-0.418095088,-0.131883939,0.148334439,-0.799250772,-0.565288433,0.267821913,-0.000278372,0.129761215,-0.313614851,0.114208285,-0.158118754,0.024955323,0.123913994,-0.436146082,-0.573076291,-0.526787848,0.089557066,-0.450180492,-0.102022927,-0.215950722,0.103599288,-0.267789188,-0.431053627,-0.478843904,-0.027467324,-1.601021545,-0.611127449,-1.596906375,0.208492071,-0.124292211,-0.772345325,-0.18106399,-0.065355159,-0.017456445,-1.787111643,-0.2600119,-0.508542996,0.80665158220113
"O00182",-1.75709928,-1.51756605,-1.58693721,-1.5381035,-1.48463002,-1.64635539,-0.05884678,-1.3846587,-1.44734741,-1.64117663,-1.55026612,-1.21012872,-1.44553079,-1.74904652,-1.64872213,-1.60098313,-1.5161591,-1.60457553,-1.44171084,-1.38577114,-1.67156824,0.16207339,-1.68563527,-1.69163066,-0.44040878,0.12917694,-0.62059663,-0.73528437,-0.06455601,-1.73310705,-1.53428286,-1.36508151,0.2207317,-1.36096634,-1.23926507,-0.20931736,-1.63623445,-1.59691096,-1.51489091,-1.63638391,-0.10348377,-1.62743841,-0.49613972,0.00107702034904135
"O00186",-0.2260183,-1.3966649,-1.4660361,-0.5216329,-0.4176093,-1.5254542,-0.4413201,-1.2637575,-1.3264462,-0.1301675,-0.3847169,-0.2221147,-1.3246296,-1.6281454,-0.4845448,-1.480082,-1.3952579,-0.7077201,-1.3208097,-0.3453263,-0.3454879,-1.3924352,-0.6912674,-0.5177012,-0.6391982,-0.5580795,-0.4996955,-0.5887822,-0.4305149,-1.6122059,-1.4133817,-1.2441803,-1.2471842,-1.2400652,-1.1183639,-0.5768823,-1.5153333,-1.4760098,-1.3939897,-1.5154828,-1.4302705,-0.2189916,-1.486559,0.931715560971424
"O00192",-0.5543299,-1.1263933,-1.0276727,-1.0163875,-0.3996894,-0.9876895,-1.1833665,-1.1038129,-2.700349,-0.3576538,-0.5818914,-1.2680698,-1.1029523,-0.9495269,-0.6042734,-0.5438877,-0.7041698,-0.9645458,-0.5958695,-1.0143174,-0.195613,-0.6189696,-0.6538066,-0.8611414,-0.8812274,-0.467548,-1.174637,-0.9061256,-0.4293764,-1.058415,-0.4282764,-0.5632841,-0.1385011,-0.4377928,-0.3659431,-1.2982199,-0.862265,-0.8955862,-0.3947372,-0.7883341,-0.8466737,-0.2859342,-0.6222314,0.583466522109832
"O00193",-2.16673374,-1.92720093,-1.99657202,0.20566549,-1.89426494,-2.05599011,-1.69494741,-1.79429369,-1.85698236,-2.05081136,-1.95990097,-1.61976378,-0.09766435,-2.158681,-2.05835684,-2.01061792,-0.1098835,-0.07671531,-1.85134579,-1.79540613,-2.08120291,-1.9229713,-0.07985551,0.08394145,-1.86870428,-1.08861576,-0.33126173,-1.84388931,-1.84933502,-0.06932534,-1.94391773,-1.77471651,-1.77772033,-1.77060134,-1.64890012,-1.92032979,-2.04586918,-2.00654575,-1.9245258,-0.13902993,-0.22209429,-0.28313651,-2.01709494,0.985881516748963
"O00213",-2.3481775,-1.2615413,-0.4974981,-2.1291827,-2.0757094,-0.9697861,-1.876392,-1.0135833,-2.0384268,-1.0740375,-2.1413453,-0.9106703,-2.0366102,-2.3401247,-2.2398009,-2.1920621,-2.1072384,-2.1956545,-1.0379938,-1.9768507,-2.2626469,-2.1044157,-2.2767139,-2.2827093,-2.0501487,-1.2700605,-1.2116764,-2.0253338,-1.3318099,-2.3241854,-1.0862086,-1.9561611,-1.9591649,-1.9520459,-1.8303447,-2.1017742,-2.2273133,-2.18799,-2.1059702,-2.2274628,-2.1422508,-2.2185173,-2.1985391,0.389539884896046
"O00217",-0.662244903,0.653646141,0.784482125,-0.043034925,-0.789265252,-0.735614964,0.041408691,0.661480272,-1.916704344,0.132602229,-2.019622923,0.464905312,0.016495618,0.223396628,-0.813432931,-0.618911463,0.13390454,-0.198426896,-0.580351298,-1.077667046,-2.140924789,-1.982693266,-2.15499178,-0.091174782,-0.263682798,0.359544472,-0.040494806,0.070952199,-0.313820333,-0.914069269,-1.304670025,-0.117140977,-0.122876397,0.004415095,-0.589563561,-0.014515629,-0.195671522,-0.318937795,-0.706004476,-0.68565246,-2.020528465,-0.232992792,-0.169166739,0.153712107583588
"O00231",0.09134038,-0.65146999,-0.03304664,0.3826117,-0.44478975,0.1388699,-0.7539172,-0.02591685,-1.61492219,0.06564636,-0.16678961,-0.19495235,0.23826622,0.247446,0.16619936,0.02274023,-1.68373386,-0.21913054,-0.22182341,0.28521109,0.1582036,0.23101569,0.14214554,0.05108673,0.48346974,-0.11058141,0.05797742,0.23772716,0.07177254,0.46546476,-0.08262117,0.17085703,-1.53566013,-0.40898669,-1.40683987,0.28751413,0.08987989,0.14378382,0.21449272,0.20677366,-1.71874642,-0.4069763,0.08007213,0.936791511619539
"O00232",0.28883596,0.05259028,-0.06952837,0.28796691,-1.52235095,-0.01830724,-1.32303331,0.02956507,-1.48506834,-0.28961637,0.32088539,-0.54887966,0.31738605,0.21984965,-1.68644305,-1.63870406,0.3517602,0.10094314,-1.47943177,0.08938881,-0.32329551,-0.13468189,-1.72335619,0.12740714,0.16787305,0.03546236,-0.65831756,0.01512629,0.22544748,0.22112457,-0.42486897,0.48156629,-1.40580627,0.19329452,-0.1054461,-1.54841582,0.20018757,-0.44289135,-1.55261184,0.21509435,-0.27786219,-0.11217211,0.21580115,0.919211963915511
"O00233",0.15085141,-1.40918416,-1.47855533,0.30358959,-0.62968234,0.10277762,-1.17693048,-1.27627681,0.6744954,-1.53279476,-1.44188424,-1.10174683,-0.23852356,0.07013843,0.08402602,0.28838424,0.16595992,0.16045775,0.29995249,-1.27738925,-0.86421641,0.16408346,0.39315758,0.31885086,-1.35068745,-0.57059876,-0.51221473,0.05620699,-1.33131818,0.0199274,-1.42590097,-1.25669962,-1.25970345,-1.25258445,0.43961396,-1.40231301,-1.52785258,-1.48852908,0.37476849,-0.13068246,0.52448043,0.23432149,-0.05621578,0.498160779600104
"O00244",0.50124219,0.40595475,-1.40701389,0.49942888,0.5254725,0.49834243,-1.10538904,0.46472002,0.87628349,0.58179942,0.38514451,0.18574925,0.40352753,0.3054033,0.58903009,0.78565197,0.37566335,0.23445487,0.61892931,0.0875981,0.32870653,-1.33341309,0.32251937,0.18494807,-0.08120677,0.19991269,-0.44067329,-1.25433103,0.36339721,-0.01546107,0.16864741,-1.18515818,0.54154141,0.27072249,0.63690527,0.41236278,0.50955145,0.41473725,0.96384455,0.13899837,0.77926051,0.72010119,0.45677967,0.68317253384101
"O00258",-1.0313498,-2.2311055,-2.3004763,-1.4351867,-2.1981697,-2.3598941,-1.0721339,-2.0981987,-2.1608872,-2.3547154,-2.2638055,-1.923669,-2.1590706,-1.037202,-2.3622608,-2.3145222,-2.2296986,-2.3181146,-1.2623115,-1.4003416,-1.0175766,-2.2268759,-1.1884872,-2.405169,-1.3362869,-1.3925211,-1.3341371,-2.1477942,-2.1532399,-2.4466449,-2.2478223,-0.6889552,-2.0816253,-1.0499523,-1.9528053,-2.2242344,-2.3497732,-1.0541758,-0.7433504,-1.0641786,-0.8473769,-0.811651,-0.9287167,0.208730190789728
"O00264",1.3753746,1.0404652,1.459289,1.0321616,0.806421,1.1248292,0.6962197,1.0532868,1.3289292,1.2115293,1.1983479,0.9711817,0.7571069,0.8954061,0.8739948,1.4530528,1.0169501,0.9724962,1.1391133,1.0470708,1.1287717,1.2311031,1.1522456,0.8980608,0.8630082,0.6950371,0.7700568,0.6890397,1.0328963,1.1931246,0.9289586,1.577513,1.044903,1.1752969,1.0467259,1.13026,1.0354716,1.1400658,1.4927556,1.0573143,1.0791555,1.3473592,0.9789325,0.89112659120355
"O00273",-1.532645,-1.2931117,-1.3624829,0.426831,-1.2601757,-0.6658709,-1.060858,-1.1602043,-1.222893,-1.4167223,-1.3258118,-0.9856743,-1.2210764,-0.8256222,-1.4242678,-1.3765288,-1.2917047,-1.3801212,-1.2172565,-1.1613168,-1.4471139,-1.2888821,-1.4611809,-1.4671763,-1.234615,-0.4545263,-0.3961422,-1.2098,-1.2152457,-1.5086527,-1.3098285,-1.1406271,-1.143631,0.2355353,-1.0148107,-1.2862405,-1.4117801,-1.3724566,-1.2904366,-1.4119296,-1.3267173,-1.4029841,-1.3830058,0.535977665081842
"O00291",-0.06261608,0.11653301,0.20627584,0.51099201,-2.07224153,-2.23396639,-1.87292416,0.13161865,-2.03495899,-2.22878766,-2.13787747,0.33842128,-0.24052629,-0.15956316,-2.23633312,0.49056996,-2.10377053,-2.19218671,-0.22750413,-1.97338282,-2.25917912,-2.10094785,-1.57427727,-2.27924144,-0.23264216,-0.40836001,-0.06950221,-0.06362649,-2.02731166,0.19402449,-2.12189425,-1.95269322,-1.95569704,-1.94857805,-1.82687689,-0.25299616,-2.2238455,-0.13012189,-2.10250235,-0.01335345,-2.13878301,-0.133276,-2.19507132,0.202153995760203
"O00299",1.00031111,-0.229529,-1.46748309,0.91262543,0.31404203,0.97443483,0.79141179,-0.09417069,1.23517492,0.7630762,-1.430812,-0.28378199,1.13269574,0.96474042,1.06009748,0.94190961,0.98761502,0.55998945,1.08116626,0.06231464,0.51668521,1.28458941,1.1178181,0.59306917,0.90555141,0.99745241,0.19782752,0.79192311,0.97517123,0.84775949,-1.41482873,0.72105448,0.74134114,0.38750344,1.19684768,0.83460133,0.51143179,0.9483291,1.02019463,1.09723118,1.03764535,1.04762975,1.10726362,0.209434820503736
"O00303",-0.02594009,-0.64896774,-1.78664319,-0.67960192,-0.44847934,-1.84606136,-0.36289229,-1.58436474,-0.72348737,-1.8408826,-1.74997212,-1.40983478,-0.31058433,-0.49448629,-0.60573578,-0.80758788,-1.71586511,-0.36788166,-0.50247017,-0.47758054,-1.1341258,-1.71304242,-1.88534121,-0.40432748,-0.38281981,-0.87868672,-0.12133269,-0.59130565,-0.44654619,-0.24530438,-1.73398886,-1.56478755,-0.13042663,-1.56067238,-1.43897112,-0.42901148,-1.83594042,-1.79661694,-1.71459692,-1.83608988,-1.75087766,-1.82714438,-0.50265902,0.604802465702338
"O00330",-0.33758058,0.48309648,0.49537551,-1.54403053,-0.50825852,-0.60923858,-1.2912394,0.55163304,-1.45327444,-0.01884019,0.88656881,-0.06147361,-0.25186995,-1.75497354,-0.70345954,-1.60691016,-1.52208612,0.07073179,-0.23913405,-0.01920598,-0.05039095,-1.51926343,0.08871496,0.36221957,-0.53253106,-0.68490768,0.07244635,-0.10264489,-1.44562709,-1.73903408,0.42780208,-0.03817757,-1.37401236,-0.21131322,-1.2451921,-1.51662192,-0.33330035,-1.60283798,0.179527,-0.45327695,-0.53968092,-1.63336544,-1.61338718,0.529286568989135
"O00401",0.317586993,0.052464079,0.118963635,0.194225522,-0.169158295,0.480672571,-0.069951727,-0.004404355,-0.1595187,0.179232821,0.454190654,-0.461803263,0.024558104,0.188105756,-0.090033639,-0.259007687,0.183037225,-0.095360151,-0.209863858,-0.012807355,-0.148278987,0.136654822,-3.09912833,-0.756201307,-2.872598392,-2.09252875,-1.335175239,0.381335338,-0.121289501,0.034695402,0.090746329,0.248603101,-2.781621093,-0.299820143,-2.652806588,-0.441090148,-3.049738815,-0.329878303,-0.070974852,-0.152639658,-2.964690373,-0.348485742,0.004607521,0.00246804899384336
"O00408",-2.4002782,0.1197136,0.285648,-2.1812838,-2.1278105,-2.2895352,-1.9284932,0.1972256,-2.090528,-0.1069883,-2.1934464,-0.1441765,-2.0887113,-2.3922255,-2.2919019,-2.2441632,-2.1593395,-2.2477556,-2.0848914,-2.0289518,-0.1890202,-2.1565168,-2.3288148,-2.3348102,-2.1022499,-1.3221617,-1.2637777,-1.3784654,-2.0828806,-2.3762862,-2.1774632,-2.0082622,-2.0112661,-2.0041471,-1.8824459,-2.1538753,-2.2794143,-0.6827872,-2.1580713,-2.2795638,-2.1943519,-2.2706183,-2.2506402,0.294679965681865
"O00410",-0.56837434,0.4149639,0.30938466,0.59649906,0.2204424,0.48024988,0.40930163,0.47876559,0.43858466,0.21492134,-0.22510271,0.24011303,0.38624687,0.48588077,0.209645,0.01431234,0.47127267,0.55487762,0.41140357,0.29587689,0.34415432,-1.46783776,0.57731194,0.24004833,0.62408554,0.065488,0.14540795,0.26406825,0.1924417,0.57190718,0.41506967,-1.31958286,-0.24036982,0.34820099,-0.22001618,0.47806662,0.44362275,0.18085192,-0.40615637,0.55077786,0.42921134,0.20111113,0.14591692,0.11447390440338
"O00422",-0.3398517,-2.16489073,-2.23426162,-0.04308148,-0.30311728,-0.19917548,-1.93263753,-2.03198371,-2.09467229,-2.28850077,-2.19759069,-1.85745395,-0.25372731,-2.39636984,-0.32526785,-0.03528359,-0.32647168,-2.25189987,-2.08903574,-0.49889373,-0.24821932,-0.05688809,-0.60847767,-0.37376432,-0.3840699,-0.62733605,-1.26792202,-0.68575572,-0.22367018,-0.16245937,-0.30263507,-2.01240656,-2.01541038,-2.0082914,-1.88659027,-0.66044774,-0.22213536,-0.87116138,-2.1622156,-2.28370807,-2.19849623,-0.34943115,-0.31355571,0.923482969853609
