"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"A8MVW0",-0.4340338,-0.3956887,-0.199242,-0.2933561,-0.2597918,-0.1969558,-0.1867255,-0.2047588,-0.3529605,-0.6321636,-0.1466388,-0.4047399,-0.2961079,-0.5854271,-1.6772105,-0.2588825,NA,0.309077256828646
"B2RTY4",-0.32436211,-0.37005703,-0.34071861,-0.29604599,-0.48621166,-0.55706573,-0.25107599,-0.20536092,-0.11241091,-0.08643496,-0.18108053,0.28762971,-0.44946376,-0.1591391,-0.07497322,-0.10689531,NA,0.00459799137242342
"C9J069",-0.8271839,-0.7732087,-1.2625487,-1.0298871,-0.5763908,-0.6449199,-0.8674895,-0.6876407,-0.9615496,-1.0027382,-0.8612928,-1.0048789,-0.6535869,-1.0200915,-1.0025391,-0.860809,NA,0.275123533768067
"L0R6Q1",-0.9080995,-1.4129283,-1.1840956,-0.7607728,-1.2350163,-1.1742689,-1.1439021,-0.9174404,-0.7756484,-0.8621256,-0.869967,-0.5631559,-0.62668,-0.8098325,-0.6585539,-0.9964104,NA,0.102356809215936
"O00116",-0.4596334,-0.5798305,-0.5523495,-0.6214947,-0.7913002,-1.055104,-1.017182,-1.3947539,-0.9202557,-1.1655413,-0.4665448,-0.6611977,-0.5947514,-1.2538116,-0.6388459,-0.7356379,NA,0.96736524202971
"O00139",0.7957163,0.6454048,0.7148881,0.7325191,0.8395173,0.7972586,0.6546167,0.6933879,0.5138587,0.6343051,0.6164615,0.5719542,0.6258889,0.6389757,0.458371,0.6717449,NA,0.236084962529078
"O00151",-0.7784743,-0.8428557,-0.7546392,-0.684694,-0.9770381,-1.0247444,-0.8569527,-0.8232309,-0.1834306,-0.8078805,-0.7478009,-0.5320322,-0.5869501,-1.2718704,-0.7599009,-0.5938379,NA,0.66746711434359
"O00154",1.490323,1.717843,1.26378,1.420522,1.323951,1.407081,1.260321,1.34909,1.348514,1.250397,1.307419,1.31735,1.512938,1.271353,1.253001,1.40135,NA,0.30077144930807
"O00159",-0.29613073,-0.30370881,-0.34787484,-0.19697754,-0.26387224,-0.42295,-0.05929991,-0.35564178,0.2665288,-0.12236222,-0.26856967,0.15271605,-0.06517019,0.07676861,0.09269642,-0.22364497,NA,0.202864308858758
"O00161",-0.2390485,-0.1938624,-0.3140578,-0.9082964,-1.1348916,-1.030877,-0.648013,-0.9144798,-0.6060756,-0.6183698,-0.4319272,-0.404928,-0.5002256,-0.2630723,-0.2415011,-0.1949573,NA,0.00464194761663795
