"","Control","Control.1","Control.2","Control.3","Control.4","Control.5","Control.6","Control.7","Disease","Disease.1","Disease.2","Disease.3","Disease.4","Disease.5","Disease.6","Disease.7","X","t_test_p_value"
"P02100",-0.13178372,-0.02495433,-0.19230207,-0.02305337,-0.14666684,0.04966021,0.19444129,-0.08248709,-0.04537796,0.0933005,-0.48755135,-0.14344987,-0.30278774,-0.33110601,-0.50186382,-0.04430094,NA,0.183875621831152
"P02452",-0.134356724,-0.330649635,-0.960295394,-0.644332204,-0.099162154,0.008268587,0.510021962,0.34713241,0.794090339,0.881585286,0.273217087,0.839832653,0.903686146,0.612352962,1.278010161,1.008731273,NA,0.00977489405910708
"P02462",-1.16109957,-1.93460046,-0.64122914,-0.81638948,-0.78126712,-0.68271372,-0.54893035,-0.73618825,-0.229922,-0.08894704,-1.1035925,-0.54434066,-2.18145202,-0.5425827,-1.1109501,-0.98598491,NA,0.745283429227939
"P02511",2.104032,2.36977,2.357826,1.892147,1.895924,1.922316,1.760822,1.660755,1.681022,1.968485,1.666232,1.608122,1.665935,2.127417,1.678036,1.732599,NA,0.604394596413267
"P02545",1.516876,1.751173,1.619481,1.251275,1.312288,1.336902,1.416366,1.19551,1.400072,1.364849,1.310223,1.205034,1.323283,1.427749,1.524309,1.337434,NA,0.826078421517116
"P02549",0.02262883,-0.23965721,-0.72584876,-0.60780866,-0.77125312,-0.70864193,0.0926127,-0.3459904,0.35140658,0.36953696,0.18930294,0.19687583,0.05964888,-0.88729517,-0.12416453,0.39489055,NA,0.713051989073292
"P02647",0.936008,1.4034821,0.8467716,0.4728575,0.4821597,0.8156682,1.1934554,-0.2427869,1.4758501,1.0519888,0.7576513,0.8636752,1.0495532,0.9921477,1.0481812,1.25925,NA,0.21037661869149
"P02649",0.8371206,0.96518,0.8247559,1.0714338,0.970139,1.1185188,0.9818508,0.9505593,1.2549845,1.2791178,1.6241469,1.2454206,1.2754785,1.3256611,1.2897178,1.1089229,NA,0.0500972409118609
"P02652",-1.0624856,-0.8583824,-0.4268175,-0.956793,-0.9139535,-0.6573674,-0.527212,-1.3588059,-0.4883923,-0.2741657,-1.3078944,-1.0076573,-1.0814982,-0.9244751,-1.3653581,-0.8007296,NA,0.279221580525817
"P02671",0.6398624,0.7890888,0.9053348,1.1112114,0.4075657,0.6270563,0.7802878,0.4681403,1.9462203,1.6058649,0.9574333,0.6509048,1.1669888,0.5003852,0.7542127,0.9834277,NA,0.565082053809904
"P02675",0.9734978,1.2601934,1.1991134,1.1370698,0.8760182,0.6699086,0.9493769,0.665451,2.1461549,1.6834485,1.2804938,0.8344755,1.085181,0.6548849,1.0183053,1.1490306,NA,0.466173364627117
"P02679",1.1386254,1.3398996,1.1479196,1.2581078,0.96295,0.9391816,1.1735104,0.8351737,2.1316905,1.6738511,1.2962827,0.9451031,1.340059,0.9584929,1.1560583,1.2441112,NA,0.547102433029763
"P02686",3.12173,3.674699,3.295409,2.840723,2.778785,2.901473,2.596503,2.652973,2.765488,2.894054,2.814517,2.753871,2.619182,3.07817,2.567933,3.024404,NA,0.825940901782214
"P02689",1.03332757,1.96714636,1.37076674,1.11004169,0.53383994,0.77679862,0.03353514,0.26576438,0.45099818,0.52205248,0.38679532,0.25547359,0.61375436,0.77316585,0.15847449,0.70711021,NA,0.398531582639031
"P02724",-0.2120448,-0.4228263,-0.8314406,-0.6988539,-0.9353549,-0.6287422,-0.8698621,-0.5576002,-0.4745513,-0.3876622,-0.4544556,-0.4699282,-0.7823316,-0.954273,-0.9191216,-0.2146992,NA,0.94654986563184
"P02730",0.71205521,0.91024865,0.24658391,0.3658062,0.04237354,0.22532548,0.71065974,0.38824706,1.00601907,0.96834415,0.69748403,0.83843242,0.6494408,0.20801348,0.53424195,1.07260683,NA,0.702034115521484
"P02743",-0.6683112,-0.43946292,-1.24915007,-0.71425422,-1.61547001,-0.71249982,-0.33014103,-0.78583962,0.20316134,-0.22145584,-0.09904068,-0.5405178,-0.21271987,-0.56477007,-0.31565106,0.06651445,NA,0.152562823534019
"P02746",-0.6886862,-0.5091979,-0.7734649,-0.8752132,-1.213758,-1.0102091,-0.8063548,-0.6356491,-0.7032798,-0.3875289,-0.7917544,-0.8471537,-1.0132462,-0.4426453,-0.6006982,-0.6424335,NA,0.0336493927228147
"P02747",-0.2047663,-0.5323179,-1.6444816,-0.399893,-0.8511226,-0.7387534,-0.30145,-0.2016961,-0.4660475,-0.6026675,-0.4950165,-1.0516411,-0.4461578,-0.4909715,-0.6425647,-0.727171,NA,0.904563444156783
"P02748",-1.8429375,-1.7298973,-1.0103031,-1.2249783,-1.2339794,-1.2528407,-1.1113875,-1.1244158,-0.7536602,-1.0207079,-0.9914081,-1.0905136,-1.1882257,-1.3196613,-0.8199422,-0.7104075,NA,0.352036504715522
"P02750",-1.3135999,-0.2268247,-0.8293212,-1.3835616,-0.9546027,-0.8174901,-0.6385426,-0.8393045,-0.7600965,-0.5400813,-1.2831699,-0.7614804,-0.9210756,-1.3924319,-0.8241989,-0.9785529,NA,0.274169147045559
"P02751",0.06590878,0.10534204,-0.21129032,-0.20844555,-0.14606821,0.04070159,0.26776386,-0.08072356,0.83940114,0.5611573,0.3251059,0.76880168,0.14032978,0.27860603,0.48535352,0.81034808,NA,0.0749154632893473
"P02763",0.8471045,0.5529428,0.9454021,1.0401192,0.6847103,0.5264265,1.0429421,0.4594545,1.1723727,0.918098,0.7385943,0.3615856,0.6392611,0.5942815,0.9562077,0.8119236,NA,0.917532486530744
"P02765",-0.7016249,-0.2878623,-0.596265,-1.0812646,-0.8355779,-0.4995852,-0.3490306,-1.2990094,-0.3538757,-0.4767218,-0.588168,-0.6094328,-1.1700958,-1.3206715,-0.9587364,-0.2305463,NA,0.653864158506208
"P02766",-0.11461084,-0.79066737,-0.03124846,-0.03297678,-0.15130418,-0.38340574,0.10970988,-0.99267863,0.51011596,0.42160657,0.42575733,0.81217062,0.06787818,0.36845755,0.83557773,0.56957744,NA,0.00622206730480833
"P02768",2.330512,2.431618,2.517148,2.199025,2.27968,2.58401,2.702369,2.428801,2.641245,2.569852,2.193614,2.207669,2.415403,2.37564,2.263469,2.513104,NA,0.389918095102424
"P02774",-0.3848597,-0.4617884,-0.4338587,-0.4682757,-0.3657141,-0.4211523,-0.1471615,-0.915406,0.4258504,0.5583046,0.1336243,0.2331136,0.1281723,-0.3620615,0.3961183,0.3191605,NA,0.180096682916693
"P02786",-0.27545537,-0.04651421,-0.49012273,-0.42673924,-0.4371772,-0.53405831,-0.83601318,-0.71722552,-0.2442075,-0.24997211,-0.18732106,-0.23708798,-0.37948885,-0.10078996,-0.30656276,-0.08221669,NA,0.0296463228887601
"P02787",1.4765969,1.618512,1.6685703,1.4174163,1.3604406,1.4973501,1.3891341,1.153492,1.3785809,1.2982037,0.7736565,1.0183857,1.0648793,1.2356753,0.9130664,1.2439923,NA,0.0847897047751148
"P02790",0.03023736,0.19877921,-0.35483332,-0.27285859,-0.1477765,0.29967936,0.17491255,0.05320843,0.61307227,0.48134453,0.15908323,0.02805701,0.23330247,-0.23586369,0.18178647,0.36799665,NA,0.880153176487639
"P02792",1.688318,1.489904,1.837454,1.483685,1.572994,1.557827,1.367051,1.459455,1.489362,1.712324,1.391897,1.567823,1.73991,2.007095,1.95611,1.498053,NA,0.2102239095038
"P02794",2.132405,2.30489,2.309709,2.044606,2.016756,2.132014,1.890231,1.957531,1.876274,2.087287,1.834093,1.828411,1.845284,2.282432,1.938993,2.005482,NA,0.944094236731146
"P03886",0.08726203,-0.31384241,-0.11147786,0.07273434,0.06863919,0.16711023,-0.06435665,0.21364972,0.1728976,0.05803016,0.30138874,0.2698426,0.16531271,0.24252218,0.04650163,0.24698861,NA,0.145949722960651
"P03897",0.100308917,-0.571027961,-0.335911125,0.011460649,-0.055276031,0.025778577,0.030626838,-0.059460935,-0.071069529,0.006825094,-0.453312522,-0.289761111,-0.870244426,-0.406416132,-0.687998686,-0.402518737,NA,0.0293759464625096
"P03905",-0.5045487,-0.7012465,-0.5088084,-0.5457522,-0.4671613,-0.6926729,-0.6250041,-0.2913005,-0.6054877,-0.6436999,-0.5659618,-0.7269754,-0.4615863,-0.4750398,-0.560436,-0.42527,NA,0.307378444086713
"P03915",0.5958584,0.4470293,0.4194713,0.6541097,0.630775,0.5790365,0.4730208,0.6171451,0.509331,0.3617269,0.4936316,0.4389379,0.7111066,0.4358918,0.328403,0.4863747,NA,0.0913877298254571
"P03923",-0.4999752,-0.7332181,-0.9473291,-0.7223209,-0.6096496,-0.4460555,-0.6936635,-0.6253297,-0.4268985,-0.5830447,-0.453462,-0.4921153,-0.4130134,-0.5436196,-0.5908165,-0.2180371,NA,0.222848071199406
"P03928",0.16720673,0.3415371,-0.32456422,0.11706329,0.33582744,0.43293862,0.20753047,0.2316755,0.08114206,0.21027006,0.05076421,-0.01123121,-0.60670816,-0.08856849,0.14630428,0.15695079,NA,0.389842838575286
"P04003",-0.4038105,-0.6943562,-1.034508,-1.0548091,-1.1259761,-0.5670393,-0.1139483,-0.9254098,-0.2228137,-0.0249662,-0.5964277,-0.3819566,-0.5857828,-0.4111271,-0.1783834,-0.2942112,NA,0.0220315870026175
"P04004",-0.5431549,-1.27452888,-0.65293459,-1.35945628,-1.36551496,-0.61368387,-0.53115404,-0.68263101,-0.02559166,-0.63298826,-0.33414696,-0.57687405,-0.23449024,-0.43185575,-0.42389141,-0.17274898,NA,0.0346821261206287
"P04040",0.5996627,0.7111741,0.5899248,0.3265554,0.3608411,0.5117277,0.7725358,0.5309876,0.8937524,1.0749312,0.7508539,0.8622652,0.7136407,0.5470864,0.7248146,1.0068416,NA,0.332288690421427
"P04062",-0.8101112,-1.2417291,-0.7276704,-0.568574,-0.6792683,-0.3687392,-1.6668145,-0.5933837,-1.2462678,-1.2720763,-1.2312052,-1.0595667,-0.4484653,-0.5713189,-0.6567408,-0.7262506,NA,0.18880055647765
"P04066",-1.1048342,-1.0672594,-0.9598999,-0.9791706,-1.1681719,-1.0236719,-1.1433521,-1.1176217,-1.1077463,-1.0098058,-1.0205442,-1.1588603,-1.0397381,-0.8902383,-1.0085897,-1.2785248,NA,0.929002609492552
"P04075",2.425574,2.587199,2.437819,2.452163,2.463531,2.460479,2.438693,2.397285,2.43216,2.385674,2.375549,2.435955,2.583591,2.385214,2.296194,2.397966,NA,0.0637774548562007
"P04080",1.0839795,1.3612095,1.262151,1.0706874,0.9703793,1.0058145,0.9099233,0.825135,1.0305421,0.9019529,0.9485822,0.6898026,1.2440342,1.2784109,1.3461883,1.0703753,NA,0.155545664565974
"P04083",0.6150672,0.4985308,0.709022,0.2959549,0.3762958,0.463937,0.5612423,0.5079131,0.821695,1.1281859,0.6446517,1.0268405,0.6381187,0.9104822,1.2448145,0.7121538,NA,0.0951153429288458
"P04114",-0.30475752,-0.08089611,-1.70190898,-0.20302958,-0.65858762,-1.16380726,0.15846016,-0.81230428,0.11637169,0.19026336,-0.24391223,0.28812797,-0.4740146,-0.26357452,-0.20517673,0.27223492,NA,0.135857686951638
"P04156",0.896098,0.7855267,1.0230504,0.9148094,0.9316424,0.8704442,0.8086645,0.8000926,0.6049793,0.6175898,0.5430483,0.3316249,0.7129536,0.5426387,0.3416317,0.7220685,NA,0.0908613030761798
"P04179",1.440581,1.63002,1.223299,1.403489,1.342725,1.385275,1.140782,1.365822,1.270398,1.21631,1.214734,1.31336,1.429324,1.483704,1.419486,1.305504,NA,0.460621743260543
"P04181",0.309677337,0.049939105,0.058237344,0.147714803,0.01869481,-0.003649176,0.076524226,0.125648576,0.136466946,-0.032478756,0.084762595,0.301954661,-0.055702017,0.273486487,0.259456037,0.050099175,NA,0.238894596660891
"P04216",1.757928,1.601961,1.213341,1.616501,1.620248,1.817053,1.670007,1.81366,1.446959,1.424435,1.24998,1.436212,1.166418,1.294496,1.172836,1.411865,NA,0.0190958882057554
"P04217",-1.7408446,-1.5310871,-1.0605816,-1.1683848,-1.4984923,-1.069106,-0.7265311,-1.1880417,-0.5047347,-0.846338,-1.003668,-0.9508656,-0.7956474,-1.1175054,-0.7910415,-1.0677141,NA,0.54496076065525
"P04233",-0.8101028,-1.1725613,-0.7438167,-1.3714806,-1.0601568,-1.2571235,-1.1729317,-0.9582176,-1.1946419,-0.8520786,-1.0660436,-0.9168021,-1.2137174,-0.7739249,-0.6447812,-1.0474436,NA,0.109267755776716
"P04264",1.220985,1.2244257,1.2420359,1.1302696,1.087324,1.2100434,1.0975802,1.2288625,1.1406811,1.3111105,1.0506223,1.1097634,1.0622042,0.8863836,1.1565196,1.1810349,NA,0.419378464340775
"P04271",0.07908414,0.36664596,1.45498029,0.85400054,0.72332799,1.01544506,0.73089285,0.94308033,1.03333334,1.17407018,0.81933072,1.14513955,0.80224903,0.87169713,1.35820865,1.06903285,NA,0.299016823818189
"P04275",-0.37033871,-0.15075123,-0.74721613,-0.62030518,-0.40279082,-0.34708394,-0.40724009,-0.48722951,-0.36123242,-0.22189242,-0.42708139,-0.24072495,-0.84352276,-0.58178921,-0.01801853,-0.45485876,NA,0.664101145201487
"P04350",3.069638,3.024926,3.009915,2.962869,2.968947,2.980479,2.884624,2.961198,2.970519,2.977157,2.971881,3.015219,2.936806,2.981771,2.729646,3.007992,NA,0.547349448139533
"P04406",2.843994,2.720747,2.716777,2.678964,2.573079,2.619728,2.488849,2.58098,2.808637,2.666025,2.605048,2.637383,2.558382,2.714448,2.604817,2.606694,NA,0.903152197271353
"P04424",-0.430013816,-0.462425767,-0.061903244,-0.289531003,-0.02704335,-0.283299075,-0.228850662,-0.425297725,-0.056902146,-0.169459684,-0.250904856,-0.128871646,-0.132438921,-0.181554967,-0.260508553,0.002979854,NA,0.439593415466701
"P04439",-0.693296683,-0.185696659,-0.340411338,-0.023468701,-0.319483202,0.050255889,0.165804434,-0.009195097,0.160454128,0.018804491,-0.039166869,-0.171711434,-0.032223471,0.162287037,0.129928385,0.06226765,NA,0.042678483311938
"P04632",0.9388967,1.1212396,0.9833702,0.9136903,0.833571,0.9019069,0.9221,0.8286125,0.8237961,1.0425684,0.7867534,0.8996204,0.9612568,0.890943,0.9597637,0.8514733,NA,0.756238374817432
"P04792",1.4441362,1.3654857,1.1056343,1.2816625,0.7288086,1.0375389,1.3416529,1.1442792,1.607842,1.7577638,1.3326458,1.6694151,1.404863,1.7498145,1.7067336,1.5955738,NA,0.00118947737070342
"P04843",0.6599025,0.7088204,0.24861,0.3031833,0.3683079,0.2981023,0.2188723,0.276876,0.4311593,0.4517231,0.3985871,0.5411284,0.4297571,0.4432287,0.7023174,0.5236777,NA,0.0973016787457509
"P04844",0.2610769,0.3532771,0.2082793,0.254106,0.2933501,0.2704539,0.2985783,0.3462645,0.3614747,0.3256303,0.3716685,0.488056,0.5032746,0.4546379,0.6122248,0.3551227,NA,0.135739963766195
"P04899",1.666793,1.556883,1.705142,1.604011,1.695333,1.696415,1.664267,1.604413,1.377512,1.456841,1.340261,1.169786,1.372453,1.351939,1.16997,1.292953,NA,0.00551022973223465
"P05023",2.290775,2.266568,2.04654,2.1909,2.094482,2.155721,2.11286,2.100865,2.095567,1.997635,2.097551,2.054719,2.016972,2.124403,1.948474,2.115679,NA,0.348222785215544
"P05026",2.280308,2.366618,2.140205,2.203885,2.160638,2.211901,2.107795,2.106921,2.027493,1.922375,2.090796,2.017971,2.001369,1.913462,1.928288,2.076288,NA,0.0368378201013227
"P05060",-0.65055772,-0.16523976,-0.18102851,-0.2127718,-0.23964845,-0.32638144,-0.23659874,-0.27032012,-0.06373668,-0.47461926,-0.06328559,-0.29100557,-0.22539764,-0.85538668,-0.58375471,-0.01104501,NA,0.389286513636365
"P05067",0.5889774,0.7487912,0.715993,0.4032767,0.5731079,0.6094964,0.3204346,0.3505415,0.5657743,0.7969488,0.4797346,0.6278598,0.7403233,0.4353068,0.5717004,0.6234518,NA,0.92779885946699
"P05090",1.2391107,1.429366,1.2741376,1.146574,1.0019295,1.2471705,1.1571277,0.9102615,0.8728853,1.0651367,0.7342337,0.6286248,1.2186997,1.0807332,0.7396119,1.1021057,NA,0.323932513684027
"P05091",1.794509,1.870994,1.623475,1.753295,1.704585,1.78748,1.763555,1.649416,1.665727,1.765701,1.662917,1.788089,1.643284,1.847,1.830252,1.707769,NA,0.269160227023082
"P05109",0.36010606,0.13957186,0.07489696,0.49900818,0.10194705,0.37011197,-0.04595344,0.38816403,0.20295429,0.24888544,0.11025783,-0.17994461,-0.4147078,0.24080436,0.27608326,0.36774825,NA,0.326867903329294
"P05129",1.1099601,0.9071266,1.125423,1.2259237,1.2628673,1.2324272,1.1418518,1.2181009,0.9934696,1.0863394,1.0286245,0.8717921,0.9279597,0.9174351,0.7729345,0.956955,NA,0.0170004053796457
"P05141",1.3951638,1.1088182,0.8930804,1.2796133,1.0540194,1.1816074,1.0850208,1.1445485,1.1057406,1.0226148,1.0234265,1.0904735,0.5350706,1.0662189,1.0071571,1.0373885,NA,0.138148792188603
"P05155",0.14753419,-0.12649868,-0.14979834,-0.39257348,-0.28593024,-0.17364395,-0.18223908,-0.46555967,0.2633295,0.0288714,-0.03631344,0.08575479,0.10463185,0.03222151,0.14882989,0.10958079,NA,0.00850090588242802
"P05165",0.8806552,0.9387346,0.494226,0.8309763,0.5999555,0.8528695,0.780468,0.735634,0.7121298,0.6941918,0.7317558,0.6545521,0.7443339,0.6313622,0.8216498,0.7180055,NA,0.803734942605708
"P05166",0.5799821,0.462722,0.587624,0.706386,0.6258974,0.6734161,0.6255263,0.7652501,0.7127705,0.6838738,0.5319066,0.6717209,0.650522,0.6422926,0.6604346,0.6478783,NA,0.879291253682529
"P05186",-0.9468069,-0.3946617,-0.8064281,-1.0155084,-1.1906874,-1.2697416,-1.0104823,-1.2021804,-1.1157901,-1.2984384,-0.8585201,-1.0188116,-2.2807377,-2.2331931,-1.1639878,-1.3514436,NA,0.212739397792746
"P05198",0.5572284,0.4990447,0.608314,0.4635846,0.5366437,0.3839217,0.2138425,0.3530471,0.3379239,0.3489017,0.3640235,0.3867595,0.405271,0.4452678,0.3963086,0.4059164,NA,0.857968596692244
"P05230",-0.33952638,0.33252671,0.22203106,-0.39520607,-0.2713311,-0.22354069,-0.41877014,-0.53210147,-0.20110971,-0.09271558,-0.65315108,-0.23620119,-0.23857964,-0.120855,-0.15619922,-0.28004659,NA,0.998452012022861
"P05362",-1.15107071,-1.61734297,-0.76991459,-1.47503847,-0.78168248,-1.15500481,-0.8443193,-0.97260273,-0.46703697,0.06785368,-0.90116411,-0.3413523,-0.4095712,-0.1526339,-0.01292658,-0.69364834,NA,0.0449543706910474
"P05386",0.4454708,0.1227505,0.302227,0.5461402,0.3409058,0.5784383,0.3987049,0.7552383,0.4428883,0.6616208,0.393499,0.6201646,0.3654135,0.4172009,0.3717956,0.2980471,NA,0.361830550843802
"P05387",1.0004267,1.0887055,0.872249,0.8119149,0.6628614,0.7561228,0.8255946,0.9019467,0.9090387,0.8400176,0.8319371,0.8122974,0.6368095,0.9027112,1.0171206,0.8223239,NA,0.439990363374262
"P05388",0.9292868,0.8581879,0.9198371,0.8950308,0.8365543,0.8155405,0.7901197,0.8456233,0.5506539,0.7951675,0.6982516,0.8620674,0.807989,0.8562723,0.7820376,0.7973679,NA,0.965606412448164
"P05413",1.095998,1.2587103,1.213731,1.273435,1.2480654,1.2621089,1.2316382,1.2488856,1.1306466,0.9922441,1.0764022,1.0644034,1.3440846,1.2395811,0.9820159,1.1549842,NA,0.288724382133447
"P05452",-1.1430123,-1.4313413,-1.0226167,-1.100102,-1.357192,-0.8560348,-0.9631491,-1.2482343,-0.9202065,-1.3680524,-0.9896498,-0.6652899,-0.9382638,-1.1442436,-0.8123563,-1.4122596,NA,0.959063724821273
"P05455",0.1068925,0.12934385,0.27478832,0.26770622,0.13316449,0.21319573,0.22112212,0.26553868,0.13185684,0.33009547,0.12478718,0.17264241,0.10586918,-0.06766433,0.25518558,0.10281054,NA,0.36711050591543
"P05556",0.09302441,-0.0124379,-0.23687836,-0.4067016,-0.38211502,-0.31729236,-0.18000566,-0.44390333,0.15552638,0.29981629,-0.03843432,0.11618601,-0.05209989,0.34925114,0.36492212,0.23231899,NA,0.000127063549959453
"P05771",1.1912961,1.0908169,1.1222109,1.1944956,1.1462608,1.2276845,1.1670098,1.0756998,1.1187437,0.9452374,1.0739068,0.8328766,1.1157299,0.7746572,0.985322,0.8797833,NA,0.0397460924019044
"P05937",0.6872052,0.4105555,0.9667601,0.6340698,0.8886812,0.7022099,0.6295782,0.8211548,0.6234549,0.5978688,0.8075416,0.6295816,0.8470447,0.3212469,0.7232338,0.644239,NA,0.363312572952054
"P06241",0.030883363,0.061257908,0.17817959,-0.445690807,0.001801857,-0.072830118,-0.186255038,-0.034111375,-0.21648694,-0.109781359,-0.075050533,-0.075082531,-0.15331907,-0.402735302,0.036599813,-0.04261013,NA,0.775987763139754
"P06307",-0.42860439,-0.230399753,-0.64419147,-0.597589987,-0.704328874,-0.479004918,-0.007587883,-0.118950108,-0.44417759,-0.162261003,-0.040775823,-0.335474062,-0.798719367,-1.522136597,-0.39417192,-0.28971659,NA,0.490951041299835
"P06310",-0.80364457,-0.29736622,-0.27548372,-0.55204503,-0.40093112,-0.48330508,-0.84593741,-0.83983834,0.12077303,-0.14071979,-0.33941204,-0.54308897,0.04241095,-0.78596083,-0.22713981,-0.01576637,NA,0.711734960052607
"P06396",1.927178,2.274822,2.180668,1.730864,1.720124,1.610668,1.611233,1.589159,1.774241,1.906798,1.776948,1.822322,1.595794,1.946305,1.843106,1.862428,NA,0.485974369632629
"P06454",-0.22875565,0.33324125,0.30050049,-1.57776034,-0.08738885,-1.50451283,-2.73005205,-1.16017835,-1.36251034,-0.74002865,-1.42211936,-0.87488637,-1.03666707,-1.11839318,-1.24491459,-0.8915733,NA,0.783930217942183
"P06576",2.70747,2.639415,2.450891,2.628549,2.505895,2.57954,2.493599,2.518928,2.576898,2.500957,2.606432,2.56314,2.668136,2.597428,2.51421,2.607496,NA,0.558328377209871
"P06702",-0.02567024,0.21942609,-0.25622352,0.21381493,0.01255219,0.16773519,-0.27083602,0.30234735,0.13213394,0.13654216,0.26000881,0.02573685,-0.36289555,-0.03271544,0.33027135,0.06865701,NA,0.689318743524236
"P06727",-0.152981185,0.026453915,-0.21882235,0.395613774,0.461135821,-0.742873032,0.084232268,0.17706412,0.169185571,0.063988594,-0.000319133,-0.313148681,0.351425101,0.629853528,-0.048041636,0.296773229,NA,0.353088223203117
"P06730",-0.17428193,-0.27484066,0.13012615,0.09019221,0.07778295,0.02334258,-0.14703676,-0.06046296,-0.44031015,-0.3886871,-1.4263134,-1.60553957,-1.27241345,-2.16041116,-0.96516574,-1.40114377,NA,0.0494231559626153
"P06733",2.550324,2.571647,2.653543,2.546401,2.565446,2.4599,2.461979,2.466895,2.494313,2.540544,2.50369,2.495126,2.567551,2.581295,2.57341,2.485883,NA,0.642569938559058
"P06737",-1.3173857,-0.8614761,-1.2459707,-1.1686057,-1.2649651,-1.2310582,-1.3325128,-1.0414179,-1.0635278,-0.6197232,-0.8780851,-0.7273375,-0.856913,-1.0270372,-0.5413224,-1.0647982,NA,0.240633103555039
"P06744",1.981946,2.165148,2.051981,2.106226,2.02867,2.067532,2.048861,1.990629,2.057323,2.014348,2.04215,2.006452,2.122232,2.009892,1.995114,2.095115,NA,0.444002762722874
"P06748",0.9564251,1.0635067,0.9814714,0.8506265,1.0596062,0.9591166,0.9643224,0.9711698,0.9964935,1.0730527,0.9981938,1.0552992,0.9000718,0.8630827,1.0996447,1.0204198,NA,0.867176383721533
"P06753",1.2575162,1.3601717,1.3350593,1.3092322,1.2294844,1.3005524,1.3073111,1.1578604,1.4022313,1.261959,1.2625434,1.0748122,0.9776978,1.2253277,1.2094417,1.2610137,NA,0.0547635292061534
"P06756",0.11874481,0.05121958,0.18145819,0.31130043,0.2342016,0.23290911,0.2154153,0.14449754,0.06646693,0.22550214,0.10541729,0.217902,-0.018758,0.20506951,0.24554747,0.08317474,NA,0.977402673862694
"P07093",-1.13557628,-0.94617218,-0.40968198,-0.07224538,0.04427845,0.10000773,-0.06200318,0.04516135,-0.22735363,-0.58336842,-0.21667439,-0.65989854,0.01927397,-0.09070738,-0.23716164,-0.42598031,NA,0.710545119142882
"P07099",1.0236669,1.2208306,1.1183345,1.0991925,0.9811564,0.9810034,1.1317672,0.9568368,1.0142949,1.1640084,1.0707605,1.2740108,0.9384619,1.243305,1.431236,1.060295,NA,0.225178999884702
"P07108",1.2051872,1.5344361,1.4765024,0.9301501,0.8956248,1.0682261,0.8816895,0.8450002,1.132012,1.4828198,1.0740548,1.263161,0.6348383,1.375823,1.5019681,1.1769904,NA,0.1035553537342
"P07195",2.421179,2.57217,2.433127,2.454096,2.382424,2.366417,2.373703,2.341788,2.413419,2.496553,2.418893,2.363211,2.379351,2.40508,2.419067,2.416376,NA,0.892803247577893
"P07196",2.601854,2.931748,2.621589,2.550595,2.340794,2.393464,2.198344,2.204842,2.262821,2.232629,2.181854,2.242771,2.30174,2.500696,2.012532,2.379485,NA,0.463855458877436
"P07197",2.574291,2.929497,2.621376,2.516054,2.291961,2.413028,2.262534,2.23453,2.298507,2.389904,2.251064,2.284884,2.264448,2.552163,2.228433,2.479283,NA,0.848112293650393
"P07203",0.7891717,0.80717,0.7087478,0.646151,0.3863001,0.6025192,0.5662322,0.3287415,0.6218791,0.7018648,0.683298,0.7966815,0.7139427,0.8348228,0.6294485,0.7548242,NA,0.106904063300421
"P07237",1.1462521,1.2823967,1.1336837,1.0735549,1.111589,1.089463,0.93617,1.0290045,0.8288376,1.0044539,1.0395515,0.8623217,0.9883469,0.8493535,1.0629353,0.9391793,NA,0.222900178133895
"P07305",0.32556162,0.44449942,0.17656918,0.00870411,-1.44591715,0.16572725,0.15086395,0.01708994,0.30186286,0.50235391,0.31055121,0.53439609,0.2667748,0.6025672,0.67627533,0.46921127,NA,0.0240139961279266
"P07311",-0.294287258,-0.076141009,-0.000121154,0.193975366,0.273451904,0.167751409,0.244568533,0.318685482,0.230234599,0.265398045,0.313986294,0.239275115,0.200699363,0.171675894,0.195043875,0.273736971,NA,0.460318253302854
"P07327",-0.9951391,-0.9488282,-0.9833694,-0.3141922,-1.096512,-1.1095203,-0.9983288,0.118639,-0.6627527,-0.6377607,-1.2709737,-1.6505865,-0.7478231,-1.0311046,-1.0436093,-0.9574109,NA,0.139701752566275
"P07339",1.581801,1.358313,1.568834,1.592427,1.500394,1.743318,1.496096,1.420479,1.456073,1.561019,1.454604,1.454498,1.541772,1.699807,1.653297,1.463708,NA,0.356918961491922
"P07355",1.0710309,0.9519185,1.0374994,0.8279642,0.8833333,0.8716487,1.3841869,0.998531,1.3002407,1.5520034,1.0859551,1.582006,1.1428723,1.2906852,1.8357386,1.3052914,NA,0.115001572453566
"P07384",1.1151382,1.0484626,1.0257266,1.0232241,0.9949384,0.9896441,0.9772849,0.8304009,0.9530015,0.9932878,0.8673095,0.8681847,1.043106,1.0653465,1.0173959,0.9191397,NA,0.705317933728809
"P07437",2.006654,1.835485,1.93116,1.831499,2.009218,1.91202,2.036815,1.993131,2.14313,1.863696,2.110654,2.099793,1.911279,1.830798,1.894393,1.88766,NA,0.0615339256039444
"P07585",-0.5477004,-0.6068165,-0.7368287,-0.5806864,-0.7267893,-0.5908717,-1.2122728,-0.7601684,-0.5366203,-0.5645435,-0.4724286,-0.3610171,-0.1208226,-1.5361438,-0.3742131,-0.3033425,NA,0.96670558114225
"P07602",2.025518,2.017414,1.836786,1.914937,1.743962,1.9234,1.850378,1.608132,1.5962,1.802387,1.46024,1.464156,1.217453,1.861179,1.814092,1.652778,NA,0.686076683438689
