proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
Q5SGD2,-0.9506997,-0.8154458,-1.0455779,-0.7986186,-0.8855885,-0.89134,-0.7166403,-1.0055607,-0.6360948,-1.0032783,-0.7582798,-0.9286213,-0.6978218,-0.7930262,-1.4793948,-0.8156804,-0.8580191,-0.5283423
Q5SQH8,-0.46326534,-0.57090279,-0.75522874,-0.49494485,-0.2518772,-0.93933612,-0.53948405,-0.30538343,0.33751354,-0.01215412,-0.16661829,-1.01345034,0.31709687,-0.05949078,-0.97849491,-0.79635645,-0.18103334,0.2536428
Q5SQI0,0.3830098,0.640723,0.5119867,0.5827928,0.5103626,0.4806181,0.4907531,0.5223908,0.129596,0.2895728,0.4565704,0.6780951,-0.1746267,0.1433403,0.6843198,0.338663,0.3178782,0.291709
Q5SQN1,-0.29140277,-0.25663047,-0.18784636,-0.09152903,-0.22149559,-0.2574548,0.01703887,-0.42247332,-0.20963231,-0.51952112,-0.32814955,-0.14254308,-0.66374041,-0.50670497,-0.18622438,-0.4012192,-0.40832004,-0.56348313
Q5SRE7,-0.20432033,-0.45948715,-0.1264043,-0.27767124,-0.10383136,-0.07044409,-0.35124647,0.25595409,0.5021223,0.33574088,-0.14377598,-1.48649701,0.15278297,0.27172132,-0.18268407,-0.0912101,0.15073829,0.52013688
Q5SW79,-0.31419462,0.09610291,-0.21462175,-1.09873492,-0.36682967,-0.10563355,-0.2651468,-0.10531728,-0.18258663,-0.11500755,-0.04890518,-1.14607699,-1.16381076,-0.25318386,-0.15772027,-0.30220844,-0.41998096,-1.03900427
Q5SYC1,0.6981145,0.7776946,0.695796,0.8168992,0.8246491,0.7530572,0.8742379,0.8017516,0.4947283,0.6864607,0.780636,0.8151735,0.6103066,0.6585721,0.7509352,0.6100486,0.718549,0.6777055
Q5T0D9,0.01861857,0.12182823,0.06626179,0.09674281,0.08974264,-0.11732589,-0.51043916,0.37041653,0.76374753,0.47112005,0.09917871,-0.26755898,0.87705117,0.64352228,-0.36280433,0.13966319,-0.01505908,0.77447374
Q5T440,-0.92424976,-0.17122282,-0.29846734,-0.32539511,-0.49640098,-0.21500717,-0.26580727,0.12634929,0.30458353,-0.05278788,0.04528372,-0.42880893,0.1182764,0.15228144,-0.48385707,0.02721928,-0.22390652,0.31327811
Q5T4S7,0.156834009,-0.508895578,-0.773963431,-0.977331617,-0.128335813,-0.342303628,-1.364117252,-0.129305088,0.210242112,0.014228522,-0.367205915,-0.793165981,-0.003508292,-0.177672199,-0.678699237,-0.707218146,-1.957770697,-0.17540484
Q5T5C0,0.56307759,0.39274416,0.21390744,0.54760353,0.3414437,-0.11509955,-0.3510396,0.24537182,0.70287729,0.69721548,0.30266686,-0.3583638,0.64636686,0.63833821,0.07379012,0.36542221,0.28299972,0.63713013
Q5T5P2,0.42129581,0.43228428,0.13440939,-0.60354256,0.18642358,0.87707572,0.2695985,0.49665737,0.05962427,0.2312678,0.38196007,0.79738545,0.03732773,0.05449071,0.6617585,0.24506634,0.12029175,-0.42601842
Q5T5U3,-0.730714,-0.4039775,-0.6292351,-0.4667633,-0.3073494,-0.1789876,-0.5928097,-0.351867,-0.5647472,-0.5304663,-0.3578976,-0.343453,-0.6066582,-0.5548528,-0.118133,-0.5979398,-0.6213087,-0.6374634
