proteinId,S1,S2,S3,S4,S5,S6
,Control,Control,Control,Disease,Disease,Disease
P18124,0.7617778,0.6673319,0.6200617,0.7508936,0.9005702,0.681543
P18507,-0.2068836,-0.929544,-1.166378,-0.3004647,-0.7101347,-0.7399634
P18583,-1.007063,-1.208444,-1.524001,-1.074299,-1.208315,-1.249408
P18669,0.8265538,0.9015892,0.879459,0.8781963,0.8355241,0.9282069
P19013,-0.33762578,-0.5538852,-0.47739161,0.70307766,0.01742584,-0.16169811
P19086,0.1066075,0.1449457,0.1922755,0.1383218,0.1185638,0.1386589
P19338,0.783153,0.1877953,0.1500923,0.1082169,0.2132958,0.1597206
P19367,0.6418991,0.5387313,0.7412612,0.7407729,0.8392862,0.8878049
P19404,-0.4918491,-0.5744057,-0.3658587,-0.6278589,-0.6441637,-0.2824741
P20020,0.27655102,0.03869713,0.11932223,0.11028816,0.31204015,0.31593838
P20073,-0.9749198,-0.834171,-1.1180863,-0.6655008,-0.2274441,-0.5101413
P20336,0.3942963,0.6145378,0.5293758,0.7653135,0.7092204,0.6836415
P20340,1.121382,1.068927,1.227754,1.173391,1.052302,1.056397
P20618,1.951801,1.85864,1.86995,1.841233,1.849559,1.816304
P20674,-0.9948983,-1.0705195,-0.9850001,-1.0322452,-0.9160818,-1.027087
P20916,0.46814524,0.68399896,0.55322334,0.17750601,-0.08921875,-0.23447704
P21266,0.4540978,-0.1771139,0.3932201,0.3248928,0.5249968,0.2812841
P21281,-0.05670472,-0.2153849,-0.04105324,0.0518412,0.28068919,0.10431135
P21283,-0.9515845,-0.848335,-0.6967057,-0.7864417,-0.5940101,-0.5243949
P21291,0.8307819,0.7817163,0.8240864,0.6866955,0.3454525,0.6057537
P21333,1.1280862,0.9318742,0.6040938,1.2068496,1.2443695,1.2925292
P21579,0.5514365,0.4817755,0.5111735,0.5925327,0.841172,0.8235793
P21695,-0.8766438,-0.4561039,-0.7676945,-0.6989829,-0.9423414,-0.8228894
P21796,0.7732266,0.8132318,0.7634383,0.8824801,0.7935097,0.8738725
P21810,0.01310223,0.89406513,-0.11713527,0.26612013,0.51784835,0.17528298
P21912,-0.7752561,-0.6030858,-0.7598188,-0.6584257,-0.504255,-0.5891775
P21926,1.2212238,1.2971458,1.3024444,1.223771,0.9113891,1.002416
P21980,0.06274536,0.19300856,0.16889381,0.01560544,0.3577708,0.19546263
P22061,-0.3322618,-0.3789224,-0.4214469,-0.193006,-0.3538898,-0.3601921
P22234,-1.0097637,-0.7910274,-0.8989476,-1.1766183,-0.8177178,-0.863328
P22314,0.4516077,0.3624014,0.4464976,0.5225147,0.2876786,0.4535614
P22392,0.02006407,0.26713411,0.16294588,0.13814716,0.09279676,0.04430206
P22626,1.4566859,1.2811228,1.1597145,1.0433403,0.9252922,0.94883
P22694,-0.3302995,-0.3655153,-0.3768312,-0.4860543,-0.3798192,-0.4370075
P22695,-0.05083542,-0.39559538,0.13442424,0.30544438,0.32829282,0.28677005
P23246,-0.06892192,-0.44409294,-1.53693856,-0.55363827,-0.6195734,-0.39312627
P23396,-0.5339896,-0.4689689,-0.3738352,-0.5729433,-0.4659876,-0.4784902
P23471,0.8287623,0.6593951,0.4922952,0.6256112,0.6015525,0.6154419
P23515,-0.1915304,-0.2428362,-0.3380825,-0.3707546,-0.5578847,-0.5361867
P23526,1.693444,1.582393,1.463133,1.193622,1.404597,1.33128
P23528,1.250113,1.295223,1.472968,1.526495,1.044202,1.204166
P23634,-0.8870211,-0.7499186,-0.7232454,-0.6520196,-0.7015861,-0.7127084
P24043,-0.280980978,0.059018225,-0.353866159,0.473854272,-0.177733734,-0.001067434
P24539,-0.46861465,-0.20773398,-0.39282175,-0.16266866,0.03204432,0.01732898
P24821,-0.7343162,-0.5079804,-0.9336981,-0.8412256,-0.743006,-0.7676696
P25311,-0.2669226,-0.5709801,-0.3610004,-0.3505744,-0.6150773,-0.273475
P25686,-0.15087229,-0.06386961,0.02637633,-0.05687049,-0.48253274,-0.26324388
P25705,1.050628,1.061435,1.070393,1.019324,1.261611,1.17214
P25786,2.016786,1.891555,1.880236,1.833553,1.863218,1.772864
P25787,1.315749,1.328106,1.369878,1.380795,1.405525,1.343599
P25788,1.846883,1.577427,1.875591,1.608405,1.730883,1.700708
P25789,1.791575,1.652189,1.697283,1.545273,1.661398,1.648898
P26038,0.5478816,0.9486023,0.6350301,0.6280796,0.5166295,0.618879
P26373,0.9470566,0.8570382,0.7943925,0.8752754,0.9942929,0.917175
P26641,-0.4461341,-0.4506643,-0.4185691,-0.3106518,-0.245263,-0.275018
P27105,1.221658,1.349113,1.111211,1.048211,1.281307,1.089553
P27338,-0.7314606,-0.4865593,-0.5985379,-0.5270036,-0.4551331,0.1871258
P27348,0.30641514,0.2641219,0.34655834,0.27282317,0.06043765,0.05972258
P27361,-0.17582219,-0.02270282,-0.04282474,-0.05373955,-0.21539848,-0.45367694
P27449,-0.9166176,-0.4409554,-0.4431287,-0.4199254,-0.158216,-0.1933204
P27635,-0.14961292,-0.34293929,-0.36224754,-0.05017012,-0.01941873,-0.33974979
P27797,0.22579644,0.05508102,0.17615988,0.05140805,0.16243432,0.2086432
P27824,-0.2043574,-0.2744442,-0.3367403,-0.2516419,-0.1329839,-0.2268247
P28062,1.0076074,0.9059122,0.9570616,0.78733,0.802425,0.7278638
P28065,0.3435524,0.3520155,0.236266,0.1915896,0.46806,0.1415295
P28066,1.977259,1.897884,1.946328,1.83204,1.88384,1.789557
P28070,1.534889,1.40837,1.367918,1.168233,1.417746,1.320953
P28072,1.368722,1.291806,1.347484,1.260036,1.311618,1.293325
P28074,1.895876,1.760166,1.832707,1.742752,1.819999,1.75519
P28161,-0.4573095,-0.3857287,-0.4084406,-0.5672173,-0.563317,-0.5623021
P28288,-0.6390038,-0.5358299,-0.7105525,-0.5631771,-0.4252582,-0.4856724
P28331,-0.35903517,-0.291585091,-0.257941746,-0.193936908,0.182200254,-0.008831012
P28482,-0.13455975,0.05305841,0.01455656,0.05710064,0.35308768,0.51266677
P28838,1.734603,1.789552,1.746406,1.540972,1.614925,1.523621
P29218,-0.100577866,0.134900781,0.036956361,-0.007899713,-0.15583405,-0.081630823
P29401,1.794252,1.915968,1.349955,1.65732,1.586839,1.49487
P29966,0.2189314,0.08653922,-0.062836,0.11407979,-0.26974574,0.04581674
P29972,0.8554329,0.7767195,1.0179973,0.1751689,-0.3152008,0.4244141
P29992,0.000633822,0.029574623,0.11867521,0.0508574,-0.21405759,-0.084042505
P30041,0.4248334,0.5934442,0.3146314,0.4510026,0.3809485,0.3125812
P30044,0.33550798,0.12856821,0.23938105,0.32948586,0.06453046,0.29090375
P30046,-1.0437072,-0.9379452,-0.7164381,-0.513661,-0.5151383,-0.5858091
P30048,0.06809673,-0.07135348,0.07647348,0.08218175,0.30923266,0.11643798
P30049,-0.5653176,-0.5981905,-0.3969773,-0.1903814,-0.2061044,-0.1847627
P30084,0.6345499,0.5621538,0.3039983,0.5109705,0.2512187,0.2584663
P30086,1.353376,1.386238,1.423453,1.295521,1.366853,1.400356
P30101,-1.1670324,-1.3886404,-1.2491579,-1.1094086,-0.9096933,-1.1071767
P30153,0.05864077,-0.02306986,0.09812405,-0.05177229,0.09246004,-0.09371459
P31040,0.12914292,-0.08144846,0.06044332,-0.06796479,-0.06463561,0.12123592
P31146,-0.25174,-0.2532172,-0.9187314,-0.9395103,-0.6582169,-0.3032683
P31150,1.215035,1.187045,1.425915,1.311873,1.086953,1.191458
P31323,-1.0828456,-1.1016362,-1.0813902,-0.5837648,-0.4057911,-0.2296667
P31930,0.15422315,0.10547503,0.06398444,0.0432633,0.35455007,0.21460991
P31939,-0.513376,-0.9779018,-0.5305697,-0.6049718,-1.1879167,-0.8523431
P31942,-0.3721302,-0.3690374,-0.6903476,-0.4205431,-1.2144425,-0.6911285
P31943,0.005171093,-0.438348005,-0.277673563,-0.177677411,-0.127138116,-0.404593975
P31944,-0.5220222,-0.7066121,-0.6482084,-0.5848649,-0.8707597,-0.49908
P31946,0.7891948,0.7087909,0.8097179,0.7109071,0.7630935,0.8544577
P31947,-0.2348175,-0.2778882,-0.2156002,-0.3902796,-0.3538365,-0.2847802
P32119,0.5339745,0.4492839,0.5518871,0.5746993,0.6415742,0.8676483
P33176,0.1920839,0.5025444,0.3261504,0.3014015,0.3073767,0.1592567
P33947,-0.9633905,-0.9018098,-0.9140722,-1.1519697,-0.9766227,-0.949275
P35030,0.30279252,0.34911328,0.26496379,0.09811171,0.28775968,0.07960165
P35080,-0.111086734,0.004720838,-0.073602546,-0.146118543,-0.117755722,0.018330889
P35222,-0.7548034,-0.8303165,-1.1274651,-0.892109,-0.7769132,-0.8497681
P35232,-0.30864186,-0.29745243,-0.02749404,-0.05689698,0.19958357,0.21399645
P35237,-0.23557631,-0.08316511,-0.53244573,-0.37213873,-0.3328774,-0.17160377
P35241,-0.893933,-0.8290783,-0.1435936,-0.3936592,-1.633769,-0.6972293
P35268,0.3772915,0.3738252,0.283746,0.3705587,0.3594582,0.2528268
P35527,2.044288,2.052507,2.359663,2.214312,2.06493,2.437941
P35555,-0.5964764,-0.7346448,-0.74668,-0.3988463,-0.3508982,-0.7310375
P35579,1.331298,1.710454,1.258014,1.400018,1.595348,1.411752
P35580,0.6539967,0.9765917,0.5029104,0.8070662,1.1285976,0.9257765
P35611,-0.2706192,-0.4211446,-0.5331473,-0.4546818,-0.3905864,-0.3167978
P35625,0.11827518,-0.09109375,-1.09572209,0.15560453,0.54961688,0.52954841
P35749,0.6264675,0.3161177,-0.5844472,0.4491072,0.8796166,0.8141937
P35908,2.392512,2.201053,2.283069,2.298724,2.180984,2.568741
P36542,0.2289779,0.2847339,0.167726,0.2984516,0.4797581,0.316962
P36543,-0.167608935,-0.130323044,-0.000729914,-0.033243102,0.115036315,0.084026634
P36578,0.8928144,0.7810645,0.6875049,0.8060265,0.9617587,0.7620703
P36871,-0.32216667,0.02248078,-0.0410738,0.01464075,0.04258714,-0.16523621
P36873,-0.9927299,-1.2076485,-1.059421,-1.1510478,-1.2783111,-1.3399333
P36957,-0.18952623,-0.29135204,-0.18952892,-0.19096996,-0.08329124,-0.10114087
P36969,-0.7976557,-0.1662164,0.1227474,-0.3526623,-0.5157825,-0.6838435
P37235,-0.320400389,-0.310815229,-0.198061374,-0.237379617,-0.001859732,-0.200355726
P37837,0.108962534,0.339953319,0.472338315,-0.000108316,0.136944482,0.165669713
P37840,0.3700932,0.6976301,0.110429,1.1706186,2.0110025,1.6645855
P38159,-0.4679539,-0.9277402,-1.4626233,-1.4296404,-1.3681911,-0.8696908
P38606,0.2679305,0.3520155,0.3417744,0.4053487,0.5348156,0.4870113
P38646,0.02495745,-0.05808084,0.1818077,0.18517144,0.27899651,0.22838648
P38919,0.961785,0.9485714,0.8376007,0.9110445,1.0494059,0.8444548
P39023,0.4429809,0.3202619,0.234433,0.3878267,0.5264967,0.3230007
P39060,-0.75624818,-0.82083025,-0.96055164,0.01589667,0.02378529,-0.17960814
P40227,-0.17772773,-0.11074424,-0.08246646,-0.20071832,-0.45973243,-0.19949767
P40306,-0.6575022,-0.8002828,-0.7217498,-0.8515819,-0.6838749,-0.9591462
P40429,0.5778782,0.4250078,0.5118647,0.6145053,0.6163925,0.5200954
