proteinId,S1,S2,S3,S4,S5,S6
,Control,Control,Control,Disease,Disease,Disease
A0MZ66,0.2104704,0.1500479,0.349621,0.1853332,-0.3266268,-0.1099098
A5YM72,0.2900964,0.5558553,0.4895474,0.2948929,-0.8526261,-0.1667579
A6NCE7,0.03262778,0.12671737,0.06120747,-0.06377451,0.11824651,0.10985601
A8MU93,-0.2063281,-0.5868956,-0.5170022,-0.5534595,-0.4775654,-0.6639799
B7Z368,-0.3508735,-0.651346,-0.4719242,-0.9136596,-1.1424124,-1.0651911
O00116,-0.9500004,-1.3388331,-1.3581652,-0.8565953,-0.6996127,-0.896821
O00154,0.6222351,0.5894065,0.5114328,0.6081955,0.6267859,0.4566348
O00159,-0.1053501,-0.18833437,-0.75088559,-0.6266445,0.02580554,-0.25768148
O00186,-1.0626965,-0.9932888,-0.9299814,-1.1295415,-1.3794406,-1.3527576
O00217,-1.3983377,-1.4967214,-1.5241567,-1.2663825,-0.9465415,-1.3000858
O00429,-1.0966232,-1.1450867,-1.1187619,-1.0919629,-0.8277032,-0.9319148
O00483,-0.31101752,-0.76223701,-0.2676523,-0.13283837,0.0128006,-0.08436101
O00499,0.25152806,0.33747487,0.24581588,0.3074327,0.17691622,-0.05969377
O00533,-1.346149,-1.283623,-1.586781,-1.471943,-1.3506,-1.419665
O00560,-0.7010193,-0.5655211,-0.7127188,-0.6386747,-0.6470847,-0.7572665
O00567,-0.3206355,-0.4147876,-0.3543759,-0.1725667,-0.9346833,-0.4036031
O14531,0.6093044,0.8106321,0.8729803,0.6630772,0.3996431,0.5734019
O14594,2.139728,2.152241,1.644631,1.812954,1.761571,1.218947
O14617,0.2247499,0.3422094,-0.1095479,0.178349,0.3294729,0.2109161
O14734,-0.4981731,-0.7056526,-0.7350993,-0.8755184,-0.4857936,-0.6848421
O14745,-0.4690399,-0.5392736,-0.5496715,-0.6652857,-0.6346954,-0.7467648
O14773,0.9692247,0.8704183,0.9323934,0.8775398,0.9933756,0.7079971
O14818,2.029549,1.947539,1.952933,1.925393,1.953374,1.933385
O14880,-0.13826337,-0.24887241,-0.32318685,-0.13943837,0.05163901,-0.14576067
O14907,-0.08197727,0.01262483,0.1219572,-0.07212275,-0.37258254,-0.27457659
O14966,-0.2450271,-0.2562978,-0.1322755,-0.3055832,-0.4436906,-0.5065781
O14972,-0.9208384,-0.736534,-0.9741166,-0.7467794,-0.9974495,-1.1008923
O15075,-0.5469462,-1.3327981,-0.9963118,-0.7513284,-0.1792282,-0.3483665
O15083,-0.843316,-0.9787648,-0.8650354,-0.9966192,-0.622399,-0.8920928
O15145,-0.7056412,-0.3442532,-0.4900087,-0.4869801,-0.4916329,-0.6489968
O15230,0.4524865,0.6349092,0.4303811,1.2279782,0.8768897,0.5166434
O15254,0.7216171,0.374986,0.5479594,0.5017042,0.6496126,0.4401753
O15258,-0.049124142,-0.120272208,-0.093099587,0.12449333,0.002266816,0.028502007
O15394,-0.4719978,-0.377434,-0.4617598,-0.3966019,-0.1742548,-0.4012202
O15540,-1.4211392,-1.1921866,-1.0265968,-1.174241,-0.4158559,-0.3622183
O43149,-0.669224,-0.8562649,-0.6161042,-0.5594829,-0.3503557,-0.3305472
O43175,0.6820433,0.6906626,0.884234,0.6961345,0.3289939,0.4829178
O43242,0.4563492,0.7053553,0.3641743,0.6400734,0.7701059,0.6695838
O43301,0.7048068,0.7605959,0.701469,0.5865756,0.5972404,0.4751556
O43390,0.6359815,0.1680018,0.3883145,0.3697993,0.3736254,0.3124725
O43396,-0.5361537,-0.8955333,-0.4417818,-0.9321297,-0.2475791,-0.4676234
