SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P35222,CTNNB1,0.608851675,,0.532194532,0.156500176,,1.023018641,0.464749435,,,0.458608907,0,0,1,0
P48061,CXCL12,0.585526316,0.061007847,0.345542185,,0.249607424,0.783276547,,0.208388424,,,,0,0,0
P05108,CYP11A1,,0.045189117,0.462112729,0.87222683,,,,0.172518576,0.321261049,0.949837947,0,0,0,0
P04798,CYP1A1,,,0.232276889,0.05489129,,,,,,0.206799761,0,0,0,0
Q16678,CYP1B1,,,0.270725613,0.129556116,,,,,,0.450761737,0,0,0,0
P08684,CYP3A4,,,-2.22E-16,0.086455746,,,,,,-0.163878908,0,0,0,0
P20711,DDC,,0.029361285,0.463814269,,,,,0.123676424,,,,0,0,0
Q08345,DDR1,0.562799043,,0.540766395,,,1.037665355,,,,,,0,0,0
Q9UPY3,DICER1,0.315789474,,0.560050936,,,0.740716543,,,,,,0,0,0
Q9NR61,DLL4,0.539473684,,0.453635192,,,0.935436286,,,,,,0,1,0
P26358,DNMT1,0.608851675,,0.294936941,,,0.706293474,,,,,,0,1,0
P04053,DNTT,,0.00107769,0.298420462,,,,,-0.052268911,,,,0,0,0
P14416,DRD2,0.782894737,0.405054011,0.706680808,0.222022364,0.869070951,1.208608751,0.607802456,0.864020981,0.60714719,0.595336725,0,0,0,0
P35462,DRD3,,,0.366576048,0.308848029,,,,,,0.777276121,0,0,0,0
P01133,EGF,0.631578947,,0.456340817,,,0.930061713,,,,,,0,0,0
Q9UHF1,EGFL7,0.424641148,,0.57424459,,,0.893539257,,,,,,0,0,0
Q05215,EGR4,,0.03567127,0.569269124,,,,,0.178754762,,,,0,0,0
O95834,EML2,,0.240051147,0.63879581,,,,,0.618599638,,,,0,0,0
P09104,ENO2,,0.119798691,0.557177989,,,,,0.381642666,,,,0,0,0
P16422,EPCAM,0.674641148,,0.419091679,,,0.881651694,,,,,,0,0,0
P29323,EPHB2,0.585526316,,0.332785617,,,0.764543814,,,,,,0,0,0
P21860,ERBB3,,0.000136549,0.350511938,,,,,-0.031231815,,,,0,0,0
Q15303,ERBB4,,0.000257693,0.360538408,,,,,-0.025698649,,,,0,0,0
Q9NQ30,ESM1,,0.102166655,0.611949735,,,,,0.352279033,,,,0,1,0
P03372,ESR1,0.431220096,0.16766873,0.487517846,0.086455746,0.488269867,0.9160394,0.287915405,0.482397755,0.401085375,0.292898331,0,0,0,0
Q92731,ESR2,0.631578947,,0.454517177,,,0.927771361,,,,,,0,0,0
Q15910,EZH2,0.615430622,,0.369943061,,,0.816524313,,,,,,0,0,0
P25445,FAS,,,0.312632601,0.175656245,,,,,,0.545784557,0,0,0,0
P48023,FASLG,,,0.260573443,0.24221568,,,,,,0.725576781,0,0,0,0
P05230,FGF1,,0.062742375,0.266816056,,,,,0.22691488,,,,0,0,0
P09038,FGF2,0.631578947,0.130996797,0.562307658,,0.417117545,1.05591579,,0.406754817,,,,0,0,0
P08620,FGF4,0.424641148,0.015839037,0.582897828,,0.063986407,0.892702449,,0.129673379,,,,0,0,0
P21802,FGFR2,0.562799043,,0.469216993,,,0.951888372,,,,,,0,0,0
P22455,FGFR4,0.539473684,,0.695785238,,,1.028151087,,,,,,0,0,0
P15328,FOLR1,0.608851675,,0.581339319,,,1.078750076,,,,,,0,0,0
P01225,FSHB,,0.11010613,0.797781241,0.88998661,,,,0.418348909,0.448638732,1.305253588,0,0,0,0
P23945,FSHR,0.010167464,0.050345435,0.599638504,,0.060767859,0.121375778,,0.227425121,,,,0,0,0
P19883,FST,,0.045426503,0.508418639,,,,,0.185809905,,,,0,0,0
P22466,GAL,,0.187178496,0.53275704,,,,,0.520547195,,,,0,0,0
P47211,GALR1,,0.042022921,0.511322647,,,,,0.17696613,,,,0,0,0
O43603,GALR2,,0.041214828,0.521820549,,,,,0.177932944,,,,0,0,0
P01350,GAST,,0.230636236,0.62886842,,,,,0.602130278,,,,0,0,0
P01275,GCG,,0.083759438,0.333111126,0.327401182,,,,0.28547841,0.286569535,0.824143414,0,0,0,0
Q9NZC3,GDE1,0.562799043,,0.507159352,,,0.998208419,,,,,,0,0,0
P39905,GDNF,,,0.447503613,0.292066794,,,,,,0.721171323,0,0,0,0
P14136,GFAP,,0.124007215,0.59724422,,,,,0.39666949,,,,0,0,0
P01241,GH1,0.888157895,0.305679967,0.920109649,1,0.751918906,1.391639325,1.402194574,0.758456013,0.776822571,1.430634104,1,0,0,0
Q8N2G8,GHDC,,0.142412682,0.687733236,,,,,0.450576473,,,,0,0,0
P10912,GHR,,0.267029818,0.781431543,,,,,0.677306167,,,,0,0,0
Q02643,GHRHR,,0.107367438,0.819086573,,,,,0.420014477,,,,0,0,0
Q9UBU3,GHRL,,0.189510691,0.642649418,,,,,0.531037004,,,,0,0,0
Q92847,GHSR,,0.266312758,0.71576699,,,,,0.667428543,,,,0,0,0
P10070,GLI2,0.585526316,,0.253036703,,,0.638914198,,,,,,0,0,0
P04899,GNAI2,,0.046258755,0.633744516,0.304678653,,,,0.229099919,0.154776244,0.72125873,0,0,0,0
O95467,GNAS,0.878588517,0.38685792,0.799678843,,0.857953754,1.305886555,,0.847251163,,,1,0,0,0
P01148,GNRH1,,0.477383208,0.79808473,,,,,0.959940225,,,,0,0,0
Q96P66,GPR101,0,,0.813952753,,,0.199869595,,,,,1,0,0,0
P24298,GPT,,,0.210485038,0.163726125,,,,,,0.598750269,0,0,0,0
O75791,GRAP2,0.631578947,,0.494224874,,,0.97663111,,,,,,0,0,0
P28799,GRN,0.585526316,,0.399928171,,,0.859552441,,,,,,1,0,0
Q96JK4,HHIPL1,,0.172023607,0.675757431,,,,,0.503742406,,,,0,0,0
Q16665,HIF1A,0.631578947,,0.338580028,,,0.771525289,,,,,,0,0,0
P52926,HMGA2,0.56937799,,0.650637092,,,1.062910696,,,,,,0,0,0
P09601,HMOX1,,,0.102527434,0.564917087,,,,,,0.343855539,0,0,0,0
P14653,HOXB1,,0.029278305,0.591438398,,,,,0.169957968,,,,0,0,0
P28845,HSD11B1,,0.016500426,0.570314911,,,,,0.126066595,,,,0,0,0
P80365,HSD11B2,,0.027929266,0.57865845,,,,,0.161302056,,,,0,0,0
P26439,HSD3B2,,,0.464268208,0.308848029,,,,,,0.744407873,0,0,0,0
O75874,IDH1,0.161483254,,0.433170009,,,0.474261815,,,,,,0,0,0
P48735,IDH2,0.161483254,,0.388769758,,,0.48305027,,,,,,0,0,0
P08069,IGF1R,0.608851675,,0.438812157,,,0.909066003,,,,,,0,0,0
P01344,IGF2,,0.030749888,0.556033709,,,,,0.160395657,,,,0,0,0
P24592,IGFBP6,,0.00869575,0.495667983,,,,,0.069457582,,,,0,0,0
Q8N6C5,IGSF1,,0.087979166,0.622506406,,,,,0.323257548,,,,0,0,0
P78552,IL13RA1,,0.005112902,0.468801237,,,,,0.045107768,,,,0,0,0
Q16552,IL17A,0.631578947,,0.171098502,,,0.495685313,,,,,,0,1,0
Q9UHA7,IL36A,,0.18978554,0.539805245,,,,,0.525562344,,,,0,0,0
P05111,INHA,,0.065850451,0.63580687,,,,,0.276445644,,,,0,0,0
P01308,INS,,0.318042595,0.368045106,0.815741754,,,,0.791509455,0.756492361,0.82447254,0,0,0,0
P26440,IVD,,0.00187878,0.508660268,,,,,0.05336704,,,,0,0,0
Q13303,KCNAB2,0.493421053,,0.562795539,,,0.981664063,,,,,,0,0,0
Q9H252,KCNH6,,0.042487189,0.577415345,,,,,0.19977256,,,,0,0,0
Q9NS40,KCNH7,,0.102945687,0.603405798,,,,,0.352180493,,,,0,0,0
P06870,KLK1,,0.014039035,0.549139279,,,,,0.109736208,,,,0,0,0
P01116,KRAS,0.230263158,,0.228421065,,,0.726502343,,,,,,0,0,0
P05783,KRT18,,,0.461380177,0.266363104,,,,,,0.674384635,0,0,0,0
P00338,LDHA,0.562799043,,0.466686264,,,0.948727143,,,,,,0,0,0
P41159,LEP,,0.151535586,0.457670637,,,,,0.449271596,,,,0,0,0
P17931,LGALS3,,0.054118052,0.600020548,,,,,0.236962926,,,,0,0,0
P01229,LHB,,0.159381228,0.776109003,0.203729229,,,,0.501580555,0.595193705,0.576857442,0,0,0,0
P42702,LIFR,,0.061750816,0.527945571,,,,,0.235832606,,,,0,0,0
P59901,LILRA4,,0.121244365,0.616309845,,,,,0.394148727,,,,0,0,0
O94898,LRIG2,,0.167940778,0.631368031,,,,,0.489684504,,,,0,0,0
Q6UXM1,LRIG3,,0.062246246,0.581321599,,,,,0.251460676,,,,0,0,0
Q9HBW1,LRRC4,,0.072862091,0.590195555,,,,,0.279827167,,,,0,0,0
Q13495,MAMLD1,0.378588517,,0.380066378,,,0.877950002,,,,,,0,0,0
Q49MG5,MAP9,,0.001371797,0.489561667,,,,,0.042311634,,,,0,0,0
P28482,MAPK1,0.631578947,,0.343781145,0.019551336,,0.77903528,0.160922618,,,0.050659906,0,0,0,0
Q16539,MAPK14,0.631578947,,0.243739686,,,0.624351955,,,,,,0,0,0
P27361,MAPK3,,,0.359620648,0.019551336,,,,,,0.055400643,0,0,1,0
P45983,MAPK8,0.608851675,,0.170568398,,,0.492089949,,,,,,0,0,0
Q01718,MC2R,,0.065352571,0.700789961,,,,,0.296598033,,,,0,0,0
P33032,MC5R,,0.037832253,0.477803385,,,,,0.154472068,,,,0,0,0
P33993,MCM7,,0.000886521,0.508377358,,,,,0.049987006,,,,0,0,0
P16455,MGMT,0.385167464,0.205556653,0.665567497,,0.580364872,0.836668358,,0.562163188,,,,0,0,0
Q86YT6,MIB1,0.539473684,0.045426503,0.778018734,,0.195178766,1.030717524,,0.282632899,,,,0,1,0
P46013,MKI67,0.562799043,0.095051378,0.648786973,,0.326155073,1.055608665,,0.345527663,,,,0,0,0
P40692,MLH1,0.161483254,,0.236498996,,,0.565708446,,,,,,0,0,0
P50281,MMP14,0.539473684,,0.377900161,,,0.834146927,,,,,,0,1,0
P08253,MMP2,0.491381579,,0.416766467,,,0.895976831,,,,,,0,0,0
P14780,MMP9,0.657894737,,0.420566589,,,0.883623467,,,,,,0,1,0
Q96LB1,MRGPRX2,,0.114421093,0.621563245,,,,,0.380748575,,,,0,0,0
P43246,MSH2,0.628588517,,0.346429447,,,0.78288035,,,,,,0,0,0
P52701,MSH6,0.582535885,,0.501499596,,,0.989158485,,,,,,0,0,0
Q96DR8,MUCL1,,0.032140591,0.594937292,,,,,0.178917032,,,,0,0,0
P01106,MYC,0.638157895,,0.4002641,,,0.857218748,,,,,,0,0,0
Q9UN36,NDRG2,0.493421053,,0.476206362,,,0.972259788,,,,,,0,1,0
Q13562,NEUROD1,0.56937799,0.106325461,0.648629988,,0.353278822,1.062994746,,0.369544165,,,,0,0,0
Q92886,NEUROG1,0.401315789,,0.46897473,,,0.880172702,,,,,,0,0,0
Q9H2A3,NEUROG2,0.378588517,,0.481557868,,,0.84542443,,,,,,0,0,0
Q9Y4Z2,NEUROG3,0.378588517,,0.436367312,,,0.857345408,,,,,,0,0,0
P01138,NGF,,0.068972532,0.450089026,0.228798195,,,,0.240343693,0.269352387,0.608954301,0,0,0,0
P08138,NGFR,,0.015083463,0.486391822,,,,,0.086167829,,,,0,0,0
P43699,NKX2-1,0.562799043,,0.617729169,,,1.057362339,,,,,,0,0,0
P15531,NME1,0.562799043,,0.446905814,,,0.923691198,,,,,,0,0,0
Q13253,NOG,,,0.377151114,0.367455354,,,,,,0.863095769,0,0,0,0
P35228,NOS2,,,0.156379834,0.060220654,,,,,,0.294382169,0,0,0,0
Q04721,NOTCH2,0.562799043,,0.490934202,,,0.978641784,,,,,,0,1,0
P01303,NPY,0.585526316,0.026779099,0.474482315,,0.160896377,0.955929479,,0.119076052,,,,0,0,0
P51843,NR0B1,0.562799043,,0.655390503,,,1.055349402,,,,,,0,0,0
P04150,NR3C1,,0.319814937,0.592067776,,,,,0.744826675,,,,0,0,0
O00482,NR5A2,,,0.445861009,0.315070162,,,,,,0.758926216,0,0,0,0
O14786,NRP1,0.562799043,,0.452500551,,,0.930832263,,,,,,0,0,0
Q9BXS6,NUSAP1,,0.075887887,0.56800776,,,,,0.281516619,,,,0,0,0
Q9Y3D7,PAM16,,0.288554915,0.641148575,,,,,0.696678751,,,,0,0,0
P12004,PCNA,,0.147499674,0.549678096,0.151654145,,,,0.440682751,0.639757031,0.44936497,0,0,0,0
P29120,PCSK1,,0.079940955,0.642061349,,,,,0.31047778,,,,0,0,0
Q9HCR9,PDE11A,,0.017549056,0.68848876,,,,,0.181063379,,,,0,0,0
O95263,PDE8B,,0.017955904,0.672921698,,,,,0.175087419,,,,0,0,0
P00558,PGK1,,0.015940224,0.503600264,,,,,0.096053498,,,,0,0,0
P42336,PIK3CA,0.230263158,,0.263601367,,,0.699199185,,,,,,0,0,0
O75051,PLXNA2,0.562799043,,0.413342921,,,0.879806568,,,,,,0,0,0
P54277,PMS1,0.06937799,,0.452212509,,,0.241796371,,,,,,0,0,0
P54278,PMS2,0.161483254,,0.334987039,,,0.501119246,,,,,,0,0,0
P28069,POU1F1,0.483851675,0.136159767,0.834506408,,0.413472223,0.971103933,,0.476604486,,,,0,0,0
Q01851,POU4F1,,0.016273894,0.495875195,,,,,0.093905386,,,,0,0,0
Q01860,POU5F1,,0.033012757,0.369434486,,,,,0.110124814,,,,0,1,0
Q07869,PPARA,0.608851675,,0.268103855,,,0.663725983,,,,,,0,0,0
P01298,PPY,,0.063238855,0.532571559,,,,,0.240901956,,,,0,0,0
P10644,PRKAR1A,0.651315789,0.411296772,0.804460865,,0.871587601,1.153501971,,0.879207422,,,,0,0,0
P31321,PRKAR1B,,0.215359153,0.588547438,,,,,0.57370127,,,,0,0,0
