SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P02768,ALB,,,0.110705831,0.553133536,,,,,,0.36065563,0,0,0,0
Q13740,ALCAM,,,0.439456518,0.771830398,,,,,,0.911615254,0,0,0,0
P00352,ALDH1A1,0.585249558,,0.393467146,0.077193862,,0.850798702,0.288911805,,,0.260171142,0,0,0,0
P47895,ALDH1A3,0.489775685,,0.496412978,0.147297392,,0.988335328,0.438409467,,,0.438356628,0,0,0,0
P30838,ALDH3A1,,,0.474521882,0.147297392,,,,,,0.438803681,0,0,0,0
Q9UM73,ALK,,0.007586049,0.354517283,0.34098095,,,,0.003572597,-0.002045,0.833986849,0,0,0,0
O75342,ALOX12B,,,0.560069211,0.230965656,,,,,,0.601331469,0,0,0,0
P09917,ALOX5,0.604642689,0.044694755,0.423992668,0.107392983,0.214904132,0.890134843,0.362210219,0.162098517,0.284538831,0.344398454,0,0,0,0
P20292,ALOX5AP,,,0.344326078,0.585592178,,,,,,0.781501179,0,0,0,0
P05186,ALPL,0.552046454,0.214597443,0.605808527,0.694404464,0.57207903,1.046094773,1.042466311,0.573018688,0.581262134,1.101924553,0,0,0,0
P03950,ANG,0.546960557,,0.281007002,,,0.68685222,,,,,,0,0,0
Q8N2N9,ANKRD36B,,,0.437472774,0.255924032,,,,,,0.661560044,0,0,0,0
P15144,ANPEP,0.552046454,,0.295160145,,,0.70919745,,,,,,0,0,0
P07355,ANXA2,,,0.282957565,0.535252684,,,,,,0.691068758,0,0,0,0
P08758,ANXA5,,,0.043208046,0.195670219,,,,,,0.168133794,0,0,0,0
Q06278,AOX1,,,0.502772618,0.135551739,,,,,,0.412371539,0,0,0,0
Q10567,AP1B1,0.366184604,,0.711374991,0.207293079,,0.812261966,0.590823153,,,0.571337815,0,0,0,0
P63010,AP2B1,0.379994578,,0.562492438,0.26225106,,0.834323346,0.691488244,,,0.654955091,0,0,0,0
P25054,APC,0.653103485,0.020991735,0.365323931,0.552507965,0.173980298,0.809404796,1.043805145,0.062897006,0.131407343,0.814707515,0,0,1,0
P27695,APEX1,,,0.407611004,0.19860645,,,,,,0.559320732,0,0,0,0
P02647,APOA1,0.604642689,,0.032288907,0.687215612,,0.183051818,1.100732341,,,0.216110556,0,0,1,0
P02652,APOA2,,,0.30421332,0.786372172,,,,,,0.732673702,0,0,0,0
P02649,APOE,0.64293169,,0.106395211,0.453320782,,0.368357616,0.92582306,,,0.341576035,0,0,1,0
P05067,APP,,,0.124233457,0.394571224,,,,,,0.39094447,0,0,0,0
P29972,AQP1,0.614814484,0.069454742,0.483600255,0.529999788,0.278573434,0.964737935,1.020020432,0.247023015,0.256475844,0.974430819,0,0,1,0
P55087,AQP4,0.619900381,,0.495956782,0.226884614,,0.979386846,0.595205159,,,0.59820562,0,0,0,0
P55064,AQP5,0.546960557,,0.426583022,0.207293079,,0.899338855,0.55869126,,,0.572313895,0,0,0,0
P10275,AR,0.590335456,0.209859369,0.371361159,0.803863962,0.563882764,0.819843051,1.088802823,0.594128884,0.592523095,0.827385256,0,0,0,0
P15514,AREG,0.546960557,,0.347091086,0.114612958,,0.788948758,0.368682528,,,0.374808225,0,0,1,0
Q8N264,ARHGAP24,0.5063401,,,0.194194312,,,0.535192887,,,,0,0,0,0
O14497,ARID1A,0.585249558,,0.506411472,,,0.994764347,,,,,,0,0,0
Q4LE39,ARID4B,0.470382554,,0.424542262,,,0.911242627,,,,,,0,0,0
Q96C12,ARMC5,0.469142552,,0.651273553,0.272178745,,0.945263198,0.682787396,,,0.671445309,0,0,0,0
P27540,ARNT,0.508671556,,0.333011914,0.510383275,,0.773268296,1.008339679,,,0.77298855,0,0,0,0
P56211,ARPP19,,0.10782492,0.581694879,,,,,0.358803352,,,,0,0,0
Q9UBL0,ARPP21,,0.01252125,,0.212985223,,,,,-0.015829317,,0,0,0,0
P15289,ARSA,,,0.328701404,0.211569456,,,,,,0.616833076,0,0,0,0
P04424,ASL,0.538236481,,,0.180670648,,,0.507756919,,,,0,0,0,0
Q9BZE9,ASPSCR1,,,0.447949044,0.648788899,,,,,,0.918880224,0,0,0,0
P15336,ATF2,,,0.322470621,0.205857817,,,,,,0.608091408,0,0,0,0
Q99941,ATF6B,,,0.57588031,0.228249405,,,,,,0.596377645,0,0,0,0
Q674R7,ATG9B,,,0.616599459,0.242974447,,,,,,0.622433767,0,0,0,0
Q13315,ATM,0.614814484,,0.364532797,,,0.808965651,,,,,,0,1,0
P06576,ATP5F1B,0.489775685,,,0.569678637,,,0.976397897,,,,0,0,0,0
P46100,ATRX,,,0.375637018,0.309682043,,,,,,0.774607709,0,0,0,0
P01185,AVP,,,0.231455109,0.148948654,,,,,,0.536836223,0,0,0,0
O15169,AXIN1,0.451486683,,0.43744947,,,0.933302136,,,,,,0,0,0
Q96A70,AZIN2,0.524684931,,,0.239009824,,,0.61734012,,,,0,0,1,0
P61769,B2M,,,0.295330235,0.528676158,,,,,,0.711761443,0,0,0,0
O96024,B3GALT4,,,0.561664698,0.229609742,,,,,,0.598902865,0,0,0,0
Q9P2W7,B3GAT1,,0.172245722,0.504712992,0.225515342,,,,0.491205799,0.6041822,0.594756879,0,0,0,0
Q9NY97,B3GNT2,,,0.350990084,0.204417598,,,,,,0.591097853,0,0,0,0
O43286,B4GALT5,,0.135614548,0.567307675,0.620519453,,,,0.417198076,0.424603003,1.062236893,0,0,0,0
Q8WXS3,BAALC,,,0.544044699,0.299470681,,,,,,0.716734817,0,0,0,0
Q92934,BAD,,,0.127394258,0.678514671,,,,,,0.41939985,0,0,0,0
Q16611,BAK1,,,0.367371328,0.103735564,,,,,,0.339849967,0,0,0,0
Q92560,BAP1,0.833727113,0.040881175,0.596089822,,0.296300912,1.097386472,,0.202143779,,,1,0,0,0
Q07812,BAX,,0.059153893,0.324682404,0.697952938,,,,0.202759067,0.281941263,0.753217726,0,0,0,0
Q9UIF9,BAZ2A,,,0.564800488,0.229609742,,,,,,0.598850889,0,0,0,0
P06276,BCHE,,0.049941635,0.320054053,0.077193862,,,,0.168780146,0.411995333,0.266329458,0,0,0,0
P10415,BCL2,0.619900381,0.072932398,0.409379324,0.68220038,0.288179567,0.8700136,1.11721832,0.247898303,0.30704749,0.869061009,0,0,1,0
Q07817,BCL2L1,,,0.302865893,0.567268554,,,,,,0.720202825,0,0,0,0
P41182,BCL6,0.566353688,,0.231944595,0.142304002,,0.602940391,0.431207199,,,0.517757007,0,0,0,0
P11274,BCR,0.614814484,0.074553337,0.378960548,0.201522148,0.290520648,0.829068933,0.550176524,0.25213332,0.312834992,0.574097272,0,0,0,0
P23560,BDNF,,0.008993345,0.158802029,0.630503445,,,,-0.047411348,0.132529925,0.472074559,0,0,0,0
Q14457,BECN1,,,0.206940566,0.665351901,,,,,,0.564544074,0,0,0,0
O76090,BEST1,,,0.441189912,0.2143962,,,,,,0.583176263,0,0,0,0
P02818,BGLAP,,,0.234363988,0.731869441,,,,,,0.619033389,0,0,0,0
O14503,BHLHE40,,,0.502864508,0.508995776,,,,,,1.001645498,0,0,0,0
Q9NZM4,BICRA,0.298330678,,0.649982452,,,0.711948496,,,,,,0,0,0
Q13490,BIRC2,,,0.309291261,0.508300291,,,,,,0.736679718,0,0,0,0
O15392,BIRC5,0.533150583,0.235038557,0.513855803,0.050936953,0.609686845,1.01047226,0.208267353,0.611187667,0.187775724,0.202833247,0,0,0,0
P54132,BLM,,,0.444072753,0.605356215,,,,,,0.91604145,0,0,0,0
P35226,BMI1,,,0.366680423,0.189734985,,,,,,0.553340964,0,0,0,0
P12643,BMP2,,,0.244553256,0.121710033,,,,,,0.445970896,0,0,0,0
P12644,BMP4,0.566353688,,0.309261905,0.132134154,,0.730192325,0.409666367,,,0.436943267,0,0,0,0
P22004,BMP6,,,0.379143649,0.138941539,,,,,,0.431203574,0,0,0,0
Q13873,BMPR2,,,0.400094101,0.177604876,,,,,,0.516521431,0,0,0,0
P51813,BMX,,,0.473065838,0.26225106,,,,,,0.664931489,0,0,0,0
P15056,BRAF,0.585249558,,0.338093142,0.147297392,,0.772396038,0.443530679,,,0.464748009,0,0,0,0
P38398,BRCA1,0.628624457,,0.241136579,,,0.619856856,,,,,,0,0,0
P51587,BRCA2,0.585249558,,0.154244983,0.148948654,,0.457619472,0.446897419,,,0.639244745,0,0,1,0
Q9BX63,BRIP1,0.528064686,,0.527386666,,,1.027271432,,,,,,0,0,0
P35613,BSG,0.552046454,,0.393644641,0.229609742,,0.854406242,0.599143357,,,0.625523102,0,0,0,0
Q8N6V4,C10orf53,0.241145805,,0.69035597,,,0.624753627,,,,,,0,0,0
Q13901,C1D,,0.124541003,0.580268073,0.235007139,,,,0.395191781,0.462525407,0.608184926,0,0,1,0
P02745,C1QA,,,0.180427415,0.582690683,,,,,,0.508821086,0,0,0,0
P02746,C1QB,,,0.526146561,0.321832238,,,,,,0.753617165,0,0,0,0
Q07021,C1QBP,0.508671556,0.380947629,0.42790644,0.17914058,0.843289238,0.907312164,0.505131021,0.863375261,0.525264355,0.51375349,0,0,0,0
P02747,C1QC,,,0.5425934,0.331516513,,,,,,0.76630538,0,0,0,0
P09871,C1S,,,0.373313828,0.545564013,,,,,,0.826886727,0,0,0,0
P01024,C3,,,0.170101104,0.96798011,,,,,,0.573306517,0,0,0,0
P0C0L4,C4A,,,0.234236469,0.622111854,,,,,,0.60789641,0,0,0,0
P20851,C4BPB,,,0.576376925,0.380625338,,,,,,0.833864824,0,0,0,0
P01031,C5,,,0.322257342,0.555004638,,,,,,0.751027748,0,0,0,0
A6NC05,C5orf63,,,0.744404888,0.35829243,,,,,,0.803753301,0,0,0,0
P13671,C6,,,0.338431192,0.182195121,,,,,,0.54811569,0,0,0,0
P10643,C7,,,0.406431561,0.197140919,,,,,,0.556594756,0,0,0,0
P07357,C8A,,,0.538392893,0.200066848,,,,,,0.545268214,0,0,0,0
P07358,C8B,,,0.506454751,0.191226733,,,,,,0.529354166,0,0,0,0
Q9NS85,CA10,,0.003961514,0.547725341,,,,,0.07889173,,,,0,0,0
P00918,CA2,,,0.106501684,0.736324437,,,,,,0.393009955,0,0,0,0
Q16790,CA9,0.533150583,0.094028846,0.528010451,0.229609742,0.318506579,1.027155379,0.599986676,0.31768854,0.365593273,0.600304895,0,0,1,0
Q9BY67,CADM1,0.552046454,0.104456545,0.568576745,,0.346160997,1.049881081,,0.348899545,,,,0,0,0
P05937,CALB1,,,0.361179991,0.17914058,,,,,,0.531928929,0,0,0,0
P22676,CALB2,,0.07305714,0.496191441,0.580940045,,,,0.259017125,0.277871694,0.982930648,0,0,0,0
P01258,CALCA,0.221752675,,0.126646407,0.112819651,,0.48117295,0.43706007,,,0.578904727,0,0,0,0
Q05682,CALD1,,,0.44834602,0.224141557,,,,,,0.600497433,0,0,0,0
P0DP23,CALM1,0.566353688,0.040253602,,0.573267839,0.190042075,,1.065520704,,0.192441551,,0,0,0,0
P0DP25,CALM3,0.585249558,,0.082364397,,,0.301173552,,,,,,0,0,0
P49913,CAMP,,,0.23369028,0.204417598,,,,,,0.671807786,0,0,0,0
Q86VP6,CAND1,,,0.496167044,0.26724445,,,,,,0.669667128,0,0,0,0
P27824,CANX,,,0.34496076,0.218600704,,,,,,0.623235376,0,0,0,0
P07384,CAPN1,0.566353688,,,0.148948654,,,0.445028547,,,,0,0,0,0
O15484,CAPN5,0.470382554,,0.55141384,,,0.95482267,,,,,,0,0,0
P42574,CASP3,0.643882149,0.098907474,0.31329564,0.595308907,0.352600154,0.734370981,1.091878681,0.338333045,0.34148944,0.734830014,0,0,1,0
P55210,CASP7,,,0.244461864,0.053016474,,,,,,0.193672981,0,0,0,0
Q14790,CASP8,0.53834978,,0.306988074,0,,0.729139878,0.062068109,,,-0.053612744,0,0,1,0
P55211,CASP9,,0.002469533,0.22757323,0.477990045,,,,-0.076903669,0.04039198,0.601817005,0,0,1,0
P20810,CAST,,0.007879104,,0.330451524,,,,,-0.00500701,,0,0,0,0
P04040,CAT,,,0.272717516,0.711424913,,,,,,0.676859751,0,0,0,0
Q03135,CAV1,0.609728586,,0.249134211,0.101894753,,0.632551933,0.351200975,,,0.378917819,0,0,0,0
Q9HC52,CBX8,,,0.315747688,0.25079236,,,,,,0.702198345,0,0,0,0
P06307,CCK,0.590335456,0.058066708,0.320513217,,0.24374213,0.745956901,,0.199095704,,,,0,0,0
