SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P32745,SSTR3,,,0.388637462,0.359475311,,,,,,0.846492688,0,0,0,0
P31391,SSTR4,0.663361775,,0.425910267,0.266134677,,0.890493103,0.662560978,,,0.682769486,0,0,0,0
P35346,SSTR5,,,0.403487599,0.608261743,,,,,,0.862759,0,0,0,0
Q16385,SSX2,,,0.504255286,0.496750514,,,,,,0.995201557,0,0,0,0
Q16385,SSX2,,,0.504255286,0.230222905,,,,,,0.603418934,0,0,0,0
P50502,ST13,0.594698852,,0.431336211,0.708665278,,0.900433824,1.089852504,,,0.897982316,0,0,0,0
Q9Y5Y6,ST14,0.613771887,,0.406422392,0.635766789,,0.866381147,1.112322548,,,0.865488506,0,0,0,0
O60284,ST18,0.49717042,,,0.562970461,,,0.98618226,,,,0,0,0,0
Q11201,ST3GAL1,,,0.474691653,0.726147269,,,,,,0.952351333,0,0,0,0
Q11203,ST3GAL3,,,0.49206357,0.567640333,,,,,,0.979421977,0,0,0,0
P15907,ST6GAL1,0.599339132,,0.395651595,0.653312124,,0.852741413,1.095858514,,,0.850792814,0,0,0,0
Q9UJ37,ST6GALNAC2,,,0.566622708,0.572888764,,,,,,1.065867429,0,0,0,0
Q9BVH7,ST6GALNAC5,,,0.576659541,0.595501349,,,,,,1.074714113,0,0,0,0
Q9NRC1,ST7,,,0.475759884,0.705213721,,,,,,0.953101544,0,0,0,0
Q8TDW4,ST7L,,,0.606041543,0.599591213,,,,,,1.099033242,0,0,0,0
Q92185,ST8SIA1,0.511603175,0.096947728,0.616462159,0.579714931,0.322465834,0.998303763,1.001526839,0.341780517,0.333843668,1.07636583,0,0,0,0
Q92186,ST8SIA2,,,0.446953126,0.524268264,,,,,,0.929320688,0,0,0,0
O43173,ST8SIA3,,0.314450561,0.65698119,0.481340219,,,,0.736387263,0.749604141,0.960055384,0,0,0,0
Q92187,ST8SIA4,0.648103348,,,0.709501591,,,1.146823274,,,,0,0,0,0
Q9NY15,STAB1,,,0.573483542,0.619507994,,,,,,1.069216277,0,0,0,0
Q99469,STAC,,0.056423965,,0.734164215,,,,,0.28911917,,0,0,0,0
Q8WVM7,STAG1,,,0.453165289,0.62697528,,,,,,0.926286739,0,0,0,0
Q8N3U4,STAG2,0.619683701,0.254934537,0.630986683,0.42965109,0.642418621,1.118944688,0.896611651,0.642810871,0.661828523,0.896092324,0,0,1,0
Q9UGK3,STAP2,,,0.568450138,0.539703407,,,,,,1.035733639,0,0,0,0
Q9Y3M8,STARD13,,,0.577444572,0.672608658,,,,,,1.07119597,0,0,0,0
Q14849,STARD3,,,0.474709275,0.621478203,,,,,,0.953418963,0,0,0,0
P42224,STAT1,0.671669163,0.232835554,0.489068909,0.843311572,0.609189227,0.969131298,1.17737746,0.609971177,0.636946503,0.978190347,0,0,1,0
P52630,STAT2,0.555281249,,0.459828718,0.793177507,,0.94106452,1.049480989,,,0.938384981,0,0,0,0
P40763,STAT3,0.714528368,0.690520391,0.72012155,0.912776265,1.190442091,1.214568205,1.227508376,1.190482917,1.203626146,1.233022098,0,0,1,0
Q14765,STAT4,,,0.261442425,0.780591965,,,,,,0.668731163,0,0,0,0
P42229,STAT5A,0.595407544,,0.454041368,0.756678708,,0.929473529,1.091702401,,,0.928608269,0,0,0,0
P51692,STAT5B,0.630318825,0.13327771,0.55982143,0.763155194,0.421527526,1.053184991,1.129330301,0.411385334,0.451368736,1.052810138,0,0,0,0
