SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q9Y243,AKT3,,,0.443221425,0.598613607,,,,,,0.915450852,0,0,0,0
P02768,ALB,,,0.021364732,0.55824731,,,,,,0.134827717,0,0,0,0
P47895,ALDH1A3,,,0.540613648,0.816170203,,,,,,1.034781793,0,0,0,0
P30837,ALDH1B1,,0.067799649,0.592405931,0.570452858,,,,0.268228321,0.262247136,1.068080252,0,0,0,0
Q9UM73,ALK,0.611157895,,0.453257684,0.076619552,,0.927312379,0.294327687,,,0.26232526,0,0,1,0
P09917,ALOX5,0.610074803,,,0.488894963,,,0.971514507,,,,0,0,0,0
P20292,ALOX5AP,,,0.257229233,0.662595604,,,,,,0.648290795,0,0,0,0
P05186,ALPL,,0.174998478,,0.365206786,,,,,0.521127672,,0,0,0,0
P05187,ALPP,,0.175318134,0.143723068,0.715734085,,,,0.589494896,0.516671575,0.459114227,0,0,0,0
Q9H161,ALX4,0.527389103,,0.596023707,0.16523468,,1.018505906,0.476584697,,,0.480484056,0,0,0,0
P02760,AMBP,,,0.424707332,0.580133184,,,,,,0.893047007,0,0,0,0
Q99217,AMELX,,,0.496391521,0.426552255,,,,,,0.907965033,0,0,0,0
P03971,AMH,,,0.271801539,0.605796296,,,,,,0.669689368,0,0,0,0
Q9Y2J4,AMOTL2,,,0.636118631,0.50016249,,,,,,0.983535169,0,0,1,0
Q9H1A4,ANAPC1,,,0.583334202,0.6230424,,,,,,1.079913698,0,0,0,0
Q9UJX4,ANAPC5,,,0.596878795,0.649771089,,,,,,1.093324138,0,0,0,0
Q9UJX3,ANAPC7,,,0.594150549,0.557693274,,,,,,1.053541111,0,0,0,0
P03950,ANG,,,0.343855155,0.578066159,,,,,,0.781322561,0,0,0,0
Q15389,ANGPT1,,,0.313955035,0.835968634,,,,,,0.753967175,0,0,0,0
O15123,ANGPT2,,,0.301129435,0.672440612,,,,,,0.717100627,0,0,0,0
P16157,ANK1,,0.012397825,,0.610491974,,,,,0.132486232,,0,0,0,0
Q12955,ANK3,,,0.518193232,0.584225452,,,,,,1.008855351,0,0,0,0
Q6UB99,ANKRD11,,,0.545853595,0.488894963,,,,,,0.978450973,0,0,0,0
Q6UB98,ANKRD12,,0.208456706,0.664808907,0.588263245,,,,0.56711209,0.561273176,1.083341471,0,0,0,0
P39687,ANP32A,,,0.569511252,0.472455843,,,,,,0.955119147,0,0,0,0
Q92688,ANP32B,,,0.629431145,0.631202387,,,,,,1.129323252,0,0,0,0
Q9BTT0,ANP32E,,,0.635430605,0.345769443,,,,,,0.781854241,0,0,0,0
P15144,ANPEP,,,0.239545843,0.710082753,,,,,,0.624445911,0,0,0,0
P04083,ANXA1,,,0.366919258,0.662006414,,,,,,0.811670608,0,0,1,0
P08758,ANXA5,,0.097233201,0.447420176,0.520576052,,,,0.317689674,0.324372225,0.93055884,0,0,0,0
O14727,APAF1,,,0.451331438,0.715239651,,,,,,0.923319908,0,0,0,0
O96018,APBA3,,0.0492497,,0.401630995,,,,,0.172808119,,0,0,0,0
