SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q9NYB9,ABI2,,,0.465221471,0.463604029,,,,,,0.963181405,0,0,0,0
P00519,ABL1,0.629654978,,0.133171356,0.389355103,,0.421194477,0.842757258,,,0.414583627,0,0,0,0
P42684,ABL2,,,0.411213694,0.543183153,,,,,,0.879423059,0,0,0,0
O14639,ABLIM1,,0.059840059,0.524855291,0.567855709,,,,0.229977163,0.241562186,1.018529398,0,0,0,0
Q6H8Q1,ABLIM2,,,0.559788819,0.526004979,,,,,,1.020895685,0,0,0,0
Q6UWZ7,ABRAXAS1,,,0.491005835,0.39734902,,,,,,0.8696291,0,0,0,0
Q15018,ABRAXAS2,,,0.518277072,0.293996578,,,,,,0.710894424,0,0,0,0
Q9ULW3,ABT1,,,0.539268988,0.401968966,,,,,,0.867472077,0,0,0,0
P09110,ACAA1,,,0.490266711,0.092336375,,,,,,0.308332527,0,0,0,0
P42765,ACAA2,,,0.502897239,0.583407153,,,,,,0.990745977,0,0,0,0
Q13085,ACACA,,,0.412465782,0.751824017,,,,,,0.876042853,0,0,0,0
Q6JQN1,ACAD10,,,0.533936397,0.455133164,,,,,,0.93819668,0,0,0,0
Q709F0,ACAD11,,,0.524814439,0.632505229,,,,,,1.012862207,0,0,0,0
Q9UKU7,ACAD8,,,0.530125638,0.462306372,,,,,,0.947894848,0,0,0,0
Q9H845,ACAD9,,,0.488884967,0.492924132,,,,,,0.987995511,0,0,0,0
P28330,ACADL,,,0.468599712,0.640001799,,,,,,0.944974206,0,0,0,0
P16219,ACADS,,,0.428761773,0.571143328,,,,,,0.899264032,0,0,0,0
P45954,ACADSB,,,0.506887687,0.415758335,,,,,,0.891482377,0,0,0,0
P49748,ACADVL,,,0.399640013,0.392886192,,,,,,0.890237216,0,0,0,0
P24752,ACAT1,,,0.39022838,0.58140743,,,,,,0.846687584,0,0,0,0
Q9BWD1,ACAT2,0.435243095,,0.412168359,0.4856381,,0.904451442,0.921744347,,,0.891038919,0,0,0,0
Q9H3P7,ACBD3,,,0.516087599,0.554346716,,,,,,1.009943976,0,0,0,0
Q8NC06,ACBD4,,,0.550584181,0.445944643,,,,,,0.924015354,0,0,0,0
Q5T8D3,ACBD5,,,0.52539371,0.367246308,,,,,,0.821043192,0,0,0,0
Q96AP0,ACD,0.54599387,,0.420091262,0.479502767,,0.890890659,0.966900963,,,0.903097863,0,0,0,0
P12821,ACE,0.625042751,,,0.684008185,,,1.122674257,,,,0,0,0,0
Q9BYF1,ACE2,,,0.356612975,0.595478926,,,,,,0.798643188,0,0,0,0
P22303,ACHE,0.60939766,0.147733323,0.308987872,0.841695721,0.447403656,0.72789361,1.11234961,0.47870241,0.498766357,0.747987401,0,0,0,0
Q9UKV3,ACIN1,,,0.491252474,0.500621312,,,,,,0.989257849,0,0,0,0
P25106,ACKR3,,,0.317287128,0.519985859,,,,,,0.747450215,0,0,0,0
P53396,ACLY,,,0.323893023,0.733727109,,,,,,0.754801986,0,0,0,0
P21399,ACO1,,,0.314602212,0.616652365,,,,,,0.736278927,0,0,0,0
Q99798,ACO2,,0.024564225,0.365023677,0.655773557,,,,0.076855905,0.1841236,0.808996022,0,0,0,0
Q86TX2,ACOT1,,,0.448175902,0.36974746,,,,,,0.841159139,0,0,0,0
Q8WXI4,ACOT11,,,0.500284275,0.250848289,,,,,,0.640750372,0,0,0,0
P49753,ACOT2,,,0.521384622,0.545667173,,,,,,1.017434498,0,0,0,0
O00154,ACOT7,,,0.44689103,0.416211784,,,,,,0.906417087,0,0,0,0
O14734,ACOT8,,,0.533759282,0.059230151,,,,,,0.23064523,0,0,0,0
Q9Y305,ACOT9,,,0.567351985,0.348642214,,,,,,0.789162884,0,0,0,0
Q15067,ACOX1,,,0.353539584,0.599643242,,,,,,0.794022486,0,0,0,0
O15254,ACOX3,,,0.546366917,0.245260007,,,,,,0.626855028,0,0,0,0
P24666,ACP1,,,0.322217491,0.555097279,,,,,,0.750958644,0,0,0,0
