SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
P38398,BRCA1,0.587870463,,0.100550038,0.165209247,,0.343662145,0.479680654,,,0.460840628,0,0,0,0
Q9UIR0,BTNL2,0.576968187,,0.575242226,,,1.075045991,,,,,,0,0,0
P01024,C3,,,0.138365461,0.287826052,,,,,,0.465121327,0,0,0,0
P13671,C6,,,0.310011383,0.340455888,,,,,,0.792138173,0,0,0,0
P07451,CA3,,,0.338974573,0.227628138,,,,,,0.644343639,0,0,0,0
P22748,CA4,,0.002539129,0.487383096,0.25486539,,,,0.045183803,-0.064454218,0.649615073,0,0,0,0
P05937,CALB1,,,0.39981186,0.220917108,,,,,,0.606575555,0,0,0,0
Q9UQM7,CAMK2A,0.376218071,,,0.679265257,,,0.824719301,,,,0,0,0,0
Q86X55,CARM1,0.460879028,,0.483567062,,,0.955236514,,,,,,0,0,0
P42575,CASP2,0.487550997,,,0.175678682,,,0.499110074,,,,0,0,0,0
P42574,CASP3,0.59310232,0.04483,0.232465773,0.310905822,0.211241699,0.603895476,0.731272588,0.160174933,0.148981005,0.669609261,0,0,0,0
Q03135,CAV1,,,0.295927367,0.15141632,,,,,,0.495246262,0,0,0,0
P35520,CBS,0.566980097,0.460860089,,,0.940914408,,,,,,,0,1,0
P06307,CCK,,,0.264368874,0.203032367,,,,,,0.640907842,0,0,0,0
P13500,CCL2,,,0.23232044,0.040451542,,,,,,0.139004267,0,0,0,0
P41002,CCNF,0.43424412,0.032202298,0.704991072,,0.123750206,0.901568885,,0.223265997,,,,0,0,0
P06493,CDK1,0.524649619,,,0.10927622,,,0.353638458,,,,0,0,0,0
Q00535,CDK5,0.545539985,0.223488454,0.499686384,,0.588394064,0.991592735,,0.591526268,,,,0,0,0
Q15078,CDK5R1,0.524649619,0.006253198,0.542406327,0.216846583,0.075001834,1.021761122,0.577220482,0.083341097,-0.055918313,0.576426427,0,0,0,0
Q00534,CDK6,0.48231914,,0.428274141,0.159126238,,0.913328853,0.464446223,,,0.469702599,0,0,0,0
Q13111,CHAF1A,0.529881476,,0.402329395,,,0.869353783,,,,,,0,0,0
Q8WYQ3,CHCHD10,0.43384262,0.197026624,0.831663767,,0.550000542,0.910469028,,0.578104873,,,,0,0,0
Q9Y6H1,CHCHD2,0.386681785,,0.63464124,,,0.838988293,,,,,,0,0,0
O14647,CHD2,,,0.572813186,0.226293158,,,,,,0.592927323,0,0,0,0
P10645,CHGA,,,0.292113591,0.354080844,,,,,,0.755288734,0,0,0,0
P05060,CHGB,,,0.465461654,0.366334764,,,,,,0.83163084,0,0,0,0
P36222,CHI3L1,0.598371238,,0.602121444,,,1.098037418,,,,,,0,0,0
P24386,CHM,,,0.436769373,0.261136341,,,,,,0.67100431,0,0,0,0
O43633,CHMP2A,0.143675314,,0.478464449,,,0.430557846,,,,,,0,0,0
Q9H444,CHMP4B,,,0.592018391,0.268558565,,,,,,0.664512553,0,0,0,0
P30622,CLIP1,,,0.429492296,0.224954585,,,,,,0.606227655,0,0,0,0
P10909,CLU,0.572211954,,0.462938018,0.279488231,,0.942930399,0.682822167,,,0.6964906,0,0,0,0
P62633,CNBP,,0.003296791,,0.242081144,,,,,-0.065417054,,0,0,0,0
P21554,CNR1,,,0.239865649,0.328628135,,,,,,0.673841892,0,0,0,0
P34972,CNR2,,,0.318540362,0.34888456,,,,,,0.801564144,0,0,0,0
Q9UHC6,CNTNAP2,,,0.534297674,0.249791063,,,,,,0.635470661,0,0,1,0
P21964,COMT,,,0.212995338,0.622371302,,,,,,0.571161797,0,0,0,0
P29373,CRABP2,,0.033723588,,0.216846583,,,,,0.108513631,,0,0,0,0
P82279,CRB1,,,0.502335841,0.291357047,,,,,,0.708883898,0,0,0,0
P16220,CREB1,,,0.26787174,0.536385945,,,,,,0.666050011,0,0,0,0
P34998,CRHR1,0.503209506,0.016730877,0.443605655,,0.098370614,0.928893837,,0.074460909,,,,0,0,0
Q14194,CRMP1,,0.000228691,0.509483141,,,,,0.048383645,,,,0,0,0
P07333,CSF1R,,0.004761075,0.518864236,,,,,0.067564642,,,,0,0,0
P04141,CSF2,0.645933574,,0.316641881,,,0.739390442,,,,,,0,0,0
P48730,CSNK1D,0.41854855,0.06975198,0.509859435,,0.239058821,0.894658548,,0.25288915,,,,0,0,0
P01034,CST3,,0.076757538,0.384363047,0.194555802,,,,0.258861676,0.328646511,0.557623839,0,0,0,0
P04080,CSTB,,0.218187802,0.571933414,,,,,0.578481435,,,,0,0,0
P35222,CTNNB1,,,0.151532212,0.755844468,,,,,,0.482755701,0,0,0,0
P53634,CTSC,0.48231914,,0.576186975,0.190262712,,0.966547154,0.529242676,,,0.527181038,0,0,0,0
P07339,CTSD,0.561235555,,0.38582947,0.148298568,,0.842569137,0.443242746,,,0.452608121,0,0,0,0
P39880,CUX1,,,0.347658158,0.228959544,,,,,,0.64274864,0,0,0,0
P10145,CXCL8,0.609310575,,,0.03458963,,,0.190813361,,,,0,0,0,0
P61073,CXCR4,,,0.13817373,0.1560566,,,,,,0.604138296,0,0,0,0
P99999,CYCS,0.503209506,,0.080475777,0.107581909,,0.279720964,0.347381809,,,0.492108363,0,0,0,0
Q02318,CYP27A1,0.48231914,0.008127799,0.431220234,,0.061553359,0.917217607,,0.038729737,,,,0,0,0
P10635,CYP2D6,0.566980097,,,0.599553472,,,1.063522085,,,,0,0,0,0
P53355,DAPK1,0.524649619,,0.36435951,0.195978635,,0.81701181,0.537810144,,,0.567684415,0,0,0,0
Q14203,DCTN1,0.418109988,0.294131333,0.672490699,,0.733035767,0.880368918,,0.70653223,,,,0,0,0
Q9UJW0,DCTN4,0.47334036,,0.579845021,,,0.955085651,,,,,,0,0,0
Q96GG9,DCUN1D1,0.376218071,0.095369975,0.557823537,,0.314685823,0.829538218,,0.325973214,,,,0,0,0
O00571,DDX3X,0.503209506,,,0.216846583,,,0.578815,,,,0,0,0,0
Q86XP3,DDX42,,,0.58741326,0.261136341,,,,,,0.652384245,0,0,0,0
Q9NRI5,DISC1,,,0.42215652,0.257383268,,,,,,0.668312261,0,0,0,0
O94907,DKK1,0.566980097,,0.343986404,,,0.782391976,,,,,,0,0,0
P09622,DLD,0.503209506,,0.426925146,,,0.907074445,,,,,,0,0,0
Q12959,DLG1,,,0.424417246,0.216846583,,,,,,0.591748548,0,0,0,0
P78352,DLG4,,,0.404147291,0.201629602,,,,,,0.566495093,0,0,0,0
Q96JB1,DNAH8,0.48231914,0.156693212,0.367060122,,0.459180901,0.828736696,,0.477865362,,,,0,0,0
Q9UBS4,DNAJB11,,,0.550203107,0.224954585,,,,,,0.590883815,0,0,0,0
O75061,DNAJC6,,0.043520829,0.547059355,,,,,0.192399043,,,,0,0,0
O14645,DNALI1,,0.121356527,0.602207663,,,,,0.391867879,,,,0,0,0
Q8NFT8,DNER,0.503209506,,,0.238180891,,,0.617922122,,,,0,0,0,0
P26358,DNMT1,0.566980097,,0.26799586,,,0.664290531,,,,,,0,0,0
Q9Y6K1,DNMT3A,,,0.33074212,0.175678682,,,,,,0.536697951,0,0,0,0
P42658,DPP6,0.460879028,,0.567536919,,,0.940873329,,,,,,0,0,0
P14416,DRD2,,,0.224328554,1,,,,,,0.664177879,0,0,0,0
Q03001,DST,,,0.480730403,0.207217074,,,,,,0.562843077,0,0,0,0
Q14204,DYNC1H1,,,0.4925965,0.21820713,,,,,,0.582439528,0,0,0,0
P68104,EEF1A1,,,0.397111613,0.191697864,,,,,,0.547721455,0,0,0,0
Q96C19,EFHD2,,0.132653846,0.553591423,,,,,0.409388766,,,,0,0,0
P01133,EGF,,,0.146591353,0.124270716,,,,,,0.577161253,0,0,0,0
P00533,EGFR,,,0.109600895,0.086786693,,,,,,0.516049715,0,0,0,0
Q9NZJ5,EIF2AK3,0.524649619,,0.397857208,0.148298568,,0.864066302,0.441019606,,,0.44997482,0,0,0,0
Q04637,EIF4G1,,,0.37781532,0.215482302,,,,,,0.603176306,0,0,0,0
Q15717,ELAVL1,,,0.382075969,0.222266579,,,,,,0.615187413,0,0,0,0
Q15369,ELOC,,,0.478046924,0.244664422,,,,,,0.633012295,0,0,0,0
Q6IA86,ELP2,0.376218071,,0.549457132,,,0.830503373,,,,,,0,0,0
Q9H9T3,ELP3,,0.042214309,0.55517639,,,,,0.191523248,,,,0,0,0
P06733,ENO1,,,0.371121629,0.160653981,,,,,,0.486027091,0,0,0,0
P09104,ENO2,,,0.269359086,0.180098976,,,,,,0.584301181,0,0,0,0
Q09472,EP300,,,0.258373533,0.178629906,,,,,,0.589470104,0,0,0,0
Q9UF33,EPHA6,,0.053940175,0.586054135,,,,,0.232083506,,,,0,0,0
Q15303,ERBB4,0.545539985,,0.365948797,0.698768925,,0.816422713,1.035078632,,,0.811324343,0,0,0,0
Q7Z2K6,ERMP1,,0.143350603,0.633127654,,,,,0.442219333,,,,0,0,0
P14921,ETS1,,,0.337287227,0.194555802,,,,,,0.576154321,0,0,0,0
Q01844,EWSR1,0.471342742,0.159038783,0.523126059,0.239484377,0.464875536,0.960414407,0.624768698,0.463683051,0.556525522,0.6183073,0,0,1,0
P03951,F11,0.460879028,,,0.248514349,,,0.643016527,,,,0,0,0,0
P00734,F2,,,0.012222348,0.602698832,,,,,,0.128463118,0,0,0,0
Q96CS3,FAF2,,0.113713287,0.56221689,0.273445875,,,,0.368774705,0.401844276,0.673484079,0,0,0,0
Q8NB91,FANCB,,,0.263578609,0.262381097,,,,,,0.761369903,0,0,0,0
Q8IYD8,FANCM,,,0.523115524,0.281884765,,,,,,0.690604685,0,0,0,0
P49327,FASN,,,0.3316557,0.528440856,,,,,,0.768266304,0,0,0,0
Q8TBJ5,FEZF2,,,0.422921576,0.281884765,,,,,,0.710906024,0,0,0,0
P09038,FGF2,,,0.117836711,0.273445875,,,,,,0.414432012,0,0,0,0
Q14315,FLNC,0.423780407,,0.401714844,,,0.893846597,,,,,,0,0,0
Q06787,FMR1,0.503209506,,0.463141667,,,0.953856803,,,,,,0,0,0
Q8TF40,FNIP1,,0.085539259,0.595341392,,,,,0.311001658,,,,0,0,0
Q9P278,FNIP2,,0.090012316,0.615076183,,,,,0.325977413,,,,0,0,0
P01100,FOS,,,0.146334108,0.481917962,,,,,,0.436421559,0,0,0,0
Q12778,FOXO1,,,0.278817924,0.160653981,,,,,,0.529611112,0,0,0,0
O43524,FOXO3,,0.001283319,0.379343595,0.159126238,,,,-0.012025171,-0.115587917,0.480050311,0,0,0,0
O15409,FOXP2,,,0.514774486,0.231611709,,,,,,0.604932081,0,0,0,0
Q14332,FZD2,,0.092253153,0.506923325,0.21820713,,,,0.310223084,0.368356374,0.581025295,0,0,0,0
