SwissProt_Accessions,geneName,DISGENET_Score,Standard_Score,Pubpular_Score,CTD_Score,DH_Score,DP_Score,DC_Score,HP_Score,HC_Score,PC_Score,CTD_Marker,Edager_Marker,BIONDA_Marker,Dis_2_Marker
Q7Z5M8,ABHD12B,,0.003177886,0.610362704,0.248488706,,,,0.106988555,-0.063415692,0.631488769,0,0,0,0
Q8IZP0,ABI1,,0.025295324,0.486652877,0.525649378,,,,0.118743511,0.133295844,0.978911546,0,0,0,0
Q9P2A4,ABI3,0.541996,,0.574382879,0.205993424,,1.037675811,0.556356932,,,0.556386778,1,0,0,0
P00519,ABL1,0.68128819,,0.261396778,0.294813682,,0.656382476,0.708081444,,,0.735622535,0,0,0,0
O14639,ABLIM1,,,0.544733247,0.582196561,,,,,,1.03995806,0,0,0,0
Q6H8Q1,ABLIM2,0.060611428,,,0.369820201,,,0.207252166,,,,0,0,0,0
P16442,ABO,0.49608636,,0.420572795,0.089615409,,0.90007875,0.302126116,,,0.296396293,0,0,0,0
Q12979,ABR,,,0.495706838,0.409969885,,,,,,0.885899265,0,0,0,0
P42765,ACAA2,,,0.522594994,0.531479174,,,,,,1.021077292,0,0,0,0
Q13085,ACACA,0.650982476,,0.36297934,0.747750584,,0.806136096,1.150446984,,,0.810414007,0,0,0,0
Q6JQN1,ACAD10,,,0.555651311,0.365415864,,,,,,0.81448911,0,0,0,0
Q709F0,ACAD11,,,0.545936539,0.580437268,,,,,,1.041528286,0,0,0,0
Q9UKU7,ACAD8,,,0.542972138,0.518311875,,,,,,1.014211494,0,0,0,0
P45954,ACADSB,,,0.52364275,0.5105022,,,,,,1.008087495,0,0,0,0
P49748,ACADVL,0.575414982,,0.409483076,0.488679534,,0.873318348,0.974410251,,,0.886731401,0,0,0,0
P16112,ACAN,,,0.339862355,0.562344085,,,,,,0.776732552,0,0,0,0
Q15027,ACAP1,0.423886413,,0.515252217,0.298496545,,0.900777149,0.738453221,,,0.718524594,0,0,0,0
P24752,ACAT1,0.617766918,,0.570284242,0.642497841,,1.065764741,1.116256404,,,1.064287248,0,0,0,0
Q9BWD1,ACAT2,,,0.496763454,0.549518007,,,,,,0.987487703,0,0,0,0
Q8NC06,ACBD4,,,0.573380992,0.354612074,,,,,,0.79730026,0,0,0,0
Q5T8D3,ACBD5,,,0.543439794,0.544524436,,,,,,1.043277167,0,0,0,0
Q9BR61,ACBD6,,,0.594132406,0.465737228,,,,,,0.944274187,0,0,0,0
Q96QU6,ACCS,0.605720695,,,0.245235693,,,0.625931245,,,,0,0,0,0
P12821,ACE,1,0.295802574,0.485529622,0.730218089,0.763627645,0.997878753,1.254854378,0.718962843,0.713622447,0.965557426,1,1,0,0
Q9BYF1,ACE2,0.628504153,,0.454387818,0.58135399,,0.927751505,1.077371957,,,0.931190382,0,0,0,0
