proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16
A0A1B0GUS4,0,0,0,0,0,1831.2,0,881.53,0,0,0,1890.1,0,0,0,0
A0AVT1,18094,9250.9,21373,8155.2,16919,13395,9488.8,13809,16554,8848.5,8102.2,6908.1,19840,7863,17169,13110
A0FGR8,0,2441.9,0,0,0,322.16,1542.1,0,0,2070.2,640.71,0,0,0,0,3075.4
A0MZ66,2775.9,0,1651.7,9363,4352,5964.5,16249,4731.4,8195.1,8796.1,6050.9,5054.2,1990.8,1397,4422.3,6479
A1L0T0,0,810.19,1695.5,0,0,2160,735.76,1524.4,2368.6,0,0,0,0,4114,0,0
A1XBS5,0,0,0,0,0,0,0,0,0,0,0,1929.8,0,0,0,0
A1Z1Q3,614.76,3322,3414,2195,0,3484.9,3559.3,2060.5,4441.6,4952,3638.2,3108.4,0,0,4461.1,4519.6
A2A2Z9,2076.8,0,21033,7455.6,27886,9206.4,4763.6,18174,11291,16654,10646,16439,5536.1,0,0,0
A2RTX5,0,2471.7,2672.4,0,1138.5,0,0,0,0,911.65,987.99,1518,0,1109.4,0,960.84
A3KMH1,0,0,7682.8,5142.9,3046.1,3361.8,7813.2,2747.4,3964.6,2501.5,4038.1,1662.8,4938.2,0,7881.6,3695
A4D1P6,0,1213.2,0,0,0,0,545.12,0,879.2,1684,0,0,0,0,0,0
A5YM72,0,341.28,0,0,0,0,0,0,0,0,0,576.96,0,0,0,0
A6NDG6,1134.6,7765.8,7195.4,576.93,2431.9,1508.5,8041.2,3227.7,2354,2270,6373.8,3042.6,974.63,6511.7,2696.7,5909.6
A6NDU8,508.13,0,0,798.33,0,0,0,0,1053,0,0,0,971.79,0,0,1043.1
A6NFH5,930320,0,0,825860,0,0,0,0,759960,0,0,1312800,0,0,0,0
A6NHL2,3414.4,18758,13417,14726,12243,1811.6,6996,1645.8,12350,8115.7,10574,9184.1,20838,3613.2,17008,10717
A6NHX0,387.77,700.63,1038.2,471.49,1043.2,0,1646.6,0,0,847.06,811.01,1021.8,1229.2,2115.4,0,1000.9
A6XGL0,0,0,0,2103.4,0,0,1235.5,0,0,0,0,0,0,2486.5,3009.8,1302.7
E9PAV3,13108,13928,6255.2,5851.7,4748.1,4423.9,8610.9,11401,12147,7110.8,15394,4350.8,8142.2,8209.7,22694,16389
O00139,11958,15574,16920,18549,13603,14837,19743,17655,14113,21277,15451,4847.8,13086,11525,23857,17933
O00142,0,0,0,0,0,0,1865.5,0,0,0,0,0,0,1271.6,0,0
O00154,57740,71612,24008,62690,58008,35566,78207,35702,65371,87906,77411,47250,55981,46049,60670,52331
O00159,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00168,2417.9,3975.8,0,2436.3,3613.3,1762.3,1842.3,1713.4,3343.8,3563.3,3149.2,4248.3,2885.2,4766.5,4372.9,4211.5
O00170,3312.6,12845,4183.7,0,4158.5,2105.2,0,5011.9,6670.3,11477,951.78,2604.5,6821.3,3527,1808.8,1388
O00178,0,1664.9,0,1240.4,0,952.74,0,0,3344.4,0,815.41,3542.5,2769.9,1339.4,3186.9,0
O00182,531.9,1110.3,0,871.37,0,0,0,1418.7,0,0,0,0,0,0,1131.6,1047.8
O00186,4883.9,3529.8,8272.7,2824.5,8668.3,10093,4746.4,7723.8,9761.4,6636.2,10566,5071,7024,4026.3,5880.3,10052
O00192,0,7850.3,3383.5,0,6409.3,581.23,881.59,1153.6,2866.5,834.22,3166.8,8911.5,6392.4,1509.7,2435.4,741.76
O00194,1089.7,5147.5,0,3164.3,2613.7,4120.4,12730,0,0,2415.5,4984.5,5019.6,0,1625.8,0,0
O00203,820.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O00213,7095,5991.4,5176.5,6919.7,9751.5,456.11,5635,3193.7,5528.3,5818.9,8811.2,0,0,8137.7,0,6316.6
O00217,6642.7,17241,15475,6760.4,3536,15738,21787,11140,17569,24166,20001,14373,6073.8,7015.5,15754,15595
O00231,206270,349380,232860,199850,299300,23745,29790,186550,26197,275960,28551,269530,24472,258140,25410,246850
