proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O00519,-0.22719481,-0.27855973,-0.2309017,-0.15100917,-0.33699461,-0.34270887,-0.9248349,0.05587392,-0.38149128,-0.286268
O00533,-0.2832951,0.24682,-0.5891317,-1.4913215,-0.462439,-1.1198751,-0.5017666,-0.6871601,-0.6053537,-0.521223
O00534,-0.5475585,-0.5372811,-0.3554144,-0.9705706,-1.2595006,-1.5420524,-1.0400574,-0.6882785,-0.8890935,-1.6395955
O00555,-0.7775855,-0.1474409,-0.7664618,-0.7905257,-0.8413206,-0.7898169,-1.4345484,-0.5783995,-0.813006,-0.6653015
O00560,-0.41048334,-0.19773903,-0.12052776,-0.74196917,-0.55512913,-0.70001591,0.02846758,-0.80054621,-0.85375067,-0.91791389
O00571,-0.12389988,-0.14358011,0.49589526,0.1668164,0.01506279,0.01711744,0.18796871,0.11113275,0.13244394,0.11072297
O00764,0.8583156,0.7900153,0.8670056,0.8388594,-1.1104807,0.6474476,0.5876194,0.7859124,0.7529104,0.8212091
O14495,0.292122,-0.7205709,0.467916,0.3584678,0.4219094,0.4337994,0.2083749,0.218187,0.331892,0.284974
O14521,0.167685976,-0.434382677,-0.12227847,0.447921759,-0.28486031,0.009210038,0.254195222,0.394331383,0.086731757,-0.2074141
O14523,-0.2797422,-0.2835241,-0.4716761,-0.5895931,-0.2066206,-0.4065288,-0.6190748,-0.4797872,-0.5876358,-0.4245251
O14531,0.6315594,0.1017515,-0.1301124,-0.1810229,0.1521231,0.2857653,0.1950698,0.2415197,-0.3117749,0.3784425
O14548,1.4484233,0.262889,0.8511569,1.2818796,1.3447555,1.5044873,1.3484463,1.0153013,1.0558776,1.3675642
O14558,-2.16706149,-0.63251741,-0.01408989,-1.18469019,-0.43261818,-1.80845994,-1.89005029,-1.73161365,-1.14283975,-2.01081914
O14561,0.16441705,-1.07075379,0.06900805,0.33487085,0.3700574,0.23817414,0.37466009,0.44132306,0.64160778,-0.26062096
O14576,0.40681209,0.99233318,0.08899774,0.20263514,0.47289078,0.2076784,0.24924965,0.18051318,0.35919297,0.39310528
O14578,0.23164271,0.30757329,-0.4195554,0.09644174,-0.34437757,0.45979801,-0.21832902,0.21560076,0.29024025,0.25846058
