proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
O75323,173990000,985170,181550000,149230000,88834000,155560000,282880000,112430000,125870000,135970000
O75334,3313800,965580,0,0,1497400,2701400,523900,771890,1885300,3146900
O75348,2016400,0,1536100,1269500,775690,838210,1426700,1099300,1128500,1196000
O75355,0,0,0,0,0,0,0,0,0,0
O75363,1027300,0,948120,0,1333300,497800,1787900,0,727050,5298800
O75368,4025400,0,1747400,687840,716470,875560,1623100,1239800,3331800,2103700
O75369,940840,17527,1298000,0,42786,387800,695040,522490,375000,314460
O75380,6694400,128100,16917000,5479800,3385400,9071200,12453000,13777000,7879300,5505100
O75381,1094100,14327,2677100,558680,999000,847020,1069700,1049500,923850,945060
O75382,4196900,537200,3063200,984030,480380,1964500,1134300,1806800,2897200,1946500
O75390,492380000,18976000,472830000,476690000,133960000,551000000,569320000,651400000,691720000,591040000
O75396,3140500,0,13259000,731740,673610,1785300,2779200,2853300,1393300,1453800
O75431,24820000,148720,33638000,22966000,8994000,23835000,25286000,44513000,31140000,23939000
O75436,2100000,322800,4930000,2042800,1981900,4042300,2789800,1359500,3275400,1860300
O75438,12518000,66604,13498000,10605000,7594800,7976300,21113000,16569000,15652000,6370400
O75439,4278900,110160,2279600,5043600,2952500,4490000,3074600,6661400,8060900,5425200
O75477,0,0,0,0,1106500,0,0,0,0,0
O75489,120930000,265780,390670000,115340000,28433000,219980000,115670000,316370000,177540000,96498000
O75508,930840,0,726020,278620,0,504290,0,534040,500830,404890
O75521,7603700,363800,32962000,16236000,2968200,16790000,20796000,24917000,21406000,10910000
O75534,2781000,883820,4723900,1568600,660190,600140,1834700,4499500,2224800,3193400
O75569,671930,0,4353300,0,0,0,0,0,0,0
O75592,2037100,168280,0,0,1221100,1781900,0,8984500,4430900,2278900
O75600,227340,0,1783200,7510900,956480,2090600,6500900,8510200,4613000,1649400
O75648,0,101060,0,365750,402590,0,0,1297500,548520,0
O75689,1568100,0,1690700,94328,270340,908260,0,1111100,1252100,1647600
O75746,424260000,54636000,414850000,386240000,179720000,632930000,361210000,667630000,629570000,640590000
O75781,12491000,2007100,5537400,2313800,3471100,7534500,6553600,4509500,7903400,8877600
O75787,20431000,35426,9399500,5773100,4477800,6131200,6185700,6086000,10325000,3619300
O75828,16914000,1130200,49381000,6842500,7479500,12472000,21618000,12419000,10833000,9758800
O75844,773480,0,2228300,855990,0,0,0,963980,491610,588870
O75874,849680,0,524620,958600,1084900,427800,1812100,2516400,1767800,1509600
O75879,693880,28456,36874,795850,942750,1402200,2061300,3013100,2069700,1426100
O75880,2371800,0,13013000,36182,0,5068000,3032500,4783300,1125800,249520
O75891,14371000,1399700,144260000,6671400,9264300,7295900,18832000,24134000,9719100,23954000
O75914,308010,0,0,0,0,0,62820,0,0,0
O75915,18563000,727860,26261000,5519100,3908300,10734000,11120000,16535000,11799000,8438300
O75935,5966300,181600,6074800,404450,1943100,2340900,2199700,1976400,2336700,2693400
O75936,1874300,75593,11985000,723720,0,1176600,2444500,416390,0,105150
O75947,124740000,2774300,288680000,133040000,79945000,200770000,162250000,311960000,160740000,104820000
O75955,12148000,1463300,10653000,5385300,2785400,7130500,7795900,8915600,6519000,8525200
O75962,474680,94064,0,0,122530,89595,0,584800,0,23880
O75964,203740000,821840,256110000,146820000,62099000,131370000,137010000,274840000,231390000,94875000
O76003,95569,0,900240,42426,0,510860,0,619200,63810,52830
O76024,8657000,1195800,14477000,7077700,3198500,4990000,7490400,17222000,8865200,6779300
O76031,1854100,244820,5149500,1955400,1935100,2599400,3592100,6489100,3706600,1994500
O76041,0,0,284510,0,0,79718,0,0,0,0
O76054,3782300,514190,29051000,3654300,3132100,3946900,6403400,3854500,2923700,2045700
O76070,4165600,0,2073100,2899800,184670,1538000,1228200,5015300,9895400,1458500
O76094,388520,0,1120100,0,141750,0,0,0,0,0
O94760,52847000,2358800,110670000,20925000,37372000,92236000,46288000,40802000,31667000,39168000
O94766,62331,0,1410500,0,0,72973,0,0,0,0
O94808,0,0,0,420510,517580,704570,781090,0,0,0
O94811,55559000,4514000,40852000,10522000,12629000,25327000,28376000,24035000,21936000,26800000
O94812,1285300,64122,0,172950,0,0,0,0,229940,691270
O94819,16463000,248950,18176000,2946100,943010,10358000,8749500,11415000,7403400,11356000
O94826,129320000,8544700,116660000,85939000,47096000,167510000,77506000,206960000,148960000,147670000
O94832,1193100,515180,0,0,764640,0,0,365700,0,818400
O94856,70522000,3756200,27823000,14180000,10932000,29817000,29247000,49126000,32527000,42008000
O94874,1530300,51829,4013000,821490,291500,1356000,1204500,976600,1092500,271040
O94903,2141300,454860,8471900,962930,2059200,3119300,3053400,2994900,1631000,2035000
O94905,12869000,745840,69592000,23993000,18502000,14340000,32774000,54583000,23490000,16914000
O94910,0,0,0,0,88927,0,283760,0,0,0
O94919,15896000,2090300,36139000,8113400,6419500,10372000,16621000,16766000,10835000,13224000
O94925,97350000,15288000,103700000,94251000,42845000,155150000,85271000,230300000,193230000,165200000
O94929,0,0,109540,0,0,121570,0,0,0,49361
O94967,3143900,18180,0,729480,624630,1032700,640780,1234700,1684000,1874200
O94973,36944000,2058500,15864000,11164000,6554300,22472000,11063000,17655000,21858000,23779000
O94979,754460,0,955210,0,0,322560,349990,392620,536690,304670
O95057,3129900,0,695620,646500,322990,1651900,508750,505620,2423000,1711700
O95139,23370000,3502600,58274000,14219000,4887700,29279000,37226000,40819000,26069000,14543000
O95140,24803000,1453100,38919000,17754000,9179500,27309000,20680000,55513000,29401000,34762000
O95167,12768000,0,10645000,12725000,6845200,7037100,13711000,22653000,21566000,5577700
O95168,77683000,332170,134210000,70068000,17946000,82088000,103950000,137300000,96236000,49905000
O95169,51940000,883920,102170000,51991000,26233000,53973000,112710000,100200000,82800000,45525000
O95182,21965000,856820,36658000,24351000,35885000,25250000,51441000,39876000,33868000,15877000
O95197,76046000,1470400,105190000,34363000,2143200,36993000,38599000,42844000,41359000,34911000
O95202,95169000,5652900,223200000,104390000,49778000,140120000,136910000,320240000,186820000,156570000
O95219,2696800,0,451330,264700,573780,970640,872660,0,1817700,2993500
O95248,1410900,82081,0,141600,150180,530310,260290,629420,542550,817750
O95292,14480000,101620,15017000,4546900,2762400,9080900,8261700,7439500,8585000,6701000
O95294,0,0,0,0,0,0,0,0,0,0
O95298,22273000,156480,36653000,21415000,10367000,18378000,31531000,36351000,30994000,11877000
O95299,112090000,3338800,249730000,128740000,37277000,176000000,126040000,263430000,137050000,130510000
O95336,3098800,50711,4588700,253960,27429,2009400,2084600,3164100,1722400,1642700
O95363,1386000,53233,3922100,2196300,738560,2127900,3477900,5088800,2953700,2138300
O95373,4024300,467960,5686800,1168900,668140,2711900,2331800,3569700,2774900,5604400
O95433,8212500,220170,2228500,1229100,1246000,5414500,1325100,1900900,4249500,5476100
O95563,16976000,0,47278000,17436000,2771600,19039000,16843000,45588000,27229000,11440000
O95571,5002100,25556,5843700,3413700,966500,5743200,4844000,7292800,6141500,2147800
O95573,376690,620430,4502600,502730,1638600,1329500,729640,1561900,1147600,1248400
O95622,2405000,32094,665930,198600,0,1861200,527440,502260,760890,1042000
