proteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25
P84077,11981000,517520000,808900000,388450000,735480000,229550000,552200000,374770000,1133800000,69196000,52754000,113280000,189550000,369410000,215200000,203280000,87282000,423210000,633510000,848020000,258200000,614730000,591240000,155210000,633340000
P84085,,1965300,5081300,4023300,24649000,12348000,2607500,10173000,33620000,30895,,,,1155500,975970,,,7182200,5760000,19614000,15410000,18738000,21058000,3673800,15970000
P84090,,131280000,37641000,63393000,67888000,23036000,45292000,27210000,71039000,17185000,5966600,10159000,65360000,28381000,90017000,5883800,,7666100,29719000,61153000,24597000,41627000,2896900,411280,7945600
P84095,,7755400,52828000,22078000,11413000,14667000,1915700,12166000,42909000,197300,,1726700,10547000,14900000,89236000,3283700,25227,49095000,66865000,47942000,6385000,26999000,2398800,,5638300
P84098,,49834000,37394000,15921000,7868500,2964200,12274000,1445100,1590900,1002000,,,,787930,2526300,645480,,31734000,41131000,,7830000,,,7256700,
P84103,818340,257890000,129240000,186430000,134720000,70682000,93766000,52560000,94424000,63583000,14419000,25753000,213400000,309410000,153070000,92932000,18789000,153650000,169050000,5172200,20289000,37015000,2132800,10968000,
P84157,,,,,,,,2669400,1164100,,,,,,67244,,,1283400,6956300,3756200,611730,8770800,,,
P84243,15600000,6295900000,1072900000,2301300000,1236300000,513840000,937190000,290740000,254830000,246730000,82763000,638750000,1591800000,3552300000,4730300000,3570000000,7717200,2078600000,1645000000,1110300000,425770000,617990000,409930000,996660000,10233000
P98082,,5402400,339730,,63249000,1479200,139360,3326700,,7349700,9874000,,,19910000,799110,,,22212000,45355000,16175000,42086000,18201000,387980,,
P98095,,,,,,,,,,1880600,,,,,,,,,,,,,1361900,323430,
P98160,7232800,71718000,11379000,2559900,430810000,82049000,275740000,213610000,259290000,13818000,,30268000,23545000,8383100,3995200,2857400,1176300,2064600,19165000,1154200000,197450000,194130000,197600000,1195900000,6977800
P98172,,,,162660,2080500,88892,13702000,5374100,2101100,,,,5260800,132390,97021,1262600,,3870200,30944000,18796000,22148000,18123000,1175800,700480,
P98175,,3710500,1074900,1562600,,,,,,,,,,,,,,1868900,1068600,,4170700,,,,
P98179,774120,141760000,59508000,97208000,41086000,22463000,20249000,29638000,112340000,21181000,18022000,11902000,50259000,54344000,80747000,60504000,12381000,51685000,48231000,53319000,55355000,13726000,1248000,5355100,
P98194,,,,,1456100,,,,6600700,,,,,,,,,,,,,,,,
P99999,542130,461240000,534380000,112140000,566050000,62413000,149500000,313410000,822600000,23713000,34975000,179060000,26983000,21626000,80989000,69950000,16415000,32058000,58614000,152190000,114830000,134710000,134910000,65999000,600400000
Q00013,1462400,3564900,,,9736700,,5389700,,6603600,,809900,,,,,,,,,,4596400,4677600,9176100,11978000,
Q00059,,13963000,,,23334000,11783000,8072000,6903600,13835000,6457400,,,,4177500,6649700,1930000,,1905500,2171900,6282200,2390300,36333000,12153000,25299000,5063900
