ProteinId,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
,Disease,Control,Disease,Control,Control,Control,Disease,Control,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Disease,Control,Disease
A2RUH7,-0.5063297,-0.087159,-0.3279609,-0.4586262,-0.134036,-0.1522972,-0.1614697,-0.1747572,-0.2540964,-0.2913385,-0.4854628,-0.2428879,-0.5031498,-0.5102817,-0.507111,-0.2742343,-0.3150947,-0.1622209
A2RUS2,-0.14340654,0.236387652,-0.166130468,0.006612206,0.43809099,0.871709552,-1.175131025,-0.366174439,-0.217607866,-0.211596183,0.311041805,0.259303589,-0.36086449,0.315587851,-0.493336062,-0.429722154,-0.104206012,0.313951608
A6NHL2,0.48549859,-0.22485826,1.02711009,-0.65623237,1.27056418,0.52679749,-0.53660921,-0.01842989,-0.69575916,-0.36652231,-0.66386828,1.46299974,0.59143382,0.78416616,1.07218496,0.16710416,0.51850509,-0.15130086
O00154,0.570820796,0.313597559,-0.55284732,0.150853411,0.072553393,-0.490037834,0.111941728,-0.057764681,0.263359437,-0.010248409,0.221587769,0.76899509,0.847279666,-0.963024556,0.26845099,0.464571367,0.003218736,-0.290572397
O00168,-1.621078954,0.163435533,0.036630832,0.407728281,0.001167508,0.309166963,0.005300709,0.068056254,-0.099619164,0.246359172,0.19350538,0.286191322,-0.059739463,0.480160536,0.070314845,-0.026224777,-0.152100491,0.330275248
O00217,-1.01232283,-0.25170416,-0.29270674,-0.6031849,0.35800445,-0.35859713,-0.23568542,-0.5515197,-0.10560872,-0.45956711,-0.47970533,-0.07223484,-0.72716495,0.23801859,-1.16806816,-0.48127546,-0.50593148,-0.60685783
O00264,0.26129191,0.67951315,0.3603746,-0.29245906,0.65564227,0.18992179,-0.03886001,0.41977363,0.58185164,0.68340733,0.4427812,0.6944847,0.42270559,0.7542414,0.36212531,-0.12350258,0.18052534,0.6527144
O00330,-0.134869102,-0.377807489,0.279456541,0.032525059,0.742281143,-0.010088277,0.123555192,0.421887014,0.095358679,-0.403560073,0.231066635,-1.486277363,-1.180336302,0.21105638,-0.367715794,-0.008096755,-1.471229894,-0.757657221
O00408,-1.6617451,-0.9106471,-0.7221263,-1.090847,-0.6139896,-0.8657201,-1.2009568,-0.1431598,-1.2935051,-0.9975784,-0.9642438,-1.118268,-1.2499559,-1.0771855,-0.8552167,-1.2314131,-1.195178,-0.9143318
O00429,-0.07850985,-0.37067092,0.15402689,-0.08723691,-0.17892219,-0.34547215,-0.32576031,0.1706936,-0.44734073,-0.43772757,-0.61277205,-0.58024592,-0.4233796,-0.21807848,0.27236098,0.21018638,-0.49336856,-0.10870821
O00499,-0.21746763,-0.6668314,0.20822939,-0.11078239,0.36171705,-0.75124958,0.27875107,0.1426615,0.04728714,0.51681051,-0.20560822,-0.02731421,-0.76161008,-1.25546857,0.58400865,0.43101467,0.0353979,-1.04219358
O00533,-0.8472134,-0.876145,-0.9270501,-0.7661363,-0.6701261,-0.5422452,-0.8988981,-1.1957756,-0.6203261,-1.3235813,-0.741009,-0.9566108,-0.9379812,-0.6816784,-0.5447661,-0.2498445,-0.904697,-1.6408458
O00764,0.776408187,0.139229789,0.928846814,0.448010455,0.450409504,-0.312904069,0.810118907,-0.035846817,-0.350148987,0.854838381,-0.078724904,0.727890792,0.980255942,-0.261302848,0.002778691,0.267509046,0.827320615,0.639137134
O14495,-0.18649743,-1.49822684,-1.56192315,0.08897361,-0.01989815,-0.58598748,-0.46807904,-0.74097406,-1.35832355,-0.37908571,-0.10329815,-0.11731163,0.20244528,0.23980822,-1.42054587,-0.48392772,-1.64938054,-0.25553834
O14521,-0.445436,-0.46269184,-0.33298451,-0.86984119,0.18035686,-0.20598082,-0.20330395,-0.46349915,-0.52791516,-0.40158333,-0.63615765,-0.45265285,-0.75087893,-0.20755175,-0.52605401,-0.43808591,-0.59890743,0.02988918
O14531,-0.49402009,-1.21379995,-0.57186494,-0.71694883,-0.77612951,-0.89242079,-0.45264596,-0.7548752,-0.53155772,-0.42978613,-0.75674039,-0.04266026,-0.24050351,-0.71808466,-0.16898819,0.00351073,-0.40956648,-0.51270908
O14548,0.052169705,0.576821452,0.033613802,-0.416121424,-0.059245492,0.450064212,0.626056651,0.047894425,0.359016147,-0.340341512,-0.938884731,-0.065023857,-0.352997212,0.928439659,-0.23453666,-0.218773946,0.008727993,0.799982566
O14594,-0.11618829,-0.21595035,-0.19725987,-0.45688681,-0.39195012,-1.18068755,-0.04897785,-0.99654586,0.51545297,-1.74218321,0.04617582,0.36977511,0.31670589,-1.00956527,0.26176791,0.45377374,0.05361289,-0.48254681
O14672,-0.08215957,-0.75217056,-0.34801957,-0.37505943,-0.55440368,-1.91555837,-0.43853344,-2.36525605,0.26182713,-1.00104038,-0.47188278,0.01076363,-0.68393632,-0.3122532,-0.1612804,-0.74872671,-0.52432668,-0.38086505
