Uniprot,Control,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9,Control.10,Control.11,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Disease.21,Disease.22,Fold Change,t_test_p_value
A2RTX5,-0.16852609,-0.41718143,-0.12365063,-0.52176082,-0.39926781,-0.65071767,-0.75542272,-0.41356091,-0.66982313,-0.57481701,-0.22369565,-0.559154,-0.731771,-0.06148657,-0.40008422,-0.25206962,-0.48540114,-0.54069787,-0.57251698,-0.60506473,-0.80922776,-0.47284035,-0.55428418,-0.13882966,-0.63683081,-0.63147081,-0.62326385,-0.59559819,-0.57332907,-0.8768835,-0.48961656,-0.42710715,-0.23094426,-0.53508001,-0.73262214,1.140810842,0.914049963
A6NHL2,-0.2306456,-0.70399537,-0.57775507,-0.31348603,-0.18787639,-0.05281635,-0.29802531,-0.41262868,-0.27367341,-0.40017053,-0.46432853,-0.33376356,-0.18617637,-0.32841474,-0.28773453,0.40240044,-0.49038749,-0.5198889,-0.28706852,-0.57539503,-0.53987141,-0.13855234,-0.59477524,-0.79084872,0.63329303,-0.45200451,-0.39067206,-0.43394153,-0.70789076,-0.21534391,0.26965095,-0.47983877,-0.47079759,-0.37699078,-0.30938822,0.89273445,0.755216723
A6XGL0,-0.39047625,-0.28427968,-0.4021338,-0.37092699,-0.42746365,-0.81034389,-0.41093874,-0.16864609,-0.68910111,-0.62527547,-0.49931662,-0.55585954,-0.08236539,-0.68372397,-0.15645975,-0.43771279,-0.37228363,-0.71959954,-0.28126014,-0.56772131,-0.36237988,-0.36765338,-0.23105565,-0.63410416,-0.57950147,-0.49023528,-0.74586004,-0.93307957,-0.77424023,-0.5312974,-0.41134183,-0.84001013,-0.53504369,-0.6131517,-0.51299655,1.098437151,0.229072098
B1ANS9,-0.04414984,-0.12990143,-0.20363155,-0.71794321,-0.21915467,-0.12491964,-0.2546631,-0.26272434,-0.22871493,-0.90226467,-0.92981674,-0.39759554,-0.23360702,0.22464854,-0.22147558,-0.15422837,-0.11084252,-0.74096368,-0.40016065,-0.32839064,-0.36490642,-0.08416292,-0.41146693,-0.5362176,-0.89085403,-0.44149013,-0.15808127,-0.56516974,-0.48487652,-0.51125742,-0.36635909,-0.30420202,-0.58841754,-0.49384546,-0.39687466,1.01183965,0.959187485
E9PAV3,-0.33623898,-0.064814477,-0.180294717,0.009668225,-0.248341164,0.000819462,-0.532791886,-0.367530667,-0.54868478,-0.870491444,-0.895539076,-0.864021446,-0.138790499,-0.162165312,-0.012186984,-0.350405792,0.143070525,-0.258411733,-0.037486338,-0.444641896,0.071411288,-0.266300686,-0.289658944,-0.610851595,-0.614898117,-0.300183512,-0.442219434,-0.275085429,-0.634614879,-0.717727424,-0.425583639,-0.356589262,-0.726629136,-0.186351069,-0.617354348,0.815230331,0.661847356
O00139,-0.203437032,-0.423155252,0.053679375,-0.384830054,-0.094038222,-0.066095789,0.039072214,-0.174807305,-0.294041702,-0.268491214,-0.606749111,-0.160821235,-0.274517301,0.003467345,-0.090383381,-0.024903467,-0.214034781,-0.621685551,-0.455323743,-0.272899674,-0.838787851,-0.231071302,-0.081963402,-0.192435866,-0.057952595,-0.279358169,-0.561117448,-0.543496632,-0.454528576,-0.225599624,-0.561874488,-0.596173775,-0.560735062,-0.753542676,-0.37406261,1.668574043,0.075263352
O00154,0.2628304,0.263828533,-0.062948318,-0.291270781,0.242522947,0.391550382,0.084678826,0.270025487,0.472723021,-0.019028755,0.48906464,0.347707127,0.064329465,0.121774278,-0.113487,0.230540196,0.471777836,0.3318545,0.38133206,0.370565569,0.294044517,0.312452029,0.327992878,0.643160562,0.627465042,0.587108396,0.305499744,0.375472419,-0.007030575,0.485169979,0.3654096,0.002770627,0.429456711,0.406581448,0.401753528,1.578186641,0.082549122
O00217,-1.05870495,0.188832271,0.205580446,0.141450677,-0.588747278,-1.098866831,-0.083790464,-0.478838821,0.069880937,-0.046617775,0.042257603,-0.025171401,0.229603318,-0.057060805,-0.006629424,0.040383258,-0.192976724,-0.104887911,0.323103511,0.033902169,-0.355729828,0.095894336,-0.293643323,-0.392494986,-0.233829974,-0.425675595,-0.409465938,-0.031799223,-0.207262031,-0.192602885,0.12063877,0.298389322,0.062685792,-0.171501388,-0.095833426,0.375503897,0.871325333
O00231,0.7133438,0.609339,-0.0651395,0.7443583,0.6595912,0.6583163,0.38744,0.4069464,0.6980829,0.5203403,0.6851627,0.5520028,-0.1608817,0.2236275,0.7844059,-0.6050264,0.502825,0.5370564,0.7241583,0.6820242,0.6963424,0.7329212,0.446545,0.5409995,0.5578991,0.4931546,0.6033524,0.4067274,0.2136934,0.5960507,0.3140178,0.5602539,0.1129471,0.4496807,0.4376665,0.782272342,0.855496259
O00232,0.67060561,0.25332924,0.16904152,0.46732186,0.38811227,-0.84028304,0.25070534,0.2516499,0.33872968,0.15206466,0.30741969,0.13706221,-0.43961316,-0.12622255,-0.02448395,0.07529679,0.31042445,0.01069126,0.19110298,0.40839805,0.52964153,0.11398605,0.36769207,0.07919328,-0.13252447,0.0494571,-0.11741951,0.26597867,0.23088551,0.18690999,0.15799836,0.12484301,0.07933786,0.29246835,0.17879462,0.576475147,0.809987423
O00264,0.7602434,1.0942742,1.0652058,0.7278863,0.947729,0.7647039,0.5523313,0.6240305,0.629958,0.5754419,0.4767965,0.3772492,1.1040249,0.711611,0.7986031,0.6182794,0.5222236,0.3989038,0.7817658,0.6067678,0.8480836,0.7776089,0.5364466,0.9669654,0.8959717,0.5594553,0.608959,0.6313148,0.6757389,0.7216334,0.8674573,0.8202652,0.7463403,0.7454766,0.7911264,1.015759494,0.666648876
O00303,-0.09115203,-0.49702629,-0.01252995,-0.15191248,-0.3747434,0.03678514,-0.23313442,-0.04371604,0.3152811,-0.37657483,-0.05738637,-0.2357205,-0.24444187,-0.2675649,0.23181383,-0.48751118,-0.13825985,-0.03321557,-0.09616877,-0.07968912,-0.41137052,-0.33823777,-0.37272575,0.32132732,0.07419823,0.03305258,0.13318836,-0.04437109,0.14300512,0.17920824,0.04392824,-0.66576028,0.18353047,-0.0449508,-0.03913676,0.581833462,0.347154855
O00330,-0.305543078,-0.42818723,-0.481406188,-0.465643101,-0.235470971,-0.244906494,0.129269373,-0.451118958,0.173852427,0.199054652,-0.169403988,0.316494596,-1.426161888,0.074792747,0.294787619,-0.504828505,0.009542277,0.014550279,-0.281855363,0.102046744,0.142062876,-0.062641711,-0.2058124,0.02090085,0.205411759,-0.13063846,0.294301383,0.078945256,0.180725347,-0.175845062,0.325947173,0.452159683,0.257042345,0.176554292,0.321213878,-0.043376475,0.038051605
O00401,-0.3904762,-0.352667,-0.5072182,-0.1905533,-0.2475356,-0.3012908,-0.4296607,-0.1393078,-0.5966114,-0.4831856,-0.2204754,-0.3309446,-0.1471963,-0.5181959,0.1351505,-0.4377128,-0.2814954,-0.846014,-0.2803067,-0.7074284,-0.3552329,-0.7111691,-0.3186859,-0.5386221,-0.450842,-0.4163662,-0.4728571,-0.8627611,-0.6956634,-0.3997097,-0.5947408,-0.8618646,-0.6070839,-0.6172116,-0.5669158,1.438596358,0.006853306
O00408,-0.28207517,-0.18225118,-0.07300597,-0.46134154,-0.3576181,-1.31805466,0.06028664,-0.0684668,-0.38383415,-0.42633383,-0.85389664,-0.30132714,-0.23100714,-0.13305058,-0.01137961,-0.32672485,-0.25643192,-0.45324712,-0.29268583,-0.2741893,-0.56408442,-0.22267764,-0.40084608,-0.53270275,-0.18718399,-0.23057766,-0.24872227,-0.15480909,-0.21471851,-0.40711739,-0.39886344,-0.33221885,-0.26280303,-0.49879383,-1.3471996,0.896001062,0.804482399
O00410,-0.10004948,-0.18063369,-0.1285881,-0.29567691,-0.26470298,-0.16318154,0.29403704,-0.09079336,0.12901273,0.14230386,-0.05218114,-0.06874216,-0.04304862,0.10630673,-0.23218378,-0.62026798,-0.23014693,-0.40809097,-0.4896839,-0.11027461,-0.74795961,-0.17613272,-0.36891104,-0.10120471,-0.38734894,-0.30001945,-0.54739941,-0.50805339,-0.08069188,-0.59297065,-0.66878167,-0.32817811,-1.12596829,-1.20961368,-1.25707866,6.982251192,9.60E-05
O00429,0.13565424,0.32119742,0.02777559,0.9500944,0.49069732,0.21923016,0.80401923,0.84164831,0.96221007,0.93772412,0.77051983,0.88192589,-0.03995421,-0.55007688,0.30390987,0.3181757,-0.08209945,0.8070646,1.00295209,0.45860218,0.79069654,0.49774029,0.21124301,0.64350656,0.85856327,0.75438529,0.74634967,0.92707205,0.81808932,0.7653016,0.78196749,0.72286256,0.72508935,0.61038796,0.80652409,0.915078077,0.940458996
O00483,0.28640897,-0.71890317,-0.03663036,0.39701314,-0.32966997,-0.80878364,0.52071356,0.46314038,0.61763547,0.62975497,0.33818128,0.61159574,-0.23072791,0.04642072,0.01665347,-0.0812845,0.136993,0.09517962,0.26908763,-0.01233161,-0.41306677,-0.6463889,-0.06820758,-0.1224466,0.3398175,0.23823994,0.27560718,0.52065675,0.54184659,0.44022385,0.50113687,0.48646049,0.38081774,0.30425427,0.62708982,0.965399371,0.745943342
O00499,0.19875676,-0.96525573,-0.40898829,0.34285835,0.07825034,-0.34513156,0.31147896,0.3380579,-0.04471893,0.26977943,0.18552247,-0.02398101,-0.03917945,-0.16996886,-0.24230719,-0.09657723,-0.05708936,0.25824867,0.47446572,0.19762973,-0.10371524,-0.08356712,0.08517442,0.15474253,0.24798789,0.29569719,-0.02815499,0.08648405,0.28795511,-0.23575323,0.32073959,0.23455631,0.2050807,0.27454717,0.23105635,-18.91998207,0.291852154
O00505,-0.20693467,-0.6672099,-0.15131083,-0.42854809,-0.52146744,-0.03514369,-0.49507317,-0.19666827,-0.39368735,-1.02545047,-0.48625787,-0.39955059,-0.25220997,-1.5810849,-0.23917627,0.29731492,-0.67786839,-1.64425675,-0.4279039,-0.67394815,-0.32653761,-0.36216687,-0.41331627,-0.48321954,-0.68726515,-0.62012567,-0.91737905,-0.61536189,-0.88483072,-0.3719448,-0.4780473,-0.52922709,-0.84085065,-0.26685528,-0.25566669,1.380793273,0.158065676
O00560,0.046453089,-0.173900095,-0.131938222,-0.404482965,0.079439272,-0.356240721,-0.368846343,-0.247311654,-0.281900463,-0.416718546,-0.799055447,-0.671062794,-0.33487788,-0.397850347,0.275110572,0.011625083,-0.452823824,0.182702602,0.24920516,-0.443783978,-0.066386339,-0.049682632,-0.045266862,0.291383207,0.035791623,0.043465605,-0.244165138,0.247082148,-0.295743898,-0.004267114,0.151141823,-0.39377949,0.11762682,0.189886999,-0.475174482,0.197289767,0.002424404
O00567,-0.16494965,-0.14571614,-0.77635429,0.14301423,-0.01528615,-0.38242834,-0.80647811,-0.25108652,-0.01136796,0.02508542,-0.92698948,0.13891586,-0.36897203,-0.56110121,-0.06429094,0.51622881,-0.21127648,-0.41322542,-0.29301674,-0.6350487,-0.15546147,-0.87001214,-0.50683525,-0.20841223,-0.42311653,-0.60677327,-1.56382197,-0.46840758,-0.42419464,-0.03213251,-1.5586169,-0.17657972,-0.33062198,-0.30149871,-0.58822907,1.684322383,0.261182428
O00571,0.115436726,-0.082531362,0.014867236,0.041528039,-0.120062553,-0.468098417,-0.080742448,0.116879569,0.012933633,-0.186948794,-1.263413053,0.052682719,0.000684916,-0.235093144,-0.488630279,0.254113447,0.00964571,-0.210604057,-0.480992658,-0.05345444,0.256995901,-0.403392628,-0.031894891,0.113759704,-0.3821687,-0.137259736,-0.425008419,-0.065895953,-0.243012887,0.077058911,-0.176061788,-0.21997529,-0.040788702,-0.176015763,-0.566915036,1.0237008,0.991612081
O00764,-0.11805853,-0.29693161,-0.22266048,0.71619988,0.12945151,-0.26746067,0.45935829,0.02835154,-0.47710601,0.38350978,0.14948441,0.34975143,-1.48020269,-0.20336307,0.01752302,-0.05007251,0.37762881,0.61437974,0.72288364,0.54187107,0.41777631,0.6166542,0.2808957,-0.13684919,0.3315837,0.21985978,0.06413408,0.38700026,0.35449544,0.52767998,0.45971551,0.35563819,0.32233326,0.35143624,0.46727983,3.478897613,0.056402021
O14531,-0.51645729,0.21349443,-0.01157918,-0.19260073,0.1104575,0.14441614,0.02288281,0.34451526,0.57043649,0.2648336,0.36697827,-0.22639854,0.27675612,-0.80488866,-0.81842286,0.23184869,-0.02276216,-0.42041257,-0.67714253,-0.68769968,-0.59662295,-0.68668254,0.09294205,0.8820959,0.25394928,0.32378226,0.44181936,0.40529224,0.48919402,0.01008723,0.42630289,0.47389157,0.41216198,0.0639127,0.19010656,0.124105026,0.226808379
O14548,-0.007309166,-0.273612173,-0.003894055,-0.470118131,-0.104066641,-0.233683768,-0.261420374,-0.368791557,0.029160396,0.212935153,-0.031181552,0.141145182,0.313119143,0.988674172,-0.079563847,0.454663418,0.345647994,0.457412301,-0.198537726,-0.029209079,-0.442147406,-0.176385422,-0.112934364,-0.307876439,-0.37820529,-0.187514177,-0.534481534,-0.314823041,-0.001507769,-0.0832466,-0.233548617,-0.887120595,-0.115257416,-0.268974583,0.236748862,0.591857398,0.981061414
O14576,-0.266522599,-0.550202801,-0.581684545,-0.301387741,-0.452852505,-0.046629334,-0.597165765,-0.531955636,-0.834756766,-0.625555809,-0.150344606,-1.281017814,0.055502222,0.006816478,-0.033583397,-0.138906154,-0.659442995,-0.323295613,-0.222577292,-0.332862618,-0.771431399,-0.290465326,-0.132699343,-0.236686304,-0.28548973,-0.188323764,-0.020947207,-0.652252862,-0.127055874,-0.592677224,-0.155062393,-0.715540211,-0.4913873,-0.113477777,-1.130943245,0.633526952,0.245965486
O14594,-0.000309454,-0.040751015,-0.411474807,-0.957607059,-0.085775181,-0.120955861,0.366003943,-0.094120337,0.607296815,0.27402502,0.240581317,0.276566461,-0.764207952,-0.401906586,-0.041549287,-0.1768523,-0.120866403,0.008991543,-0.661312364,-0.146092541,-0.384016447,0.115144852,-0.241578631,0.182105335,0.485445369,0.065067926,0.257538269,0.249506001,0.394861428,0.330197961,0.280915748,0.266108312,0.199551498,0.125752018,0.471538409,4.822707734,0.445004048
O14617,-9.24E-05,-0.0361,0.18,0.201,-0.885,0.0919,0.192,0.139,0.264,0.324,0.377,0.313,-0.013,-0.368,-0.402,-0.0469,-0.0206,0.169,0.111,-0.81,-0.261,0.00594,-0.226,0.102,-0.253,0.139,-0.0934,0.339,-0.181,0.00963,0.0263,-0.107,0.173,0.0328,0.0705,-0.720878105,0.144490014
O14818,-0.000780036,-0.350323323,1.363500199,-0.055756492,-0.388314503,1.087970409,-0.738183109,-0.489459828,-0.651028245,-0.581448279,-0.100564647,-0.499892549,-0.508650721,0.336006282,-0.37742739,-0.361716872,0.416996741,-0.686108189,0.051135826,-0.147827873,-0.149459279,-0.019864543,0.310413338,-0.60343958,-0.706773682,-0.676108848,-0.053787947,-0.203737164,-0.6421268,-0.40687146,-0.388913529,-0.834660704,-0.373432914,-0.013551351,-0.280684658,2.348320044,0.625649838
O14880,-0.04200933,0.18376812,-0.60037313,0.3244606,0.02913784,0.02513139,-0.41893989,-0.28314081,-0.39924486,-0.24221787,-0.32528704,-0.11988146,-0.22995755,-0.5143428,-0.08191944,1.54759668,-0.20979815,-0.277901,0.38804952,0.10358102,0.05913807,0.27588163,0.16858423,-0.45177711,-0.24533691,-0.47222758,-0.57784452,-0.06191675,-0.35129811,-0.23035858,-0.25285418,-0.69007807,-0.39589583,-0.4050157,-0.34647461,0.908051674,0.790007559
O14910,-0.25753358,0.07275319,-0.33868164,-0.07717783,-0.31915621,-0.9815835,-0.072915,0.11188659,0.05772339,-0.11841084,-0.42709944,-0.46322102,-0.14928758,0.05248022,-0.08378572,-0.02684017,-0.57011098,-0.18387718,-0.05271418,-0.44030272,-0.10675119,-0.15626471,-0.55858119,-0.4835121,0.10221738,-0.28298822,-0.36059174,-0.18632052,-0.39965988,-0.65436431,-0.06313228,-0.40896954,-0.78869978,-0.34895025,-0.32077984,1.200172453,0.551460407
O14964,-0.032086518,-0.021111032,0.008408929,-0.435248094,-0.196975512,-0.118401469,-0.723586112,-0.789728692,-0.494505379,-0.632133784,-0.90281451,-0.870825112,0.180634514,-0.200653915,-0.589311928,0.428704732,-0.176563278,-0.986389321,-0.469657665,-0.267265774,-0.322246206,-0.313865947,-0.182078825,-0.184266226,-0.455892434,-0.655896649,-0.659220479,-0.355411513,-0.876240525,-0.854416477,-0.277625385,-0.524888193,-0.742242554,-0.623306832,-0.388598589,0.951198463,0.855270154
O14979,-0.367778395,-0.169644856,-0.097047276,0.329496586,0.100119426,0.320963121,-0.926322513,-0.544649381,-0.493440695,-0.701459065,-0.276493604,-0.649845113,-0.359204276,-0.133970348,-0.094278387,1.547596684,-0.616117966,0.269574409,0.006697251,0.14536361,0.044715538,0.2265253,0.299696096,-0.248590512,-0.661720295,-0.7658954,-0.994169713,-0.577395958,-0.566698096,-0.797613113,-0.670606588,-0.643321382,-0.679393145,-0.902461463,-0.772986979,1.042285201,0.951870524
O15020,0.51304482,0.1621112,-0.51231452,0.78619824,-0.28484118,-0.06817045,1.20624055,0.99120251,1.10660943,1.09194064,0.86666768,1.00110227,-0.39571257,-0.94474501,-0.29140941,-0.21914374,-1.26549478,0.57277816,0.65854426,0.03081513,-0.24472901,-0.21862149,-0.62207365,0.44164519,0.62166304,0.70060881,0.81504822,0.89733572,0.77648519,0.91338632,0.82577934,0.74555193,0.72916282,0.72085271,1.02113882,0.476794789,0.424340252
O15066,-0.33977169,-0.85682124,-0.39950919,-0.79252428,-0.69597964,-0.61971982,-0.38593826,-1.14511922,-0.53433896,-0.66083751,-0.83128937,-0.41750519,-0.08223181,-0.56356041,-0.40227199,1.54759668,-0.62388459,-0.65195389,-0.73639909,-0.35559523,-0.4349158,-0.52174655,-0.64827442,-0.70420763,-0.85899692,-0.88303611,-0.84756763,-0.69259946,-0.28853908,-0.36859678,-0.5504225,-0.35743145,-1.25678065,-0.60850021,-0.40087941,0.767102187,0.427315719
O15075,0.38538345,0.06036969,-0.46577856,0.41191098,-0.22491966,0.20409077,0.32128488,0.44878495,0.49447434,0.56426301,0.55515113,0.3498937,-0.62573569,-0.44118047,-0.2105678,0.31696927,-0.2496134,0.06301999,0.04153086,-0.07839775,0.17149182,-0.00922958,0.06575098,0.04287865,0.27088586,0.36296091,0.20790907,0.16902935,0.39828392,0.47156696,0.52636793,0.42685337,0.3360394,0.53912177,0.44466019,0.544539537,0.992387303
O15083,-0.7723642,-1.7025791,-0.4402061,-0.5353984,-0.4870904,-0.2101905,-0.2494059,-0.8957107,-0.9655328,-0.5488312,-0.4717963,-0.363404,-0.4598318,-0.2068487,-0.4874718,-0.4377128,-0.6778684,-0.7086021,-0.5211372,-1.564664,-0.482871,-0.5223823,-0.5699372,-0.3020746,-0.5129526,-0.7130014,-0.2924739,-1.0145758,-0.9408037,-1.0854355,-0.8363132,-0.571526,-0.2635459,-0.3644411,-0.309481,0.945235968,0.986372514
O15126,-0.71744049,-0.16734339,-0.18842358,-0.41311276,-0.22228068,-0.50250208,-0.67542572,-0.51334848,0.02307141,-0.2981396,-0.0453487,-0.30934405,-0.188267,-0.14254149,-0.43402967,0.2903756,-0.26968047,-0.4935671,-0.83695132,-0.39424779,-0.21601829,-0.28355885,-0.34434851,-0.8458625,-0.60210716,-0.79861309,-0.84010311,-0.10307598,0.10712733,-0.03610821,-0.13884385,-0.64729786,-0.16664453,-0.85828367,-0.06350513,1.07544269,0.410560064
O15144,0.18885324,0.20996773,-0.35171943,0.35456735,0.11569893,-0.2306428,0.80904524,0.75378676,0.9866074,0.8020431,0.51661473,0.48940808,-0.48524411,0.31715805,-0.63823654,-0.36617287,0.16043772,0.26695145,0.13202914,-0.20099483,0.25401477,-0.07564459,0.35656379,0.17226685,0.61664835,0.64742224,0.39973045,0.36690793,0.56938102,0.64922556,0.92654012,0.41889903,0.74276546,0.41423659,0.76422176,0.720007806,0.915717602
O15145,-0.5622008,0.20984992,-0.06843974,0.51636185,0.49066556,0.46669312,0.71148792,0.64951973,0.75367124,0.65362574,0.57015961,0.58659654,0.24282325,-0.03572462,-0.14640007,0.15485155,0.01777874,0.40313831,0.43144849,0.29512736,0.31040703,0.42164839,0.29092993,0.55912456,0.43694898,0.38931198,0.5971674,0.51062208,0.51820193,0.47824974,0.45600683,0.27099155,0.59538672,0.48408041,0.46456617,0.853847567,0.149795595
O15258,-0.18319846,-0.44662388,-0.28247155,-0.33163537,-0.6780547,-0.31190366,-0.27822981,-0.19302075,-0.1509842,-0.09271505,-0.2750858,-0.08930563,-0.34604622,1.48706992,-0.40109144,1.54759668,-0.55756892,-0.66874957,-0.33399077,-0.44220662,-0.59183878,-0.50547827,-0.05114708,-0.47495013,-0.39385783,-0.19454075,-0.55445601,-0.24726924,-0.41360777,0.00192263,-0.2942794,-0.05912075,-1.43271333,-0.62855926,-0.57356295,0.965055584,0.854950726
O15260,-0.2266177,-0.236012,-0.4887608,-0.180208,-0.3228278,-0.2824708,-0.5172958,-0.299011,-0.4514721,-0.4012228,-0.559377,-0.473691,-0.7697502,0.149034,-0.6855199,-0.3757942,-0.5796157,-0.2724163,-0.4329767,-0.6200692,-0.3131355,-0.3589137,-0.4055534,-0.5778506,-0.7445188,-0.7045334,-0.5885656,-0.1837708,-0.3303245,-0.5168661,-0.5310125,-0.435801,-0.6198666,-1.2230679,-0.4091749,1.355199436,0.316289572
O15294,-0.205828182,-0.027333473,-0.305600936,-0.235708628,-0.449642821,-0.292053818,0.089248957,-0.273676901,-0.600215967,0.408304123,-0.121356531,0.100503277,0.157552136,-0.022271342,-0.195118824,-0.187614928,-0.198236918,-0.492620799,-1.017284929,-1.798801339,-0.131344528,-0.452441535,-1.230716883,-0.147798973,-0.271606517,-0.175281287,-0.513441386,-0.054079229,-0.234738944,0.05646832,-0.331742535,-0.006523492,-0.163868986,-0.398426558,0.148189267,2.089221585,0.085320157
O15394,-0.10783743,-0.21125495,0.42346608,-0.07492552,-0.25477484,0.21757258,0.44814945,0.22004844,0.65689033,0.43783943,0.40114661,0.43142351,0.24435714,1.03623508,0.33800194,0.11052786,0.04092292,-0.36116174,0.44584506,-0.5954709,-0.36458759,-0.40208602,0.2440331,0.25268456,-0.08029024,0.16406457,0.47222445,0.46620927,0.31230035,0.49472012,0.69336085,0.47887813,0.56040586,0.44149684,0.67484246,1.142680349,0.989997221
O15400,0.096099195,0.200647454,0.322470967,-0.334560519,-0.439220138,0.005515304,-0.054873481,-0.389604934,-0.04307372,-0.768497081,-0.237305029,-0.20379864,0.600843209,0.55719013,0.189978283,0.090414919,-0.102678416,0.222893408,-0.124757163,-0.215501636,-0.553264905,-0.316524121,-0.261400867,-0.098492916,0.185619833,0.110105317,0.125433229,-0.00709531,0.103183388,0.14456028,0.391734469,-0.242092837,-0.23824248,-0.354537538,-0.357694432,0.042482402,0.5310162
O15498,-0.1671791,0.3719509,0.379388,-0.6755144,-0.2802245,0.3710071,-0.9712126,0.2848811,0.1045737,-0.1366662,0.4925086,0.8371839,0.3928221,1.0902334,0.2939513,0.6926024,0.3624602,-0.7225,-0.5627882,-0.7462263,0.1804285,-0.4668853,-0.3520649,-0.4080886,1.3988089,-0.6191355,0.9387899,-0.2738847,-0.2813559,-0.3873997,-0.0344542,-0.2392159,-0.3144866,0.7793013,-0.7718942,-0.043555685,0.568093717
O15540,-0.069060442,-0.045210538,-0.535320022,-0.653148743,-0.068521332,-1.242929576,-0.052796558,-0.490645367,-0.187166318,0.11022802,-0.115722883,-0.134581809,-0.367622851,0.149033986,-0.219701002,-0.200959391,0.04403602,-0.585491173,-0.171456925,-0.172017529,-0.237386985,-0.077262281,-0.161681917,-0.616226318,-0.334752774,-0.372336509,-0.341483035,-0.448941513,-0.407245518,-0.127192542,-0.313125004,-0.000603515,-0.341637996,0.070342774,-0.332310579,0.833318643,0.505621371
O43143,-0.004255907,-0.003025762,-0.162987902,0.209998173,0.299488317,0.282631301,0.230838228,0.195352459,0.006033802,0.121168497,0.21815913,-0.101634135,0.020986304,-0.418344092,-0.368058412,-0.122432559,0.332519961,0.062107384,-0.197032598,-0.217326349,0.290516657,0.053925489,-0.093329834,-0.306187081,-0.153919974,0.077241218,-0.39093016,-0.186730584,-0.640839631,-0.250181201,-0.521863452,0.064165757,-0.413668311,-0.049337134,-0.153811075,-1.446969209,0.000398915
O43169,-0.000416222,0.450000259,0.030924261,0.042208174,0.380066476,0.09036256,-0.083922611,-0.130703181,0.161058684,-0.043571545,-0.019701427,0.06094141,0.140419629,0.176066337,0.11955602,0.099802049,0.115959045,0.174236031,0.112159547,-0.092416546,-0.254018076,0.001653412,0.197334877,-0.125933126,0.10923011,-0.018628262,0.171463937,-0.070539405,0.025058876,-0.281227649,0.149818042,0.176213579,-0.062965272,-0.25885459,0.320716973,0.514980408,0.387681163
O43175,-0.164140487,0.322861382,-0.138271351,0.189922165,0.477867561,-0.404442373,0.246371735,-0.107097686,0.314080235,0.394522712,0.399347252,0.597778148,-0.661691952,-0.541687173,-0.37472629,0.1867496,0.223854258,0.014393437,0.321032673,0.687700427,0.558588069,0.442784951,-0.382161067,0.526277862,0.289340991,0.382229046,0.310442646,0.44081019,0.550507698,0.532972922,0.354600412,0.445895712,0.693707986,0.291576446,0.007555516,1.299141248,0.317985181
O43181,0.05507565,-0.0581311,-0.28430888,-0.14714355,-0.16555726,-0.68220409,-0.22772443,-0.51621706,-0.0574065,-0.58778335,-0.10905248,-0.40619181,-0.08437394,-0.10892907,0.23601547,-0.10453043,0.27565454,-0.11507359,-0.12439951,0.02329824,-1.33448221,0.01845832,0.06755863,-0.09559824,-0.12338172,-0.35561214,-0.10302995,-0.13896748,-0.04921799,-0.12134017,-0.25910271,-0.11783728,0.09185247,-0.01004238,0.26208531,0.371822855,0.064251794
O43237,-0.016603864,0.014304527,0.111811964,-0.108142595,-0.014180607,-1.057287494,0.038175158,0.036164438,-0.65224051,0.199782274,-0.284357284,0.07065882,0.00026901,-0.267760166,-0.424886503,-0.103432999,-0.035622306,-0.4039609,-0.116525081,-0.393868271,-0.2563636,-0.035900086,-0.760845637,-0.040013845,0.062629901,-0.364844997,0.009837927,-0.012967412,-0.112847347,-0.055983043,0.142213731,-0.292470089,-0.432635863,-0.097600462,-0.166253772,1.305931293,0.656945046
O43242,0.025392262,0.271316194,-0.380768491,0.452307625,0.270706325,0.006004093,1.65014128,0.261235262,0.384686815,0.390816958,0.453243251,0.424311398,0.573304403,-0.221636545,0.286419321,0.411063459,0.418341474,0.269029265,0.221667153,0.139390491,0.455429956,0.230436582,0.298989528,0.309745446,0.238460544,0.203592164,0.076334999,0.208211297,0.152052875,0.219853084,0.376068786,0.047206409,0.080242074,0.226249935,0.320810186,0.68681962,0.242624874
O43301,0.358701112,0.721314886,-0.646950108,1.087979705,0.466923485,0.836948896,1.202873518,1.124410005,1.206957124,1.244259859,1.069056647,1.257781519,0.008947968,0.056023119,0.460978932,0.519607087,0.7285544,0.899247166,1.01971028,0.740896468,0.550823378,0.694650245,0.143076194,0.765944258,0.850133395,0.914747392,1.050340491,1.252338465,1.164444551,0.985819028,1.132704378,0.982639385,0.93708901,0.945881054,1.193701654,0.945636839,0.917478185
O43324,0.57473742,0.09310866,0.49782409,0.08254673,0.19898472,0.0352453,-0.33148389,-0.09800732,-0.71154942,-0.8028265,-0.12956148,-0.78100378,0.3114996,-0.05084874,0.24518823,-0.10850655,-0.05628611,-0.05064048,-0.21673193,0.17006646,0.19534039,0.08941462,-0.0412714,-0.24416892,-0.40749923,-0.33541536,-0.15698231,-0.47333158,-0.43424386,-0.5245588,-0.16954086,-0.54568225,-0.58462098,-0.5942754,-0.68861099,1.776558217,0.524449147
