Uniprot,Control,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9,Control.10,Control.11,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Disease.21,Disease.22,Fold Change,t_test_p_value
P21912,-0.163039408,-0.251214069,-0.092903887,-0.478819858,-0.089628899,0.181598019,0.144647399,-0.857173894,-0.699690978,-0.081617253,-0.170531766,0.001229301,-0.012133946,-0.573275661,-0.301992063,-0.183257422,-0.01064328,-0.200916211,-0.555606556,-0.270873826,-0.354464378,0.153278656,-0.144472279,-0.221410997,-0.144589299,-0.305014707,-0.839999374,-0.064783215,0.077467237,0.049838224,-0.160446054,-0.78200632,0.035843069,-0.134842947,0.280878328,0.951486909,0.922581986
P21926,-0.53228246,-0.337748352,-0.300112021,-0.082191885,0.009843096,-0.196092672,-0.220409272,-0.309988437,-0.207314057,-0.098425359,0.15949894,0.650733988,0.045247236,-0.153261318,-0.565847001,-0.441593211,0.01394766,-0.205108574,0.180148027,0.225461694,-0.29279954,0.377212755,-0.488613116,-0.086912599,-0.387644528,-0.089834015,0.035661912,-0.390671961,0.192487703,-0.067875499,-0.364483932,0.035238324,0.27633337,-0.225924657,-0.183568705,0.912881421,0.651692167
P22061,-0.059743688,-0.127049866,-0.031151487,-0.753488317,-0.232681994,-0.281753976,-0.15031134,-0.610146676,-0.32877731,-0.617694567,-0.066561811,-0.359902002,-0.141605743,0.768286061,-0.006537965,0.095676925,0.0537364,0.521452909,-0.519761533,0.000998137,-0.120632959,-0.256514176,-0.012817932,0.33509649,0.083740216,-0.016450294,0.195566671,-0.536296448,-0.339127925,-0.315203489,-0.001457197,-0.272804577,-0.021317588,0.290072289,0.033130799,0.026347559,0.003237993
P22087,-0.49972995,-0.37036632,1.3635002,0.01835535,-0.07690973,0.21399692,-0.47102238,-0.5183768,-0.49455228,-0.43039709,-0.64983435,-0.52665153,-0.48480114,-0.73779239,-0.91359136,-0.50142039,-0.57818733,-0.15106194,-0.59594511,-0.13853398,-0.52843505,-0.02974515,-0.49236508,-0.61694969,-0.58041392,-0.88812463,-0.82110346,-0.75059122,-0.73775721,-0.66964538,-0.87793882,-0.64568556,-0.81847386,-0.69025421,-0.73791395,2.98831317,0.029519343
P22314,0.41243062,0.2588972,0.24767655,0.70513855,0.97507222,0.65137834,0.88217568,1.07377888,0.81992884,0.97131471,1.18450919,0.9294389,0.64712968,0.57007725,0.60112155,-0.07610872,0.69784061,1.06445519,1.00018153,0.96638286,1.20361533,1.05079485,0.78308957,1.19948128,1.14704719,1.20347782,1.00418771,1.04200725,0.95842092,0.96050505,0.83480737,0.89448503,1.13804232,1.09747351,0.99739749,1.201655468,0.178520243
P22626,1.903262,1.79449,1.495828,1.552114,1.872727,1.592621,1.051682,1.331229,1.035137,1.018241,1.455816,1.330154,1.835502,1.507689,1.762832,1.41949,1.471152,1.634204,1.534129,1.515968,1.799993,1.903279,1.888439,1.446801,1.321172,1.372266,1.24697,1.39448,1.203971,1.32118,1.291541,1.332848,1.344836,1.373546,1.288308,1.02384549,0.806607002
P22694,0.44048085,0.55017435,-0.40622397,0.71968082,0.08078825,0.39300331,0.97600536,0.82526873,0.65169611,0.79902072,0.53836485,0.74609009,0.0385415,-0.27705325,0.59623099,0.11619417,0.16621789,0.41355529,0.4322929,0.2990187,0.16401465,0.31086578,0.35456777,0.26269493,0.3234784,0.36529116,0.27822222,0.53849747,0.15237597,0.54700953,0.50446417,0.42804596,0.16477084,0.52778671,0.26076738,0.575736362,0.171537247
P22695,0.04422021,-0.10438939,0.20963559,0.17716132,0.57501852,-0.14733652,0.60509433,0.3399408,-0.06893277,0.13298405,0.33278416,0.41967272,-0.03674793,-0.02758545,0.2458806,-1.5975113,0.16340656,-0.41829382,-0.02550061,0.33969837,0.10835378,0.23617714,0.07918487,0.27195332,0.58665091,0.33781224,0.20255042,0.29888381,0.0602626,0.24443762,0.28910106,-0.24303,0.02372356,0.2840856,0.16399559,0.329214423,0.282575891
P22735,0.32315804,0.27418485,0.20079066,0.01696174,0.07225637,-1.19843365,-1.26488669,-0.71385575,-0.70226597,-0.77516295,-0.64563631,-1.23658148,0.64008337,-0.85937299,-0.19657269,0.67262471,-0.06736322,-0.83213335,-0.84631399,0.20528699,-0.02204022,-0.02333056,0.09128646,-0.58423859,-0.59146028,-1.43386475,-0.41786036,-0.7161559,-1.17854026,-1.47840681,-0.70584764,-0.75598895,-0.71171151,-0.89966445,-0.70075416,1.053950672,0.64519419
P23246,0.68109527,0.25080937,1.20631427,0.55579242,0.38838037,0.92410479,-1.48445115,0.16057163,-0.52834015,-0.59787068,0.83501045,-0.08987303,0.31712472,0.49683791,0.86887669,-0.08574738,0.59694931,0.79910304,0.88125759,0.48282392,1.04672665,0.49046033,0.58659045,0.49864,-0.15027098,0.60649935,-0.01709389,-0.28394167,-0.18008389,-0.2815687,-0.40819531,0.12232215,0.69667036,0.84506968,0.26460318,1.85742722,0.418523399
P23284,0.27980637,0.10676046,0.30532542,-0.29069989,0.38066121,-0.6918272,-0.75616775,-0.68304098,-0.52856838,-0.79895588,0.30065022,-0.53862608,-0.08842997,1.05577585,0.27686632,0.48094049,0.33320999,-0.26007601,0.10638971,0.23608948,0.61808071,0.34366791,0.07979803,0.43601685,0.55905547,0.3735046,0.45754069,-0.09763243,-0.24744725,-0.8607919,-0.13235709,-0.3646969,0.22351069,0.6284987,-0.68911926,-0.620855698,0.013617112
P23396,0.8032937,0.6812446,-0.2371598,0.808396,0.6835008,0.602792,0.710916,0.7163675,0.8107368,0.5990213,0.537571,0.4028364,0.395462,0.1195141,0.532998,0.1765986,0.3415851,0.553707,0.3534275,0.271026,0.7042602,0.6985915,0.8216506,0.4249884,0.4375725,0.4520992,0.2496507,0.4772527,0.330826,0.6585283,0.588589,0.5959865,0.1728143,0.3286813,0.4745362,0.744580068,0.225097621
P23471,-0.10229256,0.65648828,0.48731243,0.51249076,-0.46275953,0.36697737,0.51990808,0.31463171,0.8633745,0.53547428,0.49471202,0.97115266,0.63988893,0.56923062,0.35952752,0.67148096,0.24820706,0.31355658,0.8727466,0.2756582,-0.81326644,-0.19125591,0.09198793,-0.94010486,-0.23974607,0.52827319,0.47378844,0.86829017,0.93740472,0.67371424,0.90270874,0.59901781,0.72576356,0.16110367,0.94067474,0.876936584,0.410418877
P23515,-0.14396725,-0.24383482,-0.20549303,-0.64536368,-0.18163498,-0.42417813,-0.14276219,-0.1295096,-0.48325505,-0.24385139,-0.23490586,0.2477605,0.40319283,-0.17842689,-0.22276077,0.04818907,-0.32915261,-0.22959958,0.13419786,-0.30283948,-0.11156258,-0.30542053,-0.40498076,-0.20346676,0.01537551,0.04536227,0.0733062,-0.05529003,-0.08064873,-0.38888235,-0.06065288,0.03510884,0.01689667,-0.1440617,0.33094336,0.352957369,0.368551649
P23528,1.279113,1.180251,1.18931,1.36938,1.422298,1.211151,1.326812,1.224856,1.277093,1.24121,1.216458,1.227406,1.327479,1.382552,1.444425,1.159197,1.276566,1.401903,1.51233,1.440636,1.441326,1.450015,1.369018,1.396881,1.333836,1.239794,1.314628,1.258301,1.212386,1.14838,1.255926,1.133832,1.302832,1.366687,1.255527,1.046704646,0.096460299
P23634,-0.36506521,-0.18794559,-0.25269603,-0.0289183,-0.25895388,-1.1584489,-0.02539573,-0.1567202,-0.09249945,0.06949978,-0.3277514,0.3412499,-0.20745268,-0.0129236,-0.09866102,-0.62179842,-0.14652093,0.02054601,-0.30249008,-0.73373369,-0.65478931,-0.6372844,-0.34663339,-0.31632364,-0.43420466,-0.44599431,0.0882025,0.35459584,0.30223248,-0.01747458,-0.2439562,-0.33812884,0.0607751,-0.08106111,-0.48674742,1.131558299,0.738837018
