Uniprot,Control,Control.1,Control.2,Disease,Disease.1,Disease.2,Disease.3,Disease.4,Disease.5,Disease.6,Disease.7,Disease.8,Disease.9,Disease.10,Disease.11,Disease.12,Disease.13,Disease.14,Disease.15,Disease.16,Disease.17,Disease.18,Disease.19,Disease.20,Fold Change,t_test_p_value
O00139,0.003292493,0.393673754,-0.058574464,0.379013008,0.333719164,0.254024203,0.224977649,-0.327589088,0.200237751,-0.21009222,0.142751849,0.071259317,-0.006249966,0.368604283,0.142009527,0.091927679,0.241232836,0.543546985,0.244923573,0.140574709,0.161410128,0.349789734,0.279783245,0.212158162,1.620274284,0.709086868
O00142,-0.5809617,-0.788528,-0.1579646,-0.7575577,-0.7799801,-0.5919105,-0.8340004,-0.3591643,-0.9104662,-0.6193876,-0.5967326,-0.7587587,-0.3514348,-0.3440096,-0.8760627,-0.4216628,-0.5974105,-0.8150116,-0.4469449,-0.1992157,-0.5323395,-0.6124338,-0.7404798,-0.4692813,1.17976362,0.915903498
O00154,1.1232433,1.2347176,1.1823896,1.2690028,0.9200529,1.0442879,0.9068721,0.916652,1.1064379,1.0656749,0.7562386,0.7619424,0.9913829,0.9838513,1.0622146,0.8966188,0.4659289,0.9272807,0.9355316,0.9838166,1.174301,1.2444138,0.8817656,0.8636118,0.813393198,2.22E-05
O00159,-0.6581639,-0.8458517,-0.5523802,-1.0862704,-0.8127693,-0.459465,-0.8610353,0.3311608,-0.7966884,-0.4716835,-0.754063,-0.6301939,-0.272955,-0.8150322,-0.8665249,-0.9486351,-1.1042151,-0.8186468,-0.701333,-0.5653482,-0.3351813,-0.7818737,-0.7115358,-0.6676908,0.981605077,0.377664711
O00168,-0.6320868,-0.7859584,-0.8445938,-0.7021049,-0.4830989,-0.6303702,-0.6305653,-0.574227,-0.8100694,-0.6539111,-0.7017538,-0.4869106,-0.6459489,-0.6896819,-1.0769708,-0.5725766,-0.570941,-0.7173893,-0.6832492,-0.6961892,-0.8491602,-0.6905381,-0.6943124,-0.7716712,0.904862483,0.124528375
O00170,-0.06872182,-0.13956165,-0.07157716,-0.11136361,-0.12084655,-0.21063567,-0.29093736,-0.20953398,-0.24472492,-0.34415676,-0.53411631,-0.2764828,-0.44597357,-0.11111232,-0.3739561,-0.33066205,-0.50223677,-0.21833147,-0.34146743,-0.25880467,-0.16424492,-0.62332623,-0.49299764,-0.2453122,3.293079605,4.83E-05
O00178,-1.0099325,-1.0293929,-0.9442629,-0.8430835,-0.7323949,-0.7361629,-0.8385668,-0.8904369,-0.884441,-0.8416277,-0.6952956,-0.7870494,-0.7406412,-0.7947756,-0.8992051,-0.8453688,-0.623384,-0.8722244,-0.8421861,-0.9127705,-0.9086031,-0.7689456,-0.4255493,-0.6434202,0.791287486,0.079589171
O00186,-0.281500839,-0.462858687,-0.610957082,-0.603791266,0.050378898,-0.458314127,-0.109782812,-0.049902921,0.062575516,0.003033147,0.028167694,-0.028498536,-0.030598306,-0.376774361,-0.332570847,0.026219079,0.072329437,0.071518021,-0.365193023,0.150519011,-0.251925173,-1.00455883,-0.222758096,-0.063963864,0.361949308,0.000254725
O00192,-0.27803359,-0.34331954,-0.75840185,-0.84276632,-0.18649696,-0.37310251,-1.21292934,-0.34383465,-0.41516806,-0.49069797,-0.08887555,-0.03386783,-0.8029174,-0.60533015,-1.02644454,-0.2273351,-0.10478015,-0.02211822,-0.14498557,-0.81623624,-0.42435972,-0.71772442,-0.51380406,-1.08476359,1.084927448,0.405755648
O00194,0.09181034,0.37498736,-0.76149004,0.21258701,-0.5554861,-0.18148242,-0.46779281,-0.02038914,-0.17072998,-0.14377712,-0.76889509,-0.64129533,-1.0292757,-0.55356529,-0.08324513,-1.00108851,-0.3615348,-0.16847152,-0.30514715,-0.21242367,0.11634693,0.22626487,-0.95319913,-0.8789828,3.849817881,0.429687089
O00203,-0.8087642,-0.6575327,-0.7194874,-0.7146183,-0.4263434,-0.6182518,-0.6447565,-0.4614832,-1.0115646,-0.6211809,-0.3395169,-0.7419137,-0.8945573,-0.9441061,-0.4609861,-0.8207257,-0.7914052,-0.1057174,-1.1017182,-0.4554851,-0.5869381,-0.5191922,-0.3207431,-0.4880873,0.854174671,0.201054386
O00213,-0.6213231,-0.1628113,-1.1701319,-0.3893816,-0.9605795,-0.4818643,-0.6637129,-0.8993011,-0.5982338,-0.481984,-0.6352101,-0.5242844,-0.5615916,-0.4406035,-0.5566642,-0.5498587,-0.4913183,-0.2153882,-0.6533632,-0.396642,-0.5925426,-0.6288336,-0.4233658,-0.9388814,0.883313219,0.975554683
O00217,0.5530032,0.7041854,0.4334604,0.7313377,0.5534482,0.6281957,0.6046364,0.4493971,0.6211677,0.3743974,0.4605789,0.5481356,0.5081956,0.5576375,0.4618234,0.5693146,0.5731349,0.6104938,0.5459777,0.5585956,0.5884666,0.5743209,0.5827488,0.5525707,0.984792974,0.504942259
O00231,0.3335707,0.4931279,0.4363919,0.4173504,0.5022548,0.3895173,0.3320729,0.4561715,0.5048399,1.0670033,0.4139517,0.3709347,0.4356052,0.9840164,0.3234359,0.3741565,1.0117515,1.1081177,1.0350054,0.4713166,1.1140847,0.1874914,0.4466575,0.9830276,1.462259536,0.029902719
O00232,0.21934572,0.37527602,-0.10113252,0.34007494,-0.12152483,-0.23247709,0.12940182,0.2036322,0.09595367,0.26730417,0.27099008,0.24982583,0.46038491,0.17152584,0.26266934,0.20844888,0.29363537,0.28474042,0.26223466,0.29807147,0.29989493,0.34706688,0.20846669,0.08374693,1.269116479,0.988450542
O00233,-0.1852688,-0.3067161,-0.4893543,-0.5099041,-0.541568,-0.3469992,-0.2798729,-0.5989303,-0.6161487,-0.4368312,-0.5573927,-0.4587926,-0.7581622,-0.5796666,-0.3509443,-0.8066159,-0.3517494,-0.4379459,-0.5242042,-0.403931,-0.4801421,-0.2521758,-0.3263273,-0.352985,1.451557132,0.637840912
O00244,-0.0699918,-0.173992899,-0.028869943,-0.156817425,-0.327661861,-0.541527155,-0.425959966,-0.557947188,-0.21020482,-0.06869861,-0.007697778,-0.702744059,-0.04209839,0.094104463,-0.295300687,-0.152198624,0.02354379,-0.032703486,-0.26920942,-0.018609118,-0.116402797,-0.214995352,-0.028365846,-0.128109147,2.188294128,0.258607055
O00264,0.7710711,0.509811,0.8293234,0.7310379,0.4035737,0.9011978,0.5858844,1.2394868,0.2419689,0.8256575,0.6010716,0.4764518,0.1848633,0.5582319,0.8761699,0.6250602,0.6524588,0.7491128,0.6372808,0.6341455,0.8016121,0.8482626,0.8495989,0.5754054,0.947675651,0.819907837
O00273,-0.9765937,-0.6029667,-0.2061062,-0.8693998,-0.6758435,-0.452581,-0.8087633,-0.5515753,-0.5559103,-0.9791338,-0.786896,-0.7806372,-0.4040827,-0.7725034,-0.6758401,-0.479822,-0.2970231,-0.5591522,-0.6593954,-0.4375674,-0.7263213,-0.6127873,-0.5674991,-0.4889671,1.05136418,0.806970579
O00299,0.7304085,0.1875507,0.7115614,0.3183688,0.7340023,0.9127053,0.5249472,0.8392514,0.5019799,0.5928665,0.647643,0.6851779,0.6071424,0.524681,0.5911049,0.4700804,0.7035707,0.6717026,0.616807,0.5435185,0.384889,0.431015,0.5988467,0.737939,1.107971747,0.312470345
O00303,-0.03468602,0.039020769,0.125667308,0.007603372,-0.04275623,0.164348201,0.011737767,0.232376538,0.158037256,0.06847458,0.054619212,-0.020175275,0.070857756,0.048307824,-0.091609389,0.011282594,-0.174729668,0.066279358,0.040726275,0.088671102,-0.001718071,-0.413740519,0.172984641,0.099234849,0.605278525,0.544947299
O00305,-0.70638362,-0.08801456,-0.83787627,-0.63378417,-0.94350987,-0.63586874,-0.36514901,-0.93886509,-0.78827319,-0.30345454,-0.57834924,-0.46101887,-0.73695077,-0.79209246,-0.67944108,-0.72541041,-0.49254846,-0.67979065,-0.78375893,-0.79502952,-0.7642214,-0.6043524,-0.5866944,-0.91946835,1.243491125,0.553291031
O00330,0.207912736,0.617282249,0.181957872,0.423701872,0.311883273,-0.237632493,0.004596073,0.095512851,0.548601999,0.484740802,0.218585158,-0.076770343,0.309686852,0.317730436,0.319721049,0.009680029,0.250951817,0.38335125,0.073374658,0.307739951,0.370405379,0.205244145,0.253671516,0.176928419,0.673993974,0.263525209
O00399,-0.06104679,-0.33730541,-0.02886994,-0.06655095,-0.11929649,-0.19366762,-0.19020313,-0.70573114,-0.17771195,-0.45906062,-0.33236195,-0.16322957,-0.1698222,-0.19232464,-0.22829169,-0.40877595,-0.66502692,-0.38478601,-0.03815505,-0.23755689,-0.13518008,-0.42163326,-0.15586773,-0.12122192,1.861345402,0.309604702
O00401,-0.007458232,-0.062248318,-0.132714965,-0.062951377,-0.265219401,-0.287921689,-0.297187366,-0.512042284,-0.61059504,-0.537456689,-0.027050833,-0.75677633,-0.358862787,-0.215384273,-0.312060177,-0.473756457,-0.242536172,-0.010450767,-0.005577127,-0.05368462,-0.359268199,-0.061710198,-0.166014357,-0.454497775,4.284555789,0.000699923
O00408,0.39882209,0.80663979,0.42909136,0.6671121,0.3753637,0.06867285,0.24612941,0.11774355,0.57861333,0.5725326,0.28597211,0.2787681,0.34831846,0.45225672,0.62258688,0.47483738,0.31997782,0.51775814,0.30699738,0.42829413,0.68472883,0.53873604,0.42305308,0.32869672,0.754872001,0.155140942
O00410,0.9861317,0.7841791,0.988101,0.9533694,0.9389379,1.1120154,0.9504713,0.8291037,0.7648602,0.8492081,0.9839486,0.9844578,0.9316819,0.9457736,0.7881418,0.9676925,0.9688631,0.8354196,0.8948216,0.8068104,0.8370255,0.9036761,0.9172555,0.998894,0.99241517,0.979178455
O00422,-1.1592429,-0.5154252,-0.5932256,-0.5865917,-0.3601005,-0.5481271,-0.429236,-0.8980611,-0.4526265,-0.6059137,-0.7770788,-0.5891963,-0.9836013,-0.987511,-0.4770069,-0.6954937,-0.7814579,-0.7503463,-0.9431451,-0.8028565,-0.7231782,-1.1893262,-0.6663372,-0.5539943,0.932343163,0.015336107
O00429,1.2126293,1.2972691,1.0575715,1.2310197,0.9443613,0.9734554,1.1479389,1.0142444,1.1895535,1.1736713,1.0877423,1.0346622,1.0810107,1.1131853,1.1413391,1.0958292,1.1012505,1.1658603,1.0454941,1.1365646,1.2337272,1.2600003,0.9883762,1.1162344,0.932053951,0.321215088
O00442,0.05220674,-0.49144768,-0.04734153,-0.88956273,-0.34878901,-0.31659901,-0.21593182,-0.73254073,-0.54183318,-0.14135586,-0.50276246,-0.2037817,-0.16911385,-0.76378042,-1.02337932,-0.22245796,-0.36623454,-0.06560021,-0.36061966,-0.45655724,-0.55127564,-0.57374191,-0.27771708,-0.29079877,2.646573267,0.803303817
O00468,-0.19329137,0.02647996,-0.05973173,0.02771613,0.08997117,-0.2006305,0.39790463,0.46166343,0.05348385,-0.27158272,0.29133725,0.08490148,0.39858825,0.33931055,0.3405867,0.39378721,0.03646185,0.21723259,0.25011096,0.20856947,0.05148868,-0.4129425,0.1847122,0.30114425,-2.045535931,0.015233083
O00471,-0.45615184,-0.28236687,-0.80237094,-0.15084082,-0.70480925,-0.08074899,-0.8350456,-0.13770409,-0.55579227,-0.68873913,-0.42128317,-0.59432087,-0.88663713,-0.11708214,-0.76774283,-0.43474276,-0.83476384,-0.56993811,-0.72735118,-0.36238377,-0.3602459,-0.47206513,-0.90341103,-0.54215441,1.033521903,0.564489109
O00478,-0.66133582,-0.25874339,-0.12647868,-0.34097332,-0.16636389,-0.3733812,0.09481873,0.15050586,0.20463015,-0.64099086,-0.13897898,-0.04124711,-0.218279,0.09850226,-0.05173803,0.13735956,-0.01970489,-0.16845267,0.29049983,-0.08511768,-0.86114411,-0.46497149,-0.29932114,-0.51100624,0.464837329,0.36043629
O00483,0.7150251,0.8372758,0.7474155,0.9031631,0.5860465,-0.3769805,0.878015,0.8648487,0.8647575,0.8703712,0.6028453,0.4408361,0.7996628,0.6599948,0.9791018,0.6381067,0.7935456,0.9376602,0.7791833,0.8222747,0.8298614,0.9050419,0.9572317,0.610864,0.953312069,0.203734027
