Uniprot,Fold Change_PXD007073,t_test_p_value_PXD007073,Fold Change_PXD005321,t_test_p_value_PXD005321,Fold Change_PXD005319,t_test_p_value_PXD005319,Fold Change_PXD008036,t_test_p_value_PXD008036,Fold Change_PXD014852,t_test_p_value_PXD014852,Fold Change_PXD014950,t_test_p_value_PXD014950,Fold Change_PXD021630,t_test_p_value_PXD021630,Fold Change_PXD023199,t_test_p_value_PXD023199,Fold Change_PXD027173,t_test_p_value_PXD027173,Fold Change_PXD028931,t_test_p_value_PXD028931,Fold Change_PXD037133,t_test_p_value_PXD037133,Fold Change_PXD009199,t_test_p_value_PXD009199,Fold Change_PXD014376,t_test_p_value_PXD014376,Fold Change_PXD014606,t_test_p_value_PXD014606,Fold Change_PXD022092,t_test_p_value_PXD022092,Fold Change_PXD024998,t_test_p_value_PXD024998
O00233,0.514719624,0.696283672,0.888043484,0.008368104,0.44464239,0.778693601,0.838200481,0.637840912,0.837187771,0.84228487,0,0.20562683,0.277840851,0.869452805,,,0.79886692,0.468476289,0.715888308,0.49816078,0.291081132,0.268290293,0.483188105,0.369584275,,,0.352028856,0.219954354,,,,
O00244,0.51483602,0.306570105,,,0.444827652,0.239729741,0.838970144,0.258607055,0.835936792,0.311815212,0.176093046,0.118051728,0.275648687,0.227066052,,,,,0,0.683172534,0.291487281,0.409121972,0.484277273,0.663760538,,,0.351957246,0.673611966,,,,
O00264,0.515067443,0.041319276,0.888094828,0.065239612,0.444741391,0.767223137,0.837674079,0.819907837,0.837242992,0.243424303,0.176665115,0.202576652,0.276548553,0.619006945,0.226478761,0.666648876,0.798880386,0.432395354,0.715910237,0.891126591,0.291545581,0.058866592,0.483887366,0.8832593,0.170564278,0.228688327,0.351919514,0.112164408,0.416107848,0.820908186,,
O00273,0.428207977,0.2043972,,,,,0.837782402,0.806970579,,,0.177626658,0.628613003,0.270042438,0.899167151,,,0.798539193,0.610103255,0.71602894,0.535977665,0.29146695,0.504969692,0.483922559,0.327412996,,,0.352102167,0.112600216,,,,
O00291,0.514758552,0.476563915,0.887594305,0.683596478,,,,,,,0.176998288,0.881974553,0.275640093,0.8920014,,,0.798933456,0.272968637,0.713605703,0.202153996,0.292659279,0.040107647,0.483412529,0.663847755,,,0.352056295,0.553302812,,,,
O00299,0.515708544,0.188337925,0.887596749,0.358073581,0.444688807,0.657080785,0.83784154,0.312470345,0.837294727,0.265139894,0.176814736,0.469523361,0.277065506,0.299066831,,,0.798723977,0.085470399,0.719475158,0.209434821,0.290006496,0.032337174,0.482016654,0.077785907,,,0.352224401,0.112556985,0.41532089,0.2582622,,
O00303,0.514677156,0.417974246,,,0.444993378,0.137839475,0.83731638,0.544947299,0.838118455,0.928326144,0.176634825,0.766741151,0.276456041,0.765603379,0.225801953,0.347154855,0.798921058,0.839118489,0.716056805,0.604802466,0.291559845,0.136781145,0.483659507,0.750369473,,,0.351499657,0.025490397,,,,
O00399,0.515208848,0.382538967,0.887927117,0.033543749,0.445118124,0.257785064,0.838628584,0.309604702,,,,,0.277248743,0.592392138,,,0.798821415,0.523370497,,,,,0.553140196,0.709556111,,,0.350343586,0.015838092,,,,
O00410,0.515308488,0.835583959,0.882873646,0.322844768,0.444799975,0.476152466,0.837720819,0.979178455,0.836627483,0.25265172,0.176666563,0.03432,0.276370951,0.590392281,0.235784881,9.60E-05,0.798813701,0.020236887,0.715965208,0.114473904,0.291465329,0.309339289,0.483786771,0.008894646,,,0.352008249,0.016181176,0.413665991,0.73192261,,
O00422,0.514922958,0.606507653,,,0.444881963,0.743044964,0.837658062,0.015336107,,,0.176585174,0.031671857,0.274579812,0.002031091,,,,,0.715928641,0.92348297,,,0.483821318,0.527644202,,,0.351565262,0.220421985,,,,
