Uniprot,Fold Change_PXD007073,t_test_p_value_PXD007073,Fold Change_PXD005321,t_test_p_value_PXD005321,Fold Change_PXD005319,t_test_p_value_PXD005319,Fold Change_PXD008036,t_test_p_value_PXD008036,Fold Change_PXD014852,t_test_p_value_PXD014852,Fold Change_PXD014950,t_test_p_value_PXD014950,Fold Change_PXD021630,t_test_p_value_PXD021630,Fold Change_PXD023199,t_test_p_value_PXD023199,Fold Change_PXD027173,t_test_p_value_PXD027173,Fold Change_PXD028931,t_test_p_value_PXD028931,Fold Change_PXD037133,t_test_p_value_PXD037133,Fold Change_PXD009199,t_test_p_value_PXD009199,Fold Change_PXD014376,t_test_p_value_PXD014376,Fold Change_PXD014606,t_test_p_value_PXD014606,Fold Change_PXD022092,t_test_p_value_PXD022092,Fold Change_PXD024998,t_test_p_value_PXD024998
P49720,0.51583089,0.249399751,0.887711368,0.827207693,0.444930536,0.620249614,0.838018415,0.235366712,0.836663697,0.6280586,0.331680246,0.585725575,0.276329271,0.636794161,,,0.798797241,0.285225765,0.71581658,0.380355765,0.291537291,0.016569542,0.484290151,0.676089262,0.169645062,0.240752298,0.352205131,0.030062687,,,0.395452023,0.701920687
P49721,0.515116239,0.494179768,0.887760597,0.574980805,0.445491358,0.134989753,0.837887154,0.499669396,0.836367406,0.005211033,0.176527405,0.894224643,0.276515014,0.31208297,0.226297,0.723359744,0.798856348,0.189929904,0.716015554,0.668788346,0.291201535,0.166505306,0.48306372,0.52588352,0.169705732,0.664550388,0.350116611,0.125103142,0.416568644,0.618958889,0.395328519,0.767359389
P49748,0.514938089,0.68104101,0.886241526,0.670646117,0.444766244,0.747058924,0.837758844,0.306904493,0.837132646,0.813646836,0.176710639,0.768353843,0.276371836,0.921741879,0.226608496,0.884424868,0.798860985,0.520565356,0.716060752,0.041837081,0.291492784,0.080658011,0.484057472,0.447836586,0.169868129,0.448251556,0.351959369,0.664327551,0.415774402,0.448848847,,
P49750,0.513291983,0.098241478,,,,,,,,,0.181284637,0.923501758,0.280850915,0.023119121,,,0.798884436,0.885107228,0.715930277,0.88493364,,,,,,,0.350646894,0.018329028,,,,
P49755,0.184593787,0.011926215,,,0.445063903,0.071893764,0.837873696,0.817821796,0.838286255,0.057009129,0.176508907,0.685645187,0.275084413,0.109326074,0.226443978,0.51401025,,,0.716187772,0.214993986,0.297837972,0.075647484,0.484463662,0.295982952,,,0.35204681,0.076107379,0.415539684,0.64212125,,
P49756,0.515114876,0.993783569,,,0.443821182,0.267170975,,,0.836598306,0.065669892,0.176909674,0.663625124,0.27651098,0.893147294,,,0.798922764,0.248670708,0.715931124,0.326989884,0.291326733,0.139488247,0.483516934,0.442005842,,,0.3516705,0.004245527,,,,
P49773,0.515395002,0.271283313,0.888450951,0.037819828,0.444850244,0.40878195,0.837655799,0.007390372,0.837186329,0.241374167,0.176696665,0.473116061,0.276639997,0.162024166,,,0.798871211,0.305476577,0.715925776,0.125489985,0.291384794,0.004682226,0.483920149,0.665420884,,,0.351932231,0.177764341,,,,
P49792,0.514370055,0.227579559,0.887694707,0.530062017,,,,,0.837764684,0.040025276,0.176458464,0.688986328,0.276765536,0.785326186,,,0.798855896,0.245880342,0.715862341,0.427758235,0.291242413,0.732242067,,,,,0.352446062,0.066338371,,,,
P49821,0.51445006,0.354296464,0.887739437,0.288470035,0.44486795,0.736930142,0.837709298,0.606382701,0.839168586,0.984445923,0.176328929,0.342726039,0.276267486,0.737326448,0.227510192,0.032952835,0.798870874,0.169994424,0.715770278,0.318163533,0.291336472,0.014751948,0.483719818,0.139356257,0.169013588,0.389422549,0.351852991,0.003945409,0.416107122,0.755805912,0.392978784,0.160190304
P49902,0.515319981,0.963046293,,,0.44344786,0.500394829,0.836888831,0.202040992,0.838948438,0.248803979,0.176282337,0.715638183,0.27709472,0.437983942,,,0.798891126,0.72224556,0.715927572,0.062303521,0.291298364,0.399443368,0.482943041,0.284782122,,,0.352308292,0.213669589,,,,
P49903,0.514837583,0.32421511,,,0.44493826,0.774782179,0.83754338,0.768641941,,,0.176445268,0.789678812,0.27773723,0.434112797,,,,,,,,,,,,,0.351727984,0.009460875,,,,
P49915,0.514712767,0.287225493,,,0.445632658,0.006156826,0.837744738,0.73178794,0.837061768,0.559332174,0.17743896,0.827666321,0.275193663,0.106932489,,,0.799042763,0.368417904,0.714289759,0.531015983,0.29155084,0.941182541,0.481888946,0.01829619,,,0.35208129,0.133459186,,,,
P49959,0.504930244,3.11E-06,,,,,,,0.836984814,0.36995917,0.176458644,0.964608189,0.276770152,0.663507634,,,,,,,,,,,,,0.351649441,0.000537685,,,,
P49961,0.513117269,0.305733864,,,,,,,,,,,0.276461393,0.770149579,,,0.798900034,0.472542375,,,,,,,,,0.351847356,0.011986373,,,,
P50135,0.514114084,0.210770884,,,0.444934343,0.282461854,0.837884283,0.647999608,0.837077799,0.422517085,0.17658579,0.773468976,0.275999895,0.465156483,,,,,0.716552349,0.3473931,0.291409352,0.712016425,0.481971675,0.12860528,,,0.352192504,0.195843038,0.414227235,0.19331281,,
P50148,0.51324553,0.004623403,0.887679588,0.567091774,0.445097005,0.624786197,0.837702553,0.715089252,0.83694912,0.319974968,0.176402781,0.33054204,0.276045847,0.129901792,0.226031947,0.305171061,0.798877614,0.356987271,0.715848173,0.644027406,0.291352499,0.894507169,0.483922259,0.998600991,0.169457855,0.336881372,0.351873389,0.00111167,0.416333929,0.335857937,0.393832403,0.019106125
P50213,0.514791534,0.024801105,0.887793372,0.000108858,0.444869746,0.625740418,0.837651181,0.304713172,0.836863324,0.094979032,0.176464992,0.609984741,0.276295046,0.672242948,0.228902404,0.006904286,0.798877658,0.38775316,0.715766254,0.410479603,0.291366904,0.152644693,0.483816931,0.35109384,0.169954449,0.52273084,0.351875428,0.003667014,0.415954112,0.162791053,0.389791526,0.215107319
P50225,0.507782928,0.207506166,0.890479949,0.163108481,,,,,0.836381123,0.000273075,0.17614408,0.438749349,0.283268241,0.540788641,,,,,0.715927882,0.002204032,,,0.483593736,0.882549941,,,0.351849416,0.043033206,,,,
P50238,0.517631224,0.187403978,,,,,,,0.83683897,0.057061216,0.176854214,0.203175078,,,,,,,,,,,0.484239367,0.307565952,,,0.351747282,0.137112253,,,,
P50395,0.515055351,0.195695564,0.887674441,0.598423727,0.44486563,0.095797705,0.837699545,0.932868733,0.837185232,0.282337597,0.176626924,0.017350635,0.276477909,0.440870783,0.225510376,0.708543118,0.798865708,0.123239597,0.715986425,0.848395282,0.291396454,0.655582322,0.483927912,0.890582952,0.170179014,0.105791197,0.351955112,0.500985956,0.415492854,0.318839375,0.394220395,0.009647674
P50402,0.514668601,0.374688417,0.887625186,0.216044253,0.444993538,0.612457751,,,0.836017732,0.021546568,0.17630372,0.644843384,0.276924183,0.848663015,0.226879738,0.370558835,0.798868172,0.402703085,0.715764432,0.532339304,0.290954566,0.024580738,0.484554483,0.18072643,0.170299186,0.768374166,0.357661771,0.540317948,0.415733207,0.272168667,,
P50416,0.517426496,0.180957678,,,,,0.837951995,0.576742865,0.837269862,0.839357164,0.176488741,0.580365625,0.275123496,0.942066804,,,0.798867119,0.531687703,0.715745245,0.605308659,0.291126734,0.415701381,0.486236809,0.844479113,0.170861597,0.758218181,0.35167065,0.017876086,0.415899737,0.690626112,,
P50440,0.515536225,0.968282049,,,0.444213368,0.320900731,0.84039799,0.165140924,0.835502826,0.000669402,0.176551062,0.626911212,0.277031985,0.110346162,,,0.798961552,0.938254698,0.71602349,0.353733259,0.291166384,0.733018595,0.487346602,0.098112567,,,0.352502084,0.043944103,0.414920849,0.381945547,,
P50443,0.514121284,0.829423369,,,,,,,0.83633202,0.055525992,,,,,,,,,,,,,,,,,,,,,,
P50453,0.514159387,0.586314951,,,0.445581597,0.836020633,0.835561972,0.127468728,0.837044596,0.046920729,,,0.278076586,0.206360499,,,0.798885809,0.885805507,0.715951299,0.945030784,0.296346937,0.399369757,0.484212221,0.907976028,,,0.35190714,0.944104029,,,,
P50454,0.508869623,0.311071113,,,,,0.837495135,0.538658222,0.837277852,0.115796604,0.177079844,0.536741687,0.273452195,0.913192438,,,0.798894882,0.899923896,0.719181795,0.383933475,0.291126626,0.008588263,,,,,0.351480993,0.002709618,0.414856633,0.016761628,,
P50479,0.514900059,0.786008993,,,,,,,0.836995421,0.702036294,,,0.275905245,0.73711949,,,0.798846629,0.157908407,0.715867458,1.83E-06,,,,,,,0.351783215,0.083395973,,,,
P50502,0.514903345,0.005997242,,,0.444820047,0.046937186,0.837607702,0.129158637,0.837176349,0.577407354,0.17670243,0.181104775,0.276495924,0.472176372,,,,,0.715989495,0.75975003,0.291394488,0.800201615,0.48392234,0.941366639,,,0.352011907,0.097836149,0.415880006,0.248545837,,
P50552,0.346635466,0.000186878,,,,,,,0.836860093,0.021613928,0.176203795,0.418727407,0.276999247,0.702384156,,,,,0.715731862,0.044774482,,,,,,,0.35144627,0.007285335,,,,
P50570,0.503514611,0.99447823,0.887610639,0.045789908,0.444846287,0.921995037,0.837572489,0.05153075,0.837380572,0.280888929,0.176260894,0.266094714,0.276254724,0.897993885,0.22708737,0.545471248,0.798883621,0.681835932,0.715889276,0.282811335,0.291135446,0.041765415,0.483905549,0.780889569,0.168463507,0.249825683,0.3518959,0.007777563,0.415901593,0.073273029,0.390905544,0.742528517
P50579,0.514685234,0.852898806,,,0.445158497,0.730719915,0.838469431,0.930592357,0.836686519,0.50220339,0.176236421,0.427381669,0.278321999,0.729155346,,,,,0.71493514,0.227280897,0.290624642,0.023292279,0.484651761,0.30014636,,,0.352180577,0.111003844,,,,
P50583,0.512032931,0.161851354,0.887279236,0.227853482,0.44483952,0.392124819,0.83759466,0.384150891,,,0.176725291,0.962304249,0.244931917,0.078450677,,,0.79882242,0.706534572,,,0.291767295,0.011240786,0.48400247,0.394869148,,,0.352016057,0.523906037,,,,
P50851,0.514813738,0.574380611,,,,,0.837783589,0.735964089,,,0.176986423,0.947717531,0.278348408,0.524682416,,,,,,,,,,,,,0.351896874,0.075195924,,,,
P50895,0.514348012,0.242252082,,,,,0.838140778,0.487563814,0.8373012,0.410664742,0.176478197,0.315106675,0.277467267,0.677011938,,,0.798864786,0.824545658,0.716128368,0.820754788,0.293563477,0.372502238,0.484364256,0.765913772,,,0.35210898,0.933556975,,,,
P50897,0.514389595,0.571983438,0.887906777,0.459487297,0.444837061,0.259132615,0.837791405,0.899262563,0.836958498,0.524979802,0.17668944,0.894890498,0.27628393,0.282354543,0.220911181,0.217127935,0.798838423,0.047732353,0.71587839,0.264617598,0.291443768,0.339160648,0.484204848,0.099511415,,,0.351949315,0.674689785,0.41556579,0.697964866,0.397201349,0.742966085
P50914,0.514720126,0.414352126,,,,,,,0.837061795,0.579426949,0.176049212,0.76873043,0.277167068,0.115278797,0.226565796,0.955413645,0.798898295,0.696672567,0.716045334,0.259456834,0.293239759,0.183748916,0.484887486,0.89245808,,,0.351829441,0.376172608,,,0.396852984,0.200787617
P50990,0.515044967,0.942628783,,,0.444902684,0.622765573,0.83761349,0.070764377,0.837125685,0.560512361,0.176663783,0.305871174,0.276506063,0.225557665,0.226459126,0.58097819,0.798874628,0.492171547,0.715956331,0.756452541,0.291390163,0.70669629,0.483907237,0.633010285,0.169916706,0.904433382,0.3519596,0.427328997,0.416478028,0.53550013,0.310206385,0.455283617
P50991,0.51507295,0.611086642,0.887669301,0.940030876,0.444801982,0.487904593,0.837670369,0.001143061,0.837113023,0.541825932,0.176642627,0.163987711,0.276512129,0.325797446,0.226821366,0.230614793,0.798874996,0.256137338,0.715910123,0.002864754,0.291403644,0.394480349,0.483884729,0.846798069,0.1689918,0.428799571,0.351968623,0.872348295,0.416132758,0.580114903,0.396153412,0.304831895
P50993,0.514823355,0.04199356,0.88781038,0.253442912,0.444836689,0.740833809,0.837880506,0.007457046,0.836802912,0.418052022,0.176566714,0.692439367,0.276483183,0.918421174,0.226683445,0.725287366,0.798876618,0.01386338,0.715941036,0.249680532,0.291369153,0.158470349,0.483902509,0.552768142,0.170106345,0.038282326,0.351910564,0.027263976,0.416317848,0.575306793,0.397081311,0.057711308
P50995,0.512249778,0.624387832,0.886207687,0.166694959,0.444707809,0.032138378,0.837620575,0.937168415,0.841405419,0.031924548,0.175966034,0.25120528,0.275960163,0.268167839,,,0.798894731,0.474632155,0.7159608,0.230698958,0.291349208,0.357964183,0.484200251,0.424971251,0.169638191,0.78709072,0.351821188,0.063833796,0.415297161,0.519344808,0.395362662,0.441649999
P51114,0.514629966,0.42424761,0.838261452,0.005537371,,,0.837803335,0.748074763,0.837034174,0.093314582,0.177209208,0.34976623,0.279167633,0.937531042,0.226359429,0.979038502,0.798858653,0.641970271,0.715747524,0.468290501,0.291157378,0.001420478,0.483527937,0.0333918,,,0.351694998,0.010114713,,,,
P51148,0.515024771,0.517472611,0.887769445,0.309874096,0.444887981,0.909799766,0.837654722,0.847463263,0.837095754,0.770417682,0.176691542,0.289208348,0.276097577,0.162121693,0.226422475,0.304964125,0.798873795,0.362134034,0.715946359,0.838658961,0.291404493,0.683587325,0.483822708,0.408008449,0.168950246,0.40248562,0.35198024,0.520372983,0.415037751,0.297382159,0.393743742,0.071889411
P51149,0.515085746,0.51882003,0.887799874,0.166549617,0.44481318,0.028559098,0.837715569,0.686843189,0.837369626,0.100120861,0.176615964,0.658233715,0.276258938,0.10819968,0.226533639,0.433607988,0.798879218,0.304663264,0.715981967,0.222631225,0.291426676,0.023411802,0.483903702,0.560824132,0.169799773,0.625985101,0.351964087,0.645168857,0.415764986,0.332023698,0.390139304,0.616588154
P51178,0.514999615,0.56623842,0.887248121,0.226734149,0.44476261,0.477568555,0.837767663,0.304098073,0.829425115,0.98146649,0.175565047,0.099648779,0.276458256,0.775028677,,,0.79888145,0.912322034,0.716407528,0.043431747,0.292333653,0.043901493,0.48495116,0.028876683,,,0.351977312,0.983330191,0.392441203,0.098624138,,
P51452,0.510269114,0.052145886,0.88776778,0.181081021,0.444650262,0.805283873,0.837266283,0.428898155,0.83795515,0.647251756,0.176469709,0.926024444,0.276726987,0.80687276,0.228077503,0.986861712,0.79882404,0.059408084,0.716423413,0.861815411,0.291278459,0.945254043,0.483638151,0.582951248,,,0.351721875,0.047425525,0.414056511,0.57646727,,
P51553,0.519566614,0.542205826,0.887814784,0.004588892,0.445362643,0.621557879,0.837533783,4.89E-05,0.837649896,0.083098121,0.174313341,0.745059463,0.2762847,0.866335955,0.226549542,0.283684018,0.798893712,0.950283619,,,0.291359484,0.160892885,0.483808079,0.461714387,0.168976382,0.777017524,0.351813685,0.012820146,0.416200255,0.587435296,0.394387341,0.384632892
P51570,0.494694827,0.165673022,0.887341504,0.268750737,0.446705859,0.949486313,0.832387726,0.528366564,0.837209863,0.74633276,0.17648478,0.860986515,0.277733504,0.392960933,,,0.79884441,0.454879099,0.716073935,3.93E-05,0.291015118,0.106696831,0.483377771,0.486489487,,,0.352257027,0.074746754,,,,
P51571,0.514024174,0.076903964,,,0.444696114,0.888527314,0.837281403,0.68753173,0.836671615,0.129240559,0.17635978,0.517985294,0.277284892,0.341204693,0.226548979,0.496632568,0.799106786,0.626759158,0.715999939,0.590418771,0.291509129,0.437919918,0.483797715,0.807404525,,,0.351801455,0.346116129,,,,
P51572,0.515447118,0.976793742,,,0.453241729,0.157539696,0.8386343,0.531044592,0.836504026,0.003924507,0.175928371,0.033846985,0.276897973,0.819134341,0.226429982,0.943682195,,,0.715951504,0.675340158,0.291239595,0.003645442,0.484060205,0.796224888,0.169556296,0.71476624,0.352014407,0.59845131,,,,
P51580,0.514951996,0.857276236,,,,,,,0.837277324,0.27625407,,,0.27681704,0.50870266,,,,,,,,,,,,,0.351824875,0.290392624,,,,
P51608,0.514438455,0.185178186,,,,,,,0.836851754,0.244138561,0.176530845,0.7414006,0.27706588,0.27021194,,,0.79894242,0.236133628,0.715806955,0.412636152,0.291421235,0.701359252,0.48445338,0.534130875,,,0.351220141,0.078506323,,,,
P51610,0.514966383,0.481614903,,,,,0.837648896,0.781787973,0.83696087,0.648347478,0.176444854,0.087545987,0.279060549,0.141613654,,,0.798888611,0.312183599,0.715919843,0.5220738,0.291295263,0.020441752,,,,,0.35008765,0.001920539,,,,
P51636,0.516882084,0.051638542,,,,,,,,,,,0.277205974,0.115222113,,,,,,,,,,,,,,,,,,
P51648,0.506993625,0.838682981,0.887700793,0.82374169,0.445538817,0.691399995,0.837696354,0.996226379,0.838010681,0.049816956,0.176874088,0.031272116,0.285658195,0.345187688,,,0.798748335,0.183565562,0.714402396,0.252736707,0.291857142,0.26110327,0.485806975,0.676553592,0.170531679,0.807369278,0.352368486,0.003090773,0.417366356,0.725421353,,
P51649,0.514308145,0.226292078,0.887694722,0.899506048,0.444857472,0.273034425,0.837744863,0.130144549,0.838352153,0.253724979,0.176511033,0.990598517,0.276275584,0.270622617,0.227078366,0.982686305,0.798860927,0.019653579,0.716114373,0.990790358,0.291360924,0.031365596,0.483847928,0.204987454,0.169310895,0.059377006,0.351912015,0.450261997,0.4159785,0.100198056,0.395587569,0.394213831
P51659,0.514817565,0.369336384,0.887837243,0.323567286,0.444947161,0.384119563,0.837948393,0.037528091,0.837334152,0.200172243,0.176637762,0.596634766,0.27655728,0.361960856,,,0.798896254,0.512216988,0.713377271,0.256009728,0.291400909,0.507310711,0.484073303,0.083449266,,,0.352032921,0.0693997,0.416493858,0.232598464,0.395359798,0.23879128
P51665,0.51432071,0.593025041,,,0.443007729,0.947775504,0.839360281,0.871104736,0.817075242,0.094161871,0.17798483,0.953097255,0.277035593,0.071099854,,,,,0.715939877,0.886888688,0.291533636,0.371254524,0.484139016,0.381648623,,,0.352066233,0.142934919,0.415635164,0.080144657,0.403164313,0.894444162
P51808,0.516245803,0.399407744,0.887489291,0.031319299,0.445030355,0.486201383,0.837880905,0.35276791,,,,,0.263159174,0.031979618,,,,,,,0.281506834,6.64E-05,0.483611725,0.335731453,,,0.351761607,0.00247973,,,,
P51857,0.517781496,0.001469514,0.887362013,0.226313069,0.445018612,0.742833395,,,,,,,,,,,,,,,,,,,,,,,,,,
P51858,0.512714481,0.428745527,,,0.508423855,0.007132832,0.836791648,0.084578844,0.837379684,0.33234236,0.176681154,0.896457411,0.276116659,0.356351843,,,,,0.716012358,0.593613278,0.291737621,0.042560116,0.485484234,0.157946436,,,0.352303302,0.000970961,,,,
P51884,0.515229925,0.959334467,,,0.444585642,0.497743376,0.838437379,0.239396212,0.837015246,0.026788948,0.186899372,0.292480998,0.275819587,0.923427065,,,0.798866036,0.416433195,0.715775313,0.237153023,0.290951511,0.002586415,0.483081841,0.089769726,,,0.351846872,0.641726751,,,,
P51888,0.514843021,0.049196177,0.887647617,0.979130126,0.444607996,0.92080343,0.837703583,0.979748701,0.836994017,0.000516854,0.179240478,0.430857012,0.276518099,0.765055957,,,,,0.715910112,0.753890258,0.293449588,0.003554932,0.48072391,0.19987107,,,0.351967283,0.621270154,,,0.394548485,0.473113733
P51911,0.514341915,0.068616837,,,,,,,0.836464193,0.003663386,,,0.271770005,0.277481795,,,,,,,0.290069649,0.793594889,0.483192428,0.847232193,,,,,,,,
P51970,0.514008172,0.345621356,0.887898321,0.318417436,0.444739392,0.52780969,0.837780954,0.766015474,0.840520494,0.477836691,0.176327809,0.180638484,0.276340689,0.539898246,0.226177763,0.052263779,0.798882352,0.751648087,0.715648029,0.434565427,0.291306034,0.053143906,0.483561156,0.102420479,0.170382642,0.011414287,0.351808001,0.022603465,0.414566823,0.330388644,0.394886194,0.353891759
P51991,0.516503514,0.260868816,0.887744687,0.182927263,0.444814344,0.084504084,0.838007065,0.201297666,0.837239118,0.628724124,0.176688218,0.532600112,0.276150731,0.280750452,0.226178509,0.258460468,0.798806032,0.025248784,0.715937013,0.904444469,0.291453416,0.467571456,0.483932449,0.594883687,0.170076923,0.665559124,0.352027006,0.010625274,,,0.394204548,0.334028072
P52209,0.51498978,0.229676039,0.931300935,0.850200439,0.444880513,0.15170234,0.837788233,0.594675915,0.837367482,0.331213684,0.1767488,0.342157541,0.276518493,0.165836782,0.226236354,0.686592849,0.798895492,0.748205298,0.715978482,0.684850919,0.291441752,0.285587727,0.484006621,0.01968104,0.16791586,0.31953479,0.352018997,0.047956858,0.416127754,0.726356997,,
P52272,0.511115311,0.276669858,0.887638583,0.055285674,0.444787935,0.420224605,0.838176744,7.49E-05,0.837326401,0.181367432,0.17675998,0.915451161,0.276439012,0.848562783,0.226174237,0.246870987,0.798873631,0.231970439,0.715981073,0.28905574,0.29151871,0.001209107,0.484394677,0.384019445,,,0.352112697,0.000394593,,,0.39112866,0.510965557
P52298,0,0.154273715,,,,,,,,,0.177814845,0.307144304,,,,,,,,,,,,,,,,,,,,
P52306,0.514897505,0.416879959,0.887671658,0.505237224,0.444958576,0.027088077,0.837708758,0.312487549,0.837033878,0.592916345,0.176391258,0.377168182,0.276612826,0.276585597,0.226036058,0.414157453,0.798911162,0.218074756,0.716081137,0.827301801,0.2913143,0.04672333,0.48389059,0.13110515,0.169199473,0.383484577,0.351883051,0.002824447,0.416666794,0.442760034,0.395928319,0.249931247
P52434,0.514946835,0.576990698,0.887767366,0.499238463,0.444784067,0.484500845,0.837590453,0.150206542,,,,,0.276985911,0.41388627,,,0.798852535,0.24306597,,,,,0.484493291,0.192999792,,,0.351824357,0.010986747,,,,
P52565,0.515262698,0.164870479,0.887785612,0.002019794,0.444888639,0.161125388,0.8376452,0.001059181,0.837336592,0.110800934,0.176707628,0.387630307,0.27640811,0.967340664,0.219221658,0.00143406,,,0.715950827,0.653681891,0.291407916,0.195149712,0.483846949,0.667201264,0.171408316,0.904350464,0.351949696,0.319252021,0.41616219,0.22154252,0.394895731,0.386756545
P52566,0.494071181,0.063254229,0.887441897,0.014229302,0.443853007,0.696434577,0.833724037,0.310982471,0.837971517,0.01198877,0.175895265,0.759075987,0.276444674,0.953278735,,,,,0.715353115,0.441440885,0.288933145,0.230838713,0.483371717,0.839264172,,,0.352129281,0.27531347,0.416212242,0.440543119,,
P52594,0.513544966,0.104849839,0.886940021,0.49173692,0.444712034,0.672085667,0.838499157,0.675264533,0.837007832,0.075007417,0.177318764,0.052029809,0.277643913,0.905685787,,,,,0.715917261,0.749504019,0.291670718,0.584452547,0.485110227,0.533718057,,,0.351913429,0.306571848,,,,
P52597,0.514451959,0.346986348,0.887485715,0.458849619,0.444950815,0.741708429,0.83949189,0.016281184,0.836859182,0.227991429,0.176512213,0.656709084,0.277280606,0.887596414,0.226562826,0.813692847,0.79888914,0.965803195,0.717113265,0.500303427,0.291462034,0.690071715,0.483377437,0.139599172,,,0.354230741,0.003021462,0.415960169,0.189672714,0.396546417,0.273960642
P52758,0.508783156,0.355831595,0.887625705,0.709113241,0.445016727,0.408888527,0.83777686,0.309449654,,,0.17608623,0.754039506,0.276308478,0.873054805,,,0.798755861,0.057927088,0.715964367,0.786084874,0.291412507,0.783132715,0.484258135,0.232293265,,,0.351924447,0.701838963,0.415263186,0.633352422,0.39651944,0.654364645
P52888,0.51504026,0.269952461,,,0.444861802,0.380949274,0.837508109,0.172479888,,,0.176015756,0.343333896,0.275742419,0.367968287,,,0.798898602,0.748778324,0.716044628,0.960630378,0.291623628,0.159691407,0.483502581,0.662615586,,,0.352255434,0.000931757,,,,
P52907,0.515545559,0.153641217,0.887177346,0.003222297,0.446113894,0.19941134,0.838144158,0.702162594,0.837227503,0.200386062,0.176726329,0.31670607,0.276423852,0.823922333,,,,,0.715964074,0.197273223,0.291412147,0.748407771,0.483854265,0.857932233,0.169873818,0.48924964,0.351938278,0.105989712,0.42026893,0.56333924,,
P52943,0.514892835,0.470091406,0.887724634,0.809525163,0.445038262,0.182620075,0.837588414,0.575315344,0.837009595,0.12491318,0.176602832,0.284981407,0.276785793,0.349600439,,,0.798846638,0.052241118,0.715945952,0.793411818,0.291382739,0.07025786,0.483939597,0.46176021,,,0.351938594,0.14331373,,,,
P53004,0.515294186,0.327098429,,,0.444714115,0.540900008,0.838829228,0.055419091,0.837263098,0.53506347,0.176697679,0.11032708,0.276631748,0.181486751,,,0.798711302,0.136549142,0.716097931,0.215025305,0.291668747,0.141884001,0.484051346,0.790835684,,,0.352063608,0.072396881,0.416011278,0.441316001,,
P53007,0.514731243,0.779893984,,,0.444582232,0.55148274,0.841133732,0.537244515,0.836226868,0.007462431,0.175168351,0.423965032,0.273694316,0.475312483,0.226142342,0.74328569,0.798790483,0.57336787,0.715916039,0.602594911,0.292186375,0.278244422,0.485569355,0.136772721,0.170330143,0.450539152,0.354714272,0.07291034,0.415337626,0.509495056,,
P53041,0.513811215,0.006604506,,,0.44488516,0.590109395,0.834580212,0.49208585,0.837175627,0.496943761,0.176104745,0.267014901,0.276507192,0.976891972,,,0.798738539,0.096502138,0.71648878,0.00043647,0.291395015,0.228919148,0.483763957,0.30223884,,,0.35189643,0.018067617,,,,
P53367,0.515066085,0.975549039,,,0.445851076,0.54180087,0.837405179,0.331263862,,,0.176506021,0.794496346,0.271788777,0.101146008,,,0.798892157,0.685033733,0.715829294,0.489530656,0.291294068,0.098832433,0.483320407,0.07520313,,,0.35127242,0.388588296,,,,
P53384,0.513067969,0.00160962,,,0.44414179,0.944156677,,,,,0.176527382,0.510551769,,,,,,,,,,,,,,,0.351843338,0.007803865,,,,
P53396,0.51531148,0.884874256,0.887614676,0.535215278,0.444794812,0.400620471,0.837634465,0.000825596,0.837250876,0.215940337,0.176798727,0.6940459,0.276598559,0.092353657,0.218841276,0.154149181,0.798887328,0.912270889,0.715925821,0.877903061,0.291440879,0.120936499,0.483911006,0.126890104,0.170129513,0.321706126,0.351942554,0.275570287,0.416906881,0.868971254,0.395238735,0.976045211
P53597,0.515132237,0.986363387,0.887728024,0.06389966,0.444822548,0.992279949,0.853189447,0.352302137,0.836956934,0.010934695,0.176458057,0.347752143,0.276473524,0.205873292,0.227311585,0.375447815,,,0.715669321,0.659454049,0.291292916,0.007510471,0.483761954,0.187408157,0.168162089,0.944881133,0.351891585,0.020084349,0.415628911,0.318074046,,
P53618,0.513332931,0.374464188,,,0.44626431,0.268548115,0.836789001,0.008970541,0.836289328,0.010196782,0.176605235,0.43528989,0.276722086,0.513715988,0.228375495,0.272153106,0.798796071,0.800530523,0.715598265,0.332665454,0.293553227,0.041904318,0.484013891,0.889113897,,,0.352127684,0.016442705,0.414952041,0.46917532,,
P53621,0.513389184,0.234476386,0.887681477,0.689626597,0.444535122,0.431929685,0.836637494,0.609295755,0.837720861,0.064814228,0.176751776,0.58205705,0.277045468,0.951116617,0.22657464,0.882770159,0.798884438,0.900844823,0.716272456,0.246793269,0.291767935,0.070134146,0.484249572,0.261313479,,,0.352115685,0.008575056,0.418342257,0.002265618,,
P53634,0.516833485,0.812167477,,,,,,,0.838541628,0.036024551,,,0.277077459,0.377072965,,,0.798860767,0.453391697,,,,,,,,,0.351829246,0.04946443,,,,
P53680,0.515914415,0.127801796,0.887725242,0.485897006,0.444390425,0.51857739,0.837401432,0.011669957,0.837900679,0.128503999,0.177208426,0.809905562,0.273729593,0.283515278,0.226309785,0.669593793,,,0.716720929,0.06206742,0.291476178,0.50725528,0.483715076,0.091128191,,,0.35178533,0.046816806,0.413683732,0.058129701,,
P53985,0.514865713,0.321274717,,,,,0.837408242,0.05449178,0.8371768,0.892840759,0.176178957,0.914282851,0.275942344,0.701482699,,,,,0.716894172,0.278655786,0.288923802,0.428224342,0.48374346,0.835601838,,,0.352426694,0.563275726,0.415920269,0.119101221,,
P53990,0.510405923,0.00662061,,,0.44426699,0.243514967,0.840476722,0.919572622,0.837455612,0.663163539,0.176831106,0.755343637,0.277252605,0.027698611,,,0.798733687,0.329581522,0.715996542,0.818475276,0.29103458,0.098475766,0.48500249,0.524383757,,,0.352009744,0.649905472,0.414293805,0.081952355,,
